"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","remainingTime"
"30","34","2","2","34","83","83","51","51","15","2","2400.0"
"31","10","10","10","10","10","10","34","34","2","2","2700180.0"
"32","18","18","51","51","34","34","51","51","15","15","2423700.0"
"33","18","18","24","18","24","18","18","18","15","15","1934400.0"
"34","26","26","23","23","23","23","10","10","26","42","1965360.0"
"35","51","51","18","18","34","51","34","51","2","2","2328000.0"
"36","34","34","51","51","10","10","10","10","46","34","1484400.0"
"37","40","70","70","40","40","40","18","18","233","233","1839600.0"
"38","15","15","51","51","10","10","10","10","10","10","4795980.0"
"39","70","70","70","42","42","70","70","42","70","42","439020.0"
"4","10","10","34","46","34","34","46","34","51","51","45660.0"
"40","23","23","70","70","23","23","23","23","23","23","1167360.0"
"41","23","23","23","24","23","23","24","23","70","70","1606440.0"
"42","18","18","18","18","24","24","15","15","30","30","452220.0"
"43","30","30","40","24","40","24","40","40","30","30","359820.0"
"44","26","26","70","70","70","70","26","26","26","26","2098800.0"
"45","18","18","34","34","34","34","24","24","40","40","144660.0"
"46","51","51","34","34","51","18","51","18","18","18","164340.0"
"47","30","30","30","24","30","30","24","30","30","30","1386060.0"
"48","15","15","10","10","10","10","42","42","15","15","3118440.0"
"49","40","2","40","2","40","40","105","105","24","24","1025760.0"
"50","40","40","40","40","40","40","40","40","24","24","1205220.0"
"52","40","40","30","30","30","30","30","30","30","30","574860.0"
"53","40","40","30","30","30","30","30","30","30","30","872460.0"
"54","51","51","15","15","10","10","10","42","42","10","235560.0"
"55","26","26","70","70","70","70","42","23","42","23","3241320.0"
"56","30","30","40","96","96","40","40","40","24","24","16380.0"
"58","91","91","91","91","95","95","91","91","24","57","35460.0"
"59","18","18","51","51","34","34","24","24","83","83","167820.0"
"6","40","40","40","40","30","30","30","30","40","40","1633020.0"
"60","30","30","57","57","40","40","42","30","42","30","231660.0"
"61","23","23","23","23","23","23","10","10","23","42","3559860.0"
"62","30","30","30","30","30","30","30","30","30","30","2397360.0"
"63","34","34","34","34","51","2","2","51","18","10","4044720.0"
"64","51","51","10","10","34","34","10","10","10","10","50760.0"
"65","23","23","24","24","70","70","23","23","18","18","21960.0"
"66","30","30","30","30","24","24","57","57","57","57","847680.0"
"67","51","51","51","51","10","10","10","10","15","15","4590900.0"
"68","245","245","248","248","42","42","96","96","42","42","0.0"
"7","15","15","10","10","15","15","51","51","10","10","275760.0"
"70","23","23","23","23","23","23","23","23","23","23","3097620.0"
"71","70","70","70","70","96","96","24","24","57","57","18360.0"
"72","30","30","30","30","24","24","54","54","57","57","179520.0"
"73","10","10","51","51","15","15","34","34","51","51","881340.0"
"75","40","40","40","40","30","30","30","30","40","40","1554600.0"
"77","70","70","70","70","23","23","23","23","70","70","1476120.0"
"78","51","51","51","51","10","10","34","34","51","51","2481960.0"
"79","42","42","142","142","54","54","57","57","42","42","205380.0"
"80","34","34","34","34","42","42","57","57","54","54","171900.0"
"82","51","51","51","51","34","34","34","34","42","42","1445220.0"
"83","51","51","51","51","15","15","34","34","51","42","376800.0"
"84","30","30","30","30","30","30","30","30","30","30","1023240.0"
"85","18","18","18","18","34","105","40","34","105","40","15960.0"
"86","18","18","83","83","34","34","18","18","83","83","103560.0"
"87","15","15","10","10","10","24","10","24","40","51","3100080.0"
"89","10","10","15","15","34","34","34","34","10","10","257340.0"
"9","70","70","23","23","23","23","24","24","57","57","1690920.0"
"90","18","18","15","15","34","34","10","10","10","18","270120.0"
"91","51","51","15","15","15","34","15","34","24","24","497820.0"
"92","18","18","18","18","18","18","24","24","24","24","1860960.0"
"93","40","40","40","40","30","30","30","30","30","30","3744300.0"
"95","34","34","10","10","24","15","24","15","34","34","2617980.0"
"96","42","42","42","42","54","54","54","83","54","57","79200.0"
"97","42","42","145","145","54","54","54","54","54","54","890700.0"
"99","24","24","24","24","24","24","54","54","57","57","312480.0"
