"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"174","43","43","32","52","32","32","52","32","90","90","45","45","43","43","75","13","43","75","76","84","38","43","6","61","7","7","877020.0"
"177","20","20","151","151","151","151","120","120","16","16","16","16","16","16","59","13","16","59","18","150","5","16","6","7","34","7","6196500.0"
"178","154","154","120","120","99","99","99","2","20","99","2","20","99","120","152","1","120","152","121","153","5","120","6","142","7","7","4978860.0"
"179","99","99","16","16","57","57","60","60","16","16","57","57","16","16","59","13","16","59","18","147","5","16","6","67","12","7","0.0"
"18","8","8","8","8","86","86","8","8","8","8","8","8","86","14","9","1","14","9","10","159","5","14","11","67","7","7","6135240.0"
"182","29","29","60","60","29","29","29","29","57","57","29","29","112","112","75","13","112","75","76","160","38","112","6","108","7","7","749940.0"
"185","24","24","60","60","57","57","57","57","52","52","52","52","52","52","17","13","52","17","18","31","5","52","6","42","7","7","7075560.0"
"187","2","2","151","151","120","120","154","154","151","151","120","120","154","154","155","13","154","155","156","161","5","154","6","33","7","7","3954660.0"
"188","20","2","2","2","20","2","20","20","29","29","136","136","154","154","155","13","154","155","156","163","164","154","11","7","7","7","520140.0"
"19","14","14","16","16","8","8","16","16","20","20","2","2","2","2","0","13","2","0","3","162","5","2","6","69","7","7","240780.0"
"192","133","133","52","52","24","24","52","24","52","24","24","24","71","71","23","13","71","23","25","161","125","71","6","7","7","7","1532820.0"
"194","24","24","24","52","24","52","24","52","52","24","71","71","28","52","17","1","52","17","18","101","167","52","6","33","7","7","2124000.0"
"195","52","52","2","2","20","20","20","2","20","2","2","2","120","120","119","13","120","119","121","113","168","120","11","7","7","7","483300.0"
"198","86","86","43","43","43","43","52","86","86","52","8","8","86","86","109","13","86","109","110","73","5","86","6","67","7","7","6035700.0"
"199","2","2","20","2","2","2","20","20","20","154","2","154","154","154","119","13","154","119","121","170","5","154","11","7","7","7","7487820.0"
"20","14","14","29","14","14","29","32","32","32","32","32","32","86","86","9","13","86","9","10","171","172","86","6","58","7","7","3141240.0"
"200","112","112","99","99","81","81","81","81","57","57","120","120","120","120","155","13","120","155","156","64","5","120","6","12","7","7","0.0"
"201","81","81","81","81","39","39","39","39","39","39","39","39","39","39","123","13","39","123","143","89","174","39","6","12","7","7","3950100.0"
"203","29","29","20","20","2","2","20","20","2","2","57","57","29","29","59","13","29","59","18","108","176","29","6","108","7","7","0.0"
"206","29","29","20","20","20","20","99","99","99","99","29","29","29","29","59","13","29","59","18","78","177","29","6","4","7","7","1011000.0"
"207","86","43","86","43","86","43","86","43","43","43","32","32","43","86","75","1","86","75","76","178","179","86","11","7","7","7","1645200.0"
"208","71","71","28","28","71","71","71","71","24","24","28","28","71","71","70","13","71","70","72","63","5","71","6","103","7","7","3203460.0"
"209","32","32","45","45","45","45","86","86","32","32","43","43","29","29","17","13","29","17","18","180","38","29","6","180","7","7","492780.0"
"21","14","14","43","43","29","8","8","8","8","29","8","32","32","32","9","1","32","9","10","150","172","32","6","61","7","7","3293100.0"
"210","43","43","32","32","32","32","43","43","32","32","29","29","43","43","75","13","43","75","76","183","27","43","6","142","7","7","892800.0"
"211","29","29","120","120","154","154","2","2","20","20","29","29","29","29","59","13","29","59","18","184","27","29","6","185","7","7","128520.0"
"212","32","32","32","32","32","29","32","29","43","43","32","32","29","29","17","13","29","17","18","188","38","29","6","7","12","7","1038480.0"
"214","32","32","32","32","14","43","14","43","29","29","32","32","32","32","75","13","32","75","76","147","38","32","6","114","7","7","1415280.0"
"215","45","45","45","45","154","154","29","29","29","29","20","20","20","20","0","13","20","0","3","190","38","20","6","73","7","7","751320.0"
"218","193","193","197","197","197","197","193","193","52","52","57","57","20","52","59","1","52","59","18","191","179","52","6","192","7","7","3000.0"
"219","20","20","20","20","120","120","151","151","120","120","120","120","154","154","119","13","154","119","121","79","5","154","6","55","7","7","675660.0"
"22","71","71","28","28","28","28","28","28","71","71","81","81","20","20","21","13","20","21","22","108","38","20","6","34","7","7","346260.0"
"223","45","52","45","45","45","45","52","45","43","43","45","45","52","52","17","13","52","17","18","79","38","52","6","79","7","7","1959600.0"
"225","99","99","99","99","99","99","99","99","99","99","2","2","2","2","0","13","2","0","3","198","5","2","6","7","7","7","6021240.0"
"228","45","45","45","45","45","45","29","29","29","29","29","29","2","20","35","1","20","35","36","4","38","20","6","19","7","7","292500.0"
"229","45","52","52","45","43","43","45","45","52","52","20","20","20","2","21","1","2","21","22","51","38","2","6","7","7","7","382560.0"
"23","86","86","14","14","43","43","81","81","86","81","81","86","86","86","109","13","86","109","110","63","111","86","11","7","7","7","3076260.0"
"230","32","32","32","32","32","32","32","29","29","32","43","43","32","29","17","1","29","17","18","201","27","29","6","7","7","7","4435740.0"
"231","20","20","120","120","120","120","151","60","151","60","16","16","16","16","175","13","16","175","18","89","5","16","6","7","7","7","403320.0"
"232","81","86","81","99","86","99","60","60","60","60","60","60","60","60","106","13","60","106","107","108","5","60","6","7","7","7","516900.0"
"233","71","28","71","28","28","28","8","8","52","52","20","20","20","20","35","13","20","35","36","51","38","20","6","61","7","7","836520.0"
"234","52","52","52","52","136","136","206","206","136","136","52","52","52","52","30","13","52","30","18","124","203","52","6","7","7","7","4413180.0"
"235","16","16","16","24","16","24","24","24","24","24","24","24","16","16","17","13","16","17","18","63","207","16","11","7","7","7","2486820.0"
"236","60","60","60","60","29","99","29","99","60","60","60","60","29","29","59","13","29","59","18","89","27","29","6","89","7","7","34260.0"
"237","29","29","14","14","29","29","29","29","20","2","20","2","154","154","155","13","154","155","156","208","209","154","11","7","7","7","4336020.0"
"238","32","32","43","43","43","43","32","32","14","14","14","29","14","29","17","13","29","17","18","212","65","29","6","199","7","7","3858540.0"
"239","32","32","86","43","86","29","29","43","32","32","29","29","29","29","213","13","29","213","18","66","38","29","6","66","7","7","555060.0"
"24","8","8","8","8","81","81","2","2","214","99","99","214","81","81","175","13","81","175","18","63","111","81","6","19","50","7","2804640.0"
"240","32","32","43","43","86","86","32","32","43","43","86","86","2","2","35","13","2","35","36","217","218","2","6","7","7","7","776700.0"
"241","86","86","86","86","14","14","52","32","52","32","32","32","52","52","17","13","52","17","18","66","38","52","6","61","7","7","231600.0"
"242","32","32","32","32","14","14","43","43","32","32","52","52","52","52","17","13","52","17","18","101","27","52","6","7","12","7","604440.0"
"243","32","32","43","52","43","43","52","43","29","29","20","20","20","20","0","13","20","0","3","4","27","20","6","19","7","7","402900.0"
"244","60","60","60","60","60","60","60","60","60","52","60","60","60","60","106","1","60","106","107","108","5","60","6","34","7","7","303720.0"
"245","28","28","28","16","16","28","28","28","28","28","71","71","71","71","23","13","71","23","25","108","5","71","6","34","7","7","2403600.0"
"246","71","71","28","28","71","71","52","52","2","2","20","20","2","2","35","13","2","35","36","80","219","2","6","7","7","7","344700.0"
"248","28","28","28","28","71","71","2","2","81","81","20","20","20","20","35","1","20","35","36","51","47","20","6","55","7","7","669000.0"
"249","45","45","45","45","52","52","45","45","45","45","8","8","52","52","17","13","52","17","18","220","38","52","6","221","7","7","513900.0"
"25","86","86","86","86","86","86","43","43","43","43","86","86","16","16","17","13","16","17","18","63","111","16","6","63","7","7","2854200.0"
"250","224","224","224","224","16","224","16","224","224","224","224","224","20","20","21","13","20","21","22","114","223","20","6","114","7","7","205980.0"
"251","86","86","8","8","8","8","16","16","20","20","16","16","2","2","0","13","2","0","3","108","5","2","6","108","7","7","770880.0"
"252","32","32","32","29","32","29","29","29","32","32","29","29","20","20","21","13","20","21","22","93","38","20","6","93","7","7","232800.0"
"253","71","71","71","71","29","28","29","29","28","29","20","20","20","20","0","1","20","0","3","66","227","20","6","61","7","7","478860.0"
"254","20","20","20","20","20","20","2","2","29","29","57","57","29","29","59","13","29","59","18","228","27","29","6","228","7","7","0.0"
"256","45","45","8","8","32","32","52","52","45","45","39","39","39","39","123","13","39","123","41","73","230","39","6","7","7","7","2989200.0"
"257","32","32","8","8","86","86","90","90","43","43","86","86","43","43","109","13","43","109","110","147","5","43","6","169","7","7","6660780.0"
"258","32","32","32","32","43","43","43","43","43","43","43","43","32","32","75","13","32","75","76","64","38","32","6","222","7","7","1449060.0"
"259","71","71","71","71","24","24","32","32","71","71","24","24","24","24","70","13","24","70","72","232","145","24","6","12","7","7","6065700.0"
"26","14","14","32","32","32","32","8","8","8","8","81","81","99","99","21","13","99","21","22","63","111","99","6","93","7","7","3498780.0"
"260","43","43","43","43","43","43","32","32","43","43","71","71","29","32","75","1","32","75","76","233","38","32","6","55","7","7","4500720.0"
"261","45","45","45","45","29","29","39","39","29","29","2","2","20","20","21","13","20","21","22","124","218","20","6","124","7","7","508320.0"
"262","14","14","43","43","43","43","29","29","29","29","20","20","20","20","35","13","20","35","36","80","27","20","6","7","7","7","182640.0"
"263","39","39","39","39","39","52","39","39","52","39","39","39","39","39","40","13","39","40","41","37","234","39","6","12","7","7","1533240.0"
"264","90","90","90","43","90","43","32","32","29","29","14","14","86","86","75","13","86","75","76","235","218","86","6","108","7","7","151980.0"
"265","45","45","45","45","45","45","45","45","45","45","29","29","20","20","21","13","20","21","22","19","236","20","6","19","7","7","271980.0"
"266","16","16","86","86","8","8","86","16","86","86","16","52","52","86","109","13","86","109","110","237","5","86","11","12","7","7","7285080.0"
"267","14","14","32","32","32","32","14","29","29","14","43","43","43","43","9","13","43","9","10","163","164","43","6","79","7","7","7090200.0"
"268","45","45","45","29","45","29","45","29","29","45","45","45","99","99","40","13","99","40","41","117","239","99","6","44","7","7","1755840.0"
"269","45","45","45","52","45","45","52","45","45","45","52","45","45","52","17","13","52","17","18","93","38","52","6","93","7","7","1629480.0"
"27","45","45","45","45","45","45","45","45","45","45","45","45","45","45","40","13","45","40","41","93","38","45","6","93","7","7","258780.0"
"271","8","8","8","8","8","8","86","81","86","81","8","81","81","8","109","13","8","109","110","147","5","8","6","58","7","7","6545100.0"
"272","28","28","71","71","71","71","28","29","28","29","20","20","29","20","21","1","20","21","22","89","27","20","6","37","7","7","343620.0"
"273","28","28","28","24","24","29","28","29","20","20","20","20","20","20","0","13","20","0","3","93","27","20","6","93","7","7","187200.0"
"274","39","39","39","52","52","39","39","52","99","39","52","99","99","99","0","13","99","0","3","50","27","99","6","50","7","7","127800.0"
"277","224","224","81","81","60","60","60","60","60","60","60","60","60","60","0","13","60","0","3","50","5","60","6","50","7","7","103740.0"
"28","32","32","32","32","14","29","29","14","29","29","14","14","45","45","75","13","45","75","76","153","38","45","6","66","7","7","2917560.0"
"29","24","24","71","71","28","28","71","71","71","71","71","71","81","81","17","13","81","17","18","182","5","81","6","141","7","7","2946780.0"
"3","14","16","14","16","8","8","16","16","20","20","20","20","154","151","155","1","151","155","156","4","5","151","11","7","7","7","205200.0"
"31","8","8","8","8","8","8","43","43","16","16","16","16","20","20","21","13","20","21","22","79","5","20","6","92","7","7","2685960.0"
"32","32","32","86","86","43","43","86","86","14","14","86","81","81","81","17","1","81","17","18","160","47","81","6","7","7","7","2378820.0"
"33","32","32","29","32","29","32","32","32","14","14","43","43","29","29","17","13","29","17","18","79","38","29","6","7","12","7","1905960.0"
"34","24","24","28","28","28","28","8","8","24","52","24","52","20","20","21","13","20","21","22","89","47","20","6","89","7","7","1782360.0"
"35","86","86","32","32","43","86","43","86","16","16","16","16","154","154","21","13","154","21","22","61","5","154","6","55","7","7","2315460.0"
"36","43","43","86","86","8","8","8","8","81","43","81","43","43","43","109","13","43","109","110","89","5","43","11","12","7","7","1453080.0"
"37","45","71","71","45","45","45","32","32","240","240","45","45","45","45","40","13","45","40","41","80","38","45","6","63","7","7","1753380.0"
"38","14","14","86","86","8","8","8","8","8","8","8","8","45","45","9","1","45","9","10","181","5","45","6","67","7","7","4765320.0"
"39","71","71","71","52","52","71","71","52","71","52","71","71","24","24","70","13","24","70","72","4","27","24","11","67","7","7","413040.0"
"4","8","8","43","81","43","43","81","43","86","86","8","8","81","81","17","13","81","17","18","61","5","81","6","7","7","7","10920.0"
"40","28","28","71","71","28","28","28","28","28","28","8","8","29","29","30","13","29","30","18","80","27","29","6","80","7","7","1139400.0"
"41","28","28","28","29","28","28","29","28","71","71","20","20","81","81","17","13","81","17","18","89","27","81","6","89","7","7","1316580.0"
"42","32","32","32","32","29","29","14","14","39","39","32","29","32","14","75","1","14","75","76","73","27","14","6","89","7","7","409020.0"
"43","39","39","45","29","45","29","45","45","39","39","29","29","20","20","21","13","20","21","22","169","38","20","6","169","7","7","123420.0"
"44","24","24","71","71","71","71","24","24","24","24","71","71","8","8","243","13","8","243","72","244","245","8","6","78","7","7","2012880.0"
"45","32","32","43","43","43","43","29","29","45","45","29","29","29","29","17","13","29","17","18","61","27","29","6","4","7","7","0.0"
"46","86","86","43","43","86","32","86","32","32","32","52","52","20","20","0","1","20","0","3","4","38","20","6","4","7","7","123000.0"
"47","39","39","39","29","39","39","29","39","39","39","39","39","29","29","17","13","29","17","18","4","38","29","6","4","7","7","1273680.0"
"48","14","14","8","8","8","8","52","52","14","14","52","52","20","20","21","13","20","21","22","79","5","20","6","247","7","7","3104280.0"
"49","45","16","45","16","45","45","112","112","29","29","99","99","29","29","17","13","29","17","18","42","38","29","6","7","7","7","588960.0"
"50","45","45","45","45","45","45","45","45","29","29","20","20","20","20","21","13","20","21","22","19","38","20","6","19","7","7","256620.0"
"52","45","45","39","39","39","39","39","39","39","39","39","39","39","39","40","13","39","40","41","229","38","39","6","248","7","7","543480.0"
"53","45","45","39","39","39","39","39","39","39","39","39","39","45","52","17","1","52","17","18","4","249","52","6","7","7","7","842400.0"
"54","86","86","14","14","8","8","8","52","52","8","14","14","52","52","17","13","52","17","18","51","38","52","6","7","50","7","180900.0"
"55","24","24","71","71","71","71","52","28","52","28","24","24","71","71","243","13","71","243","72","250","218","71","6","12","7","7","3088080.0"
"56","39","39","45","57","57","45","45","45","29","29","20","20","20","29","59","1","29","59","18","51","27","29","6","51","7","7","2940.0"
"58","60","60","60","60","99","99","60","60","29","20","29","20","57","57","56","13","57","56","56","92","54","57","6","92","7","7","0.0"
"59","32","32","86","86","43","43","29","29","90","90","251","251","57","57","56","13","57","56","56","4","38","57","6","42","7","7","131580.0"
"6","45","45","45","45","39","39","39","39","45","45","45","45","29","29","17","1","29","17","18","252","218","29","6","7","7","7","1621500.0"
"60","39","39","20","20","45","45","52","39","52","39","45","45","52","52","30","13","52","30","18","61","253","52","6","7","7","7","111720.0"
"61","28","28","28","28","28","28","8","8","28","52","28","52","71","71","23","13","71","23","25","101","167","71","11","7","7","7","3398460.0"
"62","39","39","39","39","39","39","39","39","39","39","39","39","29","29","17","13","29","17","18","19","38","29","6","19","7","7","2229360.0"
"63","43","43","43","43","86","16","16","86","32","8","32","32","32","14","9","1","14","9","10","254","5","14","6","61","7","7","3979980.0"
"64","86","86","8","8","43","43","8","8","8","8","86","86","43","43","109","13","43","109","110","256","5","43","6","7","7","7","36120.0"
"66","39","39","39","39","29","29","20","20","20","20","206","206","29","29","30","13","29","30","18","4","122","29","6","7","7","7","235980.0"
"67","86","86","86","86","8","8","8","8","14","14","8","8","71","71","9","13","71","9","10","147","5","71","6","196","7","7","4440420.0"
"7","14","14","8","8","14","14","86","86","8","8","8","8","29","29","17","13","29","17","18","15","218","29","6","15","7","7","229200.0"
"70","28","28","28","28","28","28","28","28","28","28","28","28","71","71","23","13","71","23","25","162","258","71","6","66","7","7","3027960.0"
"71","71","71","71","71","57","57","29","29","20","20","20","20","29","29","59","13","29","59","18","58","27","29","6","93","7","7","0.0"
"72","39","39","39","39","29","29","2","2","20","20","20","2","20","2","35","13","2","35","36","93","27","2","6","44","7","7","162720.0"
"73","8","8","86","86","14","14","43","43","86","86","8","8","8","29","17","1","29","17","18","64","209","29","6","7","7","7","875100.0"
"75","45","45","45","45","39","39","39","39","45","45","45","45","81","81","17","13","81","17","18","4","38","81","6","4","7","7","1373400.0"
"77","71","71","71","71","28","28","28","28","71","71","24","16","16","24","23","13","24","23","25","101","176","24","6","42","7","7","1435980.0"
"78","86","86","86","86","8","8","43","43","86","86","86","86","32","32","109","13","32","109","110","259","5","32","11","12","7","7","2450880.0"
"80","43","43","43","43","52","52","20","20","2","2","20","20","151","151","155","13","151","155","156","37","5","151","11","7","7","7","100260.0"
"82","86","86","86","86","43","43","43","43","52","52","20","20","2","2","242","13","2","242","36","162","5","2","6","7","7","7","304560.0"
"83","86","86","86","86","14","14","43","43","86","52","52","86","8","8","109","13","8","109","110","184","47","8","6","46","7","7","346320.0"
"84","39","39","39","39","39","39","39","39","39","39","29","29","45","45","40","13","45","40","41","61","125","45","6","55","7","7","844080.0"
"86","32","32","90","90","43","43","32","32","90","90","90","90","52","52","17","13","52","17","18","250","38","52","6","4","7","7","72420.0"
"87","14","14","8","8","8","29","8","29","45","86","45","8","86","32","9","1","32","9","10","261","262","32","6","66","7","7","3073860.0"
"89","8","8","14","14","43","43","43","43","8","8","8","8","8","32","75","1","32","75","76","161","263","32","6","7","7","7","137340.0"
"9","71","71","28","28","28","28","29","29","20","20","20","20","99","99","94","13","99","94","95","89","27","99","11","7","7","7","406260.0"
"90","32","32","14","14","43","43","8","8","8","32","32","90","90","8","75","13","8","75","76","161","263","8","6","63","7","7","226860.0"
"91","86","86","14","14","14","43","14","43","29","29","32","32","8","8","109","13","8","109","110","163","264","8","6","265","7","7","465540.0"
"92","32","32","32","32","32","32","29","29","29","29","29","29","60","60","106","13","60","106","107","34","38","60","11","7","7","7","540000.0"
"93","45","45","45","45","39","39","39","39","39","39","16","16","267","267","266","13","267","266","268","93","269","267","6","93","7","7","3708300.0"
"95","43","43","8","8","29","14","29","14","43","43","8","8","29","90","9","1","90","9","10","270","164","90","6","15","7","7","2569980.0"
"96","52","52","52","52","2","2","2","90","2","20","90","20","140","57","56","1","57","56","56","161","38","57","6","44","7","7","31200.0"
"97","52","52","154","154","2","2","2","2","2","2","20","20","20","20","0","13","20","0","3","73","38","20","6","73","7","7","844200.0"
"99","29","29","29","29","29","29","2","2","20","20","20","20","29","29","59","13","29","59","18","273","145","29","6","7","7","7","111660.0"
