"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","concept:name_10","lifecycle:transition_10","org:resource_10","Activity_10","Resource_10","Work_Order_Qty_10","Part_Desc__10","Worker_ID_10","Report_Type_10","Qty_Completed_10","Qty_Rejected_10","Qty_for_MRB_10","concept:name_11","lifecycle:transition_11","org:resource_11","Activity_11","Resource_11","Work_Order_Qty_11","Part_Desc__11","Worker_ID_11","Report_Type_11","Qty_Completed_11","Qty_Rejected_11","Qty_for_MRB_11","concept:name_12","lifecycle:transition_12","org:resource_12","Activity_12","Resource_12","Work_Order_Qty_12","Part_Desc__12","Worker_ID_12","Report_Type_12","Qty_Completed_12","Qty_Rejected_12","Qty_for_MRB_12","concept:name_13","lifecycle:transition_13","org:resource_13","Activity_13","Resource_13","Work_Order_Qty_13","Part_Desc__13","Worker_ID_13","Report_Type_13","Qty_Completed_13","Qty_Rejected_13","Qty_for_MRB_13","concept:name_14","lifecycle:transition_14","org:resource_14","Activity_14","Resource_14","Work_Order_Qty_14","Part_Desc__14","Worker_ID_14","Report_Type_14","Qty_Completed_14","Qty_Rejected_14","Qty_for_MRB_14","concept:name_15","lifecycle:transition_15","org:resource_15","Activity_15","Resource_15","Work_Order_Qty_15","Part_Desc__15","Worker_ID_15","Report_Type_15","Qty_Completed_15","Qty_Rejected_15","Qty_for_MRB_15","concept:name_16","lifecycle:transition_16","org:resource_16","Activity_16","Resource_16","Work_Order_Qty_16","Part_Desc__16","Worker_ID_16","Report_Type_16","Qty_Completed_16","Qty_Rejected_16","Qty_for_MRB_16","remainingTime"
"110","76","10","33","76","77","78","37","33","12","13","7","7","76","1","33","76","77","78","37","33","12","13","7","7","76","10","42","76","77","78","37","42","12","28","7","7","17","10","16","17","18","78","37","16","6","7","7","7","17","1","16","17","18","78","37","16","6","7","7","7","76","1","42","76","77","78","37","42","12","28","7","7","76","10","42","76","77","78","37","42","6","4","7","7","76","1","42","76","77","78","37","42","6","4","7","7","76","10","33","76","77","78","37","33","6","80","7","7","76","1","33","76","77","78","37","33","6","80","7","7","76","10","14","76","77","78","37","14","6","55","7","7","76","1","14","76","77","78","37","14","6","55","7","7","76","10","42","76","77","78","37","42","6","81","7","7","76","10","72","76","77","78","37","72","6","79","7","7","76","1","42","76","77","78","37","42","6","81","7","7","76","1","72","76","77","78","37","72","6","79","7","7","2259720.0"
"111","83","10","8","83","11","82","5","8","12","13","7","7","83","1","8","83","11","82","5","8","12","13","7","7","83","10","8","83","11","82","5","8","6","84","7","7","83","1","8","83","11","82","5","8","6","84","7","7","83","10","14","83","11","82","5","14","6","85","7","7","83","1","14","83","11","82","5","14","6","85","7","7","83","10","86","83","11","82","5","86","6","87","7","7","83","1","86","83","11","82","5","86","6","87","7","7","83","10","8","83","11","82","5","8","6","74","7","7","83","1","8","83","11","82","5","8","6","74","7","7","83","10","14","83","11","82","5","14","6","47","7","7","83","1","14","83","11","82","5","14","6","47","7","7","31","10","88","31","18","82","5","88","6","82","7","7","31","1","88","31","18","82","5","88","6","82","7","7","9","10","8","9","11","82","5","8","12","13","7","7","9","1","8","9","11","82","5","8","12","13","7","7","479160.0"
"112","23","10","72","23","25","89","37","72","12","7","7","7","23","1","72","23","25","89","37","72","12","7","7","7","23","10","29","23","25","89","37","29","12","13","7","7","23","1","29","23","25","89","37","29","12","13","7","7","23","10","24","23","25","89","37","24","12","28","7","7","23","1","24","23","25","89","37","24","12","28","7","7","17","10","52","17","18","89","37","52","6","7","28","7","23","10","29","23","25","89","37","29","50","7","7","7","17","1","52","17","18","89","37","52","6","7","28","7","23","1","29","23","25","89","37","29","50","7","7","7","23","10","29","23","25","89","37","29","12","28","7","7","23","1","29","23","25","89","37","29","12","28","7","7","23","10","24","23","25","89","37","24","6","28","7","7","23","1","24","23","25","89","37","24","6","28","7","7","23","10","33","23","25","89","37","33","6","90","7","7","23","1","33","23","25","89","37","33","6","90","7","7","1219560.0"
"115","9","10","8","9","11","91","37","8","12","7","7","7","9","1","8","9","11","91","37","8","12","7","7","7","9","10","42","9","11","91","37","42","6","65","7","7","9","1","42","9","11","91","37","42","6","65","7","7","9","10","8","9","11","91","37","8","6","93","7","7","9","1","8","9","11","91","37","8","6","93","7","7","9","10","8","9","11","91","37","8","12","7","7","7","9","1","8","9","11","91","37","8","12","7","7","7","9","10","8","9","11","91","37","8","6","94","7","7","17","10","52","17","18","91","37","52","6","7","7","7","17","1","52","17","18","91","37","52","6","7","7","7","17","10","52","17","18","91","37","52","6","91","7","7","17","1","52","17","18","91","37","52","6","91","7","7","9","1","8","9","11","91","37","8","6","94","7","7","44","10","2","44","45","91","37","2","6","92","7","7","44","1","2","44","45","91","37","2","6","92","7","7","1501680.0"
"116","95","10","64","95","96","97","98","64","12","7","7","7","95","1","64","95","96","97","98","64","12","7","7","7","95","10","64","95","96","97","98","64","6","99","7","7","95","1","64","95","96","97","98","64","6","99","7","7","95","10","100","95","96","97","98","100","6","47","7","7","95","1","100","95","96","97","98","100","6","47","7","7","59","10","58","59","59","97","98","58","6","101","7","7","59","1","58","59","59","97","98","58","6","101","7","7","95","10","64","95","96","97","98","64","6","67","7","7","56","10","16","56","18","97","98","16","6","101","7","7","56","1","16","56","18","97","98","16","6","101","7","7","95","1","64","95","96","97","98","64","6","67","7","7","95","10","64","95","96","97","98","64","6","80","7","7","95","1","64","95","96","97","98","64","6","80","7","7","95","10","64","95","96","97","98","64","6","80","7","7","95","1","64","95","96","97","98","64","6","80","7","7","202080.0"
"119","71","10","24","71","73","102","103","24","12","7","7","7","71","1","24","71","73","102","103","24","12","7","7","7","71","10","24","71","73","102","103","24","12","7","7","7","71","1","24","71","73","102","103","24","12","7","7","7","71","10","24","71","73","102","103","24","12","13","7","7","71","1","24","71","73","102","103","24","12","13","7","7","71","10","72","71","73","102","103","72","6","67","7","7","71","1","72","71","73","102","103","72","6","67","7","7","71","10","24","71","73","102","103","24","6","41","7","7","71","1","24","71","73","102","103","24","6","41","7","7","71","10","24","71","73","102","103","24","6","104","7","7","71","1","24","71","73","102","103","24","6","104","7","7","71","10","24","71","73","102","103","24","6","104","7","7","71","1","24","71","73","102","103","24","6","104","7","7","71","10","33","71","73","102","103","33","6","13","7","7","71","1","33","71","73","102","103","33","6","13","7","7","133020.0"
"12","105","10","72","105","25","106","27","72","12","7","7","7","105","1","72","105","25","106","27","72","12","7","7","7","105","10","24","105","25","106","27","24","12","13","7","7","105","1","24","105","25","106","27","24","12","13","7","7","31","10","30","31","18","106","27","30","6","7","7","7","31","1","30","31","18","106","27","30","6","7","7","7","105","10","24","105","25","106","27","24","6","41","7","7","105","1","24","105","25","106","27","24","6","41","7","7","105","10","72","105","25","106","27","72","6","55","7","7","105","1","72","105","25","106","27","72","6","55","7","7","105","10","29","105","25","106","27","29","6","61","7","7","105","1","29","105","25","106","27","29","6","61","7","7","105","10","72","105","25","106","27","72","6","63","7","7","105","1","72","105","25","106","27","72","6","63","7","7","105","10","29","105","25","106","27","29","6","55","7","7","105","1","29","105","25","106","27","29","6","55","7","7","1566060.0"
"120","110","10","42","110","111","109","5","42","12","35","7","7","110","1","42","110","111","109","5","42","12","35","7","7","110","10","86","110","111","109","5","86","12","13","7","7","110","1","86","110","111","109","5","86","12","13","7","7","110","10","33","110","111","109","5","33","50","7","7","7","110","1","33","110","111","109","5","33","50","7","7","7","17","10","88","17","18","109","5","88","6","35","13","7","17","1","88","17","18","109","5","88","6","35","13","7","21","10","20","21","22","109","5","20","6","35","7","7","21","1","20","21","22","109","5","20","6","35","7","7","0","10","20","0","3","109","5","20","6","35","7","7","0","1","20","0","3","109","5","20","6","35","7","7","107","10","100","107","108","109","5","100","12","7","7","7","107","1","100","107","108","109","5","100","12","7","7","7","107","10","100","107","108","109","5","100","12","7","7","7","107","1","100","107","108","109","5","100","12","7","7","7","75900.0"
"121","110","10","42","110","111","93","112","42","12","13","7","7","110","1","42","110","111","93","112","42","12","13","7","7","110","10","42","110","111","93","112","42","6","43","7","7","31","10","113","31","18","93","112","113","6","93","7","7","31","1","113","31","18","93","112","113","6","93","7","7","110","1","42","110","111","93","112","42","6","43","7","7","110","10","86","110","111","93","112","86","12","7","7","7","31","10","88","31","18","93","112","88","6","43","7","7","31","1","88","31","18","93","112","88","6","43","7","7","110","1","86","110","111","93","112","86","12","7","7","7","9","10","42","9","11","93","112","42","12","7","7","7","9","10","46","9","11","93","112","46","12","7","7","7","9","1","46","9","11","93","112","46","12","7","7","7","9","1","42","9","11","93","112","42","12","7","7","7","9","10","8","9","11","93","112","8","12","7","7","7","9","1","8","9","11","93","112","8","12","7","7","7","1177680.0"
"122","110","10","86","110","111","93","112","86","12","13","7","7","110","1","86","110","111","93","112","86","12","13","7","7","110","10","86","110","111","93","112","86","6","43","7","7","110","1","86","110","111","93","112","86","6","43","7","7","110","10","86","110","111","93","112","86","12","13","7","7","110","1","86","110","111","93","112","86","12","13","7","7","110","10","86","110","111","93","112","86","6","43","7","7","17","10","16","17","18","93","112","16","6","7","7","7","17","1","16","17","18","93","112","16","6","7","7","7","110","1","86","110","111","93","112","86","6","43","7","7","17","10","88","17","18","93","112","88","6","93","7","7","17","1","88","17","18","93","112","88","6","93","7","7","21","10","20","21","22","93","112","20","6","93","7","7","21","1","20","21","22","93","112","20","6","93","7","7","114","10","20","114","115","93","112","20","6","93","7","7","44","10","2","44","45","93","112","2","6","93","7","7","1778460.0"
"123","9","10","86","9","11","116","5","86","12","7","7","7","9","1","86","9","11","116","5","86","12","7","7","7","9","10","8","9","11","116","5","8","12","7","7","7","9","1","8","9","11","116","5","8","12","7","7","7","9","10","8","9","11","116","5","8","6","117","7","7","9","1","8","9","11","116","5","8","6","117","7","7","9","10","14","9","11","116","5","14","6","7","7","7","9","1","14","9","11","116","5","14","6","7","7","7","9","10","14","9","11","116","5","14","6","87","7","7","9","1","14","9","11","116","5","14","6","87","7","7","9","10","8","9","11","116","5","8","12","13","7","7","9","1","8","9","11","116","5","8","12","13","7","7","9","10","8","9","11","116","5","8","6","67","7","7","9","1","8","9","11","116","5","8","6","67","7","7","9","10","8","9","11","116","5","8","12","13","7","7","9","1","8","9","11","116","5","8","12","13","7","7","212760.0"
"124","9","10","8","9","11","93","37","8","12","13","7","7","9","1","8","9","11","93","37","8","12","13","7","7","9","10","8","9","11","93","37","8","6","67","7","7","9","1","8","9","11","93","37","8","6","67","7","7","9","10","86","9","11","93","37","86","6","7","7","7","9","1","86","9","11","93","37","86","6","7","7","7","9","10","14","9","11","93","37","14","6","19","7","7","9","1","14","9","11","93","37","14","6","19","7","7","17","10","52","17","18","93","37","52","6","93","7","7","17","1","52","17","18","93","37","52","6","93","7","7","21","10","20","21","22","93","37","20","6","93","7","7","21","1","20","21","22","93","37","20","6","93","7","7","0","10","118","0","3","93","37","118","6","93","7","7","0","1","118","0","3","93","37","118","6","93","7","7","56","10","52","56","18","93","37","52","6","7","7","7","56","1","52","56","18","93","37","52","6","7","7","7","218640.0"
"126","9","10","86","9","11","4","48","86","12","7","7","7","9","1","86","9","11","4","48","86","12","7","7","7","9","10","14","9","11","4","48","14","12","67","7","7","9","1","14","9","11","4","48","14","12","67","7","7","9","10","8","9","11","4","48","8","12","7","7","7","17","10","52","17","18","4","48","52","6","7","13","7","9","1","8","9","11","4","48","8","12","7","7","7","9","10","8","9","11","4","48","8","6","15","7","7","17","1","52","17","18","4","48","52","6","7","13","7","9","1","8","9","11","4","48","8","6","15","7","7","17","10","52","17","18","4","48","52","6","19","7","7","17","1","52","17","18","4","48","52","6","19","7","7","21","10","20","21","22","4","48","20","6","19","7","7","21","1","20","21","22","4","48","20","6","19","7","7","0","10","2","0","3","4","48","2","6","7","7","7","0","1","2","0","3","4","48","2","6","7","7","7","171900.0"
"127","76","10","33","76","77","119","37","33","12","67","7","7","76","1","33","76","77","119","37","33","12","67","7","7","76","10","33","76","77","119","37","33","6","35","7","7","76","1","33","76","77","119","37","33","6","35","7","7","76","10","14","76","77","119","37","14","6","43","7","7","76","1","14","76","77","119","37","14","6","43","7","7","76","10","42","76","77","119","37","42","6","120","7","7","76","1","42","76","77","119","37","42","6","120","7","7","17","10","30","17","18","119","37","30","6","7","7","7","17","1","30","17","18","119","37","30","6","7","7","7","76","10","33","76","77","119","37","33","6","65","7","7","76","1","33","76","77","119","37","33","6","65","7","7","76","10","42","76","77","119","37","42","6","121","7","7","76","10","42","76","77","119","37","42","12","7","7","7","76","1","42","76","77","119","37","42","12","7","7","7","0","10","2","0","3","119","37","2","6","7","7","7","1235880.0"
"129","39","10","38","39","40","28","122","38","12","7","7","7","17","10","52","17","18","28","122","52","12","7","7","7","17","1","52","17","18","28","122","52","12","7","7","7","39","1","38","39","40","28","122","38","12","7","7","7","39","10","38","39","40","28","122","38","12","13","7","7","39","1","38","39","40","28","122","38","12","13","7","7","39","10","46","39","40","28","122","46","6","67","7","7","39","1","46","39","40","28","122","46","6","67","7","7","17","10","52","17","18","28","122","52","6","28","7","7","17","1","52","17","18","28","122","52","6","28","7","7","0","10","20","0","3","28","122","20","6","28","7","7","0","1","20","0","3","28","122","20","6","28","7","7","0","10","52","0","18","28","122","52","6","28","7","7","0","1","52","0","18","28","122","52","6","28","7","7","59","10","58","59","59","28","122","58","6","28","7","7","59","1","58","59","59","28","122","58","6","28","7","7","115860.0"
"135","110","10","42","110","111","78","48","42","12","13","7","7","110","1","42","110","111","78","48","42","12","13","7","7","110","10","86","110","111","78","48","86","12","7","7","7","110","10","118","110","111","78","48","118","12","7","7","7","110","1","118","110","111","78","48","118","12","7","7","7","110","1","86","110","111","78","48","86","12","7","7","7","110","10","42","110","111","78","48","42","12","7","7","7","110","1","42","110","111","78","48","42","12","7","7","7","110","10","42","110","111","78","48","42","12","7","7","7","110","1","42","110","111","78","48","42","12","7","7","7","110","10","42","110","111","78","48","42","6","55","7","7","110","1","42","110","111","78","48","42","6","55","7","7","110","10","86","110","111","78","48","86","6","55","7","7","110","1","86","110","111","78","48","86","6","55","7","7","110","10","8","110","111","78","48","8","6","123","7","7","110","1","8","110","111","78","48","8","6","123","7","7","502680.0"
