"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","remainingTime"
"12","93","1","62","93","15","94","17","62","10","8","8","8","93","12","62","93","15","94","17","62","10","8","8","8","93","1","14","93","15","94","17","14","10","11","8","8","93","12","14","93","15","94","17","14","10","11","8","8","21","1","20","21","22","94","17","20","6","8","8","8","21","12","20","21","22","94","17","20","6","8","8","8","93","1","14","93","15","94","17","14","6","28","8","8","1861200.0"
"120","39","1","29","39","41","95","5","29","10","96","8","8","39","12","29","39","41","95","5","29","10","96","8","8","39","1","40","39","41","95","5","40","10","11","8","8","39","12","40","39","41","95","5","40","10","11","8","8","39","1","53","39","41","95","5","53","34","8","8","8","39","12","53","39","41","95","5","53","34","8","8","8","46","1","45","46","22","95","5","45","6","96","11","8","606960.0"
"121","39","1","29","39","41","79","97","29","10","11","8","8","39","12","29","39","41","79","97","29","10","11","8","8","39","1","29","39","41","79","97","29","6","30","8","8","21","1","98","21","22","79","97","98","6","79","8","8","21","12","98","21","22","79","97","98","6","79","8","8","39","12","29","39","41","79","97","29","6","30","8","8","39","1","40","39","41","79","97","40","10","8","8","8","1922760.0"
"122","39","1","40","39","41","79","97","40","10","11","8","8","39","12","40","39","41","79","97","40","10","11","8","8","39","1","40","39","41","79","97","40","6","30","8","8","39","12","40","39","41","79","97","40","6","30","8","8","39","1","40","39","41","79","97","40","10","11","8","8","39","12","40","39","41","79","97","40","10","11","8","8","39","1","40","39","41","79","97","40","6","30","8","8","1946700.0"
"123","0","1","40","0","3","99","5","40","10","8","8","8","0","12","40","0","3","99","5","40","10","8","8","8","0","1","9","0","3","99","5","9","10","8","8","8","0","12","9","0","3","99","5","9","10","8","8","8","0","1","9","0","3","99","5","9","6","100","8","8","0","12","9","0","3","99","5","9","6","100","8","8","0","1","2","0","3","99","5","2","6","8","8","8","289320.0"
"124","0","1","9","0","3","79","27","9","10","11","8","8","0","12","9","0","3","79","27","9","10","11","8","8","0","1","9","0","3","79","27","9","6","57","8","8","0","12","9","0","3","79","27","9","6","57","8","8","0","1","40","0","3","79","27","40","6","8","8","8","0","12","40","0","3","79","27","40","6","8","8","8","0","1","2","0","3","79","27","2","6","90","8","8","457560.0"
"125","63","1","53","63","64","101","27","53","10","8","8","8","63","12","53","63","64","101","27","53","10","8","8","8","63","1","2","63","64","101","27","2","10","11","8","8","63","12","2","63","64","101","27","2","10","11","8","8","46","1","20","46","22","101","27","20","6","8","8","8","63","1","2","63","64","101","27","2","6","102","8","8","63","12","2","63","64","101","27","2","6","102","8","8","5460.0"
"126","0","1","40","0","3","4","32","40","10","8","8","8","0","12","40","0","3","4","32","40","10","8","8","8","0","1","2","0","3","4","32","2","10","57","8","8","0","12","2","0","3","4","32","2","10","57","8","8","0","1","9","0","3","4","32","9","10","8","8","8","46","1","54","46","22","4","32","54","6","8","11","8","0","12","9","0","3","4","32","9","10","8","8","8","493380.0"
"127","63","1","53","63","64","103","27","53","10","57","8","8","63","12","53","63","64","103","27","53","10","57","8","8","63","1","53","63","64","103","27","53","6","96","8","8","63","12","53","63","64","103","27","53","6","96","8","8","63","1","2","63","64","103","27","2","6","30","8","8","63","12","2","63","64","103","27","2","6","30","8","8","63","1","29","63","64","103","27","29","6","104","8","8","1336140.0"
"129","23","1","24","23","25","66","105","24","10","8","8","8","46","1","54","46","22","66","105","54","10","8","8","8","46","12","54","46","22","66","105","54","10","8","8","8","23","12","24","23","25","66","105","24","10","8","8","8","23","1","24","23","25","66","105","24","10","11","8","8","23","12","24","23","25","66","105","24","10","11","8","8","23","1","35","23","25","66","105","35","6","57","8","8","1083120.0"
"13","93","1","19","93","15","76","17","19","10","8","8","8","93","12","19","93","15","76","17","19","10","8","8","8","93","1","19","93","15","76","17","19","6","57","8","8","93","12","19","93","15","76","17","19","6","57","8","8","93","1","14","93","15","76","17","14","6","26","8","8","93","12","14","93","15","76","17","14","6","26","8","8","80","1","81","80","80","76","17","81","6","76","8","8","42120.0"
"133","0","1","40","0","3","106","107","40","10","8","8","8","0","12","40","0","3","106","107","40","10","8","8","8","0","1","9","0","3","106","107","9","10","11","8","8","0","12","9","0","3","106","107","9","10","11","8","8","0","1","9","0","3","106","107","9","6","109","8","8","0","12","9","0","3","106","107","9","6","109","8","8","0","1","2","0","3","106","107","2","6","108","8","8","33480.0"
"134","0","1","9","0","3","106","107","9","10","8","8","8","0","12","9","0","3","106","107","9","10","8","8","8","0","1","9","0","3","106","107","9","10","11","8","8","0","12","9","0","3","106","107","9","10","11","8","8","0","1","2","0","3","106","107","2","6","100","8","8","0","12","2","0","3","106","107","2","6","100","8","8","0","1","9","0","3","106","107","9","6","110","8","8","21720.0"
"135","39","1","29","39","41","65","32","29","10","11","8","8","39","12","29","39","41","65","32","29","10","11","8","8","39","1","40","39","41","65","32","40","10","8","8","8","39","1","77","39","41","65","32","77","10","8","8","8","39","12","77","39","41","65","32","77","10","8","8","8","39","12","40","39","41","65","32","40","10","8","8","8","39","1","29","39","41","65","32","29","10","8","8","8","659640.0"
"137","0","1","40","0","3","51","32","40","10","8","8","8","0","12","40","0","3","51","32","40","10","8","8","8","0","1","9","0","3","51","32","9","10","11","8","8","0","12","9","0","3","51","32","9","10","11","8","8","0","1","2","0","3","51","32","2","6","109","8","8","0","12","2","0","3","51","32","2","6","109","8","8","46","1","67","46","22","51","32","67","6","8","8","8","3300.0"
"138","0","1","2","0","3","91","5","2","10","8","8","8","0","12","2","0","3","91","5","2","10","8","8","8","0","1","9","0","3","91","5","9","10","11","8","8","0","12","9","0","3","91","5","9","10","11","8","8","0","1","9","0","3","91","5","9","6","111","8","8","0","12","9","0","3","91","5","9","6","111","8","8","0","1","2","0","3","91","5","2","6","26","8","8","110220.0"
"140","39","1","40","39","41","95","5","40","10","57","8","8","39","12","40","39","41","95","5","40","10","57","8","8","39","1","2","39","41","95","5","2","6","66","8","8","39","12","2","39","41","95","5","2","6","66","8","8","46","1","45","46","22","95","5","45","6","66","57","8","46","12","45","46","22","95","5","45","6","66","57","8","47","1","112","47","49","95","5","112","6","66","8","8","847560.0"
"145","113","1","24","113","25","114","115","24","10","57","8","8","113","12","24","113","25","114","115","24","10","57","8","8","113","1","35","113","25","114","115","35","6","31","8","8","113","12","35","113","25","114","115","35","6","31","8","8","113","1","24","113","25","114","115","24","6","8","8","8","113","12","24","113","25","114","115","24","6","8","8","8","113","1","24","113","25","114","115","24","6","102","8","8","1808940.0"
"147","113","1","24","113","25","116","117","24","10","11","8","8","113","12","24","113","25","116","117","24","10","11","8","8","113","1","35","113","25","116","117","35","10","8","8","8","113","12","35","113","25","116","117","35","10","8","8","8","113","1","35","113","25","116","117","35","6","74","8","8","113","12","35","113","25","116","117","35","6","74","8","8","113","1","24","113","25","116","117","24","6","118","8","8","67080.0"
"148","122","1","121","122","123","120","117","121","6","8","8","8","122","12","121","122","123","120","117","121","6","8","8","8","125","1","124","125","126","120","117","124","6","11","8","8","125","12","124","125","126","120","117","124","6","11","8","8","127","1","54","127","22","120","117","54","6","11","8","8","128","1","54","128","22","120","117","54","6","11","8","8","80","1","119","80","80","120","117","119","6","11","8","8","53580.0"
"150","129","1","20","129","130","26","27","20","6","8","57","8","47","1","20","47","49","26","27","20","6","8","66","8","131","1","20","131","132","26","27","20","6","8","95","8","129","12","20","129","130","26","27","20","6","8","57","8","131","12","20","131","132","26","27","20","6","8","95","8","47","12","20","47","49","26","27","20","6","8","66","8","127","1","20","127","22","26","27","20","6","8","8","8","60.0"
"153","86","1","85","86","87","133","32","85","10","8","8","8","86","12","85","86","87","133","32","85","10","8","8","8","86","1","85","86","87","133","32","85","6","96","8","8","86","12","85","86","87","133","32","85","6","96","8","8","127","1","54","127","22","133","32","54","6","8","8","8","127","12","54","127","22","133","32","54","6","8","8","8","127","1","54","127","22","133","32","54","6","96","8","8","60900.0"
"154","134","1","45","134","22","31","27","45","6","135","11","8","134","12","45","134","22","31","27","45","6","135","11","8","137","1","136","137","138","31","27","136","6","135","8","8","137","12","136","137","138","31","27","136","6","135","8","8","127","1","45","127","22","31","27","45","6","88","11","8","127","12","45","127","22","31","27","45","6","88","11","8","80","1","81","80","80","31","27","81","6","88","8","8","3600.0"
"155","113","1","35","113","139","101","27","35","10","8","8","8","113","12","35","113","139","101","27","35","10","8","8","8","23","1","35","23","25","101","27","35","6","8","8","8","23","12","35","23","25","101","27","35","6","8","8","8","23","1","35","23","25","101","27","35","6","43","8","8","23","12","35","23","25","101","27","35","6","43","8","8","23","1","35","23","25","101","27","35","6","114","8","8","402720.0"
"156","13","1","62","13","15","140","141","62","10","8","8","8","13","12","62","13","15","140","141","62","10","8","8","8","13","1","62","13","15","140","141","62","6","91","8","8","13","12","62","13","15","140","141","62","6","91","8","8","13","1","62","13","15","140","141","62","10","11","8","8","13","12","62","13","15","140","141","62","10","11","8","8","13","1","62","13","15","140","141","62","6","96","8","8","1198980.0"
"163","80","1","143","80","80","142","83","143","6","116","8","8","80","12","143","80","80","142","83","143","6","116","8","8","127","1","54","127","22","142","83","54","6","116","8","8","127","12","54","127","22","142","83","54","6","116","8","8","21","1","54","21","22","142","83","54","6","4","8","8","21","12","54","21","22","142","83","54","6","4","8","8","21","1","54","21","22","142","83","54","6","102","8","8","6238380.0"
"17","113","1","24","113","139","59","83","24","10","8","8","8","113","12","24","113","139","59","83","24","10","8","8","8","113","1","24","113","139","59","83","24","10","8","8","8","113","12","24","113","139","59","83","24","10","8","8","8","113","1","24","113","139","59","83","24","34","8","8","8","113","12","24","113","139","59","83","24","34","8","8","8","113","1","24","113","139","59","83","24","6","8","8","8","2737560.0"
"174","63","1","29","63","64","71","27","29","10","8","8","8","63","12","29","63","64","71","27","29","10","8","8","8","63","1","53","63","64","71","27","53","10","11","8","8","46","1","54","46","22","71","27","54","10","8","8","8","63","12","53","63","64","71","27","53","10","11","8","8","63","1","53","63","64","71","27","53","6","28","8","8","46","12","54","46","22","71","27","54","10","8","8","8","942000.0"
"177","148","1","48","148","149","147","5","48","6","28","8","8","148","12","48","148","149","147","5","48","6","28","8","8","144","1","150","144","146","147","5","150","10","8","8","8","144","12","150","144","146","147","5","150","10","8","8","8","144","1","150","144","146","147","5","150","6","57","8","8","144","12","150","144","146","147","5","150","6","57","8","8","144","1","145","144","146","147","5","145","6","79","8","8","7031760.0"
"178","131","1","153","131","132","152","5","153","6","118","8","8","131","12","153","131","132","152","5","153","6","118","8","8","144","1","145","144","146","152","5","145","10","8","8","8","144","12","145","144","146","152","5","145","10","8","8","8","151","1","89","151","87","152","5","89","6","8","8","8","151","12","89","151","87","152","5","89","6","8","8","8","151","1","89","151","87","152","5","89","6","8","8","8","5072820.0"
"179","151","1","89","151","87","142","5","89","6","8","8","8","151","12","89","151","87","142","5","89","6","8","8","8","127","1","67","127","22","142","5","67","6","4","8","8","127","12","67","127","22","142","5","67","6","4","8","8","80","1","81","80","80","142","5","81","6","4","8","8","80","12","81","80","80","142","5","81","6","4","8","8","154","1","85","154","155","142","5","85","6","8","8","8","248100.0"
"18","39","1","9","39","41","156","5","9","10","57","8","8","39","12","9","39","41","156","5","9","10","57","8","8","39","1","9","39","41","156","5","9","6","7","8","8","39","12","9","39","41","156","5","9","6","7","8","8","39","1","40","39","41","156","5","40","34","8","8","8","39","12","40","39","41","156","5","40","34","8","8","8","39","1","9","39","41","156","5","9","10","8","8","8","6178560.0"
"182","46","1","20","46","22","157","27","20","6","8","8","8","46","12","20","46","22","157","27","20","6","8","8","8","154","1","85","154","155","157","27","85","6","8","8","8","154","12","85","154","155","157","27","85","6","8","8","8","127","1","20","127","22","157","27","20","6","95","11","8","127","12","20","127","22","157","27","20","6","95","11","8","46","1","20","46","22","157","27","20","6","8","66","8","1816560.0"
"185","60","1","14","60","61","18","5","14","6","57","8","8","60","12","14","60","61","18","5","14","6","57","8","8","151","1","85","151","87","18","5","85","6","8","8","8","151","12","85","151","87","18","5","85","6","8","8","8","80","1","81","80","80","18","5","81","6","95","8","8","80","1","81","80","80","18","5","81","6","8","8","8","80","12","81","80","80","18","5","81","6","95","8","8","7371600.0"
"187","148","1","112","148","149","158","5","112","6","8","8","8","148","12","112","148","149","158","5","112","6","8","8","8","131","1","150","131","132","158","5","150","10","8","8","8","131","12","150","131","132","158","5","150","10","8","8","8","131","1","145","131","132","158","5","145","10","57","8","8","131","12","145","131","132","158","5","145","10","57","8","8","131","1","153","131","132","158","5","153","6","42","8","8","4079400.0"
"188","47","1","48","47","49","159","160","48","6","161","8","8","148","1","112","148","149","159","160","112","6","8","8","8","148","12","112","148","149","159","160","112","6","8","8","8","148","1","112","148","149","159","160","112","6","8","8","8","47","12","48","47","49","159","160","48","6","161","8","8","148","12","112","148","149","159","160","112","6","8","8","8","148","1","48","148","149","159","160","48","6","161","8","8","3106980.0"
"189","46","1","67","46","22","7","162","67","6","8","11","8","46","12","67","46","22","7","162","67","6","8","11","8","46","1","67","46","22","7","162","67","6","8","11","8","46","12","67","46","22","7","162","67","6","8","11","8","46","1","67","46","22","7","162","67","6","8","11","8","46","12","67","46","22","7","162","67","6","8","11","8","127","1","67","127","22","7","162","67","6","8","8","8","151200.0"
"19","39","1","2","39","41","42","5","2","10","11","8","8","39","12","2","39","41","42","5","2","10","11","8","8","46","1","67","46","22","42","5","67","10","8","8","8","46","12","67","46","22","42","5","67","10","8","8","8","0","1","9","0","3","42","5","9","6","100","8","8","0","12","9","0","3","42","5","9","6","100","8","8","46","1","67","46","22","42","5","67","6","42","8","8","1972920.0"
"190","80","1","81","80","80","111","163","81","6","28","8","8","80","12","81","80","80","111","163","81","6","28","8","8","127","1","45","127","22","111","163","45","6","28","8","8","127","12","45","127","22","111","163","45","6","28","8","8","46","1","45","46","22","111","163","45","6","8","8","8","46","12","45","46","22","111","163","45","6","8","8","8","127","1","45","127","22","111","163","45","6","8","8","8","126600.0"
"192","122","1","121","122","123","158","117","121","6","8","8","8","122","12","121","122","123","158","117","121","6","8","8","8","46","1","54","46","22","158","117","54","6","8","8","8","46","12","54","46","22","158","117","54","6","8","8","8","13","1","14","13","15","158","117","14","10","11","8","8","13","12","14","13","15","158","117","14","10","11","8","8","46","1","54","46","22","158","117","54","6","8","8","8","1580340.0"
"194","60","1","14","60","61","91","164","14","10","8","8","8","60","12","14","60","61","91","164","14","10","8","8","8","60","1","14","60","61","91","164","14","10","8","8","8","46","1","54","46","22","91","164","54","10","8","8","8","60","12","14","60","61","91","164","14","10","8","8","8","46","12","54","46","22","91","164","54","10","8","8","8","60","1","14","60","61","91","164","14","10","66","8","8","2224500.0"
"195","46","1","54","46","22","99","165","54","6","99","8","8","46","12","54","46","22","99","165","54","6","99","8","8","129","1","112","129","130","99","165","112","6","8","8","8","129","12","112","129","130","99","165","112","6","8","8","8","148","1","48","148","149","99","165","48","6","91","8","8","148","12","48","148","149","99","165","48","6","91","8","8","148","1","48","148","149","99","165","48","6","91","8","8","868920.0"
"196","46","1","67","46","22","91","5","67","6","8","8","8","46","12","67","46","22","91","5","67","6","8","8","8","151","1","85","151","87","91","5","85","6","8","8","8","151","12","85","151","87","91","5","85","6","8","8","8","127","1","45","127","22","91","5","45","6","66","11","8","127","12","45","127","22","91","5","45","6","66","11","8","80","1","81","80","80","91","5","81","6","66","8","8","3600.0"
"198","39","1","40","39","41","59","5","40","10","8","8","8","39","12","40","39","41","59","5","40","10","8","8","8","39","1","29","39","41","59","5","29","10","11","8","8","39","12","29","39","41","59","5","29","10","11","8","8","39","1","29","39","41","59","5","29","6","135","8","8","39","12","29","39","41","59","5","29","6","135","8","8","46","1","54","46","22","59","5","54","6","8","11","8","6071940.0"
"199","148","1","112","148","149","166","5","112","6","8","8","8","148","12","112","148","149","166","5","112","6","8","8","8","148","1","48","148","149","166","5","48","6","167","8","8","148","1","112","148","149","166","5","112","6","8","8","8","148","12","112","148","149","166","5","112","6","8","8","8","148","1","112","148","149","166","5","112","6","8","8","8","148","12","48","148","149","166","5","48","6","167","8","8","7500000.0"
"20","0","1","2","0","3","168","169","2","10","11","8","8","0","12","2","0","3","168","169","2","10","11","8","8","46","1","20","46","22","168","169","20","6","8","8","8","0","1","2","0","3","168","169","2","6","7","8","8","0","12","2","0","3","168","169","2","6","7","8","8","46","12","20","46","22","168","169","20","6","8","8","8","0","1","53","0","3","168","169","53","6","76","8","8","3210360.0"
"200","170","1","98","170","61","55","5","98","6","11","8","8","170","12","98","170","61","55","5","98","6","11","8","8","151","1","89","151","87","55","5","89","6","8","8","8","151","12","89","151","87","55","5","89","6","8","8","8","127","1","45","127","22","55","5","45","6","11","8","8","127","12","45","127","22","55","5","45","6","11","8","8","127","1","45","127","22","55","5","45","6","8","11","8","1529700.0"
"201","134","1","45","134","22","76","171","45","6","43","8","8","46","1","45","46","22","76","171","45","6","43","8","8","134","12","45","134","22","76","171","45","6","43","8","8","46","12","45","46","22","76","171","45","6","43","8","8","113","1","24","113","139","76","171","24","6","8","8","8","113","12","24","113","139","76","171","24","6","8","8","8","113","1","24","113","139","76","171","24","10","11","8","8","4028580.0"
"203","46","1","20","46","22","95","172","20","6","95","8","8","46","12","20","46","22","95","172","20","6","95","8","8","47","1","48","47","49","95","172","48","6","95","8","8","47","12","48","47","49","95","172","48","6","95","8","8","148","1","112","148","149","95","172","112","6","8","8","8","148","12","112","148","149","95","172","112","6","8","8","8","129","1","48","129","130","95","172","48","6","95","8","8","156660.0"
"205","86","1","89","86","87","88","173","89","10","8","8","8","86","12","89","86","87","88","173","89","10","8","8","8","86","1","89","86","87","88","173","89","6","8","8","8","86","12","89","86","87","88","173","89","6","8","8","8","127","1","20","127","22","88","173","20","6","57","8","8","127","12","20","127","22","88","173","20","6","57","8","8","80","1","81","80","80","88","173","81","6","57","8","8","3600.0"
