"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","concept:name_10","lifecycle:transition_10","org:resource_10","Activity_10","Resource_10","Work_Order_Qty_10","Part_Desc__10","Worker_ID_10","Report_Type_10","Qty_Completed_10","Qty_Rejected_10","Qty_for_MRB_10","concept:name_11","lifecycle:transition_11","org:resource_11","Activity_11","Resource_11","Work_Order_Qty_11","Part_Desc__11","Worker_ID_11","Report_Type_11","Qty_Completed_11","Qty_Rejected_11","Qty_for_MRB_11","concept:name_12","lifecycle:transition_12","org:resource_12","Activity_12","Resource_12","Work_Order_Qty_12","Part_Desc__12","Worker_ID_12","Report_Type_12","Qty_Completed_12","Qty_Rejected_12","Qty_for_MRB_12","remainingTime"
"11","72","11","28","72","73","74","24","28","13","8","8","8","72","1","28","72","73","74","24","28","13","8","8","8","72","11","75","72","73","74","24","75","6","14","8","8","18","11","47","18","19","74","24","47","6","8","8","8","72","1","75","72","73","74","24","75","6","14","8","8","72","11","75","72","73","74","24","75","6","29","8","8","18","1","47","18","19","74","24","47","6","8","8","8","72","1","75","72","73","74","24","75","6","29","8","8","72","11","28","72","73","74","24","28","6","32","8","8","72","1","28","72","73","74","24","28","6","32","8","8","72","11","9","72","73","74","24","9","6","55","8","8","72","1","9","72","73","74","24","9","6","55","8","8","718440.0"
"110","76","11","30","76","77","78","33","30","13","14","8","8","76","1","30","76","77","78","33","30","13","14","8","8","76","11","38","76","77","78","33","38","13","43","8","8","18","11","17","18","19","78","33","17","6","8","8","8","18","1","17","18","19","78","33","17","6","8","8","8","76","1","38","76","77","78","33","38","13","43","8","8","76","11","38","76","77","78","33","38","6","4","8","8","76","1","38","76","77","78","33","38","6","4","8","8","76","11","30","76","77","78","33","30","6","79","8","8","76","1","30","76","77","78","33","30","6","79","8","8","76","11","15","76","77","78","33","15","6","50","8","8","76","1","15","76","77","78","33","15","6","50","8","8","2410860.0"
"111","80","11","9","80","12","81","5","9","13","14","8","8","80","1","9","80","12","81","5","9","13","14","8","8","80","11","9","80","12","81","5","9","6","82","8","8","80","1","9","80","12","81","5","9","6","82","8","8","80","11","15","80","12","81","5","15","6","83","8","8","80","1","15","80","12","81","5","15","6","83","8","8","80","11","56","80","12","81","5","56","6","84","8","8","80","1","56","80","12","81","5","56","6","84","8","8","80","11","9","80","12","81","5","9","6","74","8","8","80","1","9","80","12","81","5","9","6","74","8","8","80","11","15","80","12","81","5","15","6","41","8","8","80","1","15","80","12","81","5","15","6","41","8","8","1195020.0"
"112","20","11","75","20","22","85","33","75","13","8","8","8","20","1","75","20","22","85","33","75","13","8","8","8","20","11","21","20","22","85","33","21","13","14","8","8","20","1","21","20","22","85","33","21","13","14","8","8","20","11","28","20","22","85","33","28","13","43","8","8","20","1","28","20","22","85","33","28","13","43","8","8","18","11","47","18","19","85","33","47","6","8","43","8","20","11","21","20","22","85","33","21","45","8","8","8","18","1","47","18","19","85","33","47","6","8","43","8","20","1","21","20","22","85","33","21","45","8","8","8","20","11","21","20","22","85","33","21","13","43","8","8","20","1","21","20","22","85","33","21","13","43","8","8","1282380.0"
"114","76","11","30","76","77","86","33","30","13","14","8","8","76","1","30","76","77","86","33","30","13","14","8","8","18","11","26","18","19","86","33","26","6","8","8","8","76","11","51","76","77","86","33","51","13","8","8","8","76","1","51","76","77","86","33","51","13","8","8","8","18","1","26","18","19","86","33","26","6","8","8","8","76","11","30","76","77","86","33","30","6","55","8","8","76","1","30","76","77","86","33","30","6","55","8","8","18","11","26","18","19","86","33","26","6","55","8","8","18","1","26","18","19","86","33","26","6","55","8","8","18","11","26","18","19","86","33","26","6","8","14","8","18","1","26","18","19","86","33","26","6","8","14","8","138180.0"
"115","10","11","9","10","12","87","33","9","13","8","8","8","10","1","9","10","12","87","33","9","13","8","8","8","10","11","38","10","12","87","33","38","6","66","8","8","10","1","38","10","12","87","33","38","6","66","8","8","10","11","9","10","12","87","33","9","6","88","8","8","10","1","9","10","12","87","33","9","6","88","8","8","10","11","9","10","12","87","33","9","13","8","8","8","10","1","9","10","12","87","33","9","13","8","8","8","10","11","9","10","12","87","33","9","6","89","8","8","18","11","47","18","19","87","33","47","6","8","8","8","18","1","47","18","19","87","33","47","6","8","8","8","18","11","47","18","19","87","33","47","6","87","8","8","1688400.0"
"116","90","11","91","90","92","93","94","91","13","8","8","8","90","1","91","90","92","93","94","91","13","8","8","8","90","11","91","90","92","93","94","91","6","95","8","8","90","1","91","90","92","93","94","91","6","95","8","8","90","11","96","90","92","93","94","96","6","41","8","8","90","1","96","90","92","93","94","96","6","41","8","8","98","11","97","98","98","93","94","97","6","99","8","8","98","1","97","98","98","93","94","97","6","99","8","8","90","11","91","90","92","93","94","91","6","68","8","8","59","11","17","59","19","93","94","17","6","99","8","8","59","1","17","59","19","93","94","17","6","99","8","8","90","1","91","90","92","93","94","91","6","68","8","8","514500.0"
"119","72","11","28","72","73","100","101","28","13","8","8","8","72","1","28","72","73","100","101","28","13","8","8","8","72","11","28","72","73","100","101","28","13","8","8","8","72","1","28","72","73","100","101","28","13","8","8","8","72","11","28","72","73","100","101","28","13","14","8","8","72","1","28","72","73","100","101","28","13","14","8","8","72","11","75","72","73","100","101","75","6","68","8","8","72","1","75","72","73","100","101","75","6","68","8","8","72","11","28","72","73","100","101","28","6","37","8","8","72","1","28","72","73","100","101","28","6","37","8","8","72","11","28","72","73","100","101","28","6","102","8","8","72","1","28","72","73","100","101","28","6","102","8","8","256680.0"
"12","103","11","75","103","22","104","24","75","13","8","8","8","103","1","75","103","22","104","24","75","13","8","8","8","103","11","28","103","22","104","24","28","13","14","8","8","103","1","28","103","22","104","24","28","13","14","8","8","27","11","26","27","19","104","24","26","6","8","8","8","27","1","26","27","19","104","24","26","6","8","8","8","103","11","28","103","22","104","24","28","6","37","8","8","103","1","28","103","22","104","24","28","6","37","8","8","103","11","75","103","22","104","24","75","6","50","8","8","103","1","75","103","22","104","24","75","6","50","8","8","103","11","21","103","22","104","24","21","6","64","8","8","103","1","21","103","22","104","24","21","6","64","8","8","1771740.0"
"120","53","11","38","53","54","107","5","38","13","25","8","8","53","1","38","53","54","107","5","38","13","25","8","8","53","11","56","53","54","107","5","56","13","14","8","8","53","1","56","53","54","107","5","56","13","14","8","8","53","11","30","53","54","107","5","30","45","8","8","8","53","1","30","53","54","107","5","30","45","8","8","8","18","11","58","18","19","107","5","58","6","25","14","8","18","1","58","18","19","107","5","58","6","25","14","8","0","11","2","0","3","107","5","2","6","25","8","8","0","1","2","0","3","107","5","2","6","25","8","8","105","11","2","105","106","107","5","2","6","25","8","8","105","1","2","105","106","107","5","2","6","25","8","8","144000.0"
"121","53","11","38","53","54","88","108","38","13","14","8","8","53","1","38","53","54","88","108","38","13","14","8","8","53","11","38","53","54","88","108","38","6","39","8","8","27","11","109","27","19","88","108","109","6","88","8","8","27","1","109","27","19","88","108","109","6","88","8","8","53","1","38","53","54","88","108","38","6","39","8","8","53","11","56","53","54","88","108","56","13","8","8","8","27","11","58","27","19","88","108","58","6","39","8","8","27","1","58","27","19","88","108","58","6","39","8","8","53","1","56","53","54","88","108","56","13","8","8","8","10","11","38","10","12","88","108","38","13","8","8","8","10","11","40","10","12","88","108","40","13","8","8","8","1215840.0"
"122","53","11","56","53","54","88","108","56","13","14","8","8","53","1","56","53","54","88","108","56","13","14","8","8","53","11","56","53","54","88","108","56","6","39","8","8","53","1","56","53","54","88","108","56","6","39","8","8","53","11","56","53","54","88","108","56","13","14","8","8","53","1","56","53","54","88","108","56","13","14","8","8","53","11","56","53","54","88","108","56","6","39","8","8","18","11","17","18","19","88","108","17","6","8","8","8","18","1","17","18","19","88","108","17","6","8","8","8","53","1","56","53","54","88","108","56","6","39","8","8","18","11","58","18","19","88","108","58","6","88","8","8","18","1","58","18","19","88","108","58","6","88","8","8","1786860.0"
"123","10","11","56","10","12","110","5","56","13","8","8","8","10","1","56","10","12","110","5","56","13","8","8","8","10","11","9","10","12","110","5","9","13","8","8","8","10","1","9","10","12","110","5","9","13","8","8","8","10","11","9","10","12","110","5","9","6","111","8","8","10","1","9","10","12","110","5","9","6","111","8","8","10","11","15","10","12","110","5","15","6","8","8","8","10","1","15","10","12","110","5","15","6","8","8","8","10","11","15","10","12","110","5","15","6","84","8","8","10","1","15","10","12","110","5","15","6","84","8","8","10","11","9","10","12","110","5","9","13","14","8","8","10","1","9","10","12","110","5","9","13","14","8","8","224760.0"
"124","10","11","9","10","12","88","33","9","13","14","8","8","10","1","9","10","12","88","33","9","13","14","8","8","10","11","9","10","12","88","33","9","6","68","8","8","10","1","9","10","12","88","33","9","6","68","8","8","10","11","56","10","12","88","33","56","6","8","8","8","10","1","56","10","12","88","33","56","6","8","8","8","10","11","15","10","12","88","33","15","6","7","8","8","10","1","15","10","12","88","33","15","6","7","8","8","18","11","47","18","19","88","33","47","6","88","8","8","18","1","47","18","19","88","33","47","6","88","8","8","0","11","2","0","3","88","33","2","6","88","8","8","0","1","2","0","3","88","33","2","6","88","8","8","376800.0"
"126","10","11","56","10","12","4","42","56","13","8","8","8","10","1","56","10","12","4","42","56","13","8","8","8","10","11","15","10","12","4","42","15","13","68","8","8","10","1","15","10","12","4","42","15","13","68","8","8","10","11","9","10","12","4","42","9","13","8","8","8","18","11","47","18","19","4","42","47","6","8","14","8","10","1","9","10","12","4","42","9","13","8","8","8","10","11","9","10","12","4","42","9","6","16","8","8","18","1","47","18","19","4","42","47","6","8","14","8","10","1","9","10","12","4","42","9","6","16","8","8","18","11","47","18","19","4","42","47","6","7","8","8","18","1","47","18","19","4","42","47","6","7","8","8","457620.0"
"127","76","11","30","76","77","112","33","30","13","68","8","8","76","1","30","76","77","112","33","30","13","68","8","8","76","11","30","76","77","112","33","30","6","25","8","8","76","1","30","76","77","112","33","30","6","25","8","8","76","11","15","76","77","112","33","15","6","39","8","8","76","1","15","76","77","112","33","15","6","39","8","8","76","11","38","76","77","112","33","38","6","113","8","8","76","1","38","76","77","112","33","38","6","113","8","8","18","11","26","18","19","112","33","26","6","8","8","8","18","1","26","18","19","112","33","26","6","8","8","8","76","11","30","76","77","112","33","30","6","66","8","8","76","1","30","76","77","112","33","30","6","66","8","8","1264620.0"
"129","35","11","34","35","36","43","114","34","13","8","8","8","18","11","47","18","19","43","114","47","13","8","8","8","18","1","47","18","19","43","114","47","13","8","8","8","35","1","34","35","36","43","114","34","13","8","8","8","35","11","34","35","36","43","114","34","13","14","8","8","35","1","34","35","36","43","114","34","13","14","8","8","35","11","40","35","36","43","114","40","6","68","8","8","35","1","40","35","36","43","114","40","6","68","8","8","18","11","47","18","19","43","114","47","6","43","8","8","18","1","47","18","19","43","114","47","6","43","8","8","105","11","2","105","106","43","114","2","6","43","8","8","105","1","2","105","106","43","114","2","6","43","8","8","940320.0"
"13","103","11","21","103","22","86","24","21","13","8","8","8","103","1","21","103","22","86","24","21","13","8","8","8","103","11","21","103","22","86","24","21","6","68","8","8","103","1","21","103","22","86","24","21","6","68","8","8","103","11","28","103","22","86","24","28","6","32","8","8","103","1","28","103","22","86","24","28","6","32","8","8","98","11","97","98","98","86","24","97","6","86","8","8","98","1","97","98","98","86","24","97","6","86","8","8","27","11","26","27","19","86","24","26","6","86","8","8","27","1","26","27","19","86","24","26","6","86","8","8","0","11","96","0","3","86","24","96","6","86","8","8","0","1","96","0","3","86","24","96","6","86","8","8","11820.0"
"135","53","11","38","53","54","78","42","38","13","14","8","8","53","1","38","53","54","78","42","38","13","14","8","8","53","11","56","53","54","78","42","56","13","8","8","8","53","11","51","53","54","78","42","51","13","8","8","8","53","1","51","53","54","78","42","51","13","8","8","8","53","1","56","53","54","78","42","56","13","8","8","8","53","11","38","53","54","78","42","38","13","8","8","8","53","1","38","53","54","78","42","38","13","8","8","8","53","11","38","53","54","78","42","38","13","8","8","8","53","1","38","53","54","78","42","38","13","8","8","8","53","11","38","53","54","78","42","38","6","50","8","8","53","1","38","53","54","78","42","38","6","50","8","8","622560.0"
"138","10","11","15","10","12","100","5","15","13","8","8","8","10","1","15","10","12","100","5","15","13","8","8","8","10","11","9","10","12","100","5","9","13","14","8","8","10","1","9","10","12","100","5","9","13","14","8","8","10","11","9","10","12","100","5","9","6","71","8","8","10","1","9","10","12","100","5","9","6","71","8","8","10","11","15","10","12","100","5","15","6","32","8","8","10","1","15","10","12","100","5","15","6","32","8","8","53","11","56","53","54","100","5","56","6","107","8","8","53","1","56","53","54","100","5","56","6","107","8","8","18","11","17","18","19","100","5","17","6","8","14","8","18","1","17","18","19","100","5","17","6","8","14","8","15180.0"
"140","53","11","56","53","54","107","5","56","13","68","8","8","53","1","56","53","54","107","5","56","13","68","8","8","53","11","15","53","54","107","5","15","6","43","8","8","53","1","15","53","54","107","5","15","6","43","8","8","18","11","58","18","19","107","5","58","6","43","68","8","18","1","58","18","19","107","5","58","6","43","68","8","0","11","61","0","3","107","5","61","6","43","8","8","0","1","61","0","3","107","5","61","6","43","8","8","105","11","2","105","106","107","5","2","6","43","8","8","105","1","2","105","106","107","5","2","6","43","8","8","115","11","116","115","117","107","5","116","13","14","8","8","115","1","116","115","117","107","5","116","13","14","8","8","233340.0"
"145","120","11","34","120","36","118","119","34","13","68","8","8","120","1","34","120","36","118","119","34","13","68","8","8","120","11","40","120","36","118","119","40","6","41","8","8","120","1","40","120","36","118","119","40","6","41","8","8","120","11","34","120","36","118","119","34","6","8","8","8","120","1","34","120","36","118","119","34","6","8","8","8","120","11","34","120","36","118","119","34","6","102","8","8","120","1","34","120","36","118","119","34","6","102","8","8","27","11","26","27","19","118","119","26","6","118","8","8","27","1","26","27","19","118","119","26","6","118","8","8","62","11","2","62","63","118","119","2","6","118","8","8","62","1","2","62","63","118","119","2","6","118","8","8","1693740.0"
"147","120","11","34","120","36","121","122","34","13","14","8","8","120","1","34","120","36","121","122","34","13","14","8","8","120","11","40","120","36","121","122","40","13","8","8","8","120","1","40","120","36","121","122","40","13","8","8","8","120","11","40","120","36","121","122","40","6","89","8","8","120","1","40","120","36","121","122","40","6","89","8","8","120","11","34","120","36","121","122","34","6","70","8","8","98","11","97","98","98","121","122","97","6","123","8","8","98","1","97","98","98","121","122","97","6","123","8","8","120","1","34","120","36","121","122","34","6","70","8","8","27","11","47","27","19","121","122","47","6","123","8","8","27","1","47","27","19","121","122","47","6","123","8","8","21780.0"
"148","126","11","125","126","127","124","122","125","6","8","8","8","126","1","125","126","127","124","122","125","6","8","8","8","129","11","128","129","130","124","122","128","6","14","8","8","129","1","128","129","130","124","122","128","6","14","8","8","59","11","47","59","19","124","122","47","6","14","8","8","131","11","47","131","19","124","122","47","6","14","8","8","98","11","132","98","98","124","122","132","6","14","8","8","98","1","132","98","98","124","122","132","6","14","8","8","59","1","47","59","19","124","122","47","6","14","8","8","131","1","47","131","19","124","122","47","6","14","8","8","133","11","47","133","134","124","122","47","6","14","8","8","59","11","47","59","19","124","122","47","6","8","8","8","4440.0"
"155","120","11","40","120","136","135","33","40","13","8","8","8","120","1","40","120","136","135","33","40","13","8","8","8","35","11","40","35","36","135","33","40","6","8","8","8","35","1","40","35","36","135","33","40","6","8","8","8","35","11","40","35","36","135","33","40","6","57","8","8","35","1","40","35","36","135","33","40","6","57","8","8","35","11","40","35","36","135","33","40","6","118","8","8","18","11","26","18","19","135","33","26","6","8","8","8","18","1","26","18","19","135","33","26","6","8","8","8","35","1","40","35","36","135","33","40","6","118","8","8","18","11","26","18","19","135","33","26","6","135","8","8","18","1","26","18","19","135","33","26","6","135","8","8","374400.0"
"156","20","11","75","20","22","137","138","75","13","8","8","8","20","1","75","20","22","137","138","75","13","8","8","8","20","11","75","20","22","137","138","75","6","100","8","8","20","1","75","20","22","137","138","75","6","100","8","8","20","11","75","20","22","137","138","75","13","14","8","8","20","1","75","20","22","137","138","75","13","14","8","8","20","11","75","20","22","137","138","75","6","25","8","8","20","1","75","20","22","137","138","75","6","25","8","8","20","11","75","20","22","137","138","75","6","8","8","8","20","1","75","20","22","137","138","75","6","8","8","8","18","11","26","18","19","137","138","26","6","8","8","8","18","1","26","18","19","137","138","26","6","8","8","8","1093920.0"
"163","98","11","140","98","98","139","94","140","6","121","8","8","98","1","140","98","98","139","94","140","6","121","8","8","59","11","47","59","19","139","94","47","6","121","8","8","59","1","47","59","19","139","94","47","6","121","8","8","27","11","47","27","19","139","94","47","6","4","8","8","27","1","47","27","19","139","94","47","6","4","8","8","27","11","47","27","19","139","94","47","6","102","8","8","27","1","47","27","19","139","94","47","6","102","8","8","120","11","21","120","136","139","94","21","45","8","8","8","120","1","21","120","136","139","94","21","45","8","8","8","59","11","47","59","19","139","94","47","6","8","14","8","59","11","47","59","19","139","94","47","6","68","8","8","5065440.0"
"17","120","11","34","120","136","74","94","34","13","8","8","8","120","1","34","120","136","74","94","34","13","8","8","8","120","11","34","120","136","74","94","34","13","8","8","8","120","1","34","120","136","74","94","34","13","8","8","8","120","11","34","120","136","74","94","34","45","8","8","8","120","1","34","120","136","74","94","34","45","8","8","8","120","11","34","120","136","74","94","34","6","8","8","8","120","11","141","120","136","74","94","141","6","86","8","8","120","1","34","120","136","74","94","34","6","8","8","8","120","11","34","120","136","74","94","34","6","107","8","8","120","1","34","120","136","74","94","34","6","107","8","8","120","1","141","120","136","74","94","141","6","86","8","8","2709300.0"
