"Id","Event_1","Event_2","Event_3","Event_4","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"227","76","76","44","44","95","1","44","95","13","4","163","44","6","4","8","8","0.0"
"228","31","31","31","31","19","1","31","19","21","4","23","31","10","8","8","8","480600.0"
"229","31","44","44","31","19","1","31","19","21","30","23","31","10","8","8","8","630000.0"
"23","78","78","41","41","184","1","41","184","36","162","87","41","6","162","8","8","3151620.0"
"230","46","46","46","46","57","1","46","57","58","185","15","46","10","8","8","8","4696200.0"
"231","132","132","135","135","128","1","135","128","130","67","5","135","10","7","8","8","668640.0"
"232","96","78","96","139","113","9","139","113","114","83","5","139","6","84","8","8","1313940.0"
"233","54","16","54","16","186","1","16","186","18","30","23","16","10","49","8","8","989340.0"
"234","44","44","44","44","11","1","44","11","13","102","187","44","6","188","7","8","4870260.0"
"235","55","55","55","51","52","9","51","52","53","162","189","51","10","8","8","8","3181920.0"
"236","70","70","70","70","69","1","70","69","71","67","15","70","6","8","8","8","263700.0"
"237","12","12","41","41","0","1","41","0","3","190","191","41","6","138","8","8","5532600.0"
"238","46","46","20","20","0","1","20","0","3","193","48","20","10","8","8","8","3927600.0"
"239","46","46","78","20","57","9","20","57","58","153","23","20","10","49","8","8","1261740.0"
"24","2","2","2","2","35","1","2","35","36","162","87","2","6","86","8","8","3617820.0"
"240","46","46","20","20","57","1","20","57","58","194","40","20","10","7","8","8","1159140.0"
"241","78","78","78","78","57","1","78","57","58","153","23","78","10","8","8","8","863100.0"
"242","46","46","46","46","57","1","46","57","58","79","15","46","6","59","8","8","754800.0"
"243","46","46","20","44","43","9","44","43","13","4","15","44","6","8","8","8","1116420.0"
"244","70","70","70","70","133","1","70","133","134","83","5","70","6","59","8","8","406080.0"
"245","16","16","16","55","43","9","55","43","13","83","5","55","10","8","8","8","2707800.0"
"246","54","54","16","16","17","1","16","17","18","158","195","16","6","26","8","8","523200.0"
"248","16","16","16","16","17","1","16","17","18","30","28","16","6","26","8","8","830280.0"
"249","31","31","31","31","19","1","31","19","21","196","23","31","10","8","8","8","833100.0"
"25","78","78","78","78","35","1","78","35","36","162","87","78","6","173","8","8","3520140.0"
"250","198","198","198","198","197","1","198","197","199","200","201","198","10","8","8","8","630000.0"
"251","78","78","2","2","35","1","2","35","36","83","5","2","10","7","8","8","3895620.0"
"252","46","46","46","12","57","9","12","57","58","86","23","12","6","8","8","8","495600.0"
"253","54","54","54","54","17","1","54","17","18","153","202","54","6","49","8","8","583500.0"
"254","132","132","132","132","111","1","132","111","112","203","15","132","6","50","8","8","325500.0"
"255","31","31","12","12","11","1","12","11","13","79","45","12","6","79","8","8","899220.0"
"256","31","31","2","2","98","1","2","98","123","50","127","2","6","204","8","8","3048960.0"
"257","46","46","2","2","35","1","2","35","36","125","5","2","10","7","8","8","6799920.0"
"258","46","46","46","46","57","1","46","57","58","47","23","46","6","7","8","8","1638600.0"
"259","54","54","54","54","52","1","54","52","53","205","124","54","6","49","8","8","6167100.0"
"26","41","41","46","46","0","1","46","0","3","162","87","46","10","7","8","8","3637440.0"
"260","20","20","20","20","57","1","20","57","58","206","23","20","10","7","8","8","4745040.0"
"261","31","31","31","31","19","1","31","19","21","102","40","31","6","181","8","8","610080.0"
"262","41","41","20","20","57","1","20","57","58","158","15","20","10","8","8","8","220140.0"
"263","25","25","25","25","19","1","25","19","21","22","207","25","10","8","8","8","1666920.0"
"264","66","66","66","20","57","9","20","57","58","208","40","20","6","84","8","8","248460.0"
"265","31","31","31","31","98","1","31","98","123","173","164","31","6","173","8","8","1222500.0"
"266","55","55","78","78","35","1","78","35","36","209","5","78","10","8","8","8","7376760.0"
"267","41","41","46","46","0","1","46","0","3","149","150","46","10","49","8","8","7256760.0"
"268","31","31","31","12","43","9","12","43","13","99","210","12","6","8","8","8","1865820.0"
"269","31","31","31","44","43","9","44","43","13","86","23","44","6","8","8","8","1717860.0"
"27","31","31","31","31","19","1","31","19","21","86","23","31","10","7","8","8","518100.0"
"271","2","2","2","2","35","1","2","35","36","125","5","2","10","8","8","8","6660000.0"
"272","16","16","54","54","17","1","54","17","18","67","15","54","10","7","8","8","1421880.0"
"273","16","16","16","51","17","9","51","17","18","86","15","51","6","142","8","8","1907760.0"
"274","25","25","25","44","43","9","44","43","13","59","15","44","6","8","8","8","150900.0"
"277","198","198","96","96","43","1","96","43","13","59","5","96","6","59","8","8","562440.0"
"28","46","46","46","46","57","1","46","57","58","136","23","46","10","59","8","8","3521700.0"
"29","51","51","54","54","52","1","54","52","53","169","5","54","10","8","8","8","3616980.0"
"3","41","55","41","55","43","1","55","43","13","4","5","55","10","8","8","8","1580340.0"
"30","20","55","55","20","35","1","20","35","36","47","5","20","10","142","8","8","95220.0"
"31","2","2","2","2","0","1","2","0","3","181","5","2","10","7","8","8","3198480.0"
"32","46","46","78","78","35","1","78","35","36","145","28","78","10","8","8","8","2530800.0"
"33","46","46","12","46","57","9","46","57","58","181","23","46","10","7","8","8","1975920.0"
"34","51","51","16","16","52","1","16","52","53","67","28","16","10","7","8","8","2005560.0"
"35","78","78","46","46","35","1","46","35","36","39","5","46","10","8","8","8","2432040.0"
"36","20","20","78","78","35","1","78","35","36","67","5","78","10","7","8","8","1512540.0"
"37","31","54","54","31","19","1","31","19","21","158","23","31","10","7","8","8","1937640.0"
"38","41","41","78","78","35","1","78","35","36","126","5","78","10","7","8","8","4820880.0"
"39","54","54","54","44","43","9","44","43","13","4","15","44","6","8","8","8","457620.0"
"4","2","2","20","96","43","9","96","43","13","39","5","96","6","7","8","8","82560.0"
"40","16","16","54","54","81","1","54","81","18","158","15","54","10","7","8","8","1217940.0"
"41","16","16","16","12","43","9","12","43","13","67","15","12","6","8","8","8","1652460.0"
"42","46","46","46","46","57","1","46","57","58","50","15","46","6","67","8","8","496800.0"
"43","25","25","31","12","43","9","12","43","13","121","23","12","6","8","8","8","387600.0"
"44","51","51","54","54","212","1","54","212","53","213","214","54","10","7","8","8","2151900.0"
"45","46","46","20","20","57","1","20","57","58","39","15","20","10","7","8","8","636540.0"
"46","78","78","20","20","57","1","20","57","58","4","23","20","10","8","8","8","205380.0"
"47","25","25","25","12","43","9","12","43","13","4","23","12","6","8","8","8","1420200.0"
"48","41","41","2","2","0","1","2","0","3","181","5","2","10","49","8","8","3160020.0"
"49","31","55","31","55","43","1","55","43","13","26","23","55","10","8","8","8","1268580.0"
"5","31","31","31","31","19","1","31","19","21","39","40","31","6","142","8","8","0.0"
"50","31","31","31","31","57","1","31","57","58","173","23","31","10","8","8","8","1459620.0"
"52","31","31","25","25","19","1","25","19","21","215","23","25","10","8","8","8","638520.0"
"53","31","31","25","25","19","1","25","19","21","4","216","25","10","8","8","8","890880.0"
"54","78","78","41","41","0","1","41","0","3","30","23","41","10","8","8","8","294240.0"
"55","51","51","54","54","212","1","54","212","53","217","40","54","10","8","8","8","3297180.0"
"56","25","25","31","76","75","9","76","75","75","30","15","76","6","30","8","8","44340.0"
"58","70","70","70","70","69","1","70","69","71","64","33","70","10","8","8","8","904980.0"
"59","46","46","78","78","57","1","78","57","58","4","23","78","6","26","8","8","416040.0"
"6","31","31","31","31","19","1","31","19","21","218","40","31","10","8","8","8","1795140.0"
"60","25","25","132","132","133","1","132","133","134","39","219","132","6","39","8","8","409200.0"
"61","16","16","16","16","17","1","16","17","18","79","155","16","10","7","8","8","3623040.0"
"62","25","25","25","25","19","1","25","19","21","173","23","25","34","8","8","8","2434920.0"
"63","20","20","20","20","0","1","20","0","3","220","5","20","10","8","8","8","4246320.0"
"64","78","78","2","2","35","1","2","35","36","221","5","2","6","222","8","8","256200.0"
"65","16","16","12","12","43","1","12","43","13","56","40","12","6","8","8","8","691260.0"
"66","25","25","25","25","98","1","25","98","21","4","100","25","6","173","8","8","1800000.0"
"67","78","78","78","78","35","1","78","35","36","125","5","78","6","86","8","8","4638360.0"
"68","224","224","223","223","98","1","223","98","21","211","15","223","6","8","8","8","163800.0"
"69","31","31","76","76","75","1","76","75","75","83","23","76","6","83","8","8","35880.0"
"7","41","41","2","2","228","1","2","228","3","142","40","2","10","8","8","8","358200.0"
"70","16","16","16","16","17","1","16","17","18","37","229","16","10","8","8","8","3245640.0"
"71","54","54","54","54","52","1","54","52","53","42","15","54","6","24","8","8","606180.0"
"72","25","25","25","25","19","1","25","19","21","86","15","25","6","86","8","8","671400.0"
"73","2","2","78","78","0","1","78","0","3","47","191","78","10","8","8","8","941040.0"
"74","76","76","44","44","95","1","44","95","13","59","23","44","6","8","8","8","27960.0"
"75","31","31","31","31","19","1","31","19","21","4","23","31","10","8","8","8","1621200.0"
"76","70","70","76","76","75","1","76","75","75","84","23","76","6","84","8","8","33540.0"
"77","54","54","54","54","17","1","54","17","18","79","163","54","10","8","8","8","1787760.0"
"78","78","78","78","78","35","1","78","35","36","231","5","78","6","86","8","8","2552520.0"
"79","44","44","135","135","113","1","135","113","114","232","40","135","6","232","8","8","383040.0"
"80","20","20","20","20","35","1","20","35","36","22","5","20","6","146","8","8","2052480.0"
"81","12","12","12","12","43","1","12","43","13","183","40","12","6","8","8","8","79740.0"
"82","78","78","78","78","35","1","78","35","36","37","5","78","6","8","8","8","1594620.0"
"83","78","78","78","78","35","1","78","35","36","171","28","78","10","7","8","8","425640.0"
"84","25","25","25","25","19","1","25","19","21","39","103","25","6","86","8","8","1092480.0"
"85","46","46","46","46","57","1","46","57","58","74","23","46","6","84","8","8","48840.0"
"86","46","46","66","66","57","1","66","57","58","217","23","66","10","84","8","8","161340.0"
"87","41","41","2","2","0","1","2","0","3","233","234","2","10","7","8","8","3155280.0"
"89","2","2","41","41","35","1","41","35","36","147","235","41","10","8","8","8","317340.0"
"9","54","54","16","16","81","1","16","81","18","67","15","16","10","7","8","8","1841160.0"
"90","46","46","41","41","57","1","41","57","58","147","235","41","10","59","8","8","436620.0"
"91","78","78","41","41","35","1","41","35","36","149","236","41","10","59","8","8","530340.0"
"92","46","46","46","46","57","1","46","57","58","84","23","46","10","7","8","8","1905600.0"
"93","31","31","31","31","98","1","31","98","21","86","152","31","6","211","8","8","3770640.0"
"95","20","20","2","2","0","1","2","0","3","237","150","2","10","49","8","8","2659380.0"
"96","44","44","44","44","43","1","44","43","13","147","23","44","6","147","8","8","140340.0"
"97","44","44","137","137","113","1","137","113","114","50","23","137","6","238","8","8","924420.0"
"98","44","44","66","66","113","1","66","113","114","239","23","66","6","204","8","8","64800.0"
"99","12","12","12","12","43","1","12","43","13","241","124","12","6","8","8","8","567300.0"
