"Id","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"134","28","1","29","28","30","87","88","29","5","90","7","7","0.0"
"135","91","1","51","91","92","49","17","51","5","31","7","7","0.0"
"136","46","1","12","46","13","93","15","12","5","7","7","7","0.0"
"137","46","1","94","46","13","31","17","94","5","7","7","7","0.0"
"138","24","1","95","24","26","66","4","95","5","96","7","7","0.0"
"139","97","1","64","97","13","98","4","64","5","99","7","7","0.0"
"140","11","1","64","11","13","62","4","64","5","48","7","7","0.0"
"141","28","1","79","28","30","100","101","79","38","7","7","7","0.0"
"142","46","1","40","46","13","14","15","40","5","14","7","7","0.0"
"144","11","1","64","11","13","39","4","64","5","39","7","7","0.0"
"145","11","1","12","11","13","102","103","12","5","102","7","7","0.0"
"146","11","1","40","11","13","104","15","40","5","104","7","7","0.0"
"147","11","1","40","11","13","105","101","40","5","106","7","7","0.0"
"148","107","1","40","107","108","109","101","40","5","39","7","7","0.0"
"150","11","1","12","11","13","14","15","12","5","7","7","7","0.0"
"153","0","1","2","0","0","110","17","2","5","70","7","7","0.0"
"154","0","1","2","0","0","16","15","2","5","111","7","7","0.0"
"155","0","1","2","0","0","81","15","2","5","81","7","7","0.0"
"156","0","1","2","0","0","93","112","2","5","45","7","7","0.0"
"157","113","1","114","113","115","42","4","114","5","7","70","7","0.0"
"163","11","1","40","11","13","116","60","40","5","7","39","7","0.0"
"17","117","1","118","117","119","47","60","118","5","19","7","7","0.0"
"174","11","1","40","11","13","120","15","40","5","121","7","7","0.0"
"175","97","1","40","97","13","122","123","40","5","7","39","7","0.0"
"177","113","1","94","113","115","124","4","94","5","7","39","7","0.0"
"178","24","1","114","24","26","10","4","114","5","125","7","7","0.0"
"179","11","1","94","11","13","116","4","94","5","126","39","7","0.0"
"18","11","1","94","11","13","127","4","94","5","31","7","7","0.0"
"182","11","1","12","11","13","128","15","12","5","126","7","7","0.0"
"185","11","1","40","11","13","18","4","40","5","129","7","7","0.0"
"187","24","1","55","24","26","130","4","55","5","7","70","7","0.0"
"188","11","1","12","11","13","131","132","12","5","133","7","7","0.0"
"189","0","1","2","0","0","134","135","2","5","39","7","7","0.0"
"19","11","1","64","11","13","27","4","64","5","136","7","7","0.0"
"190","46","1","64","46","13","121","137","64","5","7","7","7","0.0"
"192","11","1","40","11","13","130","101","40","5","138","7","7","0.0"
"194","0","1","2","0","0","66","139","2","5","27","7","7","0.0"
"195","11","1","40","11","13","76","140","40","5","76","7","7","0.0"
"196","0","1","2","0","0","66","4","2","5","48","7","7","0.0"
"198","24","1","95","24","26","47","4","95","5","70","7","7","0.0"
"199","11","1","94","11","13","141","4","94","5","7","126","7","0.0"
"20","0","1","2","0","0","142","143","2","5","144","7","7","0.0"
"200","71","1","145","71","73","23","4","145","5","39","7","7","0.0"
"201","46","1","114","46","13","37","65","114","5","48","7","7","0.0"
"203","11","1","12","11","13","62","146","12","5","62","7","7","0.0"
"205","0","1","2","0","0","111","147","2","5","126","7","7","0.0"
"206","0","1","2","0","0","104","148","2","5","3","7","7","0.0"
"207","0","1","2","0","0","149","150","2","5","151","7","7","0.0"
"208","11","1","64","11","13","152","4","64","5","3","7","7","0.0"
"209","0","1","2","0","0","153","15","2","5","87","7","7","0.0"
"21","0","1","2","0","0","124","143","2","5","154","7","7","0.0"
"210","0","1","2","0","0","155","9","2","5","138","7","7","0.0"
"211","0","1","2","0","0","83","9","2","5","156","7","7","0.0"
"212","11","1","12","11","13","157","15","12","5","158","39","7","0.0"
"214","0","1","2","0","0","116","15","2","5","159","7","7","0.0"
"215","11","1","12","11","13","160","15","12","5","160","7","7","0.0"
"218","11","1","40","11","13","161","150","40","5","159","7","7","0.0"
"219","0","1","2","0","0","162","4","2","5","129","7","7","0.0"
"22","11","1","64","11","13","62","15","64","5","70","7","7","0.0"
"222","0","1","2","0","0","47","88","2","5","7","7","7","0.0"
"223","0","1","2","0","0","162","15","2","5","14","7","7","0.0"
"224","46","1","94","46","13","66","146","94","38","7","7","7","0.0"
"225","24","1","55","24","26","163","4","55","5","74","7","7","0.0"
"227","11","1","40","11","13","3","146","40","5","3","7","7","0.0"
"228","0","1","2","0","0","3","15","2","5","6","7","7","0.0"
"229","0","1","2","0","0","19","15","2","5","19","7","7","0.0"
"23","11","1","64","11","13","152","75","64","5","7","126","7","0.0"
"230","11","1","12","11","13","164","9","12","5","105","7","7","0.0"
"231","11","1","94","11","13","37","4","94","5","7","39","7","0.0"
"232","11","1","64","11","13","62","4","64","5","48","7","7","0.0"
"233","11","1","40","11","13","19","15","40","5","165","7","7","0.0"
"234","11","1","40","11","13","105","166","40","5","167","7","7","0.0"
"235","11","1","94","11","13","152","168","94","5","7","39","7","0.0"
"236","0","1","43","0","0","37","9","43","5","37","7","7","0.0"
"237","169","1","170","169","171","172","173","170","5","7","7","7","0.0"
"238","0","1","2","0","0","174","44","2","5","175","7","7","0.0"
"239","0","1","2","0","0","121","15","2","5","121","7","7","0.0"
"24","0","1","2","0","0","152","75","2","5","6","7","7","0.0"
"240","0","1","2","0","0","176","32","2","5","160","7","7","0.0"
"241","0","1","2","0","0","121","15","2","5","31","7","7","0.0"
"242","11","1","40","11","13","66","9","40","5","19","7","7","0.0"
"243","11","1","64","11","13","3","9","64","5","6","7","7","0.0"
"244","0","1","2","0","0","62","4","2","5","70","7","7","0.0"
"245","0","1","2","0","0","62","4","2","5","70","7","7","0.0"
"246","0","1","43","0","0","96","177","43","5","178","7","7","0.0"
"248","11","1","64","11","13","19","17","64","5","20","7","7","0.0"
"249","11","1","40","11","13","158","15","40","5","179","39","7","0.0"
"25","11","1","94","11","13","152","75","94","5","7","126","7","0.0"
"250","0","1","2","0","0","180","181","2","5","180","7","7","0.0"
"251","11","1","94","11","13","62","4","94","5","62","7","7","0.0"
"252","0","1","2","0","0","74","15","2","5","74","7","7","0.0"
"253","0","1","2","0","0","121","182","2","5","74","7","7","0.0"
"254","11","1","12","11","13","183","9","12","5","183","7","7","0.0"
"255","0","1","2","0","0","66","41","2","5","66","7","7","0.0"
"256","11","1","64","11","13","47","123","64","5","184","7","7","0.0"
"257","11","1","94","11","13","116","4","94","5","7","126","7","0.0"
"258","0","1","2","0","0","23","15","2","5","185","7","7","0.0"
"259","0","1","2","0","0","186","112","2","5","187","7","7","0.0"
"26","0","1","2","0","0","152","75","2","5","74","7","7","0.0"
"260","11","1","12","11","13","188","15","12","5","179","7","7","0.0"
"261","11","1","12","11","13","105","32","12","5","105","7","7","0.0"
"262","11","1","12","11","13","96","9","12","5","178","7","7","0.0"
"263","0","1","189","0","0","14","190","189","5","14","7","7","0.0"
"264","46","1","12","46","13","191","32","12","5","7","62","7","0.0"
"265","11","1","12","11","13","6","147","12","5","134","7","7","0.0"
"266","46","1","94","46","13","192","4","94","5","7","39","7","0.0"
"267","0","1","189","0","0","131","132","189","5","6","7","7","0.0"
"268","11","1","64","11","13","102","193","64","5","185","7","7","0.0"
"269","11","1","40","11","13","74","15","40","5","74","7","7","0.0"
"27","11","1","12","11","13","74","15","12","5","74","7","7","0.0"
"271","0","1","2","0","0","116","4","2","5","39","7","7","0.0"
"272","11","1","12","11","13","37","9","12","5","14","7","7","0.0"
"273","11","1","12","11","13","74","9","12","5","7","7","7","0.0"
"274","0","1","2","0","0","48","9","2","5","48","7","7","0.0"
"277","11","1","64","11","13","48","4","64","5","126","39","7","0.0"
"28","0","1","2","0","0","10","15","2","5","194","7","7","0.0"
"29","11","1","64","11","13","195","4","64","5","45","7","7","0.0"
"3","0","1","2","0","0","3","4","2","5","3","7","7","0.0"
"30","46","1","94","46","13","23","4","94","5","23","7","7","0.0"
"31","11","1","40","11","13","162","4","40","5","7","56","7","0.0"
"32","0","1","2","0","0","128","17","2","5","45","7","7","0.0"
"33","11","1","12","11","13","162","15","12","5","56","39","7","0.0"
"34","0","1","2","0","0","37","17","2","5","196","7","7","0.0"
"35","11","1","94","11","13","31","4","94","5","74","7","7","0.0"
"36","197","1","198","197","199","37","4","198","5","7","7","7","0.0"
"37","0","1","2","0","0","96","15","2","5","111","7","7","0.0"
"38","11","1","64","11","13","122","4","64","5","39","7","7","0.0"
"39","97","1","40","97","13","3","9","40","38","7","7","7","0.0"
"4","24","1","55","24","26","31","4","55","5","42","7","7","0.0"
"40","11","1","12","11","13","96","9","12","5","96","7","7","0.0"
"41","11","1","12","11","13","37","9","12","5","37","7","7","0.0"
"42","0","1","2","0","0","47","9","2","5","158","7","7","0.0"
"43","0","1","2","0","0","125","15","2","5","125","7","7","0.0"
"44","0","1","2","0","0","200","201","2","5","7","7","7","0.0"
"45","46","1","12","46","13","31","9","12","5","3","7","7","0.0"
"46","0","1","2","0","0","3","15","2","5","3","7","7","0.0"
"47","0","1","2","0","0","3","15","2","5","3","7","7","0.0"
"48","11","1","64","11","13","162","4","64","5","126","7","7","0.0"
"49","11","1","12","11","13","129","15","12","5","68","7","7","0.0"
"5","202","1","203","202","204","31","32","203","5","134","7","7","0.0"
"50","11","1","12","11","13","6","15","12","5","129","7","7","0.0"
"52","0","1","2","0","0","205","15","2","5","27","7","7","0.0"
"53","0","1","43","0","0","3","206","43","5","6","7","7","0.0"
"54","11","1","40","11","13","19","15","40","5","104","7","7","0.0"
"55","207","1","114","207","36","208","32","114","5","7","3","7","0.0"
"56","11","1","12","11","13","19","9","12","5","19","7","7","0.0"
"58","0","1","2","0","0","56","22","2","5","56","7","7","0.0"
"59","46","1","12","46","13","3","15","12","5","7","48","7","0.0"
"6","24","1","55","24","26","209","32","55","5","7","39","7","0.0"
"60","0","1","2","0","0","31","210","2","5","31","7","7","0.0"
"61","24","1","55","24","26","66","139","55","5","33","7","7","0.0"
"62","11","1","12","11","13","6","15","12","5","6","7","7","0.0"
"63","11","1","94","11","13","211","4","94","5","212","7","7","0.0"
"64","91","1","85","91","92","213","4","85","5","208","7","7","0.0"
"65","214","1","114","214","215","49","32","114","5","134","7","7","0.0"
"66","11","1","12","11","13","3","103","12","5","3","7","7","0.0"
"67","113","1","55","113","115","116","4","55","5","90","7","7","0.0"
"68","11","1","40","11","13","68","9","40","5","68","7","7","0.0"
"69","11","1","12","11","13","62","15","12","5","62","7","7","0.0"
"7","0","1","2","0","0","134","32","2","5","134","7","7","0.0"
"70","216","1","40","216","13","27","217","40","5","111","7","7","0.0"
"71","11","1","12","11","13","33","9","12","5","74","7","7","0.0"
"72","11","1","12","11","13","74","9","12","5","74","7","7","0.0"
"73","11","1","12","11","13","23","173","12","5","218","7","7","0.0"
"74","11","1","40","11","13","48","15","40","5","48","7","7","0.0"
"75","11","1","64","11","13","3","15","64","5","6","39","7","0.0"
"76","11","1","64","11","13","70","15","64","5","70","7","7","0.0"
"77","11","1","94","11","13","66","146","94","5","7","7","39","0.0"
"78","113","1","55","113","115","219","4","55","5","14","7","7","0.0"
"79","0","1","2","0","0","187","32","2","5","187","7","7","0.0"
"80","71","1","72","71","73","14","4","72","38","7","7","7","0.0"
"81","46","1","12","46","13","220","32","12","5","7","7","7","0.0"
"82","221","1","222","221","223","27","4","222","5","104","7","7","0.0"
"83","113","1","55","113","115","83","17","55","5","37","7","7","0.0"
"84","11","1","12","11","13","31","101","12","5","126","7","7","0.0"
"85","46","1","12","46","13","111","15","12","5","14","126","7","0.0"
"86","46","1","40","46","13","208","15","40","5","105","7","7","0.0"
"87","11","1","12","11","13","224","225","12","5","226","7","7","0.0"
"89","24","1","55","24","26","130","227","55","5","130","7","7","0.0"
"9","0","1","2","0","0","37","9","2","5","37","7","7","0.0"
"90","0","1","2","0","0","130","227","2","5","228","7","7","0.0"
"91","91","1","114","91","92","131","229","114","5","7","152","7","0.0"
"92","0","1","2","0","0","70","15","2","5","126","7","7","0.0"
"93","11","1","94","11","13","74","135","94","5","70","7","7","0.0"
"95","0","1","43","0","0","230","132","43","5","231","7","7","0.0"
"96","11","1","40","11","13","130","15","40","5","130","7","7","0.0"
"97","11","1","40","11","13","47","15","40","5","47","7","7","0.0"
"98","24","1","25","24","26","232","15","25","5","233","7","7","0.0"
"99","0","1","2","0","0","234","112","2","5","235","7","7","0.0"
