"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"12","75","75","28","28","26","26","28","28","75","75","21","21","103","1","21","103","22","104","24","21","6","64","8","8","1771740.0"
"120","38","38","56","56","30","30","58","58","2","2","2","2","105","1","2","105","106","107","5","2","6","25","8","8","144000.0"
"121","38","38","38","109","109","38","56","58","58","56","38","40","10","11","40","10","12","88","108","40","13","8","8","8","1215840.0"
"122","56","56","56","56","56","56","56","17","17","56","58","58","18","1","58","18","19","88","108","58","6","88","8","8","1786860.0"
"123","56","56","9","9","9","9","15","15","15","15","9","9","10","1","9","10","12","110","5","9","13","14","8","8","224760.0"
"124","9","9","9","9","56","56","15","15","47","47","2","2","0","1","2","0","3","88","33","2","6","88","8","8","376800.0"
"126","56","56","15","15","9","47","9","9","47","9","47","47","18","1","47","18","19","4","42","47","6","7","8","8","457620.0"
"127","30","30","30","30","15","15","38","38","26","26","30","30","76","1","30","76","77","112","33","30","6","66","8","8","1264620.0"
"129","34","47","47","34","34","34","40","40","47","47","2","2","105","1","2","105","106","43","114","2","6","43","8","8","940320.0"
"13","21","21","21","21","28","28","97","97","26","26","96","96","0","1","96","0","3","86","24","96","6","86","8","8","11820.0"
"135","38","38","56","51","51","56","38","38","38","38","38","38","53","1","38","53","54","78","42","38","6","50","8","8","622560.0"
"138","15","15","9","9","9","9","15","15","56","56","17","17","18","1","17","18","19","100","5","17","6","8","14","8","15180.0"
"140","56","56","15","15","58","58","61","61","2","2","116","116","115","1","116","115","117","107","5","116","13","14","8","8","233340.0"
"145","34","34","40","40","34","34","34","34","26","26","2","2","62","1","2","62","63","118","119","2","6","118","8","8","1693740.0"
"147","34","34","40","40","40","40","34","97","97","34","47","47","27","1","47","27","19","121","122","47","6","123","8","8","21780.0"
"148","125","125","128","128","47","47","132","132","47","47","47","47","59","11","47","59","19","124","122","47","6","8","8","8","4440.0"
"155","40","40","40","40","40","40","40","26","26","40","26","26","18","1","26","18","19","135","33","26","6","135","8","8","374400.0"
"156","75","75","75","75","75","75","75","75","75","75","26","26","18","1","26","18","19","137","138","26","6","8","8","8","1093920.0"
"163","140","140","47","47","47","47","47","47","21","21","47","47","59","11","47","59","19","139","94","47","6","68","8","8","5065440.0"
"17","34","34","34","34","34","34","34","141","34","34","34","141","120","1","141","120","136","74","94","141","6","86","8","8","2709300.0"
"174","38","38","30","47","30","30","47","30","51","51","40","40","76","1","40","76","77","82","33","40","6","64","8","8","902940.0"
"177","2","2","143","143","143","143","116","116","17","17","17","17","59","1","17","59","19","142","5","17","6","8","8","8","6265500.0"
"178","145","145","116","116","96","96","96","61","2","96","61","2","105","1","2","105","106","144","5","2","6","8","8","8","5039280.0"
"179","96","96","17","17","97","97","91","91","17","17","97","97","98","1","97","98","98","139","5","97","6","68","8","8","24000.0"
"18","9","9","9","9","56","56","9","9","9","9","9","9","53","1","9","53","54","151","5","9","6","110","8","8","6139560.0"
"182","26","26","91","91","26","26","26","26","97","97","26","26","18","1","26","18","19","152","33","26","6","68","8","8","1060320.0"
"185","28","28","91","91","97","97","97","97","47","47","47","47","18","1","47","18","19","29","5","47","6","8","8","8","7322400.0"
"187","61","61","143","143","116","116","145","145","143","143","116","116","146","1","116","146","147","153","5","116","6","4","8","8","3993360.0"
"188","2","61","61","61","2","61","2","2","26","26","128","128","154","1","128","154","154","155","156","128","6","41","8","8","784980.0"
"189","17","17","17","17","17","17","17","17","17","17","97","97","98","1","97","98","98","16","158","97","6","14","8","8","0.0"
"19","15","15","17","17","9","9","17","17","2","2","61","61","105","1","61","105","106","52","5","61","6","8","8","8","293820.0"
"192","125","125","47","47","28","28","47","28","47","28","28","28","20","1","28","20","22","153","122","28","6","37","8","8","1549080.0"
"194","28","28","28","47","28","47","28","47","47","28","75","75","72","1","75","72","73","100","159","75","6","16","8","8","2140320.0"
"195","47","47","61","61","2","2","2","61","2","61","61","61","62","1","61","62","63","110","160","61","6","39","8","8","797280.0"
"198","56","56","38","38","38","38","47","56","56","47","9","9","53","1","9","53","54","74","5","9","6","39","8","8","6039720.0"
"199","61","61","2","61","61","61","2","2","2","145","61","145","115","1","145","115","117","162","5","145","13","8","8","8","7498200.0"
"20","15","15","26","15","15","26","30","30","30","30","30","30","10","1","30","10","12","164","165","30","6","166","8","8","3183720.0"
"200","109","109","96","96","58","58","58","58","97","97","116","116","146","11","116","146","147","66","5","116","6","14","8","8","4500.0"
"201","58","58","58","58","34","34","34","34","34","34","34","34","120","1","34","120","136","86","168","34","13","8","8","8","4001580.0"
"203","26","26","2","2","61","61","2","2","61","61","97","97","98","1","97","98","98","107","170","97","6","107","8","8","21780.0"
"206","26","26","2","2","2","2","96","96","96","96","26","26","59","1","26","59","19","171","172","26","6","8","8","8","1167000.0"
"207","56","38","56","38","56","38","56","38","38","38","30","30","76","1","30","76","77","173","174","30","13","14","8","8","1674060.0"
"208","75","75","21","21","75","75","75","75","28","28","21","21","72","1","21","72","73","57","5","21","6","14","8","8","3249900.0"
"209","30","30","40","40","40","40","56","56","30","30","38","38","76","1","38","76","77","175","33","38","6","118","8","8","652680.0"
"21","15","15","38","38","26","9","9","9","9","26","9","30","10","11","30","10","12","142","165","30","6","95","8","8","3312000.0"
"210","38","38","30","30","30","30","38","38","30","30","26","26","18","1","26","18","19","178","24","26","6","8","8","8","926700.0"
"211","26","26","116","116","145","145","61","61","2","2","26","26","59","1","26","59","19","179","24","26","6","8","8","8","291360.0"
"212","30","30","30","30","30","26","30","26","38","38","30","30","76","1","30","76","77","182","33","30","6","46","8","8","1065420.0"
"214","30","30","30","30","15","38","15","38","26","26","30","30","76","1","30","76","77","139","33","30","13","14","8","8","1439520.0"
"215","40","40","40","40","145","145","26","26","26","26","2","2","0","1","2","0","3","184","33","2","6","74","8","8","760200.0"
"218","187","187","191","191","191","191","187","187","47","47","97","97","98","1","97","98","98","185","174","97","6","186","8","8","42600.0"
"219","2","2","2","2","116","116","143","143","116","116","116","116","115","1","116","115","117","79","5","116","6","64","8","8","695760.0"
"22","75","75","21","21","21","21","21","21","75","75","58","58","18","1","58","18","19","107","33","58","6","25","14","8","353520.0"
"223","40","47","40","40","40","40","47","40","38","38","40","40","35","1","40","35","36","79","33","40","6","64","8","8","2019360.0"
"225","96","96","96","96","96","96","96","96","96","96","61","61","105","1","61","105","106","192","5","61","6","8","8","8","6048000.0"
"228","40","40","40","40","40","40","26","26","26","26","26","26","18","1","26","18","19","4","33","26","6","7","8","8","311880.0"
"229","40","47","47","40","38","38","40","40","47","47","2","2","0","1","2","0","3","46","33","2","6","46","8","8","390120.0"
"23","56","56","15","15","38","38","58","58","56","58","58","56","53","1","56","53","54","57","108","56","6","57","8","8","3097020.0"
"230","30","30","30","30","30","30","30","26","26","30","38","38","76","1","38","76","77","197","24","38","6","118","8","8","4437540.0"
"231","2","2","116","116","116","116","143","91","143","91","17","17","169","1","17","169","19","86","5","17","6","8","8","8","415200.0"
"232","58","56","58","96","56","96","91","91","91","91","91","91","198","1","91","198","150","107","5","91","6","8","8","8","584760.0"
"233","75","21","75","21","21","21","9","9","47","47","2","2","0","1","2","0","3","46","33","2","6","64","8","8","847680.0"
"234","47","47","47","47","128","128","203","203","128","128","47","47","27","11","47","27","19","121","200","47","6","8","8","8","4417560.0"
"235","17","17","17","28","17","28","28","28","28","28","28","28","72","1","28","72","73","57","204","28","13","14","8","8","2497200.0"
"236","91","91","91","91","26","96","26","96","91","91","91","91","90","1","91","90","92","86","24","91","6","25","8","8","115320.0"
"237","26","26","15","15","26","26","26","26","2","61","2","61","0","1","61","0","3","205","206","61","6","81","8","8","4840080.0"
"238","30","30","38","38","38","38","30","30","15","15","15","26","18","11","26","18","19","209","67","26","6","195","8","8","3863760.0"
"239","30","30","56","38","56","26","26","38","30","30","26","26","18","1","26","18","19","71","33","26","6","71","8","8","1078020.0"
"24","9","9","9","9","58","58","61","61","211","96","96","211","210","1","211","210","212","57","108","211","6","88","8","8","3128400.0"
"240","30","30","38","38","56","56","30","30","38","38","56","56","76","1","56","76","77","213","214","56","6","71","8","8","1055700.0"
"241","56","56","56","56","15","15","47","30","47","30","30","30","76","1","30","76","77","71","33","30","6","50","8","8","291480.0"
"242","30","30","30","30","15","15","38","38","30","30","47","47","18","1","47","18","19","100","24","47","6","95","14","8","604860.0"
"243","30","30","38","47","38","38","47","38","26","26","2","2","0","1","2","0","3","4","24","2","6","7","8","8","410700.0"
"244","91","91","91","91","91","91","91","91","91","47","91","91","198","11","91","198","150","107","5","91","45","8","8","8","308400.0"
"245","21","21","21","17","17","21","21","21","21","21","75","75","20","1","75","20","22","107","5","75","13","14","8","8","2410200.0"
"246","75","75","21","21","75","75","47","47","61","61","2","2","62","1","2","62","63","163","215","2","6","64","8","8","371160.0"
"248","21","21","21","21","75","75","61","61","58","58","2","2","0","1","2","0","3","46","42","2","6","46","8","8","669060.0"
"249","40","40","40","40","47","47","40","40","40","40","9","9","35","1","9","35","36","216","33","9","6","102","8","8","551400.0"
"25","56","56","56","56","56","56","38","38","38","38","56","56","53","1","56","53","54","57","108","56","6","107","8","8","3024600.0"
"250","219","219","219","219","17","219","17","219","219","219","219","219","218","1","219","218","220","111","221","219","6","29","8","8","284460.0"
"251","56","56","9","9","9","9","17","17","2","2","17","17","18","1","17","18","19","107","5","17","6","8","8","8","3792300.0"
"252","30","30","30","26","30","26","26","26","30","30","26","26","18","1","26","18","19","88","33","26","6","88","8","8","294000.0"
"253","75","75","75","75","26","21","26","26","21","26","2","2","0","1","2","0","3","71","222","2","6","64","8","8","482760.0"
"254","2","2","2","2","2","2","61","61","26","26","97","97","98","1","97","98","98","223","24","97","6","223","8","8","33900.0"
"256","40","40","9","9","30","30","47","47","40","40","34","34","120","1","34","120","36","74","225","34","13","14","8","8","2991120.0"
"257","30","30","9","9","56","56","51","51","38","38","56","56","53","1","56","53","54","139","5","56","6","32","8","8","6730380.0"
"258","30","30","30","30","38","38","38","38","38","38","38","38","76","1","38","76","77","66","33","38","6","107","8","8","1501260.0"
"259","75","75","75","75","28","28","30","30","75","75","28","28","72","1","28","72","73","227","138","28","13","14","8","8","6066720.0"
"26","15","15","30","30","30","30","9","9","9","9","58","58","18","1","58","18","19","57","108","58","6","88","14","8","3509520.0"
"260","38","38","38","38","38","38","30","30","38","38","75","75","76","1","75","76","77","228","33","75","6","60","8","8","4517220.0"
"261","40","40","40","40","26","26","34","34","26","26","61","61","62","1","61","62","63","121","214","61","6","8","8","8","543360.0"
"262","15","15","38","38","38","38","26","26","26","26","2","2","0","1","2","0","3","163","24","2","6","52","8","8","183960.0"
"263","34","34","34","34","34","47","34","34","47","34","34","34","35","1","34","35","36","32","229","34","6","39","8","8","1586340.0"
"264","51","51","51","38","51","38","30","30","26","26","15","15","76","1","15","76","77","230","214","15","6","89","8","8","161220.0"
"265","40","40","40","40","40","40","40","40","40","40","26","26","18","1","26","18","19","7","231","26","6","7","8","8","861060.0"
"266","17","17","56","56","9","9","56","17","56","56","17","47","18","11","47","18","19","232","5","47","6","232","8","8","7287300.0"
"267","15","15","30","30","30","30","15","26","26","15","38","38","10","1","38","10","12","155","156","38","6","79","8","8","7149600.0"
"268","40","40","40","26","40","26","40","26","26","40","40","40","35","1","40","35","36","118","234","40","6","71","8","8","1783080.0"
"269","40","40","40","47","40","40","47","40","40","40","47","40","35","11","40","35","36","88","33","40","13","14","8","8","1632420.0"
"27","40","40","40","40","40","40","40","40","40","40","40","40","35","1","40","35","36","88","33","40","6","8","8","8","273180.0"
"271","9","9","9","9","9","9","56","58","56","58","9","58","18","11","58","18","19","139","5","58","6","107","25","8","6570000.0"
"272","21","21","75","75","75","75","21","26","21","26","2","2","62","1","2","62","63","86","24","2","6","32","8","8","1274040.0"
"273","21","21","21","28","28","26","21","26","2","2","2","2","0","1","2","0","3","88","24","2","6","88","8","8","285000.0"
"274","34","34","34","47","47","34","34","47","96","34","47","96","62","1","96","62","63","43","24","96","6","43","8","8","131400.0"
"277","219","219","58","58","91","91","91","91","91","91","91","91","90","1","91","90","92","43","5","91","6","43","8","8","104340.0"
"28","30","30","30","30","15","26","26","15","26","26","15","15","76","1","15","76","77","144","33","15","13","43","8","8","2940420.0"
"29","28","28","75","75","21","21","75","75","75","75","75","75","72","1","75","72","73","177","5","75","6","37","8","8","3390720.0"
"3","15","17","15","17","9","9","17","17","2","2","2","2","105","1","2","105","106","4","5","2","6","4","8","8","213600.0"
"30","38","17","17","38","51","51","56","56","15","17","15","17","18","1","17","18","19","66","5","17","6","66","8","8","0.0"
"31","9","9","9","9","9","9","38","38","17","17","17","17","18","1","17","18","19","79","5","17","6","8","14","8","2698080.0"
"32","30","30","56","56","38","38","56","56","15","15","56","58","18","11","58","18","19","152","42","58","6","8","8","8","2393940.0"
"33","30","30","26","30","26","30","30","30","15","15","38","38","76","1","38","76","77","79","33","38","6","102","8","8","1928580.0"
"34","28","28","21","21","21","21","9","9","28","47","28","47","18","1","47","18","19","86","42","47","6","86","8","8","1954800.0"
"35","56","56","30","30","38","56","38","56","17","17","17","17","18","1","17","18","19","64","5","17","6","8","8","8","2324400.0"
"36","38","38","56","56","9","9","9","9","58","38","58","38","53","1","38","53","54","86","5","38","13","8","8","8","1477920.0"
"37","40","75","75","40","40","40","30","30","235","235","40","40","35","1","40","35","36","163","33","40","13","8","8","8","1758060.0"
"38","15","15","56","56","9","9","9","9","9","9","9","9","10","1","9","10","12","176","5","9","6","71","8","8","4770420.0"
"39","75","75","75","47","47","75","75","47","75","47","75","75","72","1","75","72","73","4","24","75","13","8","8","8","432840.0"
"4","9","9","38","58","38","38","58","38","56","56","9","9","53","1","9","53","54","64","5","9","6","107","8","8","33000.0"
"40","21","21","75","75","21","21","21","21","21","21","9","9","103","1","9","103","22","163","24","9","6","79","8","8","1141800.0"
"41","21","21","21","26","21","21","26","21","75","75","2","2","237","1","2","237","63","86","24","2","6","86","8","8","1482480.0"
"42","30","30","30","30","26","26","15","15","34","34","30","26","18","11","26","18","19","74","24","26","6","8","68","8","410820.0"
"43","34","34","40","26","40","26","40","40","34","34","26","26","18","1","26","18","19","161","33","26","6","161","8","8","319080.0"
"44","28","28","75","75","75","75","28","28","28","28","75","75","238","1","75","238","73","239","240","75","6","64","8","8","2053560.0"
"45","30","30","38","38","38","38","26","26","40","40","26","26","18","11","26","18","19","64","24","26","6","8","107","8","4440.0"
"46","56","56","38","38","56","30","56","30","30","30","47","47","18","1","47","18","19","4","33","47","6","4","8","8","136140.0"
"47","34","34","34","26","34","34","26","34","34","34","34","34","35","1","34","35","36","4","33","34","6","8","8","8","1382400.0"
"48","15","15","9","9","9","9","47","47","15","15","47","47","18","1","47","18","19","79","5","47","6","242","14","8","3107340.0"
"49","40","17","40","17","40","40","109","109","26","26","96","96","62","1","96","62","63","37","33","96","6","102","8","8","637080.0"
"50","40","40","40","40","40","40","40","40","26","26","2","2","105","11","2","105","106","7","33","2","6","7","8","8","261120.0"
"52","40","40","34","34","34","34","34","34","34","34","34","34","35","1","34","35","36","224","33","34","45","8","8","8","573480.0"
"53","40","40","34","34","34","34","34","34","34","34","34","34","35","1","34","35","36","4","243","34","13","8","8","8","858840.0"
"54","56","56","15","15","9","9","9","47","47","9","15","15","10","1","15","10","12","46","33","15","6","57","8","8","210660.0"
"55","28","28","75","75","75","75","47","21","47","21","28","28","238","1","28","238","73","244","214","28","6","64","8","8","3091080.0"
"56","34","34","40","97","97","40","40","40","26","26","2","2","105","1","2","105","106","46","24","2","6","46","8","8","3240.0"
"58","91","91","91","91","96","96","91","91","26","2","26","2","0","1","2","0","3","89","49","2","6","89","8","8","30960.0"
"59","30","30","56","56","38","38","26","26","51","51","245","245","105","1","245","105","106","4","33","245","6","37","8","8","158280.0"
"6","40","40","40","40","34","34","34","34","40","40","40","40","35","1","40","35","36","246","214","40","6","41","8","8","1621860.0"
"60","34","34","2","2","40","40","47","34","47","34","40","40","120","1","40","120","36","64","247","40","13","64","8","8","178200.0"
"61","21","21","21","21","21","21","9","9","21","47","21","47","18","1","47","18","19","100","159","47","13","8","8","8","3553320.0"
"62","34","34","34","34","34","34","34","34","34","34","34","34","35","1","34","35","36","7","33","34","6","7","8","8","2326320.0"
"63","38","38","38","38","56","17","17","56","30","9","30","30","10","11","30","10","12","248","5","30","6","249","8","8","4010640.0"
"64","56","56","9","9","38","38","9","9","9","9","56","56","53","1","56","53","54","250","5","56","6","88","8","8","43860.0"
"65","21","21","26","26","75","75","21","21","30","30","109","109","20","1","109","20","22","78","214","109","6","16","8","8","0.0"
"66","34","34","34","34","26","26","2","2","2","2","203","203","201","1","203","201","202","4","119","203","6","4","8","8","267960.0"
"67","56","56","56","56","9","9","9","9","15","15","9","9","53","1","9","53","54","139","5","9","6","66","8","8","4563300.0"
"7","15","15","9","9","15","15","56","56","9","9","9","9","10","1","9","10","12","16","214","9","6","68","8","8","273000.0"
"70","21","21","21","21","21","21","21","21","21","21","21","21","20","1","21","20","22","52","252","21","6","37","8","8","3081720.0"
"71","75","75","75","75","97","97","26","26","2","2","2","2","62","1","2","62","63","60","24","2","6","88","8","8","4560.0"
"72","34","34","34","34","26","26","61","61","2","2","2","61","62","11","61","62","63","88","24","61","6","39","8","8","167220.0"
"73","9","9","56","56","15","15","38","38","56","56","9","9","10","1","9","10","12","66","206","9","13","8","8","8","876720.0"
"75","40","40","40","40","34","34","34","34","40","40","40","40","35","1","40","35","36","4","33","40","6","4","8","8","1551000.0"
"77","75","75","75","75","21","21","21","21","75","75","28","17","18","11","17","18","19","100","170","17","6","60","14","8","1467600.0"
"78","56","56","56","56","9","9","38","38","56","56","56","56","53","1","56","53","54","253","5","56","13","8","8","8","2466600.0"
"79","47","47","116","116","61","61","2","2","47","47","97","97","98","1","97","98","98","255","214","97","6","255","8","8","0.0"
"80","38","38","38","38","47","47","2","2","61","61","2","2","105","1","2","105","106","32","5","2","6","64","8","8","122940.0"
"82","56","56","56","56","38","38","38","38","47","47","2","2","0","1","2","0","3","52","5","2","6","70","8","8","1276920.0"
"83","56","56","56","56","15","15","38","38","56","47","47","56","53","1","56","53","54","179","42","56","6","4","8","8","367200.0"
"84","34","34","34","34","34","34","34","34","34","34","26","26","18","1","26","18","19","64","122","26","6","8","8","8","859620.0"
"85","30","30","30","30","38","109","40","38","109","40","26","26","18","1","26","18","19","95","33","26","6","32","68","8","0.0"
"86","30","30","51","51","38","38","30","30","51","51","51","51","76","1","51","76","77","244","33","51","6","14","8","8","101340.0"
"87","15","15","9","9","9","26","9","26","40","56","40","9","10","11","9","10","12","256","257","9","6","7","8","8","3087900.0"
"89","9","9","15","15","38","38","38","38","9","9","9","9","76","1","9","76","77","153","258","9","6","8","8","8","181500.0"
"9","75","75","21","21","21","21","26","26","2","2","2","2","105","1","2","105","106","86","24","2","6","86","8","8","546120.0"
"90","30","30","15","15","38","38","9","9","9","30","30","51","76","11","51","76","77","153","258","51","6","107","8","8","237600.0"
"91","56","56","15","15","15","38","15","38","26","26","30","30","53","1","30","53","54","155","259","30","45","8","8","8","495180.0"
"92","30","30","30","30","30","30","26","26","26","26","26","26","18","1","26","18","19","25","33","26","6","8","8","8","755520.0"
"93","40","40","40","40","34","34","34","34","34","34","17","17","27","1","17","27","19","88","158","17","6","88","8","8","3715500.0"
"95","38","38","9","9","26","15","26","15","38","38","9","9","10","1","9","10","12","260","156","9","6","60","8","8","2570760.0"
"96","47","47","47","47","61","61","61","51","61","2","51","2","105","1","2","105","106","153","33","2","6","139","8","8","69480.0"
"97","47","47","145","145","61","61","61","61","61","61","2","2","62","1","2","62","63","74","33","2","6","74","8","8","854460.0"
"99","26","26","26","26","26","26","61","61","2","2","2","2","105","1","2","105","106","263","138","2","6","264","8","8","305280.0"
