"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","remainingTime"
"54","85","85","14","14","8","8","8","52","52","8","14","14","52","181800.0"
"55","24","24","71","71","71","71","52","28","52","28","24","24","71","3089820.0"
"56","39","39","45","57","57","45","45","45","29","29","20","20","20","3180.0"
"58","60","60","60","60","98","98","60","60","29","20","29","20","57","3600.0"
"59","32","32","85","85","43","43","29","29","89","89","251","251","57","135180.0"
"6","45","45","45","45","39","39","39","39","45","45","45","45","29","1621500.0"
"60","39","39","20","20","45","45","52","39","52","39","45","45","52","115200.0"
"61","28","28","28","28","28","28","8","8","28","52","28","52","71","3413160.0"
"62","39","39","39","39","39","39","39","39","39","39","39","39","29","2231520.0"
"63","43","43","43","43","85","16","16","85","32","8","32","32","32","3981720.0"
"64","85","85","8","8","43","43","8","8","8","8","85","85","43","36180.0"
"66","39","39","39","39","29","29","20","20","20","20","206","206","29","248280.0"
"67","85","85","85","85","8","8","8","8","14","14","8","8","71","4466460.0"
"7","14","14","8","8","14","14","85","85","8","8","8","8","29","229260.0"
"70","28","28","28","28","28","28","28","28","28","28","28","28","71","3062940.0"
"71","71","71","71","71","57","57","29","29","20","20","20","20","29","4500.0"
"72","39","39","39","39","29","29","2","2","20","20","20","2","20","167160.0"
"73","8","8","85","85","14","14","43","43","85","85","8","8","8","876660.0"
"75","45","45","45","45","39","39","39","39","45","45","45","45","80","1378200.0"
"77","71","71","71","71","28","28","28","28","71","71","24","16","16","1456800.0"
"78","85","85","85","85","8","8","43","43","85","85","85","85","32","2464560.0"
"80","43","43","43","43","52","52","20","20","2","2","20","20","150","106440.0"
"82","85","85","85","85","43","43","43","43","52","52","20","20","2","309000.0"
"83","85","85","85","85","14","14","43","43","85","52","52","85","8","365940.0"
"84","39","39","39","39","39","39","39","39","39","39","29","29","45","853680.0"
"86","32","32","89","89","43","43","32","32","89","89","89","89","52","74820.0"
"87","14","14","8","8","8","29","8","29","45","85","45","8","85","3087240.0"
"89","8","8","14","14","43","43","43","43","8","8","8","8","8","170160.0"
"9","71","71","28","28","28","28","29","29","20","20","20","20","98","410520.0"
"90","32","32","14","14","43","43","8","8","8","32","32","89","89","229860.0"
"91","85","85","14","14","14","43","14","43","29","29","32","32","8","495180.0"
"92","32","32","32","32","32","32","29","29","29","29","29","29","60","542340.0"
"93","45","45","45","45","39","39","39","39","39","39","16","16","267","3715500.0"
"95","43","43","8","8","29","14","29","14","43","43","8","8","29","2570640.0"
"96","52","52","52","52","2","2","2","89","2","20","89","20","137","31200.0"
"97","52","52","153","153","2","2","2","2","2","2","20","20","20","854460.0"
"99","29","29","29","29","29","29","2","2","20","20","20","20","29","113100.0"
