"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","Event_17","Event_18","Event_19","Event_20","remainingTime"
"206","32","32","20","20","20","20","109","109","109","109","32","32","32","32","181","181","65","65","65","65","717300.0"
"207","91","46","91","46","91","46","91","46","46","46","35","35","46","91","91","46","91","91","91","91","1612440.0"
"208","76","76","31","31","76","76","76","76","27","27","31","31","76","76","27","27","93","93","20","20","3108420.0"
"209","35","35","54","54","54","54","91","91","35","35","46","46","32","32","20","20","20","20","32","32","119580.0"
"21","15","15","46","46","32","9","9","9","9","32","9","35","35","35","46","46","35","9","32","32","3241380.0"
"210","46","46","35","35","35","35","46","46","35","35","32","32","46","46","35","35","32","32","32","32","831060.0"
"212","35","35","35","35","35","32","35","32","46","46","35","35","32","32","32","32","20","20","20","20","314580.0"
"214","35","35","35","35","15","46","15","46","32","32","35","35","35","35","15","46","15","46","32","32","1358100.0"
"215","54","54","54","54","23","23","32","32","32","32","20","20","20","20","20","20","20","20","32","32","167700.0"
"219","20","20","20","20","67","67","135","135","67","67","67","67","23","23","93","93","93","93","110","110","86400.0"
"22","76","76","31","31","31","31","31","31","76","76","93","93","20","20","20","20","65","65","65","65","325680.0"
"223","54","55","54","54","54","54","55","54","46","46","54","54","55","55","20","20","2","2","2","2","1381500.0"
"225","109","109","109","109","109","109","109","109","109","109","2","2","2","2","2","2","23","23","2","2","5875200.0"
"228","54","54","54","54","54","54","32","32","32","32","32","32","2","20","2","20","32","32","32","32","137160.0"
"229","54","55","55","54","46","46","54","54","55","55","20","20","20","2","20","2","55","55","55","55","55800.0"
"23","91","91","15","15","46","46","93","93","91","93","93","91","91","91","20","20","20","20","65","65","2901840.0"
"230","35","35","35","35","35","35","35","32","32","35","46","46","35","32","32","35","9","9","128","128","4375080.0"
"231","20","20","67","67","67","67","135","65","135","65","16","16","16","16","16","16","16","16","16","16","316320.0"
"232","93","91","93","109","91","109","65","65","65","65","65","65","65","65","65","65","65","65","65","65","505560.0"
"233","76","31","76","31","31","31","9","9","55","55","20","20","20","20","76","76","76","76","55","55","601980.0"
"234","55","55","55","55","137","137","201","201","137","137","55","55","55","55","91","91","9","9","15","55","3697020.0"
"235","16","16","16","27","16","27","27","27","27","27","27","27","16","16","27","27","76","76","76","76","2355480.0"
"237","32","32","15","15","32","32","32","32","20","2","20","2","23","23","23","23","65","65","23","23","4248000.0"
"238","35","35","46","46","46","46","35","35","15","15","15","32","15","32","15","15","35","35","32","15","3779220.0"
"239","35","35","91","46","91","32","32","46","35","35","32","32","32","32","20","20","20","20","32","32","370680.0"
"24","9","9","9","9","93","93","2","2","210","109","109","210","93","93","67","2","20","20","67","67","466740.0"
"240","35","35","46","46","91","91","35","35","46","46","91","91","2","2","32","32","20","20","2","2","719640.0"
"241","91","91","91","91","15","15","55","35","55","35","35","35","55","55","20","20","20","20","55","20","44400.0"
"242","35","35","35","35","15","15","46","46","35","35","55","55","55","55","2","2","54","20","20","54","417540.0"
"243","35","35","46","55","46","46","55","46","32","32","20","20","20","20","135","135","135","135","32","32","235140.0"
"244","65","65","65","65","65","65","65","65","65","55","65","65","65","65","55","65","55","55","55","55","130080.0"
"245","31","31","31","16","16","31","31","31","31","31","76","76","76","76","93","93","20","20","2","2","690300.0"
"246","76","76","31","31","76","76","55","55","2","2","20","20","2","2","20","20","55","55","148","148","0.0"
"248","31","31","31","31","76","76","2","2","93","93","20","20","20","20","2","20","20","2","23","23","611700.0"
"249","54","54","54","54","55","55","54","54","54","54","9","9","55","55","20","20","20","20","109","109","409980.0"
"25","91","91","91","91","91","91","46","46","46","46","91","91","16","16","20","20","2","2","2","109","2593500.0"
"250","220","220","220","220","16","220","16","220","220","220","220","220","20","20","16","16","16","16","16","16","145200.0"
"251","91","91","9","9","9","9","16","16","20","20","16","16","2","2","210","210","16","16","16","16","190500.0"
"252","35","35","35","32","35","32","32","32","35","35","32","32","20","20","20","20","32","32","93","93","63480.0"
"253","76","76","76","76","32","31","32","32","31","32","20","20","20","20","20","20","20","20","2","2","431100.0"
"256","54","54","9","9","35","35","55","55","54","54","42","42","42","42","42","42","35","35","54","55","2919600.0"
"257","35","35","9","9","91","91","128","128","46","46","91","91","46","46","91","91","35","9","35","35","6515100.0"
"258","35","35","35","35","46","46","46","46","46","46","46","46","35","35","32","32","32","32","20","20","484260.0"
"259","76","76","76","76","27","27","35","35","76","76","27","27","27","27","35","35","27","27","35","35","5940720.0"
"26","15","15","35","35","35","35","9","9","9","9","93","93","109","109","20","20","65","65","65","65","3135420.0"
"260","46","46","46","46","46","46","35","35","46","46","76","76","32","35","32","35","15","15","32","32","4396500.0"
"261","54","54","54","54","32","32","42","42","32","32","2","2","20","20","2","2","110","110","32","32","0.0"
"262","15","15","46","46","46","46","32","32","32","32","20","20","20","20","2","2","2","20","2","20","174600.0"
"263","42","42","42","42","42","55","42","42","55","42","42","42","42","42","54","55","54","55","20","20","1513980.0"
"264","128","128","128","46","128","46","35","35","32","32","15","15","91","91","35","35","128","32","128","32","105120.0"
"265","54","54","54","54","54","54","54","54","54","54","32","32","20","20","20","20","109","109","109","109","245280.0"
"266","16","16","91","91","9","9","91","16","91","91","16","55","55","91","9","9","9","9","91","91","7216560.0"
"267","15","15","35","35","35","35","15","32","32","15","46","46","46","46","76","76","9","32","32","35","7030800.0"
"268","54","54","54","32","54","32","54","32","32","54","54","54","109","109","55","55","54","55","54","55","1532160.0"
"269","54","54","54","55","54","54","55","54","54","54","55","54","54","55","54","55","55","54","55","55","1561860.0"
"27","54","54","54","54","54","54","54","54","54","54","54","54","54","54","32","32","109","109","109","109","232080.0"
"271","9","9","9","9","9","9","91","93","91","93","9","93","93","9","93","91","91","2","93","93","6513540.0"
"272","31","31","76","76","76","76","31","32","31","32","20","20","32","20","20","32","20","20","135","135","158760.0"
"273","31","31","31","27","27","32","31","32","20","20","20","20","20","20","65","65","109","109","109","109","152040.0"
"274","42","42","42","55","55","42","42","55","109","42","55","109","109","109","109","109","55","55","20","55","49680.0"
"277","220","220","93","93","65","65","65","65","65","65","65","65","65","65","65","65","65","65","148","148","44940.0"
"28","35","35","35","35","15","32","32","15","32","32","15","15","54","54","32","91","32","91","9","9","2813340.0"
"29","27","27","76","76","31","31","76","76","76","76","76","76","93","93","2","2","236","76","236","76","2719440.0"
"3","15","16","15","16","9","9","16","16","20","20","20","20","23","135","23","135","135","135","135","135","180120.0"
"31","9","9","9","9","9","9","46","46","16","16","16","16","20","20","65","65","61","61","2","2","1258080.0"
"32","35","35","91","91","46","46","91","91","15","15","91","93","93","93","91","93","35","9","35","35","2256120.0"
"33","35","35","32","35","32","35","35","35","15","15","46","46","32","32","32","32","20","20","32","32","686100.0"
"34","27","27","31","31","31","31","9","9","27","55","27","55","20","20","20","20","20","109","109","20","1768080.0"
"35","91","91","35","35","46","91","46","91","16","16","16","16","23","23","20","20","61","61","67","67","465900.0"
"36","46","46","91","91","9","9","9","9","93","46","93","46","46","46","91","91","9","9","93","93","1390680.0"
"37","54","76","76","54","54","54","35","35","238","238","54","54","54","54","9","9","20","20","32","32","1358280.0"
"38","15","15","91","91","9","9","9","9","9","9","9","9","54","54","54","54","15","15","91","91","4723620.0"
"39","76","76","76","55","55","76","76","55","76","55","76","76","27","27","76","76","76","55","55","76","348240.0"
"4","9","9","46","93","46","46","93","46","91","91","9","9","93","93","20","20","93","20","93","20","0.0"
"40","31","31","76","76","31","31","31","31","31","31","9","9","32","32","2","2","20","20","110","110","39180.0"
"41","31","31","31","32","31","31","32","31","76","76","20","20","93","93","20","20","20","20","135","135","447060.0"
"42","35","35","35","35","32","32","15","15","42","42","35","32","35","15","32","32","32","20","20","20","405000.0"
"43","42","42","54","32","54","32","54","54","42","42","32","32","20","20","20","20","32","32","110","110","3600.0"
"44","27","27","76","76","76","76","27","27","27","27","76","76","9","9","76","76","9","32","32","9","1933380.0"
"46","91","91","46","46","91","35","91","35","35","35","55","55","20","20","20","55","55","20","55","55","64740.0"
"47","42","42","42","32","42","42","32","42","42","42","42","42","32","32","2","2","20","20","20","20","472740.0"
"48","15","15","9","9","9","9","55","55","15","15","55","55","20","20","20","20","65","65","109","109","3020940.0"
"49","54","16","54","16","54","54","123","123","32","32","109","109","32","32","20","20","20","20","110","110","27180.0"
"52","54","54","42","42","42","42","42","42","42","42","42","42","42","42","42","42","32","2","32","2","391920.0"
"53","54","54","42","42","42","42","42","42","42","42","42","42","54","55","54","55","54","54","55","55","818940.0"
"54","91","91","15","15","9","9","9","55","55","9","15","15","55","55","20","20","20","20","55","55","144660.0"
"55","27","27","76","76","76","76","55","31","55","31","27","27","76","76","31","31","27","27","55","55","2472300.0"
"6","54","54","54","54","42","42","42","42","54","54","54","54","32","32","42","32","32","42","54","2","1559700.0"
"60","42","42","20","20","54","54","55","42","55","42","54","54","55","55","55","55","20","20","2","2","43980.0"
"61","31","31","31","31","31","31","9","9","31","55","31","55","76","76","31","55","31","31","55","31","3378420.0"
"62","42","42","42","42","42","42","42","42","42","42","42","42","32","32","32","32","20","20","20","20","686580.0"
"63","46","46","46","46","91","16","16","91","35","9","35","35","35","15","15","9","16","16","109","109","3705240.0"
"66","42","42","42","42","32","32","20","20","20","20","201","201","32","32","20","20","20","20","110","110","30360.0"
"67","91","91","91","91","9","9","9","9","15","15","9","9","76","76","9","16","16","9","15","15","4378320.0"
"7","15","15","9","9","15","15","91","91","9","9","9","9","32","32","20","20","20","32","20","20","114420.0"
"70","31","31","31","31","31","31","31","31","31","31","31","31","76","76","31","31","31","31","76","76","2821380.0"
"72","42","42","42","42","32","32","2","2","20","20","20","2","20","2","110","110","110","110","32","32","0.0"
"73","9","9","91","91","15","15","46","46","91","91","9","9","9","32","32","9","15","54","15","54","832500.0"
"75","54","54","54","54","42","42","42","42","54","54","54","54","93","93","20","20","2","2","109","109","352200.0"
"77","76","76","76","76","31","31","31","31","76","76","27","16","16","27","76","76","31","31","76","76","1303740.0"
"78","91","91","91","91","9","9","46","46","91","91","91","91","35","35","35","35","15","15","46","46","2328360.0"
"80","46","46","46","46","55","55","20","20","2","2","20","20","135","135","135","23","135","67","23","67","49020.0"
"82","91","91","91","91","46","46","46","46","55","55","20","20","2","2","20","20","2","2","67","67","51480.0"
"83","91","91","91","91","15","15","46","46","91","55","55","91","9","9","46","46","55","55","2","2","53700.0"
"84","42","42","42","42","42","42","42","42","42","42","32","32","54","54","32","32","20","20","20","20","599460.0"
"87","15","15","9","9","9","32","9","32","54","91","54","9","91","35","9","35","32","32","54","54","3008880.0"
"89","9","9","15","15","46","46","46","46","9","9","9","9","9","35","35","35","35","9","32","32","73860.0"
"9","76","76","31","31","31","31","32","32","20","20","20","20","109","109","109","109","20","20","55","55","122400.0"
"90","35","35","15","15","46","46","9","9","9","35","35","128","128","9","128","128","9","35","35","9","151800.0"
"91","91","91","15","15","15","46","15","46","32","32","35","35","9","9","15","15","46","46","9","32","403560.0"
"92","35","35","35","35","35","35","32","32","32","32","32","32","65","65","65","65","65","65","65","65","535380.0"
"93","54","54","54","54","42","42","42","42","42","42","16","16","264","264","76","76","27","27","76","76","1379760.0"
"95","46","46","9","9","32","15","32","15","46","46","9","9","32","128","15","32","15","128","9","9","2485140.0"
"97","55","55","23","23","2","2","2","2","2","2","20","20","20","20","55","55","55","55","110","110","31200.0"
