"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","remainingTime"
"11","67","1","26","67","68","69","21","26","13","9","9","9","67","14","26","67","68","69","21","26","13","9","9","9","67","1","70","67","68","69","21","70","6","8","9","9","0","1","40","0","3","69","21","40","6","9","9","9","67","14","70","67","68","69","21","70","6","8","9","9","67","1","70","67","68","69","21","70","6","27","9","9","0","14","40","0","3","69","21","40","6","9","9","9","67","14","70","67","68","69","21","70","6","27","9","9","67","1","26","67","68","69","21","26","6","28","9","9","763380.0"
"110","71","1","18","71","72","73","29","18","13","8","9","9","71","14","18","71","72","73","29","18","13","8","9","9","71","1","34","71","72","73","29","34","13","75","9","9","0","1","2","0","3","73","29","2","6","9","9","9","0","14","2","0","3","73","29","2","6","9","9","9","71","14","34","71","72","73","29","34","13","75","9","9","71","1","34","71","72","73","29","34","6","4","9","9","71","14","34","71","72","73","29","34","6","4","9","9","71","1","18","71","72","73","29","18","6","74","9","9","2470320.0"
"111","76","1","10","76","12","77","5","10","13","8","9","9","76","14","10","76","12","77","5","10","13","8","9","9","76","1","10","76","12","77","5","10","6","78","9","9","76","14","10","76","12","77","5","10","6","78","9","9","76","1","15","76","12","77","5","15","6","79","9","9","76","14","15","76","12","77","5","15","6","79","9","9","76","1","51","76","12","77","5","51","6","80","9","9","76","14","51","76","12","77","5","51","6","80","9","9","76","1","10","76","12","77","5","10","6","69","9","9","1249920.0"
"112","17","1","70","17","19","81","29","70","13","9","9","9","17","14","70","17","19","81","29","70","13","9","9","9","17","1","23","17","19","81","29","23","13","8","9","9","17","14","23","17","19","81","29","23","13","8","9","9","17","1","26","17","19","81","29","26","13","75","9","9","17","14","26","17","19","81","29","26","13","75","9","9","0","1","40","0","3","81","29","40","6","9","75","9","17","1","23","17","19","81","29","23","39","9","9","9","0","14","40","0","3","81","29","40","6","9","75","9","1299240.0"
"114","71","1","18","71","72","82","29","18","13","8","9","9","71","14","18","71","72","82","29","18","13","8","9","9","0","1","24","0","3","82","29","24","6","9","9","9","71","1","83","71","72","82","29","83","13","9","9","9","71","14","83","71","72","82","29","83","13","9","9","9","0","14","24","0","3","82","29","24","6","9","9","9","71","1","18","71","72","82","29","18","6","50","9","9","71","14","18","71","72","82","29","18","6","50","9","9","0","1","24","0","3","82","29","24","6","50","9","9","201840.0"
"115","11","1","10","11","12","84","29","10","13","9","9","9","11","14","10","11","12","84","29","10","13","9","9","9","11","1","34","11","12","84","29","34","6","62","9","9","11","14","34","11","12","84","29","34","6","62","9","9","11","1","10","11","12","84","29","10","6","86","9","9","11","14","10","11","12","84","29","10","6","86","9","9","11","1","10","11","12","84","29","10","13","9","9","9","11","14","10","11","12","84","29","10","13","9","9","9","11","1","10","11","12","84","29","10","6","85","9","9","1696260.0"
"116","87","1","88","87","89","90","91","88","13","9","9","9","87","14","88","87","89","90","91","88","13","9","9","9","87","1","88","87","89","90","91","88","6","92","9","9","87","14","88","87","89","90","91","88","6","92","9","9","87","1","93","87","89","90","91","93","6","36","9","9","87","14","93","87","89","90","91","93","6","36","9","9","95","1","94","95","95","90","91","94","6","96","9","9","95","14","94","95","95","90","91","94","6","96","9","9","87","1","88","87","89","90","91","88","6","65","9","9","521880.0"
"119","67","1","26","67","68","97","98","26","13","9","9","9","67","14","26","67","68","97","98","26","13","9","9","9","67","1","26","67","68","97","98","26","13","9","9","9","67","14","26","67","68","97","98","26","13","9","9","9","67","1","26","67","68","97","98","26","13","8","9","9","67","14","26","67","68","97","98","26","13","8","9","9","67","1","70","67","68","97","98","70","6","65","9","9","67","14","70","67","68","97","98","70","6","65","9","9","67","1","26","67","68","97","98","26","6","33","9","9","381540.0"
"12","99","1","70","99","19","100","21","70","13","9","9","9","99","14","70","99","19","100","21","70","13","9","9","9","99","1","26","99","19","100","21","26","13","8","9","9","99","14","26","99","19","100","21","26","13","8","9","9","25","1","24","25","3","100","21","24","6","9","9","9","25","14","24","25","3","100","21","24","6","9","9","9","99","1","26","99","19","100","21","26","6","33","9","9","99","14","26","99","19","100","21","26","6","33","9","9","99","1","70","99","19","100","21","70","6","45","9","9","1830540.0"
"120","48","1","34","48","49","101","5","34","13","102","9","9","48","14","34","48","49","101","5","34","13","102","9","9","48","1","51","48","49","101","5","51","13","8","9","9","48","14","51","48","49","101","5","51","13","8","9","9","48","1","18","48","49","101","5","18","39","9","9","9","48","14","18","48","49","101","5","18","39","9","9","9","0","1","46","0","3","101","5","46","6","102","8","9","0","14","46","0","3","101","5","46","6","102","8","9","58","1","57","58","59","101","5","57","6","102","9","9","589140.0"
"121","48","1","34","48","49","86","103","34","13","8","9","9","48","14","34","48","49","86","103","34","13","8","9","9","48","1","34","48","49","86","103","34","6","35","9","9","25","1","104","25","3","86","103","104","6","86","9","9","25","14","104","25","3","86","103","104","6","86","9","9","48","14","34","48","49","86","103","34","6","35","9","9","48","1","51","48","49","86","103","51","13","9","9","9","25","1","46","25","3","86","103","46","6","35","9","9","25","14","46","25","3","86","103","46","6","35","9","9","1917960.0"
"122","48","1","51","48","49","86","103","51","13","8","9","9","48","14","51","48","49","86","103","51","13","8","9","9","48","1","51","48","49","86","103","51","6","35","9","9","48","14","51","48","49","86","103","51","6","35","9","9","48","1","51","48","49","86","103","51","13","8","9","9","48","14","51","48","49","86","103","51","13","8","9","9","48","1","51","48","49","86","103","51","6","35","9","9","0","1","2","0","3","86","103","2","6","9","9","9","0","14","2","0","3","86","103","2","6","9","9","9","1937400.0"
"123","11","1","51","11","12","105","5","51","13","9","9","9","11","14","51","11","12","105","5","51","13","9","9","9","11","1","10","11","12","105","5","10","13","9","9","9","11","14","10","11","12","105","5","10","13","9","9","9","11","1","10","11","12","105","5","10","6","106","9","9","11","14","10","11","12","105","5","10","6","106","9","9","11","1","15","11","12","105","5","15","6","9","9","9","11","14","15","11","12","105","5","15","6","9","9","9","11","1","15","11","12","105","5","15","6","80","9","9","278040.0"
"124","11","1","10","11","12","86","29","10","13","8","9","9","11","14","10","11","12","86","29","10","13","8","9","9","11","1","10","11","12","86","29","10","6","65","9","9","11","14","10","11","12","86","29","10","6","65","9","9","11","1","51","11","12","86","29","51","6","9","9","9","11","14","51","11","12","86","29","51","6","9","9","9","11","1","15","11","12","86","29","15","6","7","9","9","11","14","15","11","12","86","29","15","6","7","9","9","0","1","40","0","3","86","29","40","6","86","9","9","390720.0"
"125","71","1","18","71","72","107","29","18","13","9","9","9","71","14","18","71","72","107","29","18","13","9","9","9","71","1","15","71","72","107","29","15","13","8","9","9","71","14","15","71","72","107","29","15","13","8","9","9","0","1","24","0","3","107","29","24","6","9","9","9","71","1","15","71","72","107","29","15","6","108","9","9","71","14","15","71","72","107","29","15","6","108","9","9","0","14","24","0","3","107","29","24","6","9","9","9","71","1","51","71","72","107","29","51","6","101","9","9","2640.0"
"126","11","1","51","11","12","4","37","51","13","9","9","9","11","14","51","11","12","4","37","51","13","9","9","9","11","1","15","11","12","4","37","15","13","65","9","9","11","14","15","11","12","4","37","15","13","65","9","9","11","1","10","11","12","4","37","10","13","9","9","9","0","1","40","0","3","4","37","40","6","9","8","9","11","14","10","11","12","4","37","10","13","9","9","9","11","1","10","11","12","4","37","10","6","16","9","9","0","14","40","0","3","4","37","40","6","9","8","9","493200.0"
"127","71","1","18","71","72","109","29","18","13","65","9","9","71","14","18","71","72","109","29","18","13","65","9","9","71","1","18","71","72","109","29","18","6","102","9","9","71","14","18","71","72","109","29","18","6","102","9","9","71","1","15","71","72","109","29","15","6","35","9","9","71","14","15","71","72","109","29","15","6","35","9","9","71","1","34","71","72","109","29","34","6","110","9","9","71","14","34","71","72","109","29","34","6","110","9","9","0","1","24","0","3","109","29","24","6","9","9","9","1297320.0"
"129","31","1","30","31","32","75","111","30","13","9","9","9","0","1","40","0","3","75","111","40","13","9","9","9","0","14","40","0","3","75","111","40","13","9","9","9","31","14","30","31","32","75","111","30","13","9","9","9","31","1","30","31","32","75","111","30","13","8","9","9","31","14","30","31","32","75","111","30","13","8","9","9","31","1","42","31","32","75","111","42","6","65","9","9","31","14","42","31","32","75","111","42","6","65","9","9","0","1","40","0","3","75","111","40","6","75","9","9","1044660.0"
"13","99","1","23","99","19","82","21","23","13","9","9","9","99","14","23","99","19","82","21","23","13","9","9","9","99","1","23","99","19","82","21","23","6","65","9","9","99","14","23","99","19","82","21","23","6","65","9","9","99","1","26","99","19","82","21","26","6","28","9","9","99","14","26","99","19","82","21","26","6","28","9","9","95","1","94","95","95","82","21","94","6","82","9","9","95","14","94","95","95","82","21","94","6","82","9","9","25","1","24","25","3","82","21","24","6","82","9","9","17520.0"
"135","48","1","34","48","49","73","37","34","13","8","9","9","48","14","34","48","49","73","37","34","13","8","9","9","48","1","51","48","49","73","37","51","13","9","9","9","48","1","83","48","49","73","37","83","13","9","9","9","48","14","83","48","49","73","37","83","13","9","9","9","48","14","51","48","49","73","37","51","13","9","9","9","48","1","34","48","49","73","37","34","13","9","9","9","48","14","34","48","49","73","37","34","13","9","9","9","48","1","34","48","49","73","37","34","13","9","9","9","635460.0"
"138","11","1","15","11","12","97","5","15","13","9","9","9","11","14","15","11","12","97","5","15","13","9","9","9","11","1","10","11","12","97","5","10","13","8","9","9","11","14","10","11","12","97","5","10","13","8","9","9","11","1","10","11","12","97","5","10","6","112","9","9","11","14","10","11","12","97","5","10","6","112","9","9","11","1","15","11","12","97","5","15","6","28","9","9","11","14","15","11","12","97","5","15","6","28","9","9","48","1","51","48","49","97","5","51","6","101","9","9","81420.0"
"140","48","1","51","48","49","101","5","51","13","65","9","9","48","14","51","48","49","101","5","51","13","65","9","9","48","1","15","48","49","101","5","15","6","75","9","9","48","14","15","48","49","101","5","15","6","75","9","9","0","1","46","0","3","101","5","46","6","75","65","9","0","14","46","0","3","101","5","46","6","75","65","9","58","1","54","58","59","101","5","54","6","75","9","9","58","14","54","58","59","101","5","54","6","75","9","9","113","1","57","113","114","101","5","57","6","75","9","9","261360.0"
"145","117","1","30","117","32","115","116","30","13","65","9","9","117","14","30","117","32","115","116","30","13","65","9","9","117","1","42","117","32","115","116","42","6","36","9","9","117","14","42","117","32","115","116","42","6","36","9","9","117","1","30","117","32","115","116","30","6","9","9","9","117","14","30","117","32","115","116","30","6","9","9","9","117","1","30","117","32","115","116","30","6","108","9","9","117","14","30","117","32","115","116","30","6","108","9","9","25","1","24","25","3","115","116","24","6","115","9","9","1786440.0"
"147","117","1","30","117","32","118","119","30","13","8","9","9","117","14","30","117","32","118","119","30","13","8","9","9","117","1","42","117","32","118","119","42","13","9","9","9","117","14","42","117","32","118","119","42","13","9","9","9","117","1","42","117","32","118","119","42","6","85","9","9","117","14","42","117","32","118","119","42","6","85","9","9","117","1","30","117","32","118","119","30","6","66","9","9","95","1","94","95","95","118","119","94","6","120","9","9","95","14","94","95","95","118","119","94","6","120","9","9","46980.0"
"148","124","1","123","124","125","122","119","123","6","9","9","9","124","14","123","124","125","122","119","123","6","9","9","9","127","1","126","127","128","122","119","126","6","8","9","9","127","14","126","127","128","122","119","126","6","8","9","9","121","1","40","121","3","122","119","40","6","8","9","9","129","1","40","129","3","122","119","40","6","8","9","9","95","1","130","95","95","122","119","130","6","8","9","9","95","14","130","95","95","122","119","130","6","8","9","9","121","14","40","121","3","122","119","40","6","8","9","9","49080.0"
"153","87","1","88","87","89","131","37","88","13","9","9","9","87","14","88","87","89","131","37","88","13","9","9","9","87","1","88","87","89","131","37","88","6","102","9","9","87","14","88","87","89","131","37","88","6","102","9","9","121","1","40","121","3","131","37","40","6","9","9","9","121","14","40","121","3","131","37","40","6","9","9","9","121","1","40","121","3","131","37","40","6","102","9","9","121","14","40","121","3","131","37","40","6","102","9","9","95","1","94","95","95","131","37","94","6","102","9","9","3600.0"
"155","117","1","42","117","132","107","29","42","13","9","9","9","117","14","42","117","132","107","29","42","13","9","9","9","31","1","42","31","32","107","29","42","6","9","9","9","31","14","42","31","32","107","29","42","6","9","9","9","31","1","42","31","32","107","29","42","6","52","9","9","31","14","42","31","32","107","29","42","6","52","9","9","31","1","42","31","32","107","29","42","6","115","9","9","0","1","24","0","3","107","29","24","6","9","9","9","0","14","24","0","3","107","29","24","6","9","9","9","392460.0"
"156","17","1","70","17","19","133","134","70","13","9","9","9","17","14","70","17","19","133","134","70","13","9","9","9","17","1","70","17","19","133","134","70","6","97","9","9","17","14","70","17","19","133","134","70","6","97","9","9","17","1","70","17","19","133","134","70","13","8","9","9","17","14","70","17","19","133","134","70","13","8","9","9","17","1","70","17","19","133","134","70","6","102","9","9","17","14","70","17","19","133","134","70","6","102","9","9","17","1","70","17","19","133","134","70","6","9","9","9","1136880.0"
"163","95","1","136","95","95","135","91","136","6","118","9","9","95","14","136","95","95","135","91","136","6","118","9","9","121","1","40","121","3","135","91","40","6","118","9","9","121","14","40","121","3","135","91","40","6","118","9","9","25","1","40","25","3","135","91","40","6","4","9","9","25","14","40","25","3","135","91","40","6","4","9","9","25","1","40","25","3","135","91","40","6","108","9","9","25","14","40","25","3","135","91","40","6","108","9","9","117","1","23","117","132","135","91","23","39","9","9","9","5212200.0"
"17","117","1","30","117","132","69","91","30","13","9","9","9","117","14","30","117","132","69","91","30","13","9","9","9","117","1","30","117","132","69","91","30","13","9","9","9","117","14","30","117","132","69","91","30","13","9","9","9","117","1","30","117","132","69","91","30","39","9","9","9","117","14","30","117","132","69","91","30","39","9","9","9","117","1","30","117","132","69","91","30","6","9","9","9","117","1","137","117","132","69","91","137","6","82","9","9","117","14","30","117","132","69","91","30","6","9","9","9","2732640.0"
"174","71","1","34","71","72","78","29","34","13","9","9","9","71","14","34","71","72","78","29","34","13","9","9","9","71","1","18","71","72","78","29","18","13","8","9","9","0","1","40","0","3","78","29","40","13","9","9","9","71","14","18","71","72","78","29","18","13","8","9","9","71","1","18","71","72","78","29","18","6","33","9","9","0","14","40","0","3","78","29","40","13","9","9","9","71","14","18","71","72","78","29","18","6","33","9","9","71","1","83","71","72","78","29","83","6","102","9","9","927420.0"
"177","113","1","57","113","114","138","5","57","6","33","9","9","113","14","57","113","114","138","5","57","6","33","9","9","140","1","139","140","141","138","5","139","13","9","9","9","140","14","139","140","141","138","5","139","13","9","9","9","140","1","139","140","141","138","5","139","6","65","9","9","140","14","139","140","141","138","5","139","6","65","9","9","140","1","142","140","141","138","5","142","6","86","9","9","140","14","142","140","141","138","5","142","6","86","9","9","121","1","2","121","3","138","5","2","6","9","9","9","6286500.0"
"178","145","1","144","145","146","143","5","144","6","66","9","9","145","14","144","145","146","143","5","144","6","66","9","9","140","1","142","140","141","143","5","142","13","9","9","9","140","14","142","140","141","143","5","142","13","9","9","9","147","1","93","147","89","143","5","93","6","9","9","9","147","14","93","147","89","143","5","93","6","9","9","9","147","1","93","147","89","143","5","93","6","9","9","9","113","1","54","113","114","143","5","54","6","9","9","9","113","1","57","113","114","143","5","57","6","9","9","9","5064900.0"
"179","147","1","93","147","89","135","5","93","6","9","9","9","147","14","93","147","89","135","5","93","6","9","9","9","121","1","2","121","3","135","5","2","6","4","9","9","121","14","2","121","3","135","5","2","6","4","9","9","95","1","94","95","95","135","5","94","6","4","9","9","95","14","94","95","95","135","5","94","6","4","9","9","148","1","88","148","149","135","5","88","6","9","9","9","148","14","88","148","149","135","5","88","6","9","9","9","121","1","2","121","3","135","5","2","6","9","9","9","81600.0"
"18","48","1","10","48","49","150","5","10","13","65","9","9","48","14","10","48","49","150","5","10","13","65","9","9","48","1","10","48","49","150","5","10","6","16","9","9","48","14","10","48","49","150","5","10","6","16","9","9","48","1","51","48","49","150","5","51","39","9","9","9","48","14","51","48","49","150","5","51","39","9","9","9","48","1","10","48","49","150","5","10","13","9","9","9","48","14","10","48","49","150","5","10","13","9","9","9","48","1","10","48","49","150","5","10","6","105","9","9","6177600.0"
"182","0","1","24","0","3","151","29","24","6","9","9","9","0","14","24","0","3","151","29","24","6","9","9","9","148","1","88","148","149","151","29","88","6","9","9","9","148","14","88","148","149","151","29","88","6","9","9","9","121","1","24","121","3","151","29","24","6","101","8","9","121","14","24","121","3","151","29","24","6","101","8","9","0","1","24","0","3","151","29","24","6","9","75","9","0","14","24","0","3","151","29","24","6","9","75","9","95","1","94","95","95","151","29","94","6","101","9","9","1791240.0"
"185","67","1","26","67","68","27","5","26","6","65","9","9","67","14","26","67","68","27","5","26","6","65","9","9","147","1","88","147","89","27","5","88","6","9","9","9","147","14","88","147","89","27","5","88","6","9","9","9","95","1","94","95","95","27","5","94","6","101","9","9","95","1","94","95","95","27","5","94","6","9","9","9","95","14","94","95","95","27","5","94","6","101","9","9","95","14","94","95","95","27","5","94","6","9","9","9","121","1","40","121","3","27","5","40","6","101","9","9","7341000.0"
"187","113","1","54","113","114","152","5","54","6","9","9","9","113","14","54","113","114","152","5","54","6","9","9","9","145","1","139","145","146","152","5","139","13","9","9","9","145","14","139","145","146","152","5","139","13","9","9","9","145","1","142","145","146","152","5","142","13","65","9","9","145","14","142","145","146","152","5","142","13","65","9","9","145","1","144","145","146","152","5","144","6","47","9","9","145","14","144","145","146","152","5","144","6","47","9","9","145","1","139","145","146","152","5","139","6","92","9","9","4040280.0"
"188","58","1","57","58","59","153","154","57","6","155","9","9","113","1","54","113","114","153","154","54","6","9","9","9","113","14","54","113","114","153","154","54","6","9","9","9","113","1","54","113","114","153","154","54","6","9","9","9","58","14","57","58","59","153","154","57","6","155","9","9","113","14","54","113","114","153","154","54","6","9","9","9","113","1","57","113","114","153","154","57","6","155","9","9","113","14","57","113","114","153","154","57","6","155","9","9","0","1","24","0","3","153","154","24","6","36","9","9","1827900.0"
"189","0","1","2","0","3","16","156","2","6","9","8","9","0","14","2","0","3","16","156","2","6","9","8","9","0","1","2","0","3","16","156","2","6","9","8","9","0","14","2","0","3","16","156","2","6","9","8","9","0","1","2","0","3","16","156","2","6","9","8","9","0","14","2","0","3","16","156","2","6","9","8","9","121","1","2","121","3","16","156","2","6","9","9","9","121","14","2","121","3","16","156","2","6","9","9","9","121","1","2","121","3","16","156","2","6","8","9","9","54000.0"
"19","48","1","15","48","49","47","5","15","13","8","9","9","48","14","15","48","49","47","5","15","13","8","9","9","0","1","2","0","3","47","5","2","13","9","9","9","0","14","2","0","3","47","5","2","13","9","9","9","11","1","10","11","12","47","5","10","6","106","9","9","11","14","10","11","12","47","5","10","6","106","9","9","0","1","2","0","3","47","5","2","6","47","9","9","0","14","2","0","3","47","5","2","6","47","9","9","58","1","57","58","59","47","5","57","6","47","9","9","1909500.0"
"190","95","1","94","95","95","112","157","94","6","33","9","9","95","14","94","95","95","112","157","94","6","33","9","9","121","1","46","121","3","112","157","46","6","33","9","9","121","14","46","121","3","112","157","46","6","33","9","9","0","1","46","0","3","112","157","46","6","9","9","9","0","14","46","0","3","112","157","46","6","9","9","9","121","1","46","121","3","112","157","46","6","9","9","9","121","14","46","121","3","112","157","46","6","9","9","9","0","1","46","0","3","112","157","46","6","9","9","9","6720.0"
"192","124","1","123","124","125","152","119","123","6","9","9","9","124","14","123","124","125","152","119","123","6","9","9","9","0","1","40","0","3","152","119","40","6","9","9","9","0","14","40","0","3","152","119","40","6","9","9","9","17","1","26","17","19","152","119","26","13","8","9","9","17","14","26","17","19","152","119","26","13","8","9","9","0","1","40","0","3","152","119","40","6","9","9","9","17","1","26","17","19","152","119","26","13","9","9","9","0","14","40","0","3","152","119","40","6","9","9","9","1574640.0"
