"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","remainingTime"
"89","9","9","2","2","29","29","29","301020.0"
"9","62","62","19","19","19","19","20","1705020.0"
"90","53","53","2","2","29","29","9","410400.0"
"91","40","40","2","2","2","29","2","524040.0"
"92","53","53","53","53","53","53","20","1876380.0"
"93","35","35","35","35","24","24","24","3758520.0"
"95","29","29","9","9","20","2","20","2652180.0"
"96","54","54","54","54","112","112","112","84960.0"
"97","54","54","153","153","112","112","112","895200.0"
"98","54","54","77","77","112","112","77","1800.0"
"99","20","20","20","20","20","20","112","349200.0"
