"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"145","30","30","40","40","30","30","30","30","24","24","25","1","24","25","3","116","117","24","6","116","9","9","1786380.0"
"147","30","30","40","40","40","40","30","96","96","30","118","1","30","118","32","119","120","30","6","64","9","9","43140.0"
"148","124","124","127","127","42","42","130","130","42","42","122","1","42","122","3","123","120","42","6","8","9","9","49080.0"
"153","91","91","91","91","42","42","42","42","96","96","97","1","96","97","97","131","37","96","6","103","9","9","0.0"
"155","40","40","40","40","40","40","40","24","24","40","31","1","40","31","32","108","29","40","6","116","9","9","379260.0"
"156","70","70","70","70","70","70","70","70","70","70","17","1","70","17","19","133","134","70","6","9","9","9","1102740.0"
"163","136","136","42","42","42","42","42","42","23","23","118","1","23","118","132","135","89","23","39","9","9","9","5212140.0"
"17","30","30","30","30","30","30","30","137","30","30","118","12","30","118","132","69","89","30","6","102","9","9","2732580.0"
"174","34","34","18","42","18","18","42","18","83","83","71","1","83","71","72","78","29","83","6","103","9","9","923280.0"
"177","57","57","139","139","139","139","142","142","2","2","87","1","2","87","3","138","5","2","6","9","9","9","6280500.0"
"178","145","145","142","142","95","95","95","54","57","95","143","1","95","143","93","144","5","95","6","9","9","9","5053500.0"
"179","95","95","2","2","96","96","91","91","2","2","87","1","2","87","3","135","5","2","6","9","9","9","74400.0"
"18","10","10","10","10","51","51","10","10","10","10","11","12","10","11","13","150","5","10","14","9","9","9","6154860.0"
"182","24","24","91","91","24","24","24","24","96","96","97","1","96","97","97","151","29","96","6","102","9","9","1787640.0"
"185","26","26","91","91","96","96","96","96","42","42","87","1","42","87","3","27","5","42","6","102","9","9","7338420.0"
"187","54","54","139","139","142","142","145","145","139","139","146","1","139","146","147","152","5","139","6","94","9","9","4008060.0"
"188","57","54","54","54","57","54","57","57","24","24","0","1","24","0","3","153","154","24","6","36","9","9","1827660.0"
"189","2","2","2","2","2","2","2","2","2","2","87","1","2","87","3","16","156","2","6","8","9","9","43800.0"
"19","15","15","2","2","10","10","2","2","57","57","58","1","57","58","59","47","5","57","6","47","9","9","1906380.0"
"190","96","96","46","46","46","46","46","46","46","46","0","1","46","0","3","113","157","46","6","9","9","9","0.0"
"192","124","124","42","42","26","26","42","26","42","26","17","1","26","17","19","152","120","26","14","9","9","9","1574580.0"
"194","26","26","26","42","26","42","26","42","42","26","67","1","26","67","68","98","158","26","14","75","9","9","2186280.0"
"195","42","42","54","54","57","57","57","54","57","54","53","1","54","53","55","106","159","54","6","101","9","9","850920.0"
"198","51","51","34","34","34","34","42","51","51","42","0","1","42","0","3","69","5","42","6","9","8","9","6067860.0"
"199","54","54","57","54","54","54","57","57","57","145","140","12","145","140","141","161","5","145","14","9","9","9","7498680.0"
"20","15","15","24","15","15","24","18","18","18","18","11","1","18","11","13","163","164","18","14","65","9","9","3191160.0"
"200","105","105","95","95","46","46","46","46","96","96","97","1","96","97","97","62","5","96","6","8","9","9","1296900.0"
"201","46","46","46","46","30","30","30","30","30","30","118","1","30","118","132","82","166","30","6","65","9","9","4001880.0"
"203","24","24","57","57","54","54","57","57","54","54","114","1","54","114","115","102","168","54","6","102","9","9","80700.0"
"206","24","24","57","57","57","57","95","95","95","95","92","1","95","92","93","169","170","95","6","4","9","9","1242720.0"
"207","51","34","51","34","51","34","51","34","34","34","71","1","34","71","72","171","172","34","6","35","9","9","1708200.0"
"208","70","70","23","23","70","70","70","70","26","26","67","1","26","67","68","52","5","26","14","65","9","9","3257400.0"
"209","18","18","40","40","40","40","51","51","18","18","71","1","18","71","72","173","29","18","6","106","9","9","670440.0"
"21","15","15","34","34","24","10","10","10","10","24","0","1","24","0","3","138","164","24","6","9","9","9","3413400.0"
"210","34","34","18","18","18","18","34","34","18","18","71","1","18","71","72","176","21","18","6","28","9","9","930780.0"
"211","24","24","142","142","145","145","54","54","57","57","114","1","57","114","115","177","21","57","6","178","9","9","458940.0"
"212","18","18","18","18","18","24","18","24","34","34","71","1","34","71","72","180","29","34","6","107","9","9","1093440.0"
"214","18","18","18","18","15","34","15","34","24","24","0","1","24","0","3","135","29","24","6","9","65","9","1443660.0"
"215","40","40","40","40","145","145","24","24","24","24","0","1","24","0","3","182","29","24","6","182","9","9","944880.0"
"218","184","184","188","188","188","188","184","184","42","42","87","1","42","87","3","183","172","42","6","9","9","9","350040.0"
"219","57","57","57","57","142","142","139","139","142","142","140","1","142","140","141","74","5","142","14","8","9","9","714780.0"
"22","70","70","23","23","23","23","23","23","70","70","17","1","70","17","19","102","29","70","14","8","9","9","448080.0"
"223","40","42","40","40","40","40","42","40","34","34","31","1","34","31","32","74","29","34","6","109","9","9","2053980.0"
"225","95","95","95","95","95","95","95","95","95","95","58","1","95","58","59","189","5","95","6","190","9","9","6912000.0"
"228","40","40","40","40","40","40","24","24","24","24","0","1","24","0","3","4","29","24","6","9","9","9","377760.0"
"229","40","42","42","40","34","34","40","40","42","42","25","1","42","25","3","41","29","42","6","41","9","9","566580.0"
"23","51","51","15","15","34","34","46","46","51","46","0","1","46","0","3","52","104","46","6","85","8","9","3110760.0"
"230","18","18","18","18","18","18","18","24","24","18","71","1","18","71","72","194","21","18","6","45","9","9","4483200.0"
"231","57","57","142","142","142","142","139","91","139","91","140","1","91","140","141","82","5","91","6","109","9","9","617820.0"
"232","46","51","46","95","51","95","91","91","91","91","195","1","91","195","149","102","5","91","14","9","9","9","594240.0"
"233","70","23","70","23","23","23","10","10","42","42","0","1","42","0","3","41","29","42","6","60","65","9","914940.0"
"234","42","42","42","42","127","127","200","200","127","127","197","1","127","197","198","119","199","127","6","9","9","9","4727160.0"
"235","2","2","2","26","2","26","26","26","26","26","67","1","26","67","68","52","201","26","14","9","9","9","2574420.0"
"236","91","91","91","91","24","95","24","95","91","91","92","1","91","92","93","82","21","91","6","113","9","9","177600.0"
"237","24","24","15","15","24","24","24","24","57","54","58","12","54","58","59","202","203","54","6","77","9","9","4849020.0"
"238","18","18","34","34","34","34","18","18","15","15","11","12","15","11","13","206","63","15","6","9","9","9","3864300.0"
"239","18","18","51","34","51","24","24","34","18","18","71","1","18","71","72","113","29","18","6","85","9","9","1203780.0"
"24","10","10","10","10","46","46","54","54","207","95","114","12","95","114","115","52","104","95","6","85","9","9","3134880.0"
"240","18","18","34","34","51","51","18","18","34","34","71","1","34","71","72","210","211","34","6","98","9","9","1070040.0"
"241","51","51","51","51","15","15","42","18","42","18","71","1","18","71","72","113","29","18","14","8","9","9","310740.0"
"242","18","18","18","18","15","15","34","34","18","18","71","1","18","71","72","98","21","18","6","8","9","9","668940.0"
"243","18","18","34","42","34","34","42","34","24","24","0","1","24","0","3","4","21","24","6","7","8","9","1029180.0"
"244","91","91","91","91","91","91","91","91","91","42","87","12","42","87","3","102","5","42","6","9","9","9","309600.0"
"245","23","23","23","2","2","23","23","23","23","23","17","1","23","17","19","102","5","23","6","103","9","9","2637120.0"
"246","70","70","23","23","70","70","42","42","54","54","58","1","54","58","59","162","212","54","6","64","9","9","398340.0"
"248","23","23","23","23","70","70","54","54","46","46","0","1","46","0","3","41","37","46","6","41","9","9","692040.0"
"249","40","40","40","40","42","42","40","40","40","40","31","1","40","31","32","213","29","40","6","214","9","9","566820.0"
"25","51","51","51","51","51","51","34","34","34","34","48","1","34","48","49","52","104","34","6","33","9","9","3034980.0"
"250","216","216","216","216","2","216","2","216","216","216","215","1","216","215","217","107","218","216","6","33","9","9","475200.0"
"251","51","51","10","10","10","10","2","2","57","57","58","1","57","58","59","102","5","57","6","102","9","9","3816780.0"
"252","18","18","18","24","18","24","24","24","18","18","71","1","18","71","72","85","29","18","6","4","9","9","299100.0"
"253","70","70","70","70","24","23","24","24","23","24","0","1","24","0","3","113","219","24","6","60","8","9","572100.0"
"254","57","57","57","57","57","57","54","54","24","24","87","1","24","87","3","220","21","24","6","9","9","9","152880.0"
"255","40","40","24","24","57","57","24","24","96","96","97","1","96","97","97","98","61","96","6","98","9","9","0.0"
"256","40","40","10","10","18","18","42","42","40","40","118","1","40","118","32","69","222","40","14","9","9","9","3002400.0"
"257","18","18","10","10","51","51","83","83","34","34","48","1","34","48","49","135","5","34","6","221","9","9","6745200.0"
"258","18","18","18","18","34","34","34","34","34","34","71","1","34","71","72","62","29","34","14","65","9","9","1504140.0"
"259","70","70","70","70","26","26","18","18","70","70","67","1","70","67","68","224","134","70","6","103","9","9","6107400.0"
"26","15","15","18","18","18","18","10","10","10","10","11","1","10","11","13","52","104","10","6","85","9","9","3537000.0"
"260","34","34","34","34","34","34","18","18","34","34","71","1","34","71","72","225","29","34","6","86","9","9","4551300.0"
"261","40","40","40","40","24","24","30","30","24","24","0","1","24","0","3","119","211","24","6","119","9","9","585000.0"
"262","15","15","34","34","34","34","24","24","24","24","0","1","24","0","3","162","21","24","6","47","75","9","187260.0"
"263","30","30","30","30","30","42","30","30","42","30","31","1","30","31","32","28","226","30","39","9","9","9","1605600.0"
"264","83","83","83","34","83","34","18","18","24","24","0","1","24","0","3","227","211","24","6","9","9","9","191820.0"
"265","40","40","40","40","40","40","40","40","40","40","31","1","40","31","32","7","228","40","6","7","9","9","866400.0"
"266","2","2","51","51","10","10","51","2","51","51","48","12","51","48","49","229","5","51","14","8","9","9","7296780.0"
"267","15","15","18","18","18","18","15","24","24","15","11","1","15","11","13","153","154","15","6","82","9","9","7214880.0"
"268","40","40","40","24","40","24","40","24","24","40","31","1","40","31","32","116","231","40","14","9","9","9","1799100.0"
"269","40","40","40","42","40","40","42","40","40","40","31","1","40","31","32","85","29","40","6","102","9","9","1637280.0"
"27","40","40","40","40","40","40","40","40","40","40","31","1","40","31","32","85","29","40","14","9","9","9","425760.0"
"271","10","10","10","10","10","10","51","46","51","46","0","1","46","0","3","135","5","46","6","9","9","9","6600240.0"
"272","23","23","70","70","70","70","23","24","23","24","0","1","24","0","3","82","21","24","6","28","65","9","1390740.0"
"273","23","23","23","26","26","24","23","24","57","57","53","1","57","53","55","85","21","57","6","85","9","9","1483680.0"
"274","30","30","30","42","42","30","30","42","95","30","31","1","30","31","32","75","21","30","6","65","9","9","133740.0"
"277","216","216","46","46","91","91","91","91","91","91","92","1","91","92","93","75","5","91","6","9","9","9","308640.0"
"28","18","18","18","18","15","24","24","15","24","24","0","1","24","0","3","144","29","24","6","9","9","9","3347040.0"
"29","26","26","70","70","23","23","70","70","70","70","67","1","70","67","68","175","5","70","6","27","9","9","3422340.0"
"3","15","2","15","2","10","10","2","2","57","57","58","1","57","58","59","4","5","57","6","4","9","9","1528320.0"
"30","34","2","2","34","83","83","51","51","15","2","0","12","2","0","3","62","5","2","6","62","9","9","2400.0"
"31","10","10","10","10","10","10","34","34","2","2","0","1","2","0","3","74","5","2","6","86","8","9","2700180.0"
"32","18","18","51","51","34","34","51","51","15","15","48","1","15","48","49","151","37","15","14","8","9","9","2423700.0"
"33","18","18","24","18","24","18","18","18","15","15","71","1","15","71","72","74","29","15","6","82","9","9","1934400.0"
"34","26","26","23","23","23","23","10","10","26","42","0","12","42","0","3","82","37","42","6","82","9","9","1965360.0"
"35","51","51","18","18","34","51","34","51","2","2","0","12","2","0","3","60","5","2","6","9","9","9","2328000.0"
"36","34","34","51","51","10","10","10","10","46","34","48","12","34","48","49","82","5","34","14","9","9","9","1484400.0"
"37","40","70","70","40","40","40","18","18","233","233","31","1","233","31","32","162","29","233","6","187","9","9","1839600.0"
"38","15","15","51","51","10","10","10","10","10","10","11","1","10","11","13","174","5","10","14","9","9","9","4795980.0"
"39","70","70","70","42","42","70","70","42","70","42","0","1","42","0","3","4","21","42","6","4","9","9","439020.0"
"4","10","10","34","46","34","34","46","34","51","51","48","1","51","48","49","60","5","51","6","7","9","9","45660.0"
"40","23","23","70","70","23","23","23","23","23","23","100","1","23","100","19","162","21","23","39","9","9","9","1167360.0"
"41","23","23","23","24","23","23","24","23","70","70","17","1","70","17","19","82","21","70","6","4","9","9","1606440.0"
"42","18","18","18","18","24","24","15","15","30","30","71","1","30","71","72","69","21","30","6","103","9","9","452220.0"
"43","30","30","40","24","40","24","40","40","30","30","31","1","30","31","32","160","29","30","6","28","9","9","359820.0"
"44","26","26","70","70","70","70","26","26","26","26","235","1","26","235","68","236","237","26","6","60","9","9","2098800.0"
"45","18","18","34","34","34","34","24","24","40","40","238","1","40","238","32","60","21","40","6","9","9","9","144660.0"
"46","51","51","34","34","51","18","51","18","18","18","71","1","18","71","72","4","29","18","6","7","9","9","164340.0"
"47","30","30","30","24","30","30","24","30","30","30","31","1","30","31","32","4","29","30","14","9","9","9","1386060.0"
"48","15","15","10","10","10","10","42","42","15","15","11","1","15","11","13","74","5","15","6","102","9","9","3118440.0"
"49","40","2","40","2","40","40","105","105","24","24","0","1","24","0","3","33","29","24","6","109","9","9","1025760.0"
"50","40","40","40","40","40","40","40","40","24","24","0","1","24","0","3","7","29","24","6","7","9","9","1205220.0"
"52","40","40","30","30","30","30","30","30","30","30","31","1","30","31","32","221","29","30","14","8","9","9","574860.0"
"53","40","40","30","30","30","30","30","30","30","30","31","1","30","31","32","4","239","30","6","7","9","9","872460.0"
"54","51","51","15","15","10","10","10","42","42","10","11","1","10","11","13","41","29","10","6","35","9","9","235560.0"
"55","26","26","70","70","70","70","42","23","42","23","235","1","23","235","68","240","211","23","6","4","9","9","3241320.0"
"56","30","30","40","96","96","40","40","40","24","24","25","1","24","25","3","41","21","24","6","41","9","9","16380.0"
"58","91","91","91","91","95","95","91","91","24","57","58","12","57","58","59","86","44","57","6","86","9","9","35460.0"
"59","18","18","51","51","34","34","24","24","83","83","58","1","83","58","59","4","29","83","6","33","9","9","167820.0"
"6","40","40","40","40","30","30","30","30","40","40","31","1","40","31","32","241","211","40","14","9","9","9","1633020.0"
"60","30","30","57","57","40","40","42","30","42","30","118","1","30","118","32","60","242","30","39","9","9","9","231660.0"
"61","23","23","23","23","23","23","10","10","23","42","0","12","42","0","3","98","158","42","14","9","9","9","3559860.0"
"62","30","30","30","30","30","30","30","30","30","30","31","1","30","31","32","7","29","30","6","16","9","9","2397360.0"
"63","34","34","34","34","51","2","2","51","18","10","11","12","10","11","13","243","5","10","6","78","9","9","4044720.0"
"64","51","51","10","10","34","34","10","10","10","10","48","1","10","48","49","244","5","10","6","109","9","9","50760.0"
"65","23","23","24","24","70","70","23","23","18","18","17","1","18","17","19","73","211","18","6","187","9","9","21960.0"
"66","30","30","30","30","24","24","57","57","57","57","114","1","57","114","115","4","117","57","6","4","9","9","847680.0"
"67","51","51","51","51","10","10","10","10","15","15","48","1","15","48","49","135","5","15","6","56","9","9","4590900.0"
"68","245","245","248","248","42","42","96","96","42","42","87","1","42","87","3","109","21","42","6","109","9","9","0.0"
"7","15","15","10","10","15","15","51","51","10","10","11","1","10","11","13","16","211","10","14","9","9","9","275760.0"
"70","23","23","23","23","23","23","23","23","23","23","17","12","23","17","19","47","250","23","6","33","9","9","3097620.0"
"71","70","70","70","70","96","96","24","24","57","57","58","1","57","58","59","56","21","57","6","85","9","9","18360.0"
"72","30","30","30","30","24","24","54","54","57","57","53","1","57","53","55","85","21","57","6","8","9","9","179520.0"
"73","10","10","51","51","15","15","34","34","51","51","11","1","51","11","13","62","203","51","14","8","9","9","881340.0"
"75","40","40","40","40","30","30","30","30","40","40","31","1","40","31","32","4","29","40","14","9","9","9","1554600.0"
"77","70","70","70","70","23","23","23","23","70","70","17","1","70","17","19","98","168","70","6","75","9","9","1476120.0"
"78","51","51","51","51","10","10","34","34","51","51","48","1","51","48","49","251","5","51","6","27","9","9","2481960.0"
"79","42","42","142","142","54","54","57","57","42","42","87","1","42","87","3","253","211","42","6","253","9","9","205380.0"
"80","34","34","34","34","42","42","57","57","54","54","114","1","54","114","115","28","5","54","6","9","9","9","171900.0"
"82","51","51","51","51","34","34","34","34","42","42","0","1","42","0","3","47","5","42","6","64","65","9","1445220.0"
"83","51","51","51","51","15","15","34","34","51","42","0","12","42","0","3","177","37","42","6","9","9","9","376800.0"
"84","30","30","30","30","30","30","30","30","30","30","31","1","30","31","32","60","120","30","14","8","9","9","1023240.0"
"85","18","18","18","18","34","105","40","34","105","40","71","1","40","71","72","94","29","40","6","4","9","9","15960.0"
"86","18","18","83","83","34","34","18","18","83","83","71","1","83","71","72","240","29","83","6","4","9","9","103560.0"
"87","15","15","10","10","10","24","10","24","40","51","11","12","51","11","13","254","255","51","6","16","9","9","3100080.0"
"89","10","10","15","15","34","34","34","34","10","10","48","1","10","48","49","152","256","10","6","62","9","9","257340.0"
"9","70","70","23","23","23","23","24","24","57","57","114","1","57","114","115","82","21","57","6","9","9","9","1690920.0"
"90","18","18","15","15","34","34","10","10","10","18","71","12","18","71","72","152","256","18","6","9","9","9","270120.0"
"91","51","51","15","15","15","34","15","34","24","24","25","1","24","25","3","153","258","24","6","9","9","9","497820.0"
"92","18","18","18","18","18","18","24","24","24","24","0","1","24","0","3","103","29","24","6","75","9","9","1860960.0"
"93","40","40","40","40","30","30","30","30","30","30","118","1","30","118","32","85","156","30","6","35","9","9","3744300.0"
"95","34","34","10","10","24","15","24","15","34","34","11","1","34","11","13","259","154","34","6","102","9","9","2617980.0"
"96","42","42","42","42","54","54","54","83","54","57","114","12","57","114","115","152","29","57","6","135","9","9","79200.0"
"97","42","42","145","145","54","54","54","54","54","54","114","1","54","114","115","69","29","54","6","9","9","9","890700.0"
"99","24","24","24","24","24","24","54","54","57","57","58","1","57","58","59","262","134","57","6","263","9","9","312480.0"
