"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","remainingTime"
"11","60","10","14","60","62","63","17","14","11","8","8","8","60","1","14","60","62","63","17","14","11","8","8","8","60","10","61","60","62","63","17","61","6","12","8","8","35","10","36","35","22","63","17","36","6","8","8","8","60","1","61","60","62","63","17","61","6","12","8","8","60","10","61","60","62","63","17","61","6","18","8","8","35","1","36","35","22","63","17","36","6","8","8","8","60","1","61","60","62","63","17","61","6","18","8","8","769740.0"
"110","64","10","54","64","65","66","27","54","11","12","8","8","64","1","54","64","65","66","27","54","11","12","8","8","64","10","29","64","65","66","27","29","11","67","8","8","35","10","68","35","22","66","27","68","6","8","8","8","35","1","68","35","22","66","27","68","6","8","8","8","64","1","29","64","65","66","27","29","11","67","8","8","64","10","29","64","65","66","27","29","6","4","8","8","64","1","29","64","65","66","27","29","6","4","8","8","2486520.0"
"111","69","10","9","69","3","70","5","9","11","12","8","8","69","1","9","69","3","70","5","9","11","12","8","8","69","10","9","69","3","70","5","9","6","72","8","8","69","1","9","69","3","70","5","9","6","72","8","8","69","10","2","69","3","70","5","2","6","73","8","8","69","1","2","69","3","70","5","2","6","73","8","8","69","10","46","69","3","70","5","46","6","71","8","8","69","1","46","69","3","70","5","46","6","71","8","8","1250040.0"
"112","13","10","61","13","15","74","27","61","11","8","8","8","13","1","61","13","15","74","27","61","11","8","8","8","13","10","19","13","15","74","27","19","11","12","8","8","13","1","19","13","15","74","27","19","11","12","8","8","13","10","14","13","15","74","27","14","11","67","8","8","13","1","14","13","15","74","27","14","11","67","8","8","35","10","36","35","22","74","27","36","6","8","67","8","13","10","19","13","15","74","27","19","34","8","8","8","1300740.0"
"113","76","10","9","76","44","75","5","9","11","8","8","8","76","1","9","76","44","75","5","9","11","8","8","8","43","10","29","43","44","75","5","29","11","75","8","8","43","1","29","43","44","75","5","29","11","75","8","8","35","10","41","35","22","75","5","41","6","75","8","8","35","1","41","35","22","75","5","41","6","75","8","8","48","10","49","48","50","75","5","49","6","75","8","8","48","1","49","48","50","75","5","49","6","75","8","8","0.0"
"114","64","10","54","64","65","77","27","54","11","12","8","8","64","1","54","64","65","77","27","54","11","12","8","8","35","10","20","35","22","77","27","20","6","8","8","8","64","10","78","64","65","77","27","78","11","8","8","8","64","1","78","64","65","77","27","78","11","8","8","8","35","1","20","35","22","77","27","20","6","8","8","8","64","10","54","64","65","77","27","54","6","45","8","8","64","1","54","64","65","77","27","54","6","45","8","8","533760.0"
"115","0","10","9","0","3","79","27","9","11","8","8","8","0","1","9","0","3","79","27","9","11","8","8","8","0","10","29","0","3","79","27","29","6","55","8","8","0","1","29","0","3","79","27","29","6","55","8","8","0","10","9","0","3","79","27","9","6","80","8","8","0","1","9","0","3","79","27","9","6","80","8","8","0","10","9","0","3","79","27","9","11","8","8","8","0","1","9","0","3","79","27","9","11","8","8","8","1696320.0"
"116","87","10","86","87","88","83","84","86","11","8","8","8","87","1","86","87","88","83","84","86","11","8","8","8","87","10","86","87","88","83","84","86","6","89","8","8","87","1","86","87","88","83","84","86","6","89","8","8","87","10","90","87","88","83","84","90","6","31","8","8","87","1","90","87","88","83","84","90","6","31","8","8","81","10","82","81","81","83","84","82","6","85","8","8","81","1","82","81","81","83","84","82","6","85","8","8","543540.0"
"118","64","10","46","64","65","4","27","46","11","8","8","8","64","1","46","64","65","4","27","46","11","8","8","8","64","10","54","64","65","4","27","54","11","12","8","8","64","1","54","64","65","4","27","54","11","12","8","8","64","10","54","64","65","4","27","54","6","91","8","8","64","1","54","64","65","4","27","54","6","91","8","8","35","10","36","35","22","4","27","36","6","91","12","8","35","1","36","35","22","4","27","36","6","91","12","8","0.0"
"119","60","10","14","60","62","92","93","14","11","8","8","8","60","1","14","60","62","92","93","14","11","8","8","8","60","10","14","60","62","92","93","14","11","8","8","8","60","1","14","60","62","92","93","14","11","8","8","8","60","10","14","60","62","92","93","14","11","12","8","8","60","1","14","60","62","92","93","14","11","12","8","8","60","10","61","60","62","92","93","61","6","58","8","8","60","1","61","60","62","92","93","61","6","58","8","8","556020.0"
"12","94","10","61","94","15","95","17","61","11","8","8","8","94","1","61","94","15","95","17","61","11","8","8","8","94","10","14","94","15","95","17","14","11","12","8","8","94","1","14","94","15","95","17","14","11","12","8","8","21","10","20","21","22","95","17","20","6","8","8","8","21","1","20","21","22","95","17","20","6","8","8","8","94","10","14","94","15","95","17","14","6","28","8","8","94","1","14","94","15","95","17","14","6","28","8","8","1830660.0"
"120","43","10","29","43","44","96","5","29","11","97","8","8","43","1","29","43","44","96","5","29","11","97","8","8","43","10","46","43","44","96","5","46","11","12","8","8","43","1","46","43","44","96","5","46","11","12","8","8","43","10","54","43","44","96","5","54","34","8","8","8","43","1","54","43","44","96","5","54","34","8","8","8","35","10","41","35","22","96","5","41","6","97","12","8","35","1","41","35","22","96","5","41","6","97","12","8","603240.0"
"121","43","10","29","43","44","80","98","29","11","12","8","8","43","1","29","43","44","80","98","29","11","12","8","8","43","10","29","43","44","80","98","29","6","30","8","8","21","10","99","21","22","80","98","99","6","80","8","8","21","1","99","21","22","80","98","99","6","80","8","8","43","1","29","43","44","80","98","29","6","30","8","8","43","10","46","43","44","80","98","46","11","8","8","8","21","10","41","21","22","80","98","41","6","30","8","8","1921560.0"
"122","43","10","46","43","44","80","98","46","11","12","8","8","43","1","46","43","44","80","98","46","11","12","8","8","43","10","46","43","44","80","98","46","6","30","8","8","43","1","46","43","44","80","98","46","6","30","8","8","43","10","46","43","44","80","98","46","11","12","8","8","43","1","46","43","44","80","98","46","11","12","8","8","43","10","46","43","44","80","98","46","6","30","8","8","35","10","68","35","22","80","98","68","6","8","8","8","1942800.0"
"123","0","10","46","0","3","100","5","46","11","8","8","8","0","1","46","0","3","100","5","46","11","8","8","8","0","10","9","0","3","100","5","9","11","8","8","8","0","1","9","0","3","100","5","9","11","8","8","8","0","10","9","0","3","100","5","9","6","101","8","8","0","1","9","0","3","100","5","9","6","101","8","8","0","10","2","0","3","100","5","2","6","8","8","8","0","1","2","0","3","100","5","2","6","8","8","8","284520.0"
"124","0","10","9","0","3","80","27","9","11","12","8","8","0","1","9","0","3","80","27","9","11","12","8","8","0","10","9","0","3","80","27","9","6","58","8","8","0","1","9","0","3","80","27","9","6","58","8","8","0","10","46","0","3","80","27","46","6","8","8","8","0","1","46","0","3","80","27","46","6","8","8","8","0","10","2","0","3","80","27","2","6","91","8","8","0","1","2","0","3","80","27","2","6","91","8","8","440640.0"
"125","64","10","54","64","65","102","27","54","11","8","8","8","64","1","54","64","65","102","27","54","11","8","8","8","64","10","2","64","65","102","27","2","11","12","8","8","64","1","2","64","65","102","27","2","11","12","8","8","35","10","20","35","22","102","27","20","6","8","8","8","64","10","2","64","65","102","27","2","6","103","8","8","64","1","2","64","65","102","27","2","6","103","8","8","35","1","20","35","22","102","27","20","6","8","8","8","5160.0"
"126","0","10","46","0","3","4","32","46","11","8","8","8","0","1","46","0","3","4","32","46","11","8","8","8","0","10","2","0","3","4","32","2","11","58","8","8","0","1","2","0","3","4","32","2","11","58","8","8","0","10","9","0","3","4","32","9","11","8","8","8","35","10","36","35","22","4","32","36","6","8","12","8","0","1","9","0","3","4","32","9","11","8","8","8","0","10","9","0","3","4","32","9","6","7","8","8","493320.0"
"127","64","10","54","64","65","104","27","54","11","58","8","8","64","1","54","64","65","104","27","54","11","58","8","8","64","10","54","64","65","104","27","54","6","97","8","8","64","1","54","64","65","104","27","54","6","97","8","8","64","10","2","64","65","104","27","2","6","30","8","8","64","1","2","64","65","104","27","2","6","30","8","8","64","10","29","64","65","104","27","29","6","105","8","8","64","1","29","64","65","104","27","29","6","105","8","8","1298100.0"
"129","23","10","24","23","25","67","106","24","11","8","8","8","35","10","36","35","22","67","106","36","11","8","8","8","35","1","36","35","22","67","106","36","11","8","8","8","23","1","24","23","25","67","106","24","11","8","8","8","23","10","24","23","25","67","106","24","11","12","8","8","23","1","24","23","25","67","106","24","11","12","8","8","23","10","38","23","25","67","106","38","6","58","8","8","23","1","38","23","25","67","106","38","6","58","8","8","1076700.0"
"13","94","10","19","94","15","77","17","19","11","8","8","8","94","1","19","94","15","77","17","19","11","8","8","8","94","10","19","94","15","77","17","19","6","58","8","8","94","1","19","94","15","77","17","19","6","58","8","8","94","10","14","94","15","77","17","14","6","26","8","8","94","1","14","94","15","77","17","14","6","26","8","8","81","10","82","81","81","77","17","82","6","77","8","8","81","1","82","81","81","77","17","82","6","77","8","8","38520.0"
"133","0","10","46","0","3","107","108","46","11","8","8","8","0","1","46","0","3","107","108","46","11","8","8","8","0","10","9","0","3","107","108","9","11","12","8","8","0","1","9","0","3","107","108","9","11","12","8","8","0","10","9","0","3","107","108","9","6","110","8","8","0","1","9","0","3","107","108","9","6","110","8","8","0","10","2","0","3","107","108","2","6","109","8","8","0","1","2","0","3","107","108","2","6","109","8","8","0.0"
"134","0","10","9","0","3","107","108","9","11","8","8","8","0","1","9","0","3","107","108","9","11","8","8","8","0","10","9","0","3","107","108","9","11","12","8","8","0","1","9","0","3","107","108","9","11","12","8","8","0","10","2","0","3","107","108","2","6","101","8","8","0","1","2","0","3","107","108","2","6","101","8","8","0","10","9","0","3","107","108","9","6","111","8","8","0","1","9","0","3","107","108","9","6","111","8","8","0.0"
"135","43","10","29","43","44","66","32","29","11","12","8","8","43","1","29","43","44","66","32","29","11","12","8","8","43","10","46","43","44","66","32","46","11","8","8","8","43","10","78","43","44","66","32","78","11","8","8","8","43","1","78","43","44","66","32","78","11","8","8","8","43","1","46","43","44","66","32","46","11","8","8","8","43","10","29","43","44","66","32","29","11","8","8","8","43","1","29","43","44","66","32","29","11","8","8","8","641040.0"
"137","0","10","46","0","3","52","32","46","11","8","8","8","0","1","46","0","3","52","32","46","11","8","8","8","0","10","9","0","3","52","32","9","11","12","8","8","0","1","9","0","3","52","32","9","11","12","8","8","0","10","2","0","3","52","32","2","6","110","8","8","0","1","2","0","3","52","32","2","6","110","8","8","35","10","68","35","22","52","32","68","6","8","8","8","35","1","68","35","22","52","32","68","6","8","8","8","0.0"
"138","0","10","2","0","3","92","5","2","11","8","8","8","0","1","2","0","3","92","5","2","11","8","8","8","0","10","9","0","3","92","5","9","11","12","8","8","0","1","9","0","3","92","5","9","11","12","8","8","0","10","9","0","3","92","5","9","6","112","8","8","0","1","9","0","3","92","5","9","6","112","8","8","0","10","2","0","3","92","5","2","6","26","8","8","0","1","2","0","3","92","5","2","6","26","8","8","81540.0"
"140","43","10","46","43","44","96","5","46","11","58","8","8","43","1","46","43","44","96","5","46","11","58","8","8","43","10","2","43","44","96","5","2","6","67","8","8","43","1","2","43","44","96","5","2","6","67","8","8","35","10","41","35","22","96","5","41","6","67","58","8","35","1","41","35","22","96","5","41","6","67","58","8","48","10","113","48","50","96","5","113","6","67","8","8","48","1","113","48","50","96","5","113","6","67","8","8","843060.0"
"145","114","10","24","114","25","115","116","24","11","58","8","8","114","1","24","114","25","115","116","24","11","58","8","8","114","10","38","114","25","115","116","38","6","31","8","8","114","1","38","114","25","115","116","38","6","31","8","8","114","10","24","114","25","115","116","24","6","8","8","8","114","1","24","114","25","115","116","24","6","8","8","8","114","10","24","114","25","115","116","24","6","103","8","8","114","1","24","114","25","115","116","24","6","103","8","8","1806660.0"
"147","114","10","24","114","25","117","118","24","11","12","8","8","114","1","24","114","25","117","118","24","11","12","8","8","114","10","38","114","25","117","118","38","11","8","8","8","114","1","38","114","25","117","118","38","11","8","8","8","114","10","38","114","25","117","118","38","6","75","8","8","114","1","38","114","25","117","118","38","6","75","8","8","114","10","24","114","25","117","118","24","6","57","8","8","81","10","82","81","81","117","118","82","6","119","8","8","50580.0"
"148","123","10","122","123","124","121","118","122","6","8","8","8","123","1","122","123","124","121","118","122","6","8","8","8","126","10","125","126","127","121","118","125","6","12","8","8","126","1","125","126","127","121","118","125","6","12","8","8","128","10","36","128","22","121","118","36","6","12","8","8","129","10","36","129","22","121","118","36","6","12","8","8","81","10","120","81","81","121","118","120","6","12","8","8","81","1","120","81","81","121","118","120","6","12","8","8","49980.0"
"150","130","10","20","130","131","26","27","20","6","8","58","8","48","10","20","48","50","26","27","20","6","8","67","8","132","10","20","132","133","26","27","20","6","8","96","8","130","1","20","130","131","26","27","20","6","8","58","8","132","1","20","132","133","26","27","20","6","8","96","8","48","1","20","48","50","26","27","20","6","8","67","8","128","10","20","128","22","26","27","20","6","8","8","8","128","1","20","128","22","26","27","20","6","8","8","8","0.0"
"153","87","10","86","87","88","134","32","86","11","8","8","8","87","1","86","87","88","134","32","86","11","8","8","8","87","10","86","87","88","134","32","86","6","97","8","8","87","1","86","87","88","134","32","86","6","97","8","8","128","10","36","128","22","134","32","36","6","8","8","8","128","1","36","128","22","134","32","36","6","8","8","8","128","10","36","128","22","134","32","36","6","97","8","8","128","1","36","128","22","134","32","36","6","97","8","8","58800.0"
"154","135","10","41","135","22","31","27","41","6","136","12","8","135","1","41","135","22","31","27","41","6","136","12","8","138","10","137","138","139","31","27","137","6","136","8","8","138","1","137","138","139","31","27","137","6","136","8","8","128","10","41","128","22","31","27","41","6","89","12","8","128","1","41","128","22","31","27","41","6","89","12","8","81","10","82","81","81","31","27","82","6","89","8","8","81","1","82","81","81","31","27","82","6","89","8","8","0.0"
"155","114","10","38","114","140","102","27","38","11","8","8","8","114","1","38","114","140","102","27","38","11","8","8","8","23","10","38","23","25","102","27","38","6","8","8","8","23","1","38","23","25","102","27","38","6","8","8","8","23","10","38","23","25","102","27","38","6","47","8","8","23","1","38","23","25","102","27","38","6","47","8","8","23","10","38","23","25","102","27","38","6","115","8","8","35","10","20","35","22","102","27","20","6","8","8","8","393840.0"
"156","13","10","61","13","15","141","142","61","11","8","8","8","13","1","61","13","15","141","142","61","11","8","8","8","13","10","61","13","15","141","142","61","6","92","8","8","13","1","61","13","15","141","142","61","6","92","8","8","13","10","61","13","15","141","142","61","11","12","8","8","13","1","61","13","15","141","142","61","11","12","8","8","13","10","61","13","15","141","142","61","6","97","8","8","13","1","61","13","15","141","142","61","6","97","8","8","1189560.0"
"163","81","10","144","81","81","143","84","144","6","117","8","8","81","1","144","81","81","143","84","144","6","117","8","8","128","10","36","128","22","143","84","36","6","117","8","8","128","1","36","128","22","143","84","36","6","117","8","8","21","10","36","21","22","143","84","36","6","4","8","8","21","1","36","21","22","143","84","36","6","4","8","8","21","10","36","21","22","143","84","36","6","103","8","8","21","1","36","21","22","143","84","36","6","103","8","8","6231180.0"
"17","114","10","24","114","140","63","84","24","11","8","8","8","114","1","24","114","140","63","84","24","11","8","8","8","114","10","24","114","140","63","84","24","11","8","8","8","114","1","24","114","140","63","84","24","11","8","8","8","114","10","24","114","140","63","84","24","34","8","8","8","114","1","24","114","140","63","84","24","34","8","8","8","114","10","24","114","140","63","84","24","6","8","8","8","114","10","145","114","140","63","84","145","6","77","8","8","2732700.0"
"174","64","10","29","64","65","72","27","29","11","8","8","8","64","1","29","64","65","72","27","29","11","8","8","8","64","10","54","64","65","72","27","54","11","12","8","8","35","10","36","35","22","72","27","36","11","8","8","8","64","1","54","64","65","72","27","54","11","12","8","8","64","10","54","64","65","72","27","54","6","28","8","8","35","1","36","35","22","72","27","36","11","8","8","8","64","1","54","64","65","72","27","54","6","28","8","8","929760.0"
"177","150","10","49","150","151","149","5","49","6","28","8","8","150","1","49","150","151","149","5","49","6","28","8","8","146","10","152","146","148","149","5","152","11","8","8","8","146","1","152","146","148","149","5","152","11","8","8","8","146","10","152","146","148","149","5","152","6","58","8","8","146","1","152","146","148","149","5","152","6","58","8","8","146","10","147","146","148","149","5","147","6","80","8","8","146","1","147","146","148","149","5","147","6","80","8","8","7009320.0"
"178","132","10","154","132","133","153","5","154","6","57","8","8","132","1","154","132","133","153","5","154","6","57","8","8","146","10","147","146","148","153","5","147","11","8","8","8","146","1","147","146","148","153","5","147","11","8","8","8","155","10","90","155","88","153","5","90","6","8","8","8","155","1","90","155","88","153","5","90","6","8","8","8","155","10","90","155","88","153","5","90","6","8","8","8","150","10","113","150","151","153","5","113","6","8","8","8","5065320.0"
"179","155","10","90","155","88","143","5","90","6","8","8","8","155","1","90","155","88","143","5","90","6","8","8","8","128","10","68","128","22","143","5","68","6","4","8","8","128","1","68","128","22","143","5","68","6","4","8","8","81","10","82","81","81","143","5","82","6","4","8","8","81","1","82","81","81","143","5","82","6","4","8","8","156","10","86","156","157","143","5","86","6","8","8","8","156","1","86","156","157","143","5","86","6","8","8","8","240600.0"
"18","43","10","9","43","44","158","5","9","11","58","8","8","43","1","9","43","44","158","5","9","11","58","8","8","43","10","9","43","44","158","5","9","6","7","8","8","43","1","9","43","44","158","5","9","6","7","8","8","43","10","46","43","44","158","5","46","34","8","8","8","43","1","46","43","44","158","5","46","34","8","8","8","43","10","9","43","44","158","5","9","11","8","8","8","43","1","9","43","44","158","5","9","11","8","8","8","6177600.0"
"182","35","10","20","35","22","159","27","20","6","8","8","8","35","1","20","35","22","159","27","20","6","8","8","8","156","10","86","156","157","159","27","86","6","8","8","8","156","1","86","156","157","159","27","86","6","8","8","8","128","10","20","128","22","159","27","20","6","96","12","8","128","1","20","128","22","159","27","20","6","96","12","8","35","10","20","35","22","159","27","20","6","8","67","8","35","1","20","35","22","159","27","20","6","8","67","8","1812060.0"
"185","60","10","14","60","62","18","5","14","6","58","8","8","60","1","14","60","62","18","5","14","6","58","8","8","155","10","86","155","88","18","5","86","6","8","8","8","155","1","86","155","88","18","5","86","6","8","8","8","81","10","82","81","81","18","5","82","6","96","8","8","81","10","82","81","81","18","5","82","6","8","8","8","81","1","82","81","81","18","5","82","6","96","8","8","81","1","82","81","81","18","5","82","6","8","8","8","7371600.0"
"187","150","10","113","150","151","160","5","113","6","8","8","8","150","1","113","150","151","160","5","113","6","8","8","8","132","10","152","132","133","160","5","152","11","8","8","8","132","1","152","132","133","160","5","152","11","8","8","8","132","10","147","132","133","160","5","147","11","58","8","8","132","1","147","132","133","160","5","147","11","58","8","8","132","10","154","132","133","160","5","154","6","42","8","8","132","1","154","132","133","160","5","154","6","42","8","8","4040580.0"
"188","48","10","49","48","50","161","162","49","6","163","8","8","150","10","113","150","151","161","162","113","6","8","8","8","150","1","113","150","151","161","162","113","6","8","8","8","150","10","113","150","151","161","162","113","6","8","8","8","48","1","49","48","50","161","162","49","6","163","8","8","150","1","113","150","151","161","162","113","6","8","8","8","150","10","49","150","151","161","162","49","6","163","8","8","150","1","49","150","151","161","162","49","6","163","8","8","3103380.0"
"189","35","10","68","35","22","7","164","68","6","8","12","8","35","1","68","35","22","7","164","68","6","8","12","8","35","10","68","35","22","7","164","68","6","8","12","8","35","1","68","35","22","7","164","68","6","8","12","8","35","10","68","35","22","7","164","68","6","8","12","8","35","1","68","35","22","7","164","68","6","8","12","8","128","10","68","128","22","7","164","68","6","8","8","8","128","1","68","128","22","7","164","68","6","8","8","8","129600.0"
"19","43","10","2","43","44","42","5","2","11","12","8","8","43","1","2","43","44","42","5","2","11","12","8","8","35","10","68","35","22","42","5","68","11","8","8","8","35","1","68","35","22","42","5","68","11","8","8","8","0","10","9","0","3","42","5","9","6","101","8","8","0","1","9","0","3","42","5","9","6","101","8","8","35","10","68","35","22","42","5","68","6","42","8","8","35","1","68","35","22","42","5","68","6","42","8","8","1968120.0"
"190","81","10","82","81","81","112","165","82","6","28","8","8","81","1","82","81","81","112","165","82","6","28","8","8","128","10","41","128","22","112","165","41","6","28","8","8","128","1","41","128","22","112","165","41","6","28","8","8","35","10","41","35","22","112","165","41","6","8","8","8","35","1","41","35","22","112","165","41","6","8","8","8","128","10","41","128","22","112","165","41","6","8","8","8","128","1","41","128","22","112","165","41","6","8","8","8","122100.0"
"192","123","10","122","123","124","160","118","122","6","8","8","8","123","1","122","123","124","160","118","122","6","8","8","8","35","10","36","35","22","160","118","36","6","8","8","8","35","1","36","35","22","160","118","36","6","8","8","8","13","10","14","13","15","160","118","14","11","12","8","8","13","1","14","13","15","160","118","14","11","12","8","8","35","10","36","35","22","160","118","36","6","8","8","8","13","10","14","13","15","160","118","14","11","8","8","8","1579620.0"
