"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","remainingTime"
"155","98","9","31","98","123","89","23","31","10","8","8","8","98","1","31","98","123","89","23","31","10","8","8","8","19","9","31","19","21","89","23","31","6","8","8","8","19","1","31","19","21","89","23","31","6","8","8","8","562920.0"
"156","17","9","54","17","18","94","124","54","10","8","8","8","17","1","54","17","18","94","124","54","10","8","8","8","17","9","54","17","18","94","124","54","6","79","8","8","17","1","54","17","18","94","124","54","6","79","8","8","1275000.0"
"163","75","9","97","75","75","125","73","97","6","102","8","8","75","1","97","75","75","125","73","97","6","102","8","8","95","9","44","95","13","125","73","44","6","102","8","8","95","1","44","95","13","125","73","44","6","102","8","8","6326280.0"
"17","98","9","25","98","123","50","73","25","10","8","8","8","98","1","25","98","123","50","73","25","10","8","8","8","98","9","25","98","123","50","73","25","10","8","8","8","98","1","25","98","123","50","73","25","10","8","8","8","2740620.0"
"174","57","9","20","57","58","62","23","20","10","8","8","8","57","1","20","57","58","62","23","20","10","8","8","8","57","9","46","57","58","62","23","46","10","7","8","8","43","9","44","43","13","62","23","44","10","8","8","8","946020.0"
"175","122","9","44","122","13","126","127","44","6","8","8","8","122","9","44","122","13","126","127","44","6","8","7","8","122","1","44","122","13","126","127","44","6","8","8","8","122","1","44","122","13","126","127","44","6","8","7","8","0.0"
"177","133","9","132","133","134","131","5","132","6","26","8","8","133","1","132","133","134","131","5","132","6","26","8","8","128","9","129","128","130","131","5","129","10","8","8","8","128","1","129","128","130","131","5","129","10","8","8","8","7034820.0"
"178","115","9","137","115","116","136","5","137","6","138","8","8","115","1","137","115","116","136","5","137","6","138","8","8","128","9","135","128","130","136","5","135","10","8","8","8","128","1","135","128","130","136","5","135","10","8","8","8","6185700.0"
"179","140","9","139","140","71","125","5","139","6","8","8","8","140","1","139","140","71","125","5","139","6","8","8","8","95","9","55","95","13","125","5","55","6","4","8","8","95","1","55","95","13","125","5","55","6","4","8","8","3534000.0"
"18","35","9","2","35","36","141","5","2","10","49","8","8","35","1","2","35","36","141","5","2","10","49","8","8","35","9","2","35","36","141","5","2","6","142","8","8","35","1","2","35","36","141","5","2","6","142","8","8","6226380.0"
"182","43","9","12","43","13","145","23","12","6","8","8","8","43","1","12","43","13","145","23","12","6","8","8","8","143","9","70","143","144","145","23","70","6","8","8","8","143","1","70","143","144","145","23","70","6","8","8","8","1900140.0"
"185","52","9","51","52","53","146","5","51","6","49","8","8","52","1","51","52","53","146","5","51","6","49","8","8","140","9","70","140","71","146","5","70","6","8","8","8","140","1","70","140","71","146","5","70","6","8","8","8","7394940.0"
"187","133","9","148","133","134","147","5","148","6","8","8","8","133","1","148","133","134","147","5","148","6","8","8","8","115","9","129","115","116","147","5","129","10","8","8","8","115","1","129","115","116","147","5","129","10","8","8","8","4094760.0"
"188","113","9","132","113","114","149","150","132","6","151","8","8","133","9","148","133","134","149","150","148","6","8","8","8","133","1","148","133","134","149","150","148","6","8","8","8","133","9","148","133","134","149","150","148","6","8","8","8","3116580.0"
"189","43","9","55","43","13","142","152","55","6","8","7","8","43","1","55","43","13","142","152","55","6","8","7","8","43","9","55","43","13","142","152","55","6","8","7","8","43","1","55","43","13","142","152","55","6","8","7","8","212400.0"
"19","35","9","41","35","36","37","5","41","10","7","8","8","35","1","41","35","36","37","5","41","10","7","8","8","43","9","55","43","13","37","5","55","10","8","8","8","43","1","55","43","13","37","5","55","10","8","8","8","2047620.0"
"190","75","9","76","75","75","153","154","76","6","26","8","8","75","1","76","75","75","153","154","76","6","26","8","8","95","9","96","95","13","153","154","96","6","26","8","8","95","1","96","95","13","153","154","96","6","26","8","8","3007500.0"
"192","109","9","108","109","110","147","103","108","6","8","8","8","109","1","108","109","110","147","103","108","6","8","8","8","43","9","44","43","13","147","103","44","6","8","8","8","43","1","44","43","13","147","103","44","6","8","8","8","3984900.0"
"194","52","9","51","52","53","79","155","51","10","8","8","8","52","1","51","52","53","79","155","51","10","8","8","8","52","9","51","52","53","79","155","51","10","8","8","8","43","9","44","43","13","79","155","44","10","8","8","8","2277600.0"
"195","43","9","44","43","13","88","156","44","6","88","8","8","43","1","44","43","13","88","156","44","6","88","8","8","111","9","148","111","112","88","156","148","6","8","8","8","111","1","148","111","112","88","156","148","6","8","8","8","910200.0"
"196","43","9","55","43","13","79","5","55","6","8","8","8","43","1","55","43","13","79","5","55","6","8","8","8","140","9","70","140","71","79","5","70","6","8","8","8","140","1","70","140","71","79","5","70","6","8","8","8","125460.0"
"198","35","9","78","35","36","50","5","78","10","8","8","8","35","1","78","35","36","50","5","78","10","8","8","8","35","9","20","35","36","50","5","20","10","7","8","8","35","1","20","35","36","50","5","20","10","7","8","8","6100740.0"
"199","133","9","148","133","134","157","5","148","6","8","8","8","133","1","148","133","134","157","5","148","6","8","8","8","133","9","132","133","134","157","5","132","6","158","8","8","133","9","148","133","134","157","5","148","6","8","8","8","7511400.0"
"20","0","9","41","0","3","159","160","41","10","7","8","8","0","1","41","0","3","159","160","41","10","7","8","8","43","9","12","43","13","159","160","12","6","8","8","8","0","9","41","0","3","159","160","41","6","142","8","8","3235980.0"
"200","161","9","85","161","53","47","5","85","6","7","8","8","161","1","85","161","53","47","5","85","6","7","8","8","140","9","139","140","71","47","5","139","6","8","8","8","140","1","139","140","71","47","5","139","6","8","8","8","1577760.0"
"201","122","9","96","122","13","67","77","96","6","162","8","8","43","9","96","43","13","67","77","96","6","162","8","8","122","1","96","122","13","67","77","96","6","162","8","8","43","1","96","43","13","67","77","96","6","162","8","8","4147200.0"
"203","43","9","12","43","13","83","163","12","6","83","8","8","43","1","12","43","13","83","163","12","6","83","8","8","113","9","132","113","114","83","163","132","6","83","8","8","113","1","132","113","114","83","163","132","6","83","8","8","321960.0"
"205","69","9","139","69","71","74","164","139","10","8","8","8","69","1","139","69","71","74","164","139","10","8","8","8","69","9","139","69","71","74","164","139","6","8","8","8","69","1","139","69","71","74","164","139","6","8","8","8","102600.0"
"206","43","9","12","43","13","101","165","12","6","8","8","8","43","1","12","43","13","101","165","12","6","8","8","8","113","9","132","113","114","101","165","132","6","101","8","8","113","1","132","113","114","101","165","132","6","101","8","8","2127900.0"
"207","57","9","78","57","58","166","167","78","10","8","8","8","57","9","20","57","58","166","167","20","10","7","8","8","57","1","78","57","58","166","167","78","10","8","8","8","57","1","20","57","58","166","167","20","10","7","8","8","1792800.0"
"208","52","9","54","52","53","162","5","54","10","8","8","8","52","1","54","52","53","162","5","54","10","8","8","8","52","9","16","52","53","162","5","16","10","8","8","8","52","1","16","52","53","162","5","16","10","8","8","8","3664500.0"
"209","57","9","46","57","58","168","23","46","10","8","8","8","57","1","46","57","58","168","23","46","10","8","8","8","57","9","31","57","58","168","23","31","10","8","8","8","57","1","31","57","58","168","23","31","10","8","8","8","739140.0"
"21","0","9","41","0","3","131","160","41","10","8","8","8","0","1","41","0","3","131","160","41","10","8","8","8","0","9","20","0","3","131","160","20","6","169","8","8","0","1","20","0","3","131","160","20","6","169","8","8","3436440.0"
"210","57","9","20","57","58","170","15","20","6","7","8","8","57","1","20","57","58","170","15","20","6","7","8","8","57","9","46","57","58","170","15","46","10","7","8","8","57","1","46","57","58","170","15","46","10","7","8","8","1050900.0"
"211","43","9","12","43","13","171","15","12","6","8","8","8","43","1","12","43","13","171","15","12","6","8","8","8","113","9","135","113","114","171","15","135","6","74","8","8","113","1","135","113","114","171","15","135","6","74","8","8","536100.0"
"212","57","9","46","57","58","172","23","46","10","8","8","8","57","1","46","57","58","172","23","46","10","8","8","8","57","9","46","57","58","172","23","46","10","49","8","8","57","1","46","57","58","172","23","46","10","49","8","8","1143360.0"
"214","57","9","46","57","58","125","23","46","10","49","8","8","57","1","46","57","58","125","23","46","10","49","8","8","57","9","46","57","58","125","23","46","6","173","8","8","57","1","46","57","58","125","23","46","6","173","8","8","1501740.0"
"215","19","9","31","19","21","174","23","31","10","8","8","8","19","1","31","19","21","174","23","31","10","8","8","8","19","9","31","19","21","174","23","31","6","107","8","8","19","1","31","19","21","174","23","31","6","107","8","8","1006980.0"
"218","175","9","179","175","177","178","167","179","6","180","8","8","175","1","179","175","177","178","167","179","6","180","8","8","175","9","176","175","177","178","167","176","6","99","8","8","175","1","176","175","177","178","167","176","6","99","8","8","539940.0"
"219","133","9","132","133","134","181","5","132","6","39","8","8","133","1","132","133","134","181","5","132","6","39","8","8","133","9","132","133","134","181","5","132","6","39","8","8","133","1","132","133","134","181","5","132","6","39","8","8","1063500.0"
"22","17","9","54","17","18","83","23","54","6","84","8","8","17","1","54","17","18","83","23","54","6","84","8","8","17","9","16","17","18","83","23","16","10","49","8","8","17","1","16","17","18","83","23","16","10","49","8","8","494160.0"
"223","19","9","31","19","21","181","23","31","10","7","8","8","43","9","44","43","13","181","23","44","10","8","8","8","19","1","31","19","21","181","23","31","10","7","8","8","19","9","31","19","21","181","23","31","10","8","8","8","2111940.0"
"224","43","9","55","43","13","79","163","55","10","8","8","8","43","1","55","43","13","79","163","55","10","8","8","8","43","9","55","43","13","79","163","55","10","8","8","8","43","1","55","43","13","79","163","55","10","8","8","8","285600.0"
"225","140","9","139","140","71","182","5","139","6","8","8","8","140","1","139","140","71","182","5","139","6","8","8","8","113","9","139","113","114","182","5","139","6","183","8","8","113","1","139","113","114","182","5","139","6","183","8","8","7084800.0"
"227","75","9","76","75","75","4","163","76","6","4","8","8","75","1","76","75","75","4","163","76","6","4","8","8","95","9","44","95","13","4","163","44","6","4","8","8","95","1","44","95","13","4","163","44","6","4","8","8","0.0"
"228","19","9","31","19","21","4","23","31","6","4","8","8","19","1","31","19","21","4","23","31","6","4","8","8","19","9","31","19","21","4","23","31","10","8","8","8","19","1","31","19","21","4","23","31","10","8","8","8","480600.0"
"229","19","9","31","19","21","30","23","31","10","8","8","8","11","9","44","11","13","30","23","44","10","8","8","8","11","1","44","11","13","30","23","44","10","8","8","8","19","1","31","19","21","30","23","31","10","8","8","8","630000.0"
"23","184","9","78","184","36","162","87","78","10","8","8","8","184","1","78","184","36","162","87","78","10","8","8","8","184","9","41","184","36","162","87","41","6","162","8","8","184","1","41","184","36","162","87","41","6","162","8","8","3151620.0"
"230","57","9","46","57","58","185","15","46","34","8","8","8","57","9","46","57","58","185","15","46","10","8","8","8","57","1","46","57","58","185","15","46","34","8","8","8","57","1","46","57","58","185","15","46","10","8","8","8","4696200.0"
"231","133","9","132","133","134","67","5","132","6","38","8","8","133","1","132","133","134","67","5","132","6","38","8","8","128","9","135","128","130","67","5","135","10","7","8","8","128","1","135","128","130","67","5","135","10","7","8","8","668640.0"
"232","43","9","96","43","13","83","5","96","6","84","7","8","35","9","78","35","36","83","5","78","6","59","8","8","43","1","96","43","13","83","5","96","6","84","7","8","113","9","139","113","114","83","5","139","6","84","8","8","1313940.0"
"233","186","9","54","186","18","30","23","54","6","8","8","8","186","9","16","186","18","30","23","16","10","49","8","8","186","1","54","186","18","30","23","54","6","8","8","8","186","1","16","186","18","30","23","16","10","49","8","8","989340.0"
"234","11","9","44","11","13","102","187","44","6","8","8","8","11","1","44","11","13","102","187","44","6","8","8","8","11","9","44","11","13","102","187","44","6","188","7","8","11","1","44","11","13","102","187","44","6","188","7","8","4870260.0"
"235","43","9","55","43","13","162","189","55","10","8","8","8","43","1","55","43","13","162","189","55","10","8","8","8","43","9","55","43","13","162","189","55","10","8","8","8","52","9","51","52","53","162","189","51","10","8","8","8","3181920.0"
"236","69","9","70","69","71","67","15","70","10","8","8","8","69","1","70","69","71","67","15","70","10","8","8","8","69","9","70","69","71","67","15","70","6","8","8","8","69","1","70","69","71","67","15","70","6","8","8","8","263700.0"
"237","43","9","12","43","13","190","191","12","6","192","8","8","43","1","12","43","13","190","191","12","6","192","8","8","0","9","41","0","3","190","191","41","6","138","8","8","0","1","41","0","3","190","191","41","6","138","8","8","5532600.0"
"238","0","9","46","0","3","193","48","46","10","8","8","8","0","1","46","0","3","193","48","46","10","8","8","8","0","9","20","0","3","193","48","20","10","8","8","8","0","1","20","0","3","193","48","20","10","8","8","8","3927600.0"
"239","57","9","46","57","58","153","23","46","10","7","8","8","57","1","46","57","58","153","23","46","10","7","8","8","57","9","78","57","58","153","23","78","10","7","8","8","57","9","20","57","58","153","23","20","10","49","8","8","1261740.0"
"24","35","9","2","35","36","162","87","2","10","7","8","8","35","1","2","35","36","162","87","2","10","7","8","8","35","9","2","35","36","162","87","2","6","86","8","8","35","1","2","35","36","162","87","2","6","86","8","8","3617820.0"
"240","57","9","46","57","58","194","40","46","10","8","8","8","57","1","46","57","58","194","40","46","10","8","8","8","57","9","20","57","58","194","40","20","10","7","8","8","57","1","20","57","58","194","40","20","10","7","8","8","1159140.0"
"241","57","9","78","57","58","153","23","78","10","8","8","8","57","1","78","57","58","153","23","78","10","8","8","8","57","9","78","57","58","153","23","78","10","8","8","8","57","1","78","57","58","153","23","78","10","8","8","8","863100.0"
"242","57","9","46","57","58","79","15","46","10","49","8","8","57","1","46","57","58","79","15","46","10","49","8","8","57","9","46","57","58","79","15","46","6","59","8","8","57","1","46","57","58","79","15","46","6","59","8","8","754800.0"
"243","57","9","46","57","58","4","15","46","10","8","8","8","57","1","46","57","58","4","15","46","10","8","8","8","57","9","20","57","58","4","15","20","10","7","8","8","43","9","44","43","13","4","15","44","6","8","8","8","1116420.0"
"244","133","9","70","133","134","83","5","70","6","49","8","8","133","1","70","133","134","83","5","70","6","49","8","8","133","9","70","133","134","83","5","70","6","59","8","8","133","1","70","133","134","83","5","70","6","59","8","8","406080.0"
"245","17","9","16","17","18","83","5","16","10","8","8","8","17","9","16","17","18","83","5","16","34","8","8","8","17","1","16","17","18","83","5","16","34","8","8","8","43","9","55","43","13","83","5","55","10","8","8","8","2707800.0"
"246","17","9","54","17","18","158","195","54","6","4","8","8","17","1","54","17","18","158","195","54","6","4","8","8","17","9","16","17","18","158","195","16","6","26","8","8","17","1","16","17","18","158","195","16","6","26","8","8","523200.0"
"248","17","9","16","17","18","30","28","16","10","7","8","8","17","1","16","17","18","30","28","16","10","7","8","8","17","9","16","17","18","30","28","16","6","26","8","8","17","1","16","17","18","30","28","16","6","26","8","8","830280.0"
"249","19","9","31","19","21","196","23","31","10","7","8","8","19","1","31","19","21","196","23","31","10","7","8","8","19","9","31","19","21","196","23","31","10","8","8","8","19","1","31","19","21","196","23","31","10","8","8","8","833100.0"
"25","35","9","78","35","36","162","87","78","10","84","8","8","35","1","78","35","36","162","87","78","10","84","8","8","35","9","78","35","36","162","87","78","6","173","8","8","35","1","78","35","36","162","87","78","6","173","8","8","3520140.0"
"250","197","9","198","197","199","200","201","198","10","8","8","8","197","1","198","197","199","200","201","198","10","8","8","8","197","9","198","197","199","200","201","198","10","8","8","8","197","1","198","197","199","200","201","198","10","8","8","8","630000.0"
"251","35","9","78","35","36","83","5","78","10","8","8","8","35","1","78","35","36","83","5","78","10","8","8","8","35","9","2","35","36","83","5","2","10","7","8","8","35","1","2","35","36","83","5","2","10","7","8","8","3895620.0"
"252","57","9","46","57","58","86","23","46","10","49","8","8","57","1","46","57","58","86","23","46","10","49","8","8","57","9","46","57","58","86","23","46","10","8","8","8","57","9","12","57","58","86","23","12","6","8","8","8","495600.0"
"253","17","9","54","17","18","153","202","54","10","7","8","8","17","1","54","17","18","153","202","54","10","7","8","8","17","9","54","17","18","153","202","54","6","49","8","8","17","1","54","17","18","153","202","54","6","49","8","8","583500.0"
"254","113","9","132","113","114","203","15","132","6","203","8","8","113","1","132","113","114","203","15","132","6","203","8","8","111","9","132","111","112","203","15","132","6","50","8","8","111","1","132","111","112","203","15","132","6","50","8","8","325500.0"
"255","98","9","31","98","123","79","45","31","6","79","8","8","98","1","31","98","123","79","45","31","6","79","8","8","11","9","12","11","13","79","45","12","6","79","8","8","11","1","12","11","13","79","45","12","6","79","8","8","899220.0"
