"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"209","53","53","35","35","35","35","40","63","1","40","63","64","178","27","40","34","8","8","8","712800.0"
"21","2","2","29","29","20","9","9","0","1","9","0","3","147","169","9","6","88","8","8","3432960.0"
"210","29","29","53","53","53","53","29","63","1","29","63","64","181","17","29","6","51","8","8","1011600.0"
"211","20","20","145","145","153","153","112","148","1","112","148","149","182","17","112","6","8","8","8","522000.0"
"212","53","53","53","53","53","20","53","63","12","53","63","64","184","27","53","6","7","8","8","1132500.0"
"214","53","53","53","53","2","29","2","63","12","2","63","64","142","27","2","6","57","8","8","1484640.0"
"215","35","35","35","35","153","153","20","46","1","20","46","22","186","27","20","6","8","8","8","949500.0"
"218","189","189","193","193","193","193","189","188","1","189","188","190","191","177","189","6","184","8","8","453000.0"
"219","48","48","48","48","145","145","150","144","1","150","144","146","187","5","150","10","8","8","8","726420.0"
"22","62","62","19","19","19","19","19","13","1","19","13","15","95","27","19","10","8","8","8","490200.0"
"223","35","54","35","35","35","35","54","46","12","54","46","22","187","27","54","10","8","8","8","2105340.0"
"225","89","89","89","89","89","89","89","151","1","89","151","87","194","5","89","6","8","8","8","6931740.0"
"228","35","35","35","35","35","35","20","46","1","20","46","22","4","27","20","6","90","11","8","469860.0"
"229","35","54","54","35","29","29","35","23","1","35","23","25","36","27","35","6","96","8","8","580920.0"
"23","40","40","2","2","29","29","45","21","1","45","21","22","43","97","45","6","43","8","8","3112800.0"
"230","53","53","53","53","53","53","53","63","1","53","63","64","198","17","53","6","109","8","8","4503540.0"
"231","48","48","145","145","145","145","150","144","1","150","144","146","76","5","150","6","4","8","8","661920.0"
"232","45","40","45","89","40","89","85","148","1","85","148","149","95","5","85","6","96","8","8","762000.0"
"233","62","19","62","19","19","19","9","199","1","9","199","15","36","27","9","6","90","8","8","976140.0"
"234","54","54","54","54","124","124","201","200","1","201","200","202","116","203","201","6","8","8","8","4813560.0"
"235","67","67","67","14","67","14","14","60","1","14","60","61","43","205","14","10","8","8","8","2997720.0"
"236","85","85","85","85","20","89","20","46","12","20","46","22","76","17","20","6","8","8","8","234960.0"
"237","20","20","2","2","20","20","20","46","1","20","46","22","206","207","20","6","8","66","8","5464260.0"
"238","53","53","29","29","29","29","53","0","1","53","0","3","210","56","53","6","37","8","8","3906000.0"
"239","53","53","40","29","40","20","20","46","12","20","46","22","111","27","20","6","8","8","8","1258260.0"
"24","9","9","9","9","45","45","112","47","1","112","47","49","43","97","112","6","79","8","8","3511680.0"
"240","53","53","29","29","40","40","53","63","1","53","63","64","211","212","53","6","37","8","8","1141440.0"
"241","40","40","40","40","2","2","54","46","1","54","46","22","111","27","54","6","8","11","8","324000.0"
"242","53","53","53","53","2","2","29","63","1","29","63","64","91","17","29","6","18","8","8","738840.0"
"243","53","53","29","54","29","29","54","46","12","54","46","22","4","17","54","6","8","8","8","1108140.0"
"244","85","85","85","85","85","85","85","213","1","85","213","155","95","5","85","6","8","8","8","400140.0"
"245","19","19","19","67","67","19","19","13","1","19","13","15","95","5","19","10","11","8","8","2648280.0"
"246","62","62","19","19","62","62","54","46","1","54","46","22","167","214","54","6","118","57","8","410400.0"
"248","19","19","19","19","62","62","112","148","1","112","148","149","36","32","112","6","8","8","8","721440.0"
"249","35","35","35","35","54","54","35","23","1","35","23","25","215","27","35","6","26","8","8","776220.0"
"25","40","40","40","40","40","40","29","39","1","29","39","41","43","97","29","10","11","8","8","3072120.0"
"250","217","217","217","217","67","217","67","127","12","67","127","22","100","216","67","6","8","8","8","562200.0"
"251","40","40","9","9","9","9","67","46","1","67","46","22","95","5","67","6","95","8","8","3825300.0"
"252","53","53","53","20","53","20","20","46","1","20","46","22","79","27","20","6","8","8","8","411000.0"
"253","62","62","62","62","20","19","20","46","12","20","46","22","111","220","20","6","8","8","8","579420.0"
"254","48","48","48","48","48","48","112","129","1","112","129","130","221","17","112","6","222","8","8","172620.0"
"255","35","35","20","20","48","48","20","127","1","20","127","22","91","52","20","6","91","8","8","398280.0"
"256","35","35","9","9","53","53","54","21","1","54","21","22","59","223","54","6","59","8","8","3018600.0"
"257","53","53","9","9","40","40","77","39","1","77","39","41","142","5","77","6","76","8","8","6791460.0"
"258","53","53","53","53","29","29","29","63","1","29","63","64","55","27","29","10","8","8","8","1532700.0"
"259","62","62","62","62","14","14","53","60","1","53","60","61","225","141","53","6","18","8","8","6138600.0"
"26","2","2","53","53","53","53","9","0","1","9","0","3","43","97","9","10","8","8","8","3559620.0"
"260","29","29","29","29","29","29","53","63","1","53","63","64","226","27","53","6","102","8","8","4727280.0"
"261","35","35","35","35","20","20","24","23","1","24","23","25","116","212","24","6","187","8","8","604500.0"
"262","2","2","29","29","29","29","20","46","1","20","46","22","167","17","20","6","8","8","8","198300.0"
"263","24","24","24","24","24","54","24","23","12","24","23","25","26","227","24","10","11","8","8","1611720.0"
"264","77","77","77","29","77","29","53","63","1","53","63","64","228","212","53","6","100","8","8","231720.0"
"265","35","35","35","35","35","35","35","23","1","35","23","25","90","173","35","6","90","8","8","869640.0"
"266","67","67","40","40","9","9","40","39","1","40","39","41","229","5","40","6","167","8","8","7322940.0"
"267","2","2","53","53","53","53","2","0","1","2","0","3","159","160","2","6","76","8","8","7233960.0"
"268","35","35","35","20","35","20","35","23","1","35","23","25","114","231","35","10","8","8","8","1813980.0"
"269","35","35","35","54","35","35","54","46","12","54","46","22","79","27","54","6","8","8","8","1708500.0"
"27","35","35","35","35","35","35","35","23","1","35","23","25","79","27","35","6","30","8","8","513960.0"
"271","9","9","9","9","9","9","40","39","1","40","39","41","142","5","40","34","8","8","8","6630900.0"
"272","19","19","62","62","62","62","19","13","1","19","13","15","76","17","19","6","66","8","8","1394100.0"
"273","19","19","19","14","14","20","19","13","12","19","13","15","79","17","19","6","66","8","8","1853580.0"
"274","24","24","24","54","54","24","24","23","1","24","23","25","66","17","24","6","57","8","8","139620.0"
"277","217","217","45","45","85","85","85","86","1","85","86","87","66","5","85","10","8","8","8","332940.0"
"28","53","53","53","53","2","20","20","46","12","20","46","22","152","27","20","6","8","8","8","3513240.0"
"29","14","14","62","62","19","19","62","60","1","62","60","61","180","5","62","6","36","8","8","3541740.0"
"3","2","67","2","67","9","9","67","46","1","67","46","22","4","5","67","6","4","8","8","1533600.0"
"30","29","67","67","29","77","77","40","39","1","40","39","41","55","5","40","6","232","8","8","81240.0"
"31","9","9","9","9","9","9","29","0","1","29","0","3","187","5","29","6","135","8","8","3177360.0"
"32","53","53","40","40","29","29","40","39","1","40","39","41","157","32","40","10","66","8","8","2482560.0"
"33","53","53","20","53","20","53","53","63","1","53","63","64","187","27","53","6","57","8","8","1969020.0"
"34","14","14","19","19","19","19","9","60","1","9","60","61","76","32","9","6","4","8","8","1991640.0"
"35","40","40","53","53","29","40","29","39","12","29","39","41","51","5","29","10","57","8","8","2398800.0"
"36","29","29","40","40","9","9","9","0","12","9","0","3","76","5","9","10","8","8","8","1505700.0"
"37","35","62","62","35","35","35","53","23","1","53","23","25","167","27","53","6","30","8","8","1918560.0"
"38","2","2","40","40","9","9","9","0","1","9","0","3","179","5","9","6","57","8","8","4804380.0"
"39","62","62","62","54","54","62","62","60","1","62","60","61","4","17","62","6","7","8","8","450300.0"
"4","9","9","29","45","29","29","45","46","12","45","46","22","51","5","45","6","11","8","8","75360.0"
"40","19","19","62","62","19","19","19","93","1","19","93","15","167","17","19","6","96","8","8","1192380.0"
"41","19","19","19","20","19","19","20","46","12","20","46","22","76","17","20","6","8","8","8","1641480.0"
"42","53","53","53","53","20","20","2","63","1","2","63","64","59","17","2","6","88","8","8","492180.0"
"43","24","24","35","20","35","20","35","23","1","35","23","25","135","27","35","6","28","8","8","383940.0"
"44","14","14","62","62","62","62","14","233","1","14","233","61","234","235","14","6","102","8","8","2137980.0"
"45","53","53","29","29","29","29","20","46","1","20","46","22","51","17","20","6","8","8","8","608340.0"
"46","40","40","29","29","40","53","40","63","12","40","63","64","4","27","40","10","8","8","8","190440.0"
"47","24","24","24","20","24","24","20","46","12","20","46","22","4","27","20","6","8","8","8","1419000.0"
"48","2","2","9","9","9","9","54","46","1","54","46","22","187","5","54","6","8","8","8","3134520.0"
"49","35","67","35","67","35","35","98","63","1","98","63","64","28","27","98","6","8","11","8","1067580.0"
"50","35","35","35","35","35","35","35","63","1","35","63","64","90","27","35","6","90","8","8","1237620.0"
"52","35","35","24","24","24","24","24","23","1","24","23","25","222","27","24","10","8","8","8","632940.0"
"53","35","35","24","24","24","24","24","23","1","24","23","25","4","236","24","10","11","8","8","886020.0"
"54","40","40","2","2","9","9","9","0","1","9","0","3","36","27","9","6","30","8","8","258780.0"
"55","14","14","62","62","62","62","54","46","1","54","46","22","237","212","54","6","8","8","8","3262560.0"
"56","24","24","35","81","81","35","35","113","1","35","113","25","36","17","35","6","36","8","8","36660.0"
"58","85","85","85","85","89","89","85","86","1","85","86","87","74","38","85","6","26","8","8","697560.0"
"59","53","53","40","40","29","29","20","46","1","20","46","22","4","27","20","6","28","8","8","187980.0"
"6","35","35","35","35","24","24","24","23","1","24","23","25","238","212","24","10","11","8","8","1674900.0"
"60","24","24","48","48","35","35","54","21","1","54","21","22","51","239","54","10","8","8","8","237600.0"
"61","19","19","19","19","19","19","9","13","1","9","13","15","91","164","9","6","31","8","8","3605760.0"
"62","24","24","24","24","24","24","24","23","1","24","23","25","90","27","24","34","8","8","8","2412180.0"
"63","29","29","29","29","40","67","67","46","12","67","46","22","240","5","67","10","8","8","8","4138800.0"
"64","40","40","9","9","29","29","9","39","1","9","39","41","241","5","9","6","37","8","8","164820.0"
"65","19","19","20","20","62","62","19","13","1","19","13","15","65","212","19","6","118","8","8","69420.0"
"66","24","24","24","24","20","20","48","129","1","48","129","130","4","115","48","6","4","8","8","1724520.0"
"67","40","40","40","40","9","9","9","0","12","9","0","3","142","5","9","10","8","8","8","4611900.0"
"68","243","243","246","246","54","54","81","80","1","81","80","80","102","17","81","6","102","8","8","52200.0"
"7","2","2","9","9","2","2","40","0","1","40","0","3","7","212","40","6","95","8","8","286980.0"
"70","19","19","19","19","19","19","19","13","1","19","13","15","42","248","19","10","8","8","8","3175740.0"
"71","62","62","62","62","81","81","20","21","1","20","21","22","50","17","20","6","79","8","8","22980.0"
"72","24","24","24","24","20","20","112","129","1","112","129","130","79","17","112","6","8","8","8","218340.0"
"73","9","9","40","40","2","2","29","0","1","29","0","3","55","207","29","10","8","8","8","914700.0"
"75","35","35","35","35","24","24","24","23","1","24","23","25","4","27","24","10","8","8","8","1603200.0"
"77","62","62","62","62","19","19","19","13","1","19","13","15","91","172","19","10","8","8","8","1700280.0"
"78","40","40","40","40","9","9","29","39","1","29","39","41","249","5","29","6","250","8","8","2526600.0"
"79","54","54","145","145","112","112","48","148","1","48","148","149","251","212","48","6","251","8","8","308580.0"
"80","29","29","29","29","54","54","48","47","1","48","47","49","26","5","48","6","18","8","8","2020200.0"
"82","40","40","40","40","29","29","29","39","1","29","39","41","42","5","29","6","118","8","8","1581240.0"
"83","40","40","40","40","2","2","29","39","1","29","39","41","182","32","29","6","187","8","8","403020.0"
"84","24","24","24","24","24","24","24","23","1","24","23","25","51","117","24","6","57","8","8","1042860.0"
"85","53","53","53","53","29","98","35","63","1","35","63","64","88","27","35","6","4","8","8","27000.0"
"86","53","53","77","77","29","29","53","63","1","53","63","64","237","27","53","6","180","8","8","146280.0"
"87","2","2","9","9","9","20","9","0","12","9","0","3","252","253","9","6","43","8","8","3134520.0"
"89","9","9","2","2","29","29","29","39","1","29","39","41","158","254","29","6","255","8","8","301020.0"
"9","62","62","19","19","19","19","20","21","1","20","21","22","76","17","20","6","76","8","8","1705020.0"
"90","53","53","2","2","29","29","9","63","1","9","63","64","158","254","9","6","76","8","8","410400.0"
"91","40","40","2","2","2","29","2","39","12","2","39","41","159","256","2","6","8","8","8","524040.0"
"92","53","53","53","53","53","53","20","46","1","20","46","22","96","27","20","6","8","11","8","1876380.0"
"93","35","35","35","35","24","24","24","113","1","24","113","25","79","162","24","10","11","8","8","3758520.0"
"95","29","29","9","9","20","2","20","46","12","20","46","22","257","160","20","6","8","8","8","2652180.0"
"96","54","54","54","54","112","112","112","148","1","112","148","149","158","27","112","6","55","8","8","84960.0"
"97","54","54","153","153","112","112","112","148","1","112","148","149","59","27","112","6","8","8","8","895200.0"
"98","54","54","77","77","112","112","77","47","1","77","47","49","259","27","77","6","260","8","8","1800.0"
"99","20","20","20","20","20","20","112","148","1","112","148","149","262","141","112","6","8","8","8","349200.0"
