"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","Event_17","Event_18","Event_19","Event_20","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"127","35","35","35","35","15","15","46","46","32","32","35","35","46","46","46","2","46","54","2","54","80","1","54","80","81","129","41","54","6","40","8","8","1212780.0"
"129","42","55","55","42","42","42","54","54","55","55","20","20","55","55","110","110","55","55","20","20","21","1","20","21","22","38","132","20","6","38","8","8","0.0"
"135","46","46","91","128","128","91","46","46","46","46","46","46","91","91","9","9","35","35","35","35","118","1","35","118","119","82","51","35","6","95","8","8","448920.0"
"140","91","91","15","15","93","93","2","2","20","20","67","67","67","67","67","67","65","65","135","110","111","11","110","111","111","57","5","110","6","38","8","8","32580.0"
"145","42","42","54","54","42","42","42","42","32","32","20","20","20","20","32","32","137","137","137","137","136","1","137","136","138","131","139","137","6","115","8","8","320880.0"
"155","54","54","54","54","54","54","54","32","32","54","32","32","2","2","20","20","2","2","32","32","113","1","32","113","18","103","41","32","6","8","8","8","207960.0"
"156","76","76","76","76","76","76","76","76","76","76","32","32","32","32","32","32","23","23","61","61","0","1","61","0","3","145","146","61","6","98","8","8","512760.0"
"163","148","148","55","55","55","55","55","55","31","31","55","55","148","148","55","55","55","55","55","55","113","1","55","113","18","147","107","55","6","115","8","8","5007840.0"
"17","42","42","42","42","42","42","42","151","42","42","42","151","150","150","42","42","151","151","150","150","140","1","150","140","142","78","107","150","6","108","8","8","2591460.0"
"174","46","46","35","55","35","35","55","35","128","128","54","54","46","46","35","35","55","55","55","55","17","1","55","17","18","89","41","55","6","108","8","8","788460.0"
"177","20","20","135","135","135","135","67","67","16","16","16","16","16","16","16","16","109","109","110","110","111","1","110","111","111","152","5","110","6","45","8","8","3975300.0"
"178","23","23","67","67","109","109","109","2","20","109","2","20","109","67","109","67","135","135","65","65","154","1","65","154","155","156","5","65","6","8","8","8","4905480.0"
"18","9","9","9","9","91","91","9","9","9","9","9","9","91","15","91","91","15","91","9","9","10","11","9","10","12","158","5","9","6","58","8","8","6092040.0"
"182","32","32","65","65","32","32","32","32","110","110","32","32","123","123","20","20","2","2","32","32","17","1","32","17","18","159","41","32","6","8","8","8","84780.0"
"185","27","27","65","65","110","110","110","110","55","55","55","55","55","55","20","20","20","20","55","55","113","1","55","113","18","34","5","55","6","8","8","57","5170920.0"
"187","2","2","135","135","67","67","23","23","135","135","67","67","23","23","135","135","109","109","23","23","24","1","23","24","25","160","5","23","6","45","8","8","3880620.0"
"188","20","2","2","2","20","2","20","20","32","32","137","137","23","23","23","23","61","61","23","32","113","11","32","113","18","163","164","32","6","8","8","8","452640.0"
"19","15","15","16","16","9","9","16","16","20","20","2","2","2","2","135","135","109","109","23","23","24","1","23","24","25","161","5","23","6","85","8","8","112020.0"
"192","167","167","55","55","27","27","55","27","55","27","27","27","76","76","55","27","55","27","31","31","26","1","31","26","28","160","166","31","6","115","8","8","1462080.0"
"194","27","27","27","55","27","55","27","55","55","27","76","76","31","55","55","31","27","27","9","9","170","1","9","170","171","39","172","9","6","97","8","8","2030400.0"
"195","55","55","2","2","20","20","20","2","20","2","2","2","67","67","135","135","135","135","65","65","66","1","65","66","68","126","173","65","6","84","8","8","285120.0"
"198","91","91","46","46","46","46","55","91","91","55","9","9","91","91","128","128","9","9","93","93","17","1","93","17","18","78","5","93","6","174","8","8","5896500.0"
"199","2","2","20","2","2","2","20","20","20","23","2","23","23","23","23","23","2","2","67","16","17","11","16","17","18","175","5","16","6","8","14","8","7437300.0"
"20","15","15","32","15","15","32","35","35","35","35","35","35","91","91","46","46","35","35","32","15","10","11","15","10","12","176","177","15","6","74","8","8","3057000.0"
"201","93","93","93","93","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","140","1","42","140","142","95","178","42","6","14","8","8","3777660.0"
"206","32","32","20","20","20","20","109","109","109","109","32","32","32","32","181","181","65","65","65","65","120","1","65","120","121","85","180","65","6","57","8","8","717300.0"
"207","91","46","91","46","91","46","91","46","46","46","35","35","46","91","91","46","91","91","91","91","80","1","91","80","81","182","183","91","13","8","8","8","1612440.0"
"208","76","76","31","31","76","76","76","76","27","27","31","31","76","76","27","27","93","93","20","20","21","1","20","21","22","64","5","20","6","4","8","8","3108420.0"
"209","35","35","54","54","54","54","91","91","35","35","46","46","32","32","20","20","20","20","32","32","113","1","32","113","18","184","41","32","6","184","8","8","119580.0"
"21","15","15","46","46","32","9","9","9","9","32","9","35","35","35","46","46","35","9","32","32","17","1","32","17","18","152","177","32","6","8","8","8","3241380.0"
"210","46","46","35","35","35","35","46","46","35","35","32","32","46","46","35","35","32","32","32","32","17","1","32","17","18","187","30","32","6","187","8","8","831060.0"
"212","35","35","35","35","35","32","35","32","46","46","35","35","32","32","32","32","20","20","20","20","0","1","20","0","3","188","41","20","6","83","8","8","314580.0"
"214","35","35","35","35","15","46","15","46","32","32","35","35","35","35","15","46","15","46","32","32","17","1","32","17","18","147","41","32","6","8","8","8","1358100.0"
"215","54","54","54","54","23","23","32","32","32","32","20","20","20","20","20","20","20","20","32","32","113","1","32","113","18","190","41","32","6","8","8","8","167700.0"
"219","20","20","20","20","67","67","135","135","67","67","67","67","23","23","93","93","93","93","110","110","111","1","110","111","111","83","5","110","6","79","8","8","86400.0"
"22","76","76","31","31","31","31","31","31","76","76","93","93","20","20","20","20","65","65","65","65","120","1","65","120","121","57","41","65","6","37","8","8","325680.0"
"223","54","55","54","54","54","54","55","54","46","46","54","54","55","55","20","20","2","2","2","2","48","1","2","48","49","83","41","2","6","8","8","8","1381500.0"
"225","109","109","109","109","109","109","109","109","109","109","2","2","2","2","2","2","23","23","2","2","0","1","2","0","3","192","5","2","6","8","8","8","5875200.0"
"228","54","54","54","54","54","54","32","32","32","32","32","32","2","20","2","20","32","32","32","32","113","1","32","113","18","4","41","32","6","19","8","8","137160.0"
"229","54","55","55","54","46","46","54","54","55","55","20","20","20","2","20","2","55","55","55","55","113","1","55","113","18","56","41","55","6","56","8","8","55800.0"
"23","91","91","15","15","46","46","93","93","91","93","93","91","91","91","20","20","20","20","65","65","120","1","65","120","121","64","122","65","13","115","8","8","2901840.0"
"230","35","35","35","35","35","35","35","32","32","35","46","46","35","32","32","35","9","9","128","128","80","1","128","80","81","197","30","128","6","62","8","8","4375080.0"
"231","20","20","67","67","67","67","135","65","135","65","16","16","16","16","16","16","16","16","16","16","179","1","16","179","18","95","5","16","6","34","8","8","316320.0"
"232","93","91","93","109","91","109","65","65","65","65","65","65","65","65","65","65","65","65","65","65","104","1","65","104","105","57","5","65","6","71","8","8","505560.0"
"233","76","31","76","31","31","31","9","9","55","55","20","20","20","20","76","76","76","76","55","55","17","1","55","17","18","56","41","55","6","8","8","8","601980.0"
"234","55","55","55","55","137","137","201","201","137","137","55","55","55","55","91","91","9","9","15","55","17","11","55","17","18","149","199","55","6","8","8","8","3697020.0"
"235","16","16","16","27","16","27","27","27","27","27","27","27","16","16","27","27","76","76","76","76","75","1","76","75","77","64","202","76","6","38","8","8","2355480.0"
"237","32","32","15","15","32","32","32","32","20","2","20","2","23","23","23","23","65","65","23","23","24","1","23","24","25","203","204","23","6","144","8","8","4248000.0"
"238","35","35","46","46","46","46","35","35","15","15","15","32","15","32","15","15","35","35","32","15","10","11","15","10","12","208","70","15","6","39","8","8","3779220.0"
"239","35","35","91","46","91","32","32","46","35","35","32","32","32","32","20","20","20","20","32","32","113","1","32","113","18","74","41","32","6","8","8","8","370680.0"
"24","9","9","9","9","93","93","2","2","210","109","109","210","93","93","67","2","20","20","67","67","24","11","67","24","25","64","122","67","6","7","8","8","466740.0"
"240","35","35","46","46","91","91","35","35","46","46","91","91","2","2","32","32","20","20","2","2","48","1","2","48","49","213","214","2","6","69","8","8","719640.0"
"241","91","91","91","91","15","15","55","35","55","35","35","35","55","55","20","20","20","20","55","20","48","1","20","48","49","74","41","20","6","62","8","8","44400.0"
"242","35","35","35","35","15","15","46","46","35","35","55","55","55","55","2","2","54","20","20","54","80","1","54","80","81","39","30","54","13","8","8","8","417540.0"
"243","35","35","46","55","46","46","55","46","32","32","20","20","20","20","135","135","135","135","32","32","113","1","32","113","18","4","30","32","6","8","8","8","235140.0"
"244","65","65","65","65","65","65","65","65","65","55","65","65","65","65","55","65","55","55","55","55","113","1","55","113","18","57","5","55","6","37","8","8","130080.0"
"245","31","31","31","16","16","31","31","31","31","31","76","76","76","76","93","93","20","20","2","2","0","1","2","0","3","57","5","2","6","8","8","8","690300.0"
"246","76","76","31","31","76","76","55","55","2","2","20","20","2","2","20","20","55","55","148","148","111","1","148","111","111","84","215","148","6","73","8","8","0.0"
"248","31","31","31","31","76","76","2","2","93","93","20","20","20","20","2","20","20","2","23","23","66","1","23","66","68","56","51","23","13","8","8","8","611700.0"
"249","54","54","54","54","55","55","54","54","54","54","9","9","55","55","20","20","20","20","109","109","104","1","109","104","105","216","41","109","13","8","8","8","409980.0"
"25","91","91","91","91","91","91","46","46","46","46","91","91","16","16","20","20","2","2","2","109","104","11","109","104","105","64","122","109","13","8","8","8","2593500.0"
"250","220","220","220","220","16","220","16","220","220","220","220","220","20","20","16","16","16","16","16","16","113","1","16","113","18","127","219","16","6","8","8","8","145200.0"
"251","91","91","9","9","9","9","16","16","20","20","16","16","2","2","210","210","16","16","16","16","113","1","16","113","18","57","5","16","6","8","8","8","190500.0"
"252","35","35","35","32","35","32","32","32","35","35","32","32","20","20","20","20","32","32","93","93","113","1","93","113","18","101","41","93","6","101","8","8","63480.0"
"253","76","76","76","76","32","31","32","32","31","32","20","20","20","20","20","20","20","20","2","2","0","1","2","0","3","74","223","2","6","8","8","8","431100.0"
"256","54","54","9","9","35","35","55","55","54","54","42","42","42","42","42","42","35","35","54","55","33","11","55","33","18","78","224","55","6","78","8","8","2919600.0"
"257","35","35","9","9","91","91","128","128","46","46","91","91","46","46","91","91","35","9","35","35","118","11","35","118","119","147","5","35","6","102","8","8","6515100.0"
"258","35","35","35","35","46","46","46","46","46","46","46","46","35","35","32","32","32","32","20","20","21","1","20","21","22","69","41","20","6","69","8","8","484260.0"
"259","76","76","76","76","27","27","35","35","76","76","27","27","27","27","35","35","27","27","35","35","75","1","35","75","77","226","146","35","6","143","8","8","5940720.0"
"26","15","15","35","35","35","35","9","9","9","9","93","93","109","109","20","20","65","65","65","65","120","1","65","120","121","64","122","65","6","8","8","8","3135420.0"
"260","46","46","46","46","46","46","35","35","46","46","76","76","32","35","32","35","15","15","32","32","17","1","32","17","18","227","41","32","6","8","8","8","4396500.0"
"261","54","54","54","54","32","32","42","42","32","32","2","2","20","20","2","2","110","110","32","32","113","1","32","113","18","149","214","32","6","149","8","8","0.0"
"262","15","15","46","46","46","46","32","32","32","32","20","20","20","20","2","2","2","20","2","20","0","1","20","0","3","84","30","20","6","4","8","8","174600.0"
"263","42","42","42","42","42","55","42","42","55","42","42","42","42","42","54","55","54","55","20","20","48","1","20","48","49","40","228","20","6","40","8","8","1513980.0"
"264","128","128","128","46","128","46","35","35","32","32","15","15","91","91","35","35","128","32","128","32","17","1","32","17","18","229","214","32","6","8","8","8","105120.0"
"265","54","54","54","54","54","54","54","54","54","54","32","32","20","20","20","20","109","109","109","109","104","1","109","104","105","19","230","109","6","14","8","8","245280.0"
"266","16","16","91","91","9","9","91","16","91","91","16","55","55","91","9","9","9","9","91","91","118","1","91","118","119","231","5","91","6","95","8","8","7216560.0"
"267","15","15","35","35","35","35","15","32","32","15","46","46","46","46","76","76","9","32","32","35","10","11","35","10","12","163","164","35","6","57","8","8","7030800.0"
"268","54","54","54","32","54","32","54","32","32","54","54","54","109","109","55","55","54","55","54","55","17","1","55","17","18","131","233","55","6","8","14","8","1532160.0"
"269","54","54","54","55","54","54","55","54","54","54","55","54","54","55","54","55","55","54","55","55","17","1","55","17","18","101","41","55","6","101","8","8","1561860.0"
"27","54","54","54","54","54","54","54","54","54","54","54","54","54","54","32","32","109","109","109","109","104","1","109","104","105","101","41","109","13","8","8","8","232080.0"
"271","9","9","9","9","9","9","91","93","91","93","9","93","93","9","93","91","91","2","93","93","17","11","93","17","18","147","5","93","6","234","71","8","6513540.0"
"272","31","31","76","76","76","76","31","32","31","32","20","20","32","20","20","32","20","20","135","135","24","1","135","24","25","95","30","135","13","8","8","8","158760.0"
"273","31","31","31","27","27","32","31","32","20","20","20","20","20","20","65","65","109","109","109","109","120","1","109","120","121","101","30","109","6","71","8","8","152040.0"
"274","42","42","42","55","55","42","42","55","109","42","55","109","109","109","109","109","55","55","20","55","113","11","55","113","18","38","30","55","6","8","8","8","49680.0"
"277","220","220","93","93","65","65","65","65","65","65","65","65","65","65","65","65","65","65","148","148","111","1","148","111","111","38","5","148","6","71","8","8","44940.0"
"28","35","35","35","35","15","32","32","15","32","32","15","15","54","54","32","91","32","91","9","9","80","1","9","80","81","156","41","9","6","14","8","8","2813340.0"
"29","27","27","76","76","31","31","76","76","76","76","76","76","93","93","2","2","236","76","236","76","75","1","76","75","77","186","5","76","6","8","8","8","2719440.0"
"3","15","16","15","16","9","9","16","16","20","20","20","20","23","135","23","135","135","135","135","135","24","1","135","24","25","4","5","135","13","8","8","8","180120.0"
"31","9","9","9","9","9","9","46","46","16","16","16","16","20","20","65","65","61","61","2","2","48","1","2","48","49","83","5","2","6","8","8","8","1258080.0"
"32","35","35","91","91","46","46","91","91","15","15","91","93","93","93","91","93","35","9","35","35","118","11","35","118","119","159","51","35","6","95","8","8","2256120.0"
"33","35","35","32","35","32","35","35","35","15","15","46","46","32","32","32","32","20","20","32","32","17","1","32","17","18","83","41","32","6","8","8","8","686100.0"
"34","27","27","31","31","31","31","9","9","27","55","27","55","20","20","20","20","20","109","109","20","0","1","20","0","3","95","51","20","6","79","8","8","1768080.0"
"35","91","91","35","35","46","91","46","91","16","16","16","16","23","23","20","20","61","61","67","67","66","1","67","66","68","62","5","67","13","14","8","8","465900.0"
"36","46","46","91","91","9","9","9","9","93","46","93","46","46","46","91","91","9","9","93","93","17","1","93","17","18","95","5","93","6","95","8","8","1390680.0"
"37","54","76","76","54","54","54","35","35","238","238","54","54","54","54","9","9","20","20","32","32","17","1","32","17","18","84","41","32","6","84","8","8","1358280.0"
"38","15","15","91","91","9","9","9","9","9","9","9","9","54","54","54","54","15","15","91","91","118","1","91","118","119","185","5","91","6","7","8","8","4723620.0"
"39","76","76","76","55","55","76","76","55","76","55","76","76","27","27","76","76","76","55","55","76","75","1","76","75","77","4","30","76","6","7","8","8","348240.0"
"4","9","9","46","93","46","46","93","46","91","91","9","9","93","93","20","20","93","20","93","20","21","1","20","21","22","62","5","20","6","60","8","8","0.0"
"40","31","31","76","76","31","31","31","31","31","31","9","9","32","32","2","2","20","20","110","110","111","1","110","111","111","84","30","110","6","84","8","8","39180.0"
"41","31","31","31","32","31","31","32","31","76","76","20","20","93","93","20","20","20","20","135","135","24","1","135","24","25","95","30","135","13","8","8","8","447060.0"
"42","35","35","35","35","32","32","15","15","42","42","35","32","35","15","32","32","32","20","20","20","48","11","20","48","49","78","30","20","6","62","8","8","405000.0"
"43","42","42","54","32","54","32","54","54","42","42","32","32","20","20","20","20","32","32","110","110","111","11","110","111","111","144","41","110","6","144","8","8","3600.0"
"44","27","27","76","76","76","76","27","27","27","27","76","76","9","9","76","76","9","32","32","9","241","1","9","241","77","242","243","9","6","40","8","8","1933380.0"
"46","91","91","46","46","91","35","91","35","35","35","55","55","20","20","20","55","55","20","55","55","113","1","55","113","18","4","41","55","6","4","8","8","64740.0"
"47","42","42","42","32","42","42","32","42","42","42","42","42","32","32","2","2","20","20","20","20","0","1","20","0","3","4","41","20","6","14","8","8","472740.0"
"48","15","15","9","9","9","9","55","55","15","15","55","55","20","20","20","20","65","65","109","109","104","1","109","104","105","83","5","109","6","57","8","8","3020940.0"
"49","54","16","54","16","54","54","123","123","32","32","109","109","32","32","20","20","20","20","110","110","111","1","110","111","111","45","41","110","6","115","8","8","27180.0"
"52","54","54","42","42","42","42","42","42","42","42","42","42","42","42","42","42","32","2","32","2","48","1","2","48","49","225","41","2","6","225","8","8","391920.0"
"53","54","54","42","42","42","42","42","42","42","42","42","42","54","55","54","55","54","54","55","55","17","1","55","17","18","4","244","55","6","19","14","8","818940.0"
"54","91","91","15","15","9","9","9","55","55","9","15","15","55","55","20","20","20","20","55","55","17","1","55","17","18","56","41","55","6","85","8","8","144660.0"
"55","27","27","76","76","76","76","55","31","55","31","27","27","76","76","31","31","27","27","55","55","17","1","55","17","18","245","214","55","6","149","8","8","2472300.0"
"6","54","54","54","54","42","42","42","42","54","54","54","54","32","32","42","32","32","42","54","2","48","11","2","48","49","246","214","2","6","8","8","8","1559700.0"
"60","42","42","20","20","54","54","55","42","55","42","54","54","55","55","55","55","20","20","2","2","21","1","2","21","22","62","247","2","6","62","8","8","43980.0"
"61","31","31","31","31","31","31","9","9","31","55","31","55","76","76","31","55","31","31","55","31","26","1","31","26","28","39","172","31","13","14","8","8","3378420.0"
"62","42","42","42","42","42","42","42","42","42","42","42","42","32","32","32","32","20","20","20","20","48","1","20","48","49","19","41","20","6","19","8","8","686580.0"
"63","46","46","46","46","91","16","16","91","35","9","35","35","35","15","15","9","16","16","109","109","21","1","109","21","22","248","5","109","6","249","8","8","3705240.0"
"66","42","42","42","42","32","32","20","20","20","20","201","201","32","32","20","20","20","20","110","110","111","1","110","111","111","4","139","110","6","4","8","8","30360.0"
"67","91","91","91","91","9","9","9","9","15","15","9","9","76","76","9","16","16","9","15","15","10","1","15","10","12","147","5","15","6","162","8","8","4378320.0"
"7","15","15","9","9","15","15","91","91","9","9","9","9","32","32","20","20","20","32","20","20","0","1","20","0","3","7","214","20","6","7","8","8","114420.0"
"70","31","31","31","31","31","31","31","31","31","31","31","31","76","76","31","31","31","31","76","76","26","1","76","26","28","161","252","76","13","8","8","8","2821380.0"
"72","42","42","42","42","32","32","2","2","20","20","20","2","20","2","110","110","110","110","32","32","113","1","32","113","18","101","30","32","6","101","8","8","0.0"
"73","9","9","91","91","15","15","46","46","91","91","9","9","9","32","32","9","15","54","15","54","10","1","54","10","12","69","204","54","6","4","8","8","832500.0"
"75","54","54","54","54","42","42","42","42","54","54","54","54","93","93","20","20","2","2","109","109","120","1","109","120","121","4","41","109","13","8","8","8","352200.0"
"77","76","76","76","76","31","31","31","31","76","76","27","16","16","27","76","76","31","31","76","76","26","1","76","26","28","39","253","76","6","47","8","8","1303740.0"
"78","91","91","91","91","9","9","46","46","91","91","91","91","35","35","35","35","15","15","46","46","118","1","46","118","119","254","5","46","6","37","8","8","2328360.0"
"80","46","46","46","46","55","55","20","20","2","2","20","20","135","135","135","23","135","67","23","67","24","1","67","24","25","40","5","67","6","8","8","8","49020.0"
"82","91","91","91","91","46","46","46","46","55","55","20","20","2","2","20","20","2","2","67","67","66","1","67","66","68","161","5","67","13","14","8","8","51480.0"
"83","91","91","91","91","15","15","46","46","91","55","55","91","9","9","46","46","55","55","2","2","0","1","2","0","3","255","51","2","6","8","8","8","53700.0"
"84","42","42","42","42","42","42","42","42","42","42","32","32","54","54","32","32","20","20","20","20","48","1","20","48","49","62","166","20","6","62","8","8","599460.0"
"87","15","15","9","9","9","32","9","32","54","91","54","9","91","35","9","35","32","32","54","54","10","1","54","10","12","256","257","54","6","144","8","8","3008880.0"
"89","9","9","15","15","46","46","46","46","9","9","9","9","9","35","35","35","35","9","32","32","17","1","32","17","18","160","258","32","6","160","8","8","73860.0"
"9","76","76","31","31","31","31","32","32","20","20","20","20","109","109","109","109","20","20","55","55","113","1","55","113","18","95","30","55","6","8","8","8","122400.0"
"90","35","35","15","15","46","46","9","9","9","35","35","128","128","9","128","128","9","35","35","9","80","1","9","80","81","160","258","9","6","200","8","8","151800.0"
"91","91","91","15","15","15","46","15","46","32","32","35","35","9","9","15","15","46","46","9","32","33","11","32","33","18","163","260","32","6","8","8","8","403560.0"
"92","35","35","35","35","35","35","32","32","32","32","32","32","65","65","65","65","65","65","65","65","0","1","65","0","3","37","41","65","6","38","8","8","535380.0"
"93","54","54","54","54","42","42","42","42","42","42","16","16","264","264","76","76","27","27","76","76","75","1","76","75","77","101","263","76","13","8","8","8","1379760.0"
"95","46","46","9","9","32","15","32","15","46","46","9","9","32","128","15","32","15","128","9","9","10","1","9","10","12","265","164","9","6","83","8","8","2485140.0"
"97","55","55","23","23","2","2","2","2","2","2","20","20","20","20","55","55","55","55","110","110","111","11","110","111","111","78","41","110","6","4","8","8","31200.0"
