"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","remainingTime"
"254","2","2","2","2","2","2","61","61","26","26","97","97","33900.0"
"256","40","40","9","9","30","30","47","47","40","40","34","34","2991120.0"
"257","30","30","9","9","56","56","51","51","38","38","56","56","6730380.0"
"258","30","30","30","30","38","38","38","38","38","38","38","38","1501260.0"
"259","75","75","75","75","28","28","30","30","75","75","28","28","6066720.0"
"26","15","15","30","30","30","30","9","9","9","9","58","58","3509520.0"
"260","38","38","38","38","38","38","30","30","38","38","75","75","4517220.0"
"261","40","40","40","40","26","26","34","34","26","26","61","61","543360.0"
"262","15","15","38","38","38","38","26","26","26","26","2","2","183960.0"
"263","34","34","34","34","34","47","34","34","47","34","34","34","1586340.0"
"264","51","51","51","38","51","38","30","30","26","26","15","15","161220.0"
"265","40","40","40","40","40","40","40","40","40","40","26","26","861060.0"
"266","17","17","56","56","9","9","56","17","56","56","17","47","7287300.0"
"267","15","15","30","30","30","30","15","26","26","15","38","38","7149600.0"
"268","40","40","40","26","40","26","40","26","26","40","40","40","1783080.0"
"269","40","40","40","47","40","40","47","40","40","40","47","40","1632420.0"
"27","40","40","40","40","40","40","40","40","40","40","40","40","273180.0"
"271","9","9","9","9","9","9","56","58","56","58","9","58","6570000.0"
"272","21","21","75","75","75","75","21","26","21","26","2","2","1274040.0"
"273","21","21","21","28","28","26","21","26","2","2","2","2","285000.0"
"274","34","34","34","47","47","34","34","47","96","34","47","96","131400.0"
"277","219","219","58","58","91","91","91","91","91","91","91","91","104340.0"
"28","30","30","30","30","15","26","26","15","26","26","15","15","2940420.0"
"29","28","28","75","75","21","21","75","75","75","75","75","75","3390720.0"
"3","15","17","15","17","9","9","17","17","2","2","2","2","213600.0"
"30","38","17","17","38","51","51","56","56","15","17","15","17","0.0"
"31","9","9","9","9","9","9","38","38","17","17","17","17","2698080.0"
"32","30","30","56","56","38","38","56","56","15","15","56","58","2393940.0"
"33","30","30","26","30","26","30","30","30","15","15","38","38","1928580.0"
"34","28","28","21","21","21","21","9","9","28","47","28","47","1954800.0"
"35","56","56","30","30","38","56","38","56","17","17","17","17","2324400.0"
"36","38","38","56","56","9","9","9","9","58","38","58","38","1477920.0"
"37","40","75","75","40","40","40","30","30","235","235","40","40","1758060.0"
"38","15","15","56","56","9","9","9","9","9","9","9","9","4770420.0"
"39","75","75","75","47","47","75","75","47","75","47","75","75","432840.0"
"4","9","9","38","58","38","38","58","38","56","56","9","9","33000.0"
"40","21","21","75","75","21","21","21","21","21","21","9","9","1141800.0"
"41","21","21","21","26","21","21","26","21","75","75","2","2","1482480.0"
"42","30","30","30","30","26","26","15","15","34","34","30","26","410820.0"
"43","34","34","40","26","40","26","40","40","34","34","26","26","319080.0"
"44","28","28","75","75","75","75","28","28","28","28","75","75","2053560.0"
"45","30","30","38","38","38","38","26","26","40","40","26","26","4440.0"
"46","56","56","38","38","56","30","56","30","30","30","47","47","136140.0"
"47","34","34","34","26","34","34","26","34","34","34","34","34","1382400.0"
"48","15","15","9","9","9","9","47","47","15","15","47","47","3107340.0"
"49","40","17","40","17","40","40","109","109","26","26","96","96","637080.0"
"50","40","40","40","40","40","40","40","40","26","26","2","2","261120.0"
"52","40","40","34","34","34","34","34","34","34","34","34","34","573480.0"
"53","40","40","34","34","34","34","34","34","34","34","34","34","858840.0"
"54","56","56","15","15","9","9","9","47","47","9","15","15","210660.0"
"55","28","28","75","75","75","75","47","21","47","21","28","28","3091080.0"
"56","34","34","40","97","97","40","40","40","26","26","2","2","3240.0"
"58","91","91","91","91","96","96","91","91","26","2","26","2","30960.0"
"59","30","30","56","56","38","38","26","26","51","51","245","245","158280.0"
"6","40","40","40","40","34","34","34","34","40","40","40","40","1621860.0"
"60","34","34","2","2","40","40","47","34","47","34","40","40","178200.0"
"61","21","21","21","21","21","21","9","9","21","47","21","47","3553320.0"
"62","34","34","34","34","34","34","34","34","34","34","34","34","2326320.0"
"63","38","38","38","38","56","17","17","56","30","9","30","30","4010640.0"
"64","56","56","9","9","38","38","9","9","9","9","56","56","43860.0"
"65","21","21","26","26","75","75","21","21","30","30","109","109","0.0"
"66","34","34","34","34","26","26","2","2","2","2","203","203","267960.0"
"67","56","56","56","56","9","9","9","9","15","15","9","9","4563300.0"
"7","15","15","9","9","15","15","56","56","9","9","9","9","273000.0"
"70","21","21","21","21","21","21","21","21","21","21","21","21","3081720.0"
"71","75","75","75","75","97","97","26","26","2","2","2","2","4560.0"
"72","34","34","34","34","26","26","61","61","2","2","2","61","167220.0"
"73","9","9","56","56","15","15","38","38","56","56","9","9","876720.0"
"75","40","40","40","40","34","34","34","34","40","40","40","40","1551000.0"
"77","75","75","75","75","21","21","21","21","75","75","28","17","1467600.0"
"78","56","56","56","56","9","9","38","38","56","56","56","56","2466600.0"
"79","47","47","116","116","61","61","2","2","47","47","97","97","0.0"
"80","38","38","38","38","47","47","2","2","61","61","2","2","122940.0"
"82","56","56","56","56","38","38","38","38","47","47","2","2","1276920.0"
"83","56","56","56","56","15","15","38","38","56","47","47","56","367200.0"
"84","34","34","34","34","34","34","34","34","34","34","26","26","859620.0"
"85","30","30","30","30","38","109","40","38","109","40","26","26","0.0"
"86","30","30","51","51","38","38","30","30","51","51","51","51","101340.0"
"87","15","15","9","9","9","26","9","26","40","56","40","9","3087900.0"
"89","9","9","15","15","38","38","38","38","9","9","9","9","181500.0"
"9","75","75","21","21","21","21","26","26","2","2","2","2","546120.0"
"90","30","30","15","15","38","38","9","9","9","30","30","51","237600.0"
"91","56","56","15","15","15","38","15","38","26","26","30","30","495180.0"
"92","30","30","30","30","30","30","26","26","26","26","26","26","755520.0"
"93","40","40","40","40","34","34","34","34","34","34","17","17","3715500.0"
"95","38","38","9","9","26","15","26","15","38","38","9","9","2570760.0"
"96","47","47","47","47","61","61","61","51","61","2","51","2","69480.0"
"97","47","47","145","145","61","61","61","61","61","61","2","2","854460.0"
"99","26","26","26","26","26","26","61","61","2","2","2","2","305280.0"
