"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","concept:name_10","lifecycle:transition_10","org:resource_10","Activity_10","Resource_10","Work_Order_Qty_10","Part_Desc__10","Worker_ID_10","Report_Type_10","Qty_Completed_10","Qty_Rejected_10","Qty_for_MRB_10","concept:name_11","lifecycle:transition_11","org:resource_11","Activity_11","Resource_11","Work_Order_Qty_11","Part_Desc__11","Worker_ID_11","Report_Type_11","Qty_Completed_11","Qty_Rejected_11","Qty_for_MRB_11","concept:name_12","lifecycle:transition_12","org:resource_12","Activity_12","Resource_12","Work_Order_Qty_12","Part_Desc__12","Worker_ID_12","Report_Type_12","Qty_Completed_12","Qty_Rejected_12","Qty_for_MRB_12","concept:name_13","lifecycle:transition_13","org:resource_13","Activity_13","Resource_13","Work_Order_Qty_13","Part_Desc__13","Worker_ID_13","Report_Type_13","Qty_Completed_13","Qty_Rejected_13","Qty_for_MRB_13","remainingTime"
"110","75","1","32","75","76","77","38","32","11","12","7","7","75","13","32","75","76","77","38","32","11","12","7","7","75","1","43","75","76","77","38","43","11","50","7","7","17","1","16","17","18","77","38","16","6","7","7","7","17","13","16","17","18","77","38","16","6","7","7","7","75","13","43","75","76","77","38","43","11","50","7","7","75","1","43","75","76","77","38","43","6","4","7","7","75","13","43","75","76","77","38","43","6","4","7","7","75","1","32","75","76","77","38","32","6","79","7","7","75","13","32","75","76","77","38","32","6","79","7","7","75","1","14","75","76","77","38","14","6","55","7","7","75","13","14","75","76","77","38","14","6","55","7","7","75","1","43","75","76","77","38","43","6","78","7","7","2323680.0"
"111","82","1","8","82","10","81","5","8","11","12","7","7","82","13","8","82","10","81","5","8","11","12","7","7","82","1","8","82","10","81","5","8","6","83","7","7","82","13","8","82","10","81","5","8","6","83","7","7","82","1","14","82","10","81","5","14","6","84","7","7","82","13","14","82","10","81","5","14","6","84","7","7","82","1","85","82","10","81","5","85","6","86","7","7","82","13","85","82","10","81","5","85","6","86","7","7","82","1","8","82","10","81","5","8","6","73","7","7","82","13","8","82","10","81","5","8","6","73","7","7","82","1","14","82","10","81","5","14","6","46","7","7","82","13","14","82","10","81","5","14","6","46","7","7","30","1","80","30","18","81","5","80","6","81","7","7","1184760.0"
"112","23","1","71","23","25","87","38","71","11","7","7","7","23","13","71","23","25","87","38","71","11","7","7","7","23","1","28","23","25","87","38","28","11","12","7","7","23","13","28","23","25","87","38","28","11","12","7","7","23","1","24","23","25","87","38","24","11","50","7","7","23","13","24","23","25","87","38","24","11","50","7","7","17","1","52","17","18","87","38","52","6","7","50","7","23","1","28","23","25","87","38","28","49","7","7","7","17","13","52","17","18","87","38","52","6","7","50","7","23","13","28","23","25","87","38","28","49","7","7","7","23","1","28","23","25","87","38","28","11","50","7","7","23","13","28","23","25","87","38","28","11","50","7","7","23","1","24","23","25","87","38","24","6","50","7","7","1272240.0"
"114","75","1","32","75","76","88","38","32","11","12","7","7","75","13","32","75","76","88","38","32","11","12","7","7","17","1","29","17","18","88","38","29","6","7","7","7","75","1","89","75","76","88","38","89","11","7","7","7","75","13","89","75","76","88","38","89","11","7","7","7","17","13","29","17","18","88","38","29","6","7","7","7","75","1","32","75","76","88","38","32","6","74","7","7","75","13","32","75","76","88","38","32","6","74","7","7","17","1","29","17","18","88","38","29","6","74","7","7","17","13","29","17","18","88","38","29","6","74","7","7","17","1","29","17","18","88","38","29","6","7","12","7","17","13","29","17","18","88","38","29","6","7","12","7","17","1","29","17","18","88","38","29","6","7","7","7","480.0"
"115","9","1","8","9","10","90","38","8","11","7","7","7","9","13","8","9","10","90","38","8","11","7","7","7","9","1","43","9","10","90","38","43","6","64","7","7","9","13","43","9","10","90","38","43","6","64","7","7","9","1","8","9","10","90","38","8","6","91","7","7","9","13","8","9","10","90","38","8","6","91","7","7","9","1","8","9","10","90","38","8","11","7","7","7","9","13","8","9","10","90","38","8","11","7","7","7","9","1","8","9","10","90","38","8","6","92","7","7","17","1","52","17","18","90","38","52","6","7","7","7","17","13","52","17","18","90","38","52","6","7","7","7","17","1","52","17","18","90","38","52","6","90","7","7","17","13","52","17","18","90","38","52","6","90","7","7","1685400.0"
"116","93","1","60","93","94","95","96","60","11","7","7","7","93","13","60","93","94","95","96","60","11","7","7","7","93","1","60","93","94","95","96","60","6","97","7","7","93","13","60","93","94","95","96","60","6","97","7","7","93","1","98","93","94","95","96","98","6","46","7","7","93","13","98","93","94","95","96","98","6","46","7","7","56","1","57","56","56","95","96","57","6","99","7","7","56","13","57","56","56","95","96","57","6","99","7","7","93","1","60","93","94","95","96","60","6","66","7","7","59","1","16","59","18","95","96","16","6","99","7","7","59","13","16","59","18","95","96","16","6","99","7","7","93","13","60","93","94","95","96","60","6","66","7","7","93","1","60","93","94","95","96","60","6","79","7","7","514440.0"
"119","70","1","24","70","72","100","101","24","11","7","7","7","70","13","24","70","72","100","101","24","11","7","7","7","70","1","24","70","72","100","101","24","11","7","7","7","70","13","24","70","72","100","101","24","11","7","7","7","70","1","24","70","72","100","101","24","11","12","7","7","70","13","24","70","72","100","101","24","11","12","7","7","70","1","71","70","72","100","101","71","6","66","7","7","70","13","71","70","72","100","101","71","6","66","7","7","70","1","24","70","72","100","101","24","6","42","7","7","70","13","24","70","72","100","101","24","6","42","7","7","70","1","24","70","72","100","101","24","6","102","7","7","70","13","24","70","72","100","101","24","6","102","7","7","70","1","24","70","72","100","101","24","6","102","7","7","205260.0"
"12","103","1","71","103","25","104","27","71","11","7","7","7","103","13","71","103","25","104","27","71","11","7","7","7","103","1","24","103","25","104","27","24","11","12","7","7","103","13","24","103","25","104","27","24","11","12","7","7","30","1","29","30","18","104","27","29","6","7","7","7","30","13","29","30","18","104","27","29","6","7","7","7","103","1","24","103","25","104","27","24","6","42","7","7","103","13","24","103","25","104","27","24","6","42","7","7","103","1","71","103","25","104","27","71","6","55","7","7","103","13","71","103","25","104","27","71","6","55","7","7","103","1","28","103","25","104","27","28","6","61","7","7","103","13","28","103","25","104","27","28","6","61","7","7","103","1","71","103","25","104","27","71","6","63","7","7","1612440.0"
"120","108","1","43","108","109","107","5","43","11","34","7","7","108","13","43","108","109","107","5","43","11","34","7","7","108","1","85","108","109","107","5","85","11","12","7","7","108","13","85","108","109","107","5","85","11","12","7","7","108","1","32","108","109","107","5","32","49","7","7","7","108","13","32","108","109","107","5","32","49","7","7","7","17","1","80","17","18","107","5","80","6","34","12","7","17","13","80","17","18","107","5","80","6","34","12","7","21","1","20","21","22","107","5","20","6","34","7","7","21","13","20","21","22","107","5","20","6","34","7","7","0","1","20","0","3","107","5","20","6","34","7","7","0","13","20","0","3","107","5","20","6","34","7","7","105","1","98","105","106","107","5","98","11","7","7","7","94260.0"
"121","108","1","43","108","109","91","110","43","11","12","7","7","108","13","43","108","109","91","110","43","11","12","7","7","108","1","43","108","109","91","110","43","6","44","7","7","30","1","111","30","18","91","110","111","6","91","7","7","30","13","111","30","18","91","110","111","6","91","7","7","108","13","43","108","109","91","110","43","6","44","7","7","108","1","85","108","109","91","110","85","11","7","7","7","30","1","80","30","18","91","110","80","6","44","7","7","30","13","80","30","18","91","110","80","6","44","7","7","108","13","85","108","109","91","110","85","11","7","7","7","9","1","43","9","10","91","110","43","11","7","7","7","9","1","45","9","10","91","110","45","11","7","7","7","9","13","45","9","10","91","110","45","11","7","7","7","1211340.0"
"122","108","1","85","108","109","91","110","85","11","12","7","7","108","13","85","108","109","91","110","85","11","12","7","7","108","1","85","108","109","91","110","85","6","44","7","7","108","13","85","108","109","91","110","85","6","44","7","7","108","1","85","108","109","91","110","85","11","12","7","7","108","13","85","108","109","91","110","85","11","12","7","7","108","1","85","108","109","91","110","85","6","44","7","7","17","1","16","17","18","91","110","16","6","7","7","7","17","13","16","17","18","91","110","16","6","7","7","7","108","13","85","108","109","91","110","85","6","44","7","7","17","1","80","17","18","91","110","80","6","91","7","7","17","13","80","17","18","91","110","80","6","91","7","7","21","1","20","21","22","91","110","20","6","91","7","7","1785120.0"
"123","9","1","85","9","10","112","5","85","11","7","7","7","9","13","85","9","10","112","5","85","11","7","7","7","9","1","8","9","10","112","5","8","11","7","7","7","9","13","8","9","10","112","5","8","11","7","7","7","9","1","8","9","10","112","5","8","6","113","7","7","9","13","8","9","10","112","5","8","6","113","7","7","9","1","14","9","10","112","5","14","6","7","7","7","9","13","14","9","10","112","5","14","6","7","7","7","9","1","14","9","10","112","5","14","6","86","7","7","9","13","14","9","10","112","5","14","6","86","7","7","9","1","8","9","10","112","5","8","11","12","7","7","9","13","8","9","10","112","5","8","11","12","7","7","9","1","8","9","10","112","5","8","6","66","7","7","224700.0"
"124","9","1","8","9","10","91","38","8","11","12","7","7","9","13","8","9","10","91","38","8","11","12","7","7","9","1","8","9","10","91","38","8","6","66","7","7","9","13","8","9","10","91","38","8","6","66","7","7","9","1","85","9","10","91","38","85","6","7","7","7","9","13","85","9","10","91","38","85","6","7","7","7","9","1","14","9","10","91","38","14","6","19","7","7","9","13","14","9","10","91","38","14","6","19","7","7","17","1","52","17","18","91","38","52","6","91","7","7","17","13","52","17","18","91","38","52","6","91","7","7","21","1","20","21","22","91","38","20","6","91","7","7","21","13","20","21","22","91","38","20","6","91","7","7","0","1","89","0","3","91","38","89","6","91","7","7","322080.0"
"126","9","1","85","9","10","4","47","85","11","7","7","7","9","13","85","9","10","4","47","85","11","7","7","7","9","1","14","9","10","4","47","14","11","66","7","7","9","13","14","9","10","4","47","14","11","66","7","7","9","1","8","9","10","4","47","8","11","7","7","7","17","1","52","17","18","4","47","52","6","7","12","7","9","13","8","9","10","4","47","8","11","7","7","7","9","1","8","9","10","4","47","8","6","15","7","7","17","13","52","17","18","4","47","52","6","7","12","7","9","13","8","9","10","4","47","8","6","15","7","7","17","1","52","17","18","4","47","52","6","19","7","7","17","13","52","17","18","4","47","52","6","19","7","7","21","1","20","21","22","4","47","20","6","19","7","7","206400.0"
"127","75","1","32","75","76","114","38","32","11","66","7","7","75","13","32","75","76","114","38","32","11","66","7","7","75","1","32","75","76","114","38","32","6","34","7","7","75","13","32","75","76","114","38","32","6","34","7","7","75","1","14","75","76","114","38","14","6","44","7","7","75","13","14","75","76","114","38","14","6","44","7","7","75","1","43","75","76","114","38","43","6","116","7","7","75","13","43","75","76","114","38","43","6","116","7","7","17","1","29","17","18","114","38","29","6","7","7","7","17","13","29","17","18","114","38","29","6","7","7","7","75","1","32","75","76","114","38","32","6","64","7","7","75","13","32","75","76","114","38","32","6","64","7","7","75","1","43","75","76","114","38","43","6","115","7","7","1249560.0"
"129","40","1","39","40","41","50","117","39","11","7","7","7","17","1","52","17","18","50","117","52","11","7","7","7","17","13","52","17","18","50","117","52","11","7","7","7","40","13","39","40","41","50","117","39","11","7","7","7","40","1","39","40","41","50","117","39","11","12","7","7","40","13","39","40","41","50","117","39","11","12","7","7","40","1","45","40","41","50","117","45","6","66","7","7","40","13","45","40","41","50","117","45","6","66","7","7","17","1","52","17","18","50","117","52","6","50","7","7","17","13","52","17","18","50","117","52","6","50","7","7","0","1","20","0","3","50","117","20","6","50","7","7","0","13","20","0","3","50","117","20","6","50","7","7","0","1","52","0","18","50","117","52","6","50","7","7","940260.0"
"13","103","1","28","103","25","88","27","28","11","7","7","7","103","13","28","103","25","88","27","28","11","7","7","7","103","1","28","103","25","88","27","28","6","66","7","7","103","13","28","103","25","88","27","28","6","66","7","7","103","1","24","103","25","88","27","24","6","37","7","7","103","13","24","103","25","88","27","24","6","37","7","7","56","1","57","56","56","88","27","57","6","88","7","7","56","13","57","56","56","88","27","57","6","88","7","7","30","1","29","30","18","88","27","29","6","88","7","7","30","13","29","30","18","88","27","29","6","88","7","7","21","1","98","21","22","88","27","98","6","88","7","7","21","13","98","21","22","88","27","98","6","88","7","7","59","1","29","59","18","88","27","29","6","88","7","7","4500.0"
"135","108","1","43","108","109","77","47","43","11","12","7","7","108","13","43","108","109","77","47","43","11","12","7","7","108","1","85","108","109","77","47","85","11","7","7","7","108","1","89","108","109","77","47","89","11","7","7","7","108","13","89","108","109","77","47","89","11","7","7","7","108","13","85","108","109","77","47","85","11","7","7","7","108","1","43","108","109","77","47","43","11","7","7","7","108","13","43","108","109","77","47","43","11","7","7","7","108","1","43","108","109","77","47","43","11","7","7","7","108","13","43","108","109","77","47","43","11","7","7","7","108","1","43","108","109","77","47","43","6","55","7","7","108","13","43","108","109","77","47","43","6","55","7","7","108","1","85","108","109","77","47","85","6","55","7","7","620820.0"
"138","9","1","14","9","10","100","5","14","11","7","7","7","9","13","14","9","10","100","5","14","11","7","7","7","9","1","8","9","10","100","5","8","11","12","7","7","9","13","8","9","10","100","5","8","11","12","7","7","9","1","8","9","10","100","5","8","6","69","7","7","9","13","8","9","10","100","5","8","6","69","7","7","9","1","14","9","10","100","5","14","6","37","7","7","9","13","14","9","10","100","5","14","6","37","7","7","108","1","85","108","109","100","5","85","6","107","7","7","108","13","85","108","109","100","5","85","6","107","7","7","17","1","16","17","18","100","5","16","6","7","12","7","17","13","16","17","18","100","5","16","6","7","12","7","17","1","16","17","18","100","5","16","6","7","66","7","15180.0"
"140","108","1","85","108","109","107","5","85","11","66","7","7","108","13","85","108","109","107","5","85","11","66","7","7","108","1","14","108","109","107","5","14","6","50","7","7","108","13","14","108","109","107","5","14","6","50","7","7","17","1","80","17","18","107","5","80","6","50","66","7","17","13","80","17","18","107","5","80","6","50","66","7","21","1","2","21","22","107","5","2","6","50","7","7","21","13","2","21","22","107","5","2","6","50","7","7","0","1","20","0","3","107","5","20","6","50","7","7","0","13","20","0","3","107","5","20","6","50","7","7","118","1","119","118","120","107","5","119","11","12","7","7","118","13","119","118","120","107","5","119","11","12","7","7","118","1","119","118","120","107","5","119","6","66","7","7","233280.0"
"145","122","1","39","122","41","115","121","39","11","66","7","7","122","13","39","122","41","115","121","39","11","66","7","7","122","1","45","122","41","115","121","45","6","46","7","7","122","13","45","122","41","115","121","45","6","46","7","7","122","1","39","122","41","115","121","39","6","7","7","7","122","13","39","122","41","115","121","39","6","7","7","7","122","1","39","122","41","115","121","39","6","102","7","7","122","13","39","122","41","115","121","39","6","102","7","7","30","1","29","30","18","115","121","29","6","115","7","7","30","13","29","30","18","115","121","29","6","115","7","7","35","1","20","35","36","115","121","20","6","115","7","7","35","13","20","35","36","115","121","20","6","115","7","7","0","1","20","0","3","115","121","20","6","115","7","7","843000.0"
"147","122","1","39","122","41","126","127","39","11","12","7","7","122","13","39","122","41","126","127","39","11","12","7","7","122","1","45","122","41","126","127","45","11","7","7","7","122","13","45","122","41","126","127","45","11","7","7","7","122","1","45","122","41","126","127","45","6","92","7","7","122","13","45","122","41","126","127","45","6","92","7","7","122","1","39","122","41","126","127","39","6","68","7","7","56","1","57","56","56","126","127","57","6","128","7","7","56","13","57","56","56","126","127","57","6","128","7","7","122","13","39","122","41","126","127","39","6","68","7","7","30","1","52","30","18","126","127","52","6","128","7","7","30","13","52","30","18","126","127","52","6","128","7","7","123","1","124","123","125","126","127","124","6","128","7","7","13200.0"
"148","131","1","130","131","132","129","127","130","6","7","7","7","131","13","130","131","132","129","127","130","6","7","7","7","134","1","133","134","135","129","127","133","6","12","7","7","134","13","133","134","135","129","127","133","6","12","7","7","59","1","52","59","18","129","127","52","6","12","7","7","136","1","52","136","18","129","127","52","6","12","7","7","56","1","137","56","56","129","127","137","6","12","7","7","56","13","137","56","56","129","127","137","6","12","7","7","59","13","52","59","18","129","127","52","6","12","7","7","136","13","52","136","18","129","127","52","6","12","7","7","138","1","52","138","139","129","127","52","6","12","7","7","59","1","52","59","18","129","127","52","6","7","7","7","59","13","52","59","18","129","127","52","6","7","7","7","3180.0"
"155","122","1","45","122","142","140","38","45","11","7","7","7","122","13","45","122","142","140","38","45","11","7","7","7","40","1","45","40","41","140","38","45","6","7","7","7","40","13","45","40","41","140","38","45","6","7","7","7","40","1","45","40","41","140","38","45","6","63","7","7","40","13","45","40","41","140","38","45","6","63","7","7","40","1","45","40","41","140","38","45","6","115","7","7","17","1","29","17","18","140","38","29","6","7","7","7","17","13","29","17","18","140","38","29","6","7","7","7","40","13","45","40","41","140","38","45","6","115","7","7","17","1","29","17","18","140","38","29","6","140","7","7","17","13","29","17","18","140","38","29","6","140","7","7","21","1","2","21","22","140","38","2","6","141","7","7","234540.0"
