"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","remainingTime"
"236","64","64","64","64","30","100","30","100","64","64","64","64","30","30","139","139","0.0"
"237","30","30","14","14","30","30","30","30","20","2","20","2","147","147","147","147","4312080.0"
"238","33","33","42","42","42","42","33","33","14","14","14","30","14","30","14","14","3833580.0"
"239","33","33","86","42","86","30","30","42","33","33","30","30","30","30","20","20","459960.0"
"24","8","8","8","8","88","88","2","2","213","100","100","213","88","88","125","2","473640.0"
"240","33","33","42","42","86","86","33","33","42","42","86","86","2","2","30","30","725880.0"
"241","86","86","86","86","14","14","52","33","52","33","33","33","52","52","20","20","213780.0"
"242","33","33","33","33","14","14","42","42","33","33","52","52","52","52","2","2","461700.0"
"243","33","33","42","52","42","42","52","42","30","30","20","20","20","20","144","144","324060.0"
"244","64","64","64","64","64","64","64","64","64","52","64","64","64","64","52","64","298500.0"
"245","29","29","29","16","16","29","29","29","29","29","72","72","72","72","88","88","2391420.0"
"246","72","72","29","29","72","72","52","52","2","2","20","20","2","2","20","20","311100.0"
"248","29","29","29","29","72","72","2","2","88","88","20","20","20","20","2","20","664560.0"
"249","46","46","46","46","52","52","46","46","46","46","8","8","52","52","20","20","487020.0"
"25","86","86","86","86","86","86","42","42","42","42","86","86","16","16","20","20","2678640.0"
"250","223","223","223","223","16","223","16","223","223","223","223","223","20","20","16","16","151200.0"
"251","86","86","8","8","8","8","16","16","20","20","16","16","2","2","213","213","309960.0"
"252","33","33","33","30","33","30","30","30","33","33","30","30","20","20","20","20","226800.0"
"253","72","72","72","72","30","29","30","30","29","30","20","20","20","20","20","20","478860.0"
"256","46","46","8","8","33","33","52","52","46","46","38","38","38","38","38","38","2988900.0"
"257","33","33","8","8","86","86","118","118","42","42","86","86","42","42","86","86","6638520.0"
"258","33","33","33","33","42","42","42","42","42","42","42","42","33","33","30","30","1437900.0"
"259","72","72","72","72","24","24","33","33","72","72","24","24","24","24","33","33","6028200.0"
"26","14","14","33","33","33","33","8","8","8","8","88","88","100","100","20","20","3244500.0"
"260","42","42","42","42","42","42","33","33","42","42","72","72","30","33","30","33","4483800.0"
"261","46","46","46","46","30","30","38","38","30","30","2","2","20","20","2","2","497580.0"
"262","14","14","42","42","42","42","30","30","30","30","20","20","20","20","2","2","179460.0"
"263","38","38","38","38","38","52","38","38","52","38","38","38","38","38","46","52","1521000.0"
"264","118","118","118","42","118","42","33","33","30","30","14","14","86","86","33","33","108060.0"
"265","46","46","46","46","46","46","46","46","46","46","30","30","20","20","20","20","267840.0"
"266","16","16","86","86","8","8","86","16","86","86","16","52","52","86","8","8","7273500.0"
"267","14","14","33","33","33","33","14","30","30","14","42","42","42","42","72","72","7064220.0"
"268","46","46","46","30","46","30","46","30","30","46","46","46","100","100","52","52","1577040.0"
"269","46","46","46","52","46","46","52","46","46","46","52","46","46","52","46","52","1624860.0"
"27","46","46","46","46","46","46","46","46","46","46","46","46","46","46","30","30","248640.0"
"271","8","8","8","8","8","8","86","88","86","88","8","88","88","8","88","86","6543900.0"
"272","29","29","72","72","72","72","29","30","29","30","20","20","30","20","20","30","335280.0"
"273","29","29","29","24","24","30","29","30","20","20","20","20","20","20","64","64","173700.0"
"274","38","38","38","52","52","38","38","52","100","38","52","100","100","100","100","100","118800.0"
"277","223","223","88","88","64","64","64","64","64","64","64","64","64","64","64","64","98940.0"
"28","33","33","33","33","14","30","30","14","30","30","14","14","46","46","30","86","2914380.0"
"29","24","24","72","72","29","29","72","72","72","72","72","72","88","88","2","2","2775120.0"
"3","14","16","14","16","8","8","16","16","20","20","20","20","147","144","147","144","199800.0"
"31","8","8","8","8","8","8","42","42","16","16","16","16","20","20","64","64","1344480.0"
"32","33","33","86","86","42","42","86","86","14","14","86","88","88","88","86","88","2358000.0"
"33","33","33","30","33","30","33","33","33","14","14","42","42","30","30","30","30","1633980.0"
"34","24","24","29","29","29","29","8","8","24","52","24","52","20","20","20","20","1777200.0"
"35","86","86","33","33","42","86","42","86","16","16","16","16","147","147","20","20","1274940.0"
"36","42","42","86","86","8","8","8","8","88","42","88","42","42","42","86","86","1438260.0"
"37","46","72","72","46","46","46","33","33","239","239","46","46","46","46","8","8","1717920.0"
"38","14","14","86","86","8","8","8","8","8","8","8","8","46","46","46","46","4760880.0"
"39","72","72","72","52","52","72","72","52","72","52","72","72","24","24","72","72","374100.0"
"4","8","8","42","88","42","42","88","42","86","86","8","8","88","88","20","20","4920.0"
"40","29","29","72","72","29","29","29","29","29","29","8","8","30","30","2","2","583680.0"
"41","29","29","29","30","29","29","30","29","72","72","20","20","88","88","20","20","617820.0"
"42","33","33","33","33","30","30","14","14","38","38","33","30","33","14","30","30","405060.0"
"43","38","38","46","30","46","30","46","46","38","38","30","30","20","20","20","20","52560.0"
"44","24","24","72","72","72","72","24","24","24","24","72","72","8","8","72","72","1967160.0"
"46","86","86","42","42","86","33","86","33","33","33","52","52","20","20","20","52","122220.0"
"47","38","38","38","30","38","38","30","38","38","38","38","38","30","30","2","2","557820.0"
"48","14","14","8","8","8","8","52","52","14","14","52","52","20","20","20","20","3098100.0"
"49","46","16","46","16","46","46","113","113","30","30","100","100","30","30","20","20","72600.0"
"50","46","46","46","46","46","46","46","46","30","30","20","20","20","20","58","58","32160.0"
"52","46","46","38","38","38","38","38","38","38","38","38","38","38","38","38","38","483420.0"
"53","46","46","38","38","38","38","38","38","38","38","38","38","46","52","46","52","838800.0"
"54","86","86","14","14","8","8","8","52","52","8","14","14","52","52","20","20","153600.0"
"55","24","24","72","72","72","72","52","29","52","29","24","24","72","72","29","29","3057360.0"
"56","38","38","46","58","58","46","46","46","30","30","20","20","20","30","20","30","0.0"
"59","33","33","86","86","42","42","30","30","118","118","60","60","58","58","30","30","95100.0"
"6","46","46","46","46","38","38","38","38","46","46","46","46","30","30","38","30","1620540.0"
"60","38","38","20","20","46","46","52","38","52","38","46","46","52","52","52","52","61200.0"
"61","29","29","29","29","29","29","8","8","29","52","29","52","72","72","29","52","3385260.0"
"62","38","38","38","38","38","38","38","38","38","38","38","38","30","30","30","30","1022040.0"
"63","42","42","42","42","86","16","16","86","33","8","33","33","33","14","14","8","3966900.0"
"64","86","86","8","8","42","42","8","8","8","8","86","86","42","42","42","42","0.0"
"66","38","38","38","38","30","30","20","20","20","20","204","204","30","30","20","20","160260.0"
"67","86","86","86","86","8","8","8","8","14","14","8","8","72","72","8","16","4439100.0"
"7","14","14","8","8","14","14","86","86","8","8","8","8","30","30","20","20","118920.0"
"70","29","29","29","29","29","29","29","29","29","29","29","29","72","72","29","29","2866740.0"
"72","38","38","38","38","30","30","2","2","20","20","20","2","20","2","58","58","45540.0"
"73","8","8","86","86","14","14","42","42","86","86","8","8","8","30","30","8","856380.0"
"75","46","46","46","46","38","38","38","38","46","46","46","46","88","88","20","20","426480.0"
"77","72","72","72","72","29","29","29","29","72","72","24","16","16","24","72","72","1389660.0"
"78","86","86","86","86","8","8","42","42","86","86","86","86","33","33","33","33","2442000.0"
"80","42","42","42","42","52","52","20","20","2","2","20","20","144","144","144","147","86400.0"
"82","86","86","86","86","42","42","42","42","52","52","20","20","2","2","20","20","233040.0"
"83","86","86","86","86","14","14","42","42","86","52","52","86","8","8","42","42","326400.0"
"84","38","38","38","38","38","38","38","38","38","38","30","30","46","46","30","30","843720.0"
"86","33","33","118","118","42","42","33","33","118","118","118","118","52","52","52","52","0.0"
"87","14","14","8","8","8","30","8","30","46","86","46","8","86","33","8","33","3048780.0"
"89","8","8","14","14","42","42","42","42","8","8","8","8","8","33","33","33","134100.0"
"9","72","72","29","29","29","29","30","30","20","20","20","20","100","100","100","100","395340.0"
"90","33","33","14","14","42","42","8","8","8","33","33","118","118","8","118","118","221160.0"
"91","86","86","14","14","14","42","14","42","30","30","33","33","8","8","14","14","449580.0"
"92","33","33","33","33","33","33","30","30","30","30","30","30","64","64","64","64","539880.0"
"93","46","46","46","46","38","38","38","38","38","38","16","16","263","263","72","72","1437900.0"
"95","42","42","8","8","30","14","30","14","42","42","8","8","30","118","14","30","2569200.0"
"96","52","52","52","52","2","2","2","118","2","20","118","20","171","58","171","58","27600.0"
"97","52","52","147","147","2","2","2","2","2","2","20","20","20","20","52","52","322800.0"
"99","30","30","30","30","30","30","2","2","20","20","20","20","30","30","30","30","47160.0"
