"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","concept:name_10","lifecycle:transition_10","org:resource_10","Activity_10","Resource_10","Work_Order_Qty_10","Part_Desc__10","Worker_ID_10","Report_Type_10","Qty_Completed_10","Qty_Rejected_10","Qty_for_MRB_10","remainingTime"
"120","48","12","34","48","49","102","5","34","14","103","9","9","48","1","34","48","49","102","5","34","14","103","9","9","48","12","51","48","49","102","5","51","14","8","9","9","48","1","51","48","49","102","5","51","14","8","9","9","48","12","18","48","49","102","5","18","39","9","9","9","48","1","18","48","49","102","5","18","39","9","9","9","0","12","46","0","3","102","5","46","6","103","8","9","0","1","46","0","3","102","5","46","6","103","8","9","58","12","57","58","59","102","5","57","6","103","9","9","58","1","57","58","59","102","5","57","6","103","9","9","585000.0"
"121","48","12","34","48","49","85","104","34","14","8","9","9","48","1","34","48","49","85","104","34","14","8","9","9","48","12","34","48","49","85","104","34","6","35","9","9","25","12","105","25","3","85","104","105","6","85","9","9","25","1","105","25","3","85","104","105","6","85","9","9","48","1","34","48","49","85","104","34","6","35","9","9","48","12","51","48","49","85","104","51","14","9","9","9","25","12","46","25","3","85","104","46","6","35","9","9","25","1","46","25","3","85","104","46","6","35","9","9","48","1","51","48","49","85","104","51","14","9","9","9","1910400.0"
"122","48","12","51","48","49","85","104","51","14","8","9","9","48","1","51","48","49","85","104","51","14","8","9","9","48","12","51","48","49","85","104","51","6","35","9","9","48","1","51","48","49","85","104","51","6","35","9","9","48","12","51","48","49","85","104","51","14","8","9","9","48","1","51","48","49","85","104","51","14","8","9","9","48","12","51","48","49","85","104","51","6","35","9","9","0","12","2","0","3","85","104","2","6","9","9","9","0","1","2","0","3","85","104","2","6","9","9","9","48","1","51","48","49","85","104","51","6","35","9","9","1933440.0"
"123","11","12","51","11","13","106","5","51","14","9","9","9","11","1","51","11","13","106","5","51","14","9","9","9","11","12","10","11","13","106","5","10","14","9","9","9","11","1","10","11","13","106","5","10","14","9","9","9","11","12","10","11","13","106","5","10","6","107","9","9","11","1","10","11","13","106","5","10","6","107","9","9","11","12","15","11","13","106","5","15","6","9","9","9","11","1","15","11","13","106","5","15","6","9","9","9","11","12","15","11","13","106","5","15","6","80","9","9","11","1","15","11","13","106","5","15","6","80","9","9","251820.0"
"124","11","12","10","11","13","85","29","10","14","8","9","9","11","1","10","11","13","85","29","10","14","8","9","9","11","12","10","11","13","85","29","10","6","65","9","9","11","1","10","11","13","85","29","10","6","65","9","9","11","12","51","11","13","85","29","51","6","9","9","9","11","1","51","11","13","85","29","51","6","9","9","9","11","12","15","11","13","85","29","15","6","7","9","9","11","1","15","11","13","85","29","15","6","7","9","9","0","12","42","0","3","85","29","42","6","85","9","9","0","1","42","0","3","85","29","42","6","85","9","9","384780.0"
"125","71","12","18","71","72","108","29","18","14","9","9","9","71","1","18","71","72","108","29","18","14","9","9","9","71","12","15","71","72","108","29","15","14","8","9","9","71","1","15","71","72","108","29","15","14","8","9","9","0","12","24","0","3","108","29","24","6","9","9","9","71","12","15","71","72","108","29","15","6","109","9","9","71","1","15","71","72","108","29","15","6","109","9","9","0","1","24","0","3","108","29","24","6","9","9","9","71","12","51","71","72","108","29","51","6","102","9","9","71","1","51","71","72","108","29","51","6","102","9","9","0.0"
"126","11","12","51","11","13","4","37","51","14","9","9","9","11","1","51","11","13","4","37","51","14","9","9","9","11","12","15","11","13","4","37","15","14","65","9","9","11","1","15","11","13","4","37","15","14","65","9","9","11","12","10","11","13","4","37","10","14","9","9","9","0","12","42","0","3","4","37","42","6","9","8","9","11","1","10","11","13","4","37","10","14","9","9","9","11","12","10","11","13","4","37","10","6","16","9","9","0","1","42","0","3","4","37","42","6","9","8","9","11","1","10","11","13","4","37","10","6","16","9","9","481560.0"
"127","71","12","18","71","72","110","29","18","14","65","9","9","71","1","18","71","72","110","29","18","14","65","9","9","71","12","18","71","72","110","29","18","6","103","9","9","71","1","18","71","72","110","29","18","6","103","9","9","71","12","15","71","72","110","29","15","6","35","9","9","71","1","15","71","72","110","29","15","6","35","9","9","71","12","34","71","72","110","29","34","6","111","9","9","71","1","34","71","72","110","29","34","6","111","9","9","0","12","24","0","3","110","29","24","6","9","9","9","0","1","24","0","3","110","29","24","6","9","9","9","1293480.0"
"129","31","12","30","31","32","75","112","30","14","9","9","9","0","12","42","0","3","75","112","42","14","9","9","9","0","1","42","0","3","75","112","42","14","9","9","9","31","1","30","31","32","75","112","30","14","9","9","9","31","12","30","31","32","75","112","30","14","8","9","9","31","1","30","31","32","75","112","30","14","8","9","9","31","12","40","31","32","75","112","40","6","65","9","9","31","1","40","31","32","75","112","40","6","65","9","9","0","12","42","0","3","75","112","42","6","75","9","9","0","1","42","0","3","75","112","42","6","75","9","9","1038660.0"
"13","100","12","23","100","19","82","21","23","14","9","9","9","100","1","23","100","19","82","21","23","14","9","9","9","100","12","23","100","19","82","21","23","6","65","9","9","100","1","23","100","19","82","21","23","6","65","9","9","100","12","26","100","19","82","21","26","6","28","9","9","100","1","26","100","19","82","21","26","6","28","9","9","97","12","96","97","97","82","21","96","6","82","9","9","97","1","96","97","97","82","21","96","6","82","9","9","25","12","24","25","3","82","21","24","6","82","9","9","25","1","24","25","3","82","21","24","6","82","9","9","14340.0"
"135","48","12","34","48","49","73","37","34","14","8","9","9","48","1","34","48","49","73","37","34","14","8","9","9","48","12","51","48","49","73","37","51","14","9","9","9","48","12","83","48","49","73","37","83","14","9","9","9","48","1","83","48","49","73","37","83","14","9","9","9","48","1","51","48","49","73","37","51","14","9","9","9","48","12","34","48","49","73","37","34","14","9","9","9","48","1","34","48","49","73","37","34","14","9","9","9","48","12","34","48","49","73","37","34","14","9","9","9","48","1","34","48","49","73","37","34","14","9","9","9","635400.0"
"138","11","12","15","11","13","98","5","15","14","9","9","9","11","1","15","11","13","98","5","15","14","9","9","9","11","12","10","11","13","98","5","10","14","8","9","9","11","1","10","11","13","98","5","10","14","8","9","9","11","12","10","11","13","98","5","10","6","113","9","9","11","1","10","11","13","98","5","10","6","113","9","9","11","12","15","11","13","98","5","15","6","28","9","9","11","1","15","11","13","98","5","15","6","28","9","9","48","12","51","48","49","98","5","51","6","102","9","9","48","1","51","48","49","98","5","51","6","102","9","9","74040.0"
"140","48","12","51","48","49","102","5","51","14","65","9","9","48","1","51","48","49","102","5","51","14","65","9","9","48","12","15","48","49","102","5","15","6","75","9","9","48","1","15","48","49","102","5","15","6","75","9","9","0","12","46","0","3","102","5","46","6","75","65","9","0","1","46","0","3","102","5","46","6","75","65","9","58","12","54","58","59","102","5","54","6","75","9","9","58","1","54","58","59","102","5","54","6","75","9","9","114","12","57","114","115","102","5","57","6","75","9","9","114","1","57","114","115","102","5","57","6","75","9","9","254460.0"
"145","118","12","30","118","32","116","117","30","14","65","9","9","118","1","30","118","32","116","117","30","14","65","9","9","118","12","40","118","32","116","117","40","6","36","9","9","118","1","40","118","32","116","117","40","6","36","9","9","118","12","30","118","32","116","117","30","6","9","9","9","118","1","30","118","32","116","117","30","6","9","9","9","118","12","30","118","32","116","117","30","6","109","9","9","118","1","30","118","32","116","117","30","6","109","9","9","25","12","24","25","3","116","117","24","6","116","9","9","25","1","24","25","3","116","117","24","6","116","9","9","1786380.0"
"147","118","12","30","118","32","119","120","30","14","8","9","9","118","1","30","118","32","119","120","30","14","8","9","9","118","12","40","118","32","119","120","40","14","9","9","9","118","1","40","118","32","119","120","40","14","9","9","9","118","12","40","118","32","119","120","40","6","86","9","9","118","1","40","118","32","119","120","40","6","86","9","9","118","12","30","118","32","119","120","30","6","64","9","9","97","12","96","97","97","119","120","96","6","121","9","9","97","1","96","97","97","119","120","96","6","121","9","9","118","1","30","118","32","119","120","30","6","64","9","9","43140.0"
"148","125","12","124","125","126","123","120","124","6","9","9","9","125","1","124","125","126","123","120","124","6","9","9","9","128","12","127","128","129","123","120","127","6","8","9","9","128","1","127","128","129","123","120","127","6","8","9","9","87","12","42","87","3","123","120","42","6","8","9","9","122","12","42","122","3","123","120","42","6","8","9","9","97","12","130","97","97","123","120","130","6","8","9","9","97","1","130","97","97","123","120","130","6","8","9","9","87","1","42","87","3","123","120","42","6","8","9","9","122","1","42","122","3","123","120","42","6","8","9","9","49080.0"
"153","92","12","91","92","93","131","37","91","14","9","9","9","92","1","91","92","93","131","37","91","14","9","9","9","92","12","91","92","93","131","37","91","6","103","9","9","92","1","91","92","93","131","37","91","6","103","9","9","87","12","42","87","3","131","37","42","6","9","9","9","87","1","42","87","3","131","37","42","6","9","9","9","87","12","42","87","3","131","37","42","6","103","9","9","87","1","42","87","3","131","37","42","6","103","9","9","97","12","96","97","97","131","37","96","6","103","9","9","97","1","96","97","97","131","37","96","6","103","9","9","0.0"
"155","118","12","40","118","132","108","29","40","14","9","9","9","118","1","40","118","132","108","29","40","14","9","9","9","31","12","40","31","32","108","29","40","6","9","9","9","31","1","40","31","32","108","29","40","6","9","9","9","31","12","40","31","32","108","29","40","6","52","9","9","31","1","40","31","32","108","29","40","6","52","9","9","31","12","40","31","32","108","29","40","6","116","9","9","0","12","24","0","3","108","29","24","6","9","9","9","0","1","24","0","3","108","29","24","6","9","9","9","31","1","40","31","32","108","29","40","6","116","9","9","379260.0"
"156","17","12","70","17","19","133","134","70","14","9","9","9","17","1","70","17","19","133","134","70","14","9","9","9","17","12","70","17","19","133","134","70","6","98","9","9","17","1","70","17","19","133","134","70","6","98","9","9","17","12","70","17","19","133","134","70","14","8","9","9","17","1","70","17","19","133","134","70","14","8","9","9","17","12","70","17","19","133","134","70","6","103","9","9","17","1","70","17","19","133","134","70","6","103","9","9","17","12","70","17","19","133","134","70","6","9","9","9","17","1","70","17","19","133","134","70","6","9","9","9","1102740.0"
"163","97","12","136","97","97","135","89","136","6","119","9","9","97","1","136","97","97","135","89","136","6","119","9","9","87","12","42","87","3","135","89","42","6","119","9","9","87","1","42","87","3","135","89","42","6","119","9","9","25","12","42","25","3","135","89","42","6","4","9","9","25","1","42","25","3","135","89","42","6","4","9","9","25","12","42","25","3","135","89","42","6","109","9","9","25","1","42","25","3","135","89","42","6","109","9","9","118","12","23","118","132","135","89","23","39","9","9","9","118","1","23","118","132","135","89","23","39","9","9","9","5212140.0"
"17","118","12","30","118","132","69","89","30","14","9","9","9","118","1","30","118","132","69","89","30","14","9","9","9","118","12","30","118","132","69","89","30","14","9","9","9","118","1","30","118","132","69","89","30","14","9","9","9","118","12","30","118","132","69","89","30","39","9","9","9","118","1","30","118","132","69","89","30","39","9","9","9","118","12","30","118","132","69","89","30","6","9","9","9","118","12","137","118","132","69","89","137","6","82","9","9","118","1","30","118","132","69","89","30","6","9","9","9","118","12","30","118","132","69","89","30","6","102","9","9","2732580.0"
"174","71","12","34","71","72","78","29","34","14","9","9","9","71","1","34","71","72","78","29","34","14","9","9","9","71","12","18","71","72","78","29","18","14","8","9","9","0","12","42","0","3","78","29","42","14","9","9","9","71","1","18","71","72","78","29","18","14","8","9","9","71","12","18","71","72","78","29","18","6","33","9","9","0","1","42","0","3","78","29","42","14","9","9","9","71","1","18","71","72","78","29","18","6","33","9","9","71","12","83","71","72","78","29","83","6","103","9","9","71","1","83","71","72","78","29","83","6","103","9","9","923280.0"
"177","114","12","57","114","115","138","5","57","6","33","9","9","114","1","57","114","115","138","5","57","6","33","9","9","140","12","139","140","141","138","5","139","14","9","9","9","140","1","139","140","141","138","5","139","14","9","9","9","140","12","139","140","141","138","5","139","6","65","9","9","140","1","139","140","141","138","5","139","6","65","9","9","140","12","142","140","141","138","5","142","6","85","9","9","140","1","142","140","141","138","5","142","6","85","9","9","87","12","2","87","3","138","5","2","6","9","9","9","87","1","2","87","3","138","5","2","6","9","9","9","6280500.0"
"178","146","12","145","146","147","144","5","145","6","64","9","9","146","1","145","146","147","144","5","145","6","64","9","9","140","12","142","140","141","144","5","142","14","9","9","9","140","1","142","140","141","144","5","142","14","9","9","9","143","12","95","143","93","144","5","95","6","9","9","9","143","1","95","143","93","144","5","95","6","9","9","9","143","12","95","143","93","144","5","95","6","9","9","9","114","12","54","114","115","144","5","54","6","9","9","9","114","12","57","114","115","144","5","57","6","9","9","9","143","1","95","143","93","144","5","95","6","9","9","9","5053500.0"
"179","143","12","95","143","93","135","5","95","6","9","9","9","143","1","95","143","93","135","5","95","6","9","9","9","87","12","2","87","3","135","5","2","6","4","9","9","87","1","2","87","3","135","5","2","6","4","9","9","97","12","96","97","97","135","5","96","6","4","9","9","97","1","96","97","97","135","5","96","6","4","9","9","148","12","91","148","149","135","5","91","6","9","9","9","148","1","91","148","149","135","5","91","6","9","9","9","87","12","2","87","3","135","5","2","6","9","9","9","87","1","2","87","3","135","5","2","6","9","9","9","74400.0"
"18","48","12","10","48","49","150","5","10","14","65","9","9","48","1","10","48","49","150","5","10","14","65","9","9","48","12","10","48","49","150","5","10","6","16","9","9","48","1","10","48","49","150","5","10","6","16","9","9","48","12","51","48","49","150","5","51","39","9","9","9","48","1","51","48","49","150","5","51","39","9","9","9","48","12","10","48","49","150","5","10","14","9","9","9","48","1","10","48","49","150","5","10","14","9","9","9","48","12","10","48","49","150","5","10","6","106","9","9","11","12","10","11","13","150","5","10","14","9","9","9","6154860.0"
"182","0","12","24","0","3","151","29","24","6","9","9","9","0","1","24","0","3","151","29","24","6","9","9","9","148","12","91","148","149","151","29","91","6","9","9","9","148","1","91","148","149","151","29","91","6","9","9","9","87","12","24","87","3","151","29","24","6","102","8","9","87","1","24","87","3","151","29","24","6","102","8","9","0","12","24","0","3","151","29","24","6","9","75","9","0","1","24","0","3","151","29","24","6","9","75","9","97","12","96","97","97","151","29","96","6","102","9","9","97","1","96","97","97","151","29","96","6","102","9","9","1787640.0"
"185","67","12","26","67","68","27","5","26","6","65","9","9","67","1","26","67","68","27","5","26","6","65","9","9","143","12","91","143","93","27","5","91","6","9","9","9","143","1","91","143","93","27","5","91","6","9","9","9","97","12","96","97","97","27","5","96","6","102","9","9","97","12","96","97","97","27","5","96","6","9","9","9","97","1","96","97","97","27","5","96","6","102","9","9","97","1","96","97","97","27","5","96","6","9","9","9","87","12","42","87","3","27","5","42","6","102","9","9","87","1","42","87","3","27","5","42","6","102","9","9","7338420.0"
