"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"259","61","61","61","61","14","14","54","54","60","1","54","60","62","226","142","54","6","18","8","8","6114180.0"
"26","2","2","54","54","54","54","9","9","0","1","9","0","3","47","98","9","11","8","8","8","3554760.0"
"260","29","29","29","29","29","29","54","54","64","1","54","64","65","227","27","54","6","103","8","8","4723380.0"
"261","38","38","38","38","20","20","24","24","23","1","24","23","25","117","213","24","6","189","8","8","588720.0"
"262","2","2","29","29","29","29","20","20","35","1","20","35","22","169","17","20","6","8","8","8","193860.0"
"263","24","24","24","24","24","36","24","24","23","10","24","23","25","26","228","24","34","8","8","8","1611540.0"
"264","78","78","78","29","78","29","54","54","64","1","54","64","65","229","213","54","6","101","8","8","194940.0"
"265","38","38","38","38","38","38","38","38","23","1","38","23","25","91","175","38","11","8","8","8","869520.0"
"266","68","68","46","46","9","9","46","68","35","10","68","35","22","230","5","68","11","8","8","8","7298100.0"
"267","2","2","54","54","54","54","2","20","35","10","20","35","22","161","162","20","6","8","8","8","7233660.0"
"268","38","38","38","20","38","20","38","20","35","10","20","35","22","115","232","20","6","8","8","8","1811040.0"
"269","38","38","38","36","38","38","36","38","23","1","38","23","25","80","27","38","11","103","8","8","1708020.0"
"27","38","38","38","38","38","38","38","38","23","1","38","23","25","80","27","38","6","30","8","8","502260.0"
"271","9","9","9","9","9","9","46","41","35","10","41","35","22","143","5","41","6","8","8","8","6629760.0"
"272","19","19","61","61","61","61","19","20","35","10","20","35","22","77","17","20","6","26","58","8","1393620.0"
"273","19","19","19","14","14","20","19","20","35","1","20","35","22","80","17","20","6","80","8","8","1850160.0"
"274","24","24","24","36","36","24","24","36","35","10","36","35","22","67","17","36","6","67","8","8","135000.0"
"277","218","218","41","41","86","86","86","86","87","1","86","87","88","67","5","86","11","8","8","8","327540.0"
"28","54","54","54","54","2","20","20","2","64","1","2","64","65","153","27","2","11","58","8","8","3499800.0"
"29","14","14","61","61","19","19","61","61","60","1","61","60","62","182","5","61","6","37","8","8","3476340.0"
"3","2","68","2","68","9","9","68","68","35","1","68","35","22","4","5","68","6","4","8","8","1531200.0"
"30","29","68","68","29","78","78","46","46","43","1","46","43","44","55","5","46","6","233","8","8","74100.0"
"31","9","9","9","9","9","9","29","29","0","1","29","0","3","189","5","29","6","136","8","8","3144660.0"
"32","54","54","46","46","29","29","46","46","43","1","46","43","44","159","32","46","11","67","8","8","2450640.0"
"33","54","54","20","54","20","54","54","54","64","1","54","64","65","189","27","54","6","58","8","8","1962360.0"
"34","14","14","19","19","19","19","9","9","60","1","9","60","62","77","32","9","6","4","8","8","1966560.0"
"35","46","46","54","54","29","46","29","46","43","1","46","43","44","52","5","46","6","47","8","8","2371800.0"
"36","29","29","46","46","9","9","9","9","43","1","9","43","44","77","5","9","11","8","8","8","1505220.0"
"37","38","61","61","38","38","38","54","54","23","1","54","23","25","169","27","54","6","30","8","8","1880100.0"
"38","2","2","46","46","9","9","9","9","0","1","9","0","3","181","5","9","6","58","8","8","4798500.0"
"39","61","61","61","36","36","61","61","36","35","10","36","35","22","4","17","36","6","4","8","8","442020.0"
"4","9","9","29","41","29","29","41","29","43","1","29","43","44","52","5","29","6","8","8","8","74100.0"
"40","19","19","61","61","19","19","19","19","94","1","19","94","15","169","17","19","6","97","8","8","1189500.0"
"41","19","19","19","20","19","19","20","19","13","1","19","13","15","77","17","19","6","91","8","8","1635780.0"
"42","54","54","54","54","20","20","2","2","64","1","2","64","65","63","17","2","6","89","8","8","464340.0"
"43","24","24","38","20","38","20","38","38","23","1","38","23","25","136","27","38","6","28","8","8","378180.0"
"44","14","14","61","61","61","61","14","14","234","1","14","234","62","235","236","14","6","103","8","8","2121840.0"
"45","54","54","29","29","29","29","20","20","35","1","20","35","22","52","17","20","6","8","8","8","597900.0"
"46","46","46","29","29","46","54","46","54","64","1","54","64","65","4","27","54","11","12","8","8","181200.0"
"47","24","24","24","20","24","24","20","24","23","1","24","23","25","4","27","24","6","91","8","8","1412160.0"
"48","2","2","9","9","9","9","36","36","35","1","36","35","22","189","5","36","6","8","8","8","3128520.0"
"49","38","68","38","68","38","38","99","99","64","1","99","64","65","28","27","99","6","8","12","8","1063080.0"
"50","38","38","38","38","38","38","38","38","64","1","38","64","65","91","27","38","6","91","8","8","1228860.0"
"52","38","38","24","24","24","24","24","24","23","1","24","23","25","223","27","24","11","8","8","8","630120.0"
"53","38","38","24","24","24","24","24","24","23","1","24","23","25","4","237","24","11","12","8","8","878820.0"
"54","46","46","2","2","9","9","9","36","35","10","36","35","22","37","27","36","11","8","8","8","247860.0"
"55","14","14","61","61","61","61","36","19","234","10","19","234","62","238","213","19","6","4","8","8","3261780.0"
"56","24","24","38","82","82","38","38","38","114","1","38","114","25","37","17","38","6","37","8","8","28860.0"
"58","86","86","86","86","90","90","86","86","87","1","86","87","88","75","40","86","6","26","8","8","672480.0"
"59","54","54","46","46","29","29","20","20","35","1","20","35","22","4","27","20","6","28","8","8","184980.0"
"6","38","38","38","38","24","24","24","24","23","1","24","23","25","239","213","24","11","12","8","8","1664580.0"
"60","24","24","49","49","38","38","36","24","114","10","24","114","25","52","240","24","34","8","8","8","237540.0"
"61","19","19","19","19","19","19","9","9","13","1","9","13","15","92","166","9","6","31","8","8","3571500.0"
"62","24","24","24","24","24","24","24","24","23","1","24","23","25","91","27","24","34","8","8","8","2402880.0"
"63","29","29","29","29","46","68","68","46","0","1","46","0","3","241","5","46","6","91","8","8","4133220.0"
"64","46","46","9","9","29","29","9","9","43","1","9","43","44","242","5","9","6","39","8","8","141000.0"
"65","19","19","20","20","61","61","19","19","13","1","19","13","15","66","213","19","6","57","8","8","44340.0"
"66","24","24","24","24","20","20","49","49","130","1","49","130","131","4","116","49","6","4","8","8","1721100.0"
"67","46","46","46","46","9","9","9","9","43","1","9","43","44","143","5","9","6","102","8","8","4611780.0"
"68","244","244","247","247","36","36","82","82","81","1","82","81","81","103","17","82","6","103","8","8","48600.0"
"7","2","2","9","9","2","2","46","46","0","1","46","0","3","7","213","46","6","96","8","8","278160.0"
"70","19","19","19","19","19","19","19","19","13","1","19","13","15","42","249","19","11","8","8","8","3166320.0"
"71","61","61","61","61","82","82","20","20","21","1","20","21","22","51","17","20","6","80","8","8","22740.0"
"72","24","24","24","24","20","20","113","113","130","1","113","130","131","80","17","113","6","8","8","8","213840.0"
"73","9","9","46","46","2","2","29","29","0","1","29","0","3","55","208","29","11","8","8","8","904320.0"
"75","38","38","38","38","24","24","24","24","23","1","24","23","25","4","27","24","11","8","8","8","1592400.0"
"77","61","61","61","61","19","19","19","19","13","1","19","13","15","92","174","19","11","8","8","8","1674000.0"
"78","46","46","46","46","9","9","29","29","43","1","29","43","44","250","5","29","6","251","8","8","2494740.0"
"79","36","36","147","147","113","113","49","49","150","1","49","150","151","252","213","49","6","252","8","8","303360.0"
"80","29","29","29","29","36","36","49","49","48","1","49","48","50","26","5","49","6","18","8","8","2018940.0"
"82","46","46","46","46","29","29","29","29","43","1","29","43","44","42","5","29","6","57","8","8","1550940.0"
"83","46","46","46","46","2","2","29","29","43","1","29","43","44","184","32","29","6","189","8","8","380280.0"
"84","24","24","24","24","24","24","24","24","23","1","24","23","25","52","118","24","6","58","8","8","1041900.0"
"85","54","54","54","54","29","99","38","29","64","1","29","64","65","89","27","29","6","97","8","8","25380.0"
"86","54","54","78","78","29","29","54","54","64","1","54","64","65","238","27","54","6","182","8","8","108540.0"
"87","2","2","9","9","9","20","9","20","35","1","20","35","22","253","254","20","6","8","12","8","3130380.0"
"89","9","9","2","2","29","29","29","29","43","1","29","43","44","160","255","29","6","256","8","8","280140.0"
"9","61","61","19","19","19","19","20","20","21","1","20","21","22","77","17","20","6","77","8","8","1704600.0"
"90","54","54","2","2","29","29","9","9","64","1","9","64","65","160","255","9","6","77","8","8","389160.0"
"91","46","46","2","2","2","29","2","29","43","1","29","43","44","161","257","29","6","183","8","8","499260.0"
"92","54","54","54","54","54","54","20","20","35","1","20","35","22","97","27","20","6","8","12","8","1865640.0"
"93","38","38","38","38","24","24","24","24","114","1","24","114","25","80","164","24","11","12","8","8","3754200.0"
"95","29","29","9","9","20","2","20","2","0","1","2","0","3","258","162","2","11","91","8","8","2623860.0"
"96","36","36","36","36","113","113","113","78","48","10","78","48","50","160","27","78","6","160","8","8","83400.0"
"97","36","36","154","154","113","113","113","113","150","10","113","150","151","63","27","113","6","8","8","8","895200.0"
"98","36","36","78","78","113","113","78","78","48","1","78","48","50","260","27","78","6","261","8","8","0.0"
"99","20","20","20","20","20","20","113","113","150","1","113","150","151","263","142","113","6","8","8","8","344700.0"
