Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,remainingTime,actual,predicted
37,19,1,31,19,21,156,23,31,9,7,8,8,78,1,49,78,13,156,23,49,6,8,8,8,78,10,49,78,13,156,23,49,6,8,8,8,1939260.0,False,False
259,48,1,49,48,50,204,121,49,9,8,8,8,48,10,49,48,50,204,121,49,9,8,8,8,48,1,49,48,50,204,121,49,6,47,8,8,6170400.0,False,False
185,48,1,52,48,50,144,5,52,6,47,8,8,48,10,52,48,50,144,5,52,6,47,8,8,138,1,67,138,68,144,5,67,6,8,8,8,7400460.0,False,False
67,35,1,75,35,36,122,5,75,9,7,8,8,35,1,75,35,36,122,5,75,6,82,8,8,35,10,75,35,36,122,5,75,9,7,8,8,4641120.0,False,False
83,35,1,75,35,36,170,28,75,9,8,8,8,35,10,75,35,36,170,28,75,9,8,8,8,35,1,75,35,36,170,28,75,9,7,8,8,450120.0,True,True
90,53,1,44,53,54,145,235,44,9,8,8,8,53,10,44,53,54,145,235,44,9,8,8,8,53,1,41,53,54,145,235,41,9,56,8,8,463140.0,True,True
105,0,1,41,0,3,39,40,41,9,8,8,8,0,10,41,0,3,39,40,41,9,8,8,8,0,1,2,0,3,39,40,2,6,39,8,8,11580.0,True,True
240,53,1,44,53,54,193,40,44,9,8,8,8,53,10,44,53,54,193,40,44,9,8,8,8,53,1,20,53,54,193,40,20,9,7,8,8,1187880.0,True,True
86,53,1,44,53,54,217,23,44,9,8,8,8,53,10,44,53,54,217,23,44,9,8,8,8,53,1,207,53,54,217,23,207,9,81,8,8,183480.0,True,True
261,19,1,31,19,21,99,40,31,9,8,8,8,19,10,31,19,21,99,40,31,9,8,8,8,19,1,31,19,21,99,40,31,6,180,8,8,626760.0,True,True
112,11,1,49,11,13,60,23,49,9,8,8,8,11,10,49,11,13,60,23,49,9,8,8,8,11,1,12,11,13,60,23,12,9,7,8,8,1366380.0,True,True
252,53,1,44,53,54,82,23,44,9,47,8,8,53,10,44,53,54,82,23,44,9,47,8,8,53,1,44,53,54,82,23,44,9,8,8,8,495720.0,True,True
200,160,1,159,160,50,45,5,159,6,7,8,8,160,10,159,160,50,45,5,159,6,7,8,8,138,1,137,138,68,45,5,137,6,8,8,8,1582200.0,True,True
239,53,1,44,53,54,151,23,44,9,7,8,8,53,10,44,53,54,151,23,44,9,7,8,8,53,1,75,53,54,151,23,75,9,7,8,8,1264500.0,True,True
82,35,1,75,35,36,37,5,75,9,7,8,8,35,10,75,35,36,37,5,75,9,7,8,8,35,1,75,35,36,37,5,75,6,8,8,8,1595640.0,True,True
135,35,1,20,35,36,55,28,20,9,7,8,8,35,10,20,35,36,55,28,20,9,7,8,8,35,1,75,35,36,55,28,75,9,8,8,8,707160.0,True,True
104,35,1,20,35,36,37,5,20,9,7,8,8,35,10,20,35,36,37,5,20,9,7,8,8,35,1,20,35,36,37,5,20,6,38,8,8,112920.0,True,True
144,72,1,94,72,72,7,5,94,6,7,8,8,72,10,94,72,72,7,5,94,6,7,8,8,92,1,93,92,18,7,5,93,6,7,8,8,3660.0,True,True
224,63,1,136,63,18,76,162,136,9,8,8,8,63,10,136,63,18,76,162,136,9,8,8,8,63,1,136,63,18,76,162,136,9,8,8,8,287400.0,True,True
52,19,1,31,19,21,215,23,31,6,161,8,8,19,10,31,19,21,215,23,31,6,161,8,8,19,1,25,19,21,215,23,25,9,8,8,8,646320.0,True,True
215,19,1,31,19,21,173,23,31,9,8,8,8,19,10,31,19,21,173,23,31,9,8,8,8,19,1,31,19,21,173,23,31,6,104,8,8,1015680.0,True,True
272,11,1,12,11,13,64,15,12,9,8,8,8,11,10,12,11,13,64,15,12,9,8,8,8,11,1,49,11,13,64,15,49,9,7,8,8,1430760.0,True,True
76,230,1,67,230,142,81,23,67,6,81,8,8,230,10,67,230,142,81,23,67,6,81,8,8,72,1,73,72,72,81,23,73,6,81,8,8,37140.0,True,True
49,19,1,31,19,21,26,23,31,9,8,8,8,63,1,136,63,18,26,23,136,9,8,8,8,19,10,31,19,21,26,23,31,9,8,8,8,1269180.0,True,True
244,130,1,67,130,131,80,5,67,6,47,8,8,130,10,67,130,131,80,5,67,6,47,8,8,130,1,67,130,131,80,5,67,6,56,8,8,410580.0,True,True
232,63,1,93,63,18,80,5,93,6,81,7,8,35,1,75,35,36,80,5,75,6,56,8,8,63,10,93,63,18,80,5,93,6,81,7,8,1314180.0,True,True
255,95,1,31,95,120,76,43,31,6,76,8,8,95,10,31,95,120,76,43,31,6,76,8,8,17,1,16,17,18,76,43,16,6,76,8,8,903720.0,True,True
56,95,1,25,95,21,30,15,25,34,8,8,8,95,10,25,95,21,30,15,25,34,8,8,8,95,1,31,95,21,30,15,31,9,8,8,8,51180.0,True,True
211,63,1,16,63,18,170,15,16,6,8,8,8,63,10,16,63,18,170,15,16,6,8,8,8,112,1,132,112,113,170,15,132,6,71,8,8,539160.0,True,True
210,53,1,20,53,54,169,15,20,6,7,8,8,53,10,20,53,54,169,15,20,6,7,8,8,53,1,44,53,54,169,15,44,9,7,8,8,1053900.0,True,True
195,63,1,87,63,18,84,154,87,6,84,8,8,63,10,87,63,18,84,154,87,6,84,8,8,110,1,146,110,111,84,154,146,6,8,8,8,914700.0,True,True
264,53,1,207,53,54,208,40,207,9,47,8,8,53,10,207,53,54,208,40,207,9,47,8,8,53,1,207,53,54,208,40,207,6,47,8,8,249300.0,True,True
174,53,1,20,53,54,59,23,20,9,8,8,8,53,10,20,53,54,59,23,20,9,8,8,8,53,1,44,53,54,59,23,44,9,7,8,8,961020.0,True,True
