Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,remainingTime,prediction
274,31,1,30,31,32,75,21,30,13,8,9,9,31,14,30,31,32,75,21,30,13,8,9,9,31,1,30,31,32,75,21,30,39,9,9,9,0,1,40,0,3,75,21,40,6,9,9,9,0,14,40,0,3,75,21,40,6,9,9,9,31,14,30,31,32,75,21,30,39,9,9,9,31,1,30,31,32,75,21,30,6,65,9,9,0,1,40,0,3,75,21,40,6,75,9,9,53,1,93,53,55,75,21,93,6,75,9,9,133800.0,9158405.95149
28,71,1,18,71,72,143,29,18,13,9,9,9,71,14,18,71,72,143,29,18,13,9,9,9,71,1,18,71,72,143,29,18,13,75,9,9,71,14,18,71,72,143,29,18,13,75,9,9,71,1,15,71,72,143,29,15,13,65,9,9,0,1,24,0,3,143,29,24,6,9,9,9,0,14,24,0,3,143,29,24,6,9,9,9,71,14,15,71,72,143,29,15,13,65,9,9,0,1,24,0,3,143,29,24,6,9,9,9,3347820.0,1025851.9971
35,48,1,51,48,49,60,5,51,13,9,9,9,48,14,51,48,49,60,5,51,13,9,9,9,48,1,18,48,49,60,5,18,13,9,9,9,48,14,18,48,49,60,5,18,13,9,9,9,48,1,34,48,49,60,5,34,13,65,9,9,48,1,51,48,49,60,5,51,6,52,9,9,48,14,34,48,49,60,5,34,13,65,9,9,48,14,51,48,49,60,5,51,6,52,9,9,0,1,2,0,3,60,5,2,6,45,8,9,2329200.0,2276623.7624
37,31,1,42,31,32,162,29,42,13,8,9,9,99,1,70,99,19,162,29,70,6,9,9,9,99,14,70,99,19,162,29,70,6,9,9,9,31,14,42,31,32,162,29,42,13,8,9,9,31,1,42,31,32,162,29,42,13,8,9,9,31,14,42,31,32,162,29,42,13,8,9,9,31,1,18,31,32,162,29,18,6,35,9,9,31,14,18,31,32,162,29,18,6,35,9,9,31,1,233,31,32,162,29,233,6,187,9,9,1879200.0,-3680921.72372
4,234,1,10,234,49,60,5,10,13,9,9,9,234,14,10,234,49,60,5,10,13,9,9,9,48,1,34,48,49,60,5,34,13,8,9,9,0,1,46,0,3,60,5,46,6,8,9,9,48,14,34,48,49,60,5,34,13,8,9,9,48,1,34,48,49,60,5,34,6,9,9,9,0,14,46,0,3,60,5,46,6,8,9,9,48,14,34,48,49,60,5,34,6,9,9,9,48,1,51,48,49,60,5,51,6,7,9,9,73440.0,959221.218835
45,71,1,18,71,72,60,21,18,13,8,9,9,71,14,18,71,72,60,21,18,13,8,9,9,71,1,34,71,72,60,21,34,13,8,9,9,71,14,34,71,72,60,21,34,13,8,9,9,71,1,34,71,72,60,21,34,6,52,9,9,71,14,34,71,72,60,21,34,6,52,9,9,0,1,24,0,3,60,21,24,6,9,9,9,0,14,24,0,3,60,21,24,6,9,9,9,238,1,42,238,32,60,21,42,6,9,9,9,150420.0,2774776.06557
46,71,1,51,71,72,4,29,51,13,9,9,9,71,14,51,71,72,4,29,51,13,9,9,9,71,1,34,71,72,4,29,34,13,9,9,9,71,14,34,71,72,4,29,34,13,9,9,9,71,1,51,71,72,4,29,51,13,9,9,9,71,1,18,71,72,4,29,18,13,8,9,9,71,14,51,71,72,4,29,51,13,9,9,9,71,14,18,71,72,4,29,18,13,8,9,9,71,1,18,71,72,4,29,18,6,7,9,9,181140.0,3470580.88096
56,117,1,30,117,32,41,21,30,39,9,9,9,117,14,30,117,32,41,21,30,39,9,9,9,117,1,42,117,32,41,21,42,13,9,9,9,95,1,94,95,95,41,21,94,6,41,9,9,95,14,94,95,95,41,21,94,6,41,9,9,117,14,42,117,32,41,21,42,13,9,9,9,117,1,42,117,32,41,21,42,6,41,9,9,117,14,42,117,32,41,21,42,6,41,9,9,25,1,24,25,3,41,21,24,6,41,9,9,18420.0,-968310.543007
59,71,1,18,71,72,4,29,18,13,65,9,9,71,14,18,71,72,4,29,18,13,65,9,9,71,1,51,71,72,4,29,51,6,33,9,9,71,14,51,71,72,4,29,51,6,33,9,9,71,1,34,71,72,4,29,34,6,8,9,9,71,14,34,71,72,4,29,34,6,8,9,9,0,1,24,0,3,4,29,24,6,33,9,9,0,14,24,0,3,4,29,24,6,33,9,9,58,1,83,58,59,4,29,83,6,33,9,9,168120.0,517582.053423
62,31,1,30,31,32,7,29,30,13,9,9,9,31,14,30,31,32,7,29,30,13,9,9,9,31,1,30,31,32,7,29,30,39,9,9,9,31,14,30,31,32,7,29,30,39,9,9,9,31,1,30,31,32,7,29,30,13,8,9,9,31,14,30,31,32,7,29,30,13,8,9,9,31,1,30,31,32,7,29,30,39,9,9,9,31,14,30,31,32,7,29,30,39,9,9,9,31,1,30,31,32,7,29,30,6,16,9,9,2402820.0,3852439.0761
64,48,1,51,48,49,244,5,51,13,65,9,9,48,14,51,48,49,244,5,51,13,65,9,9,48,1,10,48,49,244,5,10,6,22,9,9,48,14,10,48,49,244,5,10,6,22,9,9,48,1,34,48,49,244,5,34,6,74,9,9,48,14,34,48,49,244,5,34,6,74,9,9,48,1,10,48,49,244,5,10,6,43,9,9,48,14,10,48,49,244,5,10,6,43,9,9,48,1,10,48,49,244,5,10,6,108,9,9,60480.0,1973384.32395
66,117,1,30,117,32,4,116,30,13,8,9,9,117,14,30,117,32,4,116,30,13,8,9,9,117,1,30,117,32,4,116,30,6,7,9,9,117,14,30,117,32,4,116,30,6,7,9,9,25,1,24,25,3,4,116,24,6,4,9,9,25,14,24,25,3,4,116,24,6,4,9,9,53,1,57,53,55,4,116,57,6,4,9,9,53,14,57,53,55,4,116,57,6,4,9,9,113,1,57,113,114,4,116,57,6,4,9,9,855300.0,179715.877289
71,67,1,70,67,68,56,21,70,13,8,9,9,67,14,70,67,68,56,21,70,13,8,9,9,67,1,70,67,68,56,21,70,6,35,9,9,67,14,70,67,68,56,21,70,6,35,9,9,95,1,94,95,95,56,21,94,6,86,9,9,95,14,94,95,95,56,21,94,6,86,9,9,25,1,24,25,3,56,21,24,6,86,9,9,25,14,24,25,3,56,21,24,6,86,9,9,58,1,57,58,59,56,21,57,6,86,9,9,20520.0,1597930.42867
72,31,1,30,31,32,86,21,30,13,9,9,9,31,14,30,31,32,86,21,30,13,9,9,9,31,1,30,31,32,86,21,30,6,86,9,9,31,14,30,31,32,86,21,30,6,86,9,9,0,1,24,0,3,86,21,24,6,86,9,9,0,14,24,0,3,86,21,24,6,86,9,9,53,1,54,53,55,86,21,54,6,9,9,9,53,14,54,53,55,86,21,54,6,9,9,9,53,1,57,53,55,86,21,57,6,8,9,9,179580.0,935320.088944
84,31,1,30,31,32,60,119,30,13,8,9,9,31,14,30,31,32,60,119,30,13,8,9,9,31,1,30,31,32,60,119,30,6,86,9,9,31,14,30,31,32,60,119,30,6,86,9,9,31,1,30,31,32,60,119,30,6,9,9,9,31,14,30,31,32,60,119,30,6,9,9,9,31,1,30,31,32,60,119,30,6,65,9,9,31,14,30,31,32,60,119,30,6,65,9,9,31,1,30,31,32,60,119,30,13,8,9,9,1041900.0,1159117.96275
90,71,1,18,71,72,152,256,18,13,9,9,9,71,14,18,71,72,152,256,18,13,9,9,9,71,1,15,71,72,152,256,15,13,75,9,9,71,14,15,71,72,152,256,15,13,75,9,9,71,1,34,71,72,152,256,34,6,62,9,9,71,14,34,71,72,152,256,34,6,62,9,9,71,1,10,71,72,152,256,10,6,82,9,9,71,14,10,71,72,152,256,10,6,82,9,9,71,1,10,71,72,152,256,10,6,52,9,9,298860.0,1661823.84009
