Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,remainingTime,prediction
174,71,1,34,71,72,78,29,34,13,9,9,9,71,14,34,71,72,78,29,34,13,9,9,9,71,1,18,71,72,78,29,18,13,8,9,9,0,1,40,0,3,78,29,40,13,9,9,9,71,14,18,71,72,78,29,18,13,8,9,9,71,1,18,71,72,78,29,18,6,33,9,9,0,14,40,0,3,78,29,40,13,9,9,9,71,14,18,71,72,78,29,18,6,33,9,9,71,1,83,71,72,78,29,83,6,102,9,9,927420.0,1543522.875
189,0,1,2,0,3,16,156,2,6,9,8,9,0,14,2,0,3,16,156,2,6,9,8,9,0,1,2,0,3,16,156,2,6,9,8,9,0,14,2,0,3,16,156,2,6,9,8,9,0,1,2,0,3,16,156,2,6,9,8,9,0,14,2,0,3,16,156,2,6,9,8,9,121,1,2,121,3,16,156,2,6,9,9,9,121,14,2,121,3,16,156,2,6,9,9,9,121,1,2,121,3,16,156,2,6,8,9,9,54000.0,2307619.0
19,48,1,15,48,49,47,5,15,13,8,9,9,48,14,15,48,49,47,5,15,13,8,9,9,0,1,2,0,3,47,5,2,13,9,9,9,0,14,2,0,3,47,5,2,13,9,9,9,11,1,10,11,12,47,5,10,6,106,9,9,11,14,10,11,12,47,5,10,6,106,9,9,0,1,2,0,3,47,5,2,6,47,9,9,0,14,2,0,3,47,5,2,6,47,9,9,58,1,57,58,59,47,5,57,6,47,9,9,1909500.0,2417240.5
198,48,1,51,48,49,69,5,51,13,9,9,9,48,14,51,48,49,69,5,51,13,9,9,9,48,1,34,48,49,69,5,34,13,8,9,9,48,14,34,48,49,69,5,34,13,8,9,9,48,1,34,48,49,69,5,34,6,160,9,9,48,14,34,48,49,69,5,34,6,160,9,9,0,1,40,0,3,69,5,40,6,9,8,9,48,1,51,48,49,69,5,51,13,8,9,9,48,14,51,48,49,69,5,51,13,8,9,9,6071400.0,2001381.25
200,165,1,104,165,68,62,5,104,6,8,9,9,165,14,104,165,68,62,5,104,6,8,9,9,147,1,93,147,89,62,5,93,6,9,9,9,147,14,93,147,89,62,5,93,6,9,9,9,121,1,46,121,3,62,5,46,6,8,9,9,121,14,46,121,3,62,5,46,6,8,9,9,121,1,46,121,3,62,5,46,6,9,8,9,121,14,46,121,3,62,5,46,6,9,8,9,95,1,94,95,95,62,5,94,6,8,9,9,1300500.0,2786334.0
203,0,1,24,0,3,101,168,24,6,101,9,9,0,14,24,0,3,101,168,24,6,101,9,9,58,1,57,58,59,101,168,57,6,101,9,9,58,14,57,58,59,101,168,57,6,101,9,9,113,1,54,113,114,101,168,54,6,9,9,9,113,14,54,113,114,101,168,54,6,9,9,9,53,1,57,53,55,101,168,57,6,101,9,9,53,14,57,53,55,101,168,57,6,101,9,9,113,1,54,113,114,101,168,54,6,101,9,9,82440.0,781309.625
214,71,1,18,71,72,135,29,18,13,65,9,9,71,14,18,71,72,135,29,18,13,65,9,9,71,1,18,71,72,135,29,18,6,7,9,9,71,14,18,71,72,135,29,18,6,7,9,9,71,1,15,71,72,135,29,15,6,65,9,9,71,1,34,71,72,135,29,34,6,181,9,9,71,14,15,71,72,135,29,15,6,65,9,9,71,14,34,71,72,135,29,34,6,181,9,9,0,1,24,0,3,135,29,24,6,9,65,9,1447800.0,2193187.0
215,31,1,42,31,32,182,29,42,13,9,9,9,31,14,42,31,32,182,29,42,13,9,9,9,31,1,42,31,32,182,29,42,6,122,9,9,31,14,42,31,32,182,29,42,6,122,9,9,31,1,144,31,32,182,29,144,6,74,9,9,31,14,144,31,32,182,29,144,6,74,9,9,0,1,24,0,3,182,29,24,6,9,9,9,0,14,24,0,3,182,29,24,6,9,9,9,0,1,24,0,3,182,29,24,6,182,9,9,949380.0,831867.25
228,31,1,42,31,32,4,29,42,6,4,9,9,31,14,42,31,32,4,29,42,6,4,9,9,31,1,42,31,32,4,29,42,13,9,9,9,31,14,42,31,32,4,29,42,13,9,9,9,31,1,42,31,32,4,29,42,6,7,9,9,31,14,42,31,32,4,29,42,6,7,9,9,0,1,24,0,3,4,29,24,6,7,8,9,0,14,24,0,3,4,29,24,6,7,8,9,0,1,24,0,3,4,29,24,6,9,9,9,380700.0,1331179.75
23,193,1,51,193,49,52,103,51,13,9,9,9,193,14,51,193,49,52,103,51,13,9,9,9,193,1,15,193,49,52,103,15,6,52,9,9,193,14,15,193,49,52,103,15,6,52,9,9,48,1,34,48,49,52,103,34,13,9,9,9,48,14,34,48,49,52,103,34,13,9,9,9,25,1,46,25,3,52,103,46,6,52,9,9,0,1,46,0,3,52,103,46,6,86,8,9,48,1,51,48,49,52,103,51,6,52,9,9,3111600.0,1174514.875
231,113,1,57,113,114,82,5,57,6,50,9,9,113,14,57,113,114,82,5,57,6,50,9,9,140,1,142,140,141,82,5,142,13,8,9,9,140,14,142,140,141,82,5,142,13,8,9,9,140,1,142,140,141,82,5,142,6,65,9,9,140,14,142,140,141,82,5,142,6,65,9,9,140,1,139,140,141,82,5,139,6,4,9,9,140,1,88,140,141,82,5,88,6,108,9,9,140,14,139,140,141,82,5,139,6,4,9,9,635520.0,1696555.625
252,71,1,18,71,72,86,29,18,13,65,9,9,71,14,18,71,72,86,29,18,13,65,9,9,71,1,18,71,72,86,29,18,13,9,9,9,71,1,24,71,72,86,29,24,6,9,9,9,71,14,18,71,72,86,29,18,13,9,9,9,71,14,24,71,72,86,29,24,6,9,9,9,0,1,24,0,3,86,29,24,6,9,9,9,0,14,24,0,3,86,29,24,6,9,9,9,71,1,18,71,72,86,29,18,6,4,9,9,323880.0,1038829.625
253,17,1,70,17,19,112,219,70,13,8,9,9,17,14,70,17,19,112,219,70,13,8,9,9,17,1,70,17,19,112,219,70,6,65,9,9,17,14,70,17,19,112,219,70,6,65,9,9,0,1,24,0,3,112,219,24,6,9,9,9,17,1,23,17,19,112,219,23,6,52,9,9,0,14,24,0,3,112,219,24,6,9,9,9,0,1,24,0,3,112,219,24,6,60,8,9,17,14,23,17,19,112,219,23,6,52,9,9,573240.0,2347111.0
260,71,1,34,71,72,225,29,34,13,9,9,9,71,14,34,71,72,225,29,34,13,9,9,9,71,1,34,71,72,225,29,34,13,8,9,9,71,14,34,71,72,225,29,34,13,8,9,9,71,1,34,71,72,225,29,34,6,75,9,9,71,14,34,71,72,225,29,34,6,75,9,9,71,1,18,71,72,225,29,18,6,108,9,9,71,14,18,71,72,225,29,18,6,108,9,9,71,1,34,71,72,225,29,34,6,85,9,9,4580100.0,588491.75
27,31,1,42,31,32,86,29,42,13,9,9,9,31,14,42,31,32,86,29,42,13,9,9,9,31,1,42,31,32,86,29,42,13,8,9,9,31,14,42,31,32,86,29,42,13,8,9,9,31,1,42,31,32,86,29,42,13,9,9,9,31,14,42,31,32,86,29,42,13,9,9,9,31,1,42,31,32,86,29,42,6,35,9,9,31,14,42,31,32,86,29,42,6,35,9,9,31,1,42,31,32,86,29,42,13,9,9,9,441960.0,1365459.625
274,31,1,30,31,32,75,21,30,13,8,9,9,31,14,30,31,32,75,21,30,13,8,9,9,31,1,30,31,32,75,21,30,39,9,9,9,0,1,40,0,3,75,21,40,6,9,9,9,0,14,40,0,3,75,21,40,6,9,9,9,31,14,30,31,32,75,21,30,39,9,9,9,31,1,30,31,32,75,21,30,6,65,9,9,0,1,40,0,3,75,21,40,6,75,9,9,53,1,93,53,55,75,21,93,6,75,9,9,133800.0,1912887.0
31,11,1,10,11,12,74,5,10,13,9,9,9,11,14,10,11,12,74,5,10,13,9,9,9,11,1,10,11,12,74,5,10,13,8,9,9,11,14,10,11,12,74,5,10,13,8,9,9,11,1,10,11,12,74,5,10,6,75,9,9,11,14,10,11,12,74,5,10,6,75,9,9,11,1,34,11,12,74,5,34,6,160,9,9,11,14,34,11,12,74,5,34,6,160,9,9,0,1,2,0,3,74,5,2,6,85,8,9,2706180.0,1393348.5
50,71,1,42,71,72,7,29,42,13,9,9,9,71,14,42,71,72,7,29,42,13,9,9,9,71,1,42,71,72,7,29,42,13,9,9,9,71,14,42,71,72,7,29,42,13,9,9,9,71,1,42,71,72,7,29,42,13,9,9,9,71,14,42,71,72,7,29,42,13,9,9,9,71,1,42,71,72,7,29,42,6,7,9,9,71,14,42,71,72,7,29,42,6,7,9,9,0,1,24,0,3,7,29,24,6,7,9,9,1215300.0,720330.1875
58,87,1,88,87,89,85,44,88,13,9,9,9,87,14,88,87,89,85,44,88,13,9,9,9,87,1,88,87,89,85,44,88,13,9,9,9,87,14,88,87,89,85,44,88,13,9,9,9,87,1,93,87,89,85,44,93,6,4,9,9,87,14,93,87,89,85,44,93,6,4,9,9,87,1,88,87,89,85,44,88,6,28,9,9,87,14,88,87,89,85,44,88,6,28,9,9,121,1,24,121,3,85,44,24,6,85,9,9,65400.0,556938.5625
60,117,1,30,117,32,60,242,30,13,9,9,9,117,14,30,117,32,60,242,30,13,9,9,9,113,1,57,113,114,60,242,57,6,60,9,9,113,14,57,113,114,60,242,57,6,60,9,9,117,1,42,117,32,60,242,42,13,9,9,9,117,14,42,117,32,60,242,42,13,9,9,9,25,1,40,25,3,60,242,40,13,9,9,9,117,1,30,117,32,60,242,30,39,9,9,9,25,14,40,25,3,60,242,40,13,9,9,9,234000.0,2034505.0
67,48,1,51,48,49,135,5,51,13,8,9,9,48,1,51,48,49,135,5,51,6,86,9,9,48,14,51,48,49,135,5,51,13,8,9,9,48,14,51,48,49,135,5,51,6,86,9,9,48,1,10,48,49,135,5,10,6,107,9,9,11,1,10,11,12,135,5,10,13,9,9,9,11,14,10,11,12,135,5,10,13,9,9,9,48,14,10,48,49,135,5,10,6,107,9,9,48,1,15,48,49,135,5,15,6,56,9,9,4610940.0,5212621.5
68,246,1,245,246,247,108,21,245,6,108,9,9,246,14,245,246,247,108,21,245,6,108,9,9,117,1,248,117,32,108,21,248,6,9,9,9,117,14,248,117,32,108,21,248,6,9,9,9,121,1,40,121,3,108,21,40,6,9,9,9,121,14,40,121,3,108,21,40,6,9,9,9,95,1,94,95,95,108,21,94,6,108,9,9,95,14,94,95,95,108,21,94,6,108,9,9,121,1,40,121,3,108,21,40,6,108,9,9,1800.0,378103.25
70,17,1,23,17,19,47,250,23,13,9,9,9,17,1,23,17,19,47,250,23,39,9,9,9,17,14,23,17,19,47,250,23,39,9,9,9,17,14,23,17,19,47,250,23,13,9,9,9,17,1,23,17,19,47,250,23,13,8,9,9,17,14,23,17,19,47,250,23,13,8,9,9,17,1,23,17,19,47,250,23,13,9,9,9,17,14,23,17,19,47,250,23,13,9,9,9,17,1,23,17,19,47,250,23,13,8,9,9,3112140.0,2411825.75
80,48,1,34,48,49,28,5,34,13,8,9,9,48,14,34,48,49,28,5,34,13,8,9,9,48,1,34,48,49,28,5,34,6,27,9,9,48,14,34,48,49,28,5,34,6,27,9,9,0,1,40,0,3,28,5,40,6,27,8,9,0,14,40,0,3,28,5,40,6,27,8,9,58,1,57,58,59,28,5,57,6,27,9,9,58,14,57,58,59,28,5,57,6,27,9,9,113,1,54,113,114,28,5,54,6,9,9,9,176400.0,265365.3125
82,48,1,51,48,49,47,5,51,13,8,9,9,48,14,51,48,49,47,5,51,13,8,9,9,48,1,51,48,49,47,5,51,6,9,9,9,48,14,51,48,49,47,5,51,6,9,9,9,48,1,34,48,49,47,5,34,13,8,9,9,48,14,34,48,49,47,5,34,13,8,9,9,48,1,34,48,49,47,5,34,6,66,9,9,48,14,34,48,49,47,5,34,6,66,9,9,0,1,40,0,3,47,5,40,6,66,65,9,1459140.0,1349624.125
83,48,1,51,48,49,177,37,51,13,9,9,9,48,14,51,48,49,177,37,51,13,9,9,9,48,1,51,48,49,177,37,51,13,8,9,9,48,14,51,48,49,177,37,51,13,8,9,9,48,1,15,48,49,177,37,15,13,8,9,9,48,14,15,48,49,177,37,15,13,8,9,9,48,1,34,48,49,177,37,34,6,74,9,9,48,14,34,48,49,177,37,34,6,74,9,9,48,1,51,48,49,177,37,51,6,4,9,9,378780.0,1660000.5
89,234,1,10,234,49,152,256,10,13,9,9,9,234,14,10,234,49,152,256,10,13,9,9,9,48,1,15,48,49,152,256,15,13,9,9,9,48,14,15,48,49,152,256,15,13,9,9,9,48,1,34,48,49,152,256,34,13,4,9,9,48,14,34,48,49,152,256,34,13,4,9,9,48,1,34,48,49,152,256,34,6,257,9,9,48,14,34,48,49,152,256,34,6,257,9,9,48,1,10,48,49,152,256,10,6,62,9,9,278460.0,1869740.375
91,48,1,51,48,49,153,258,51,13,9,9,9,48,14,51,48,49,153,258,51,13,9,9,9,48,1,15,48,49,153,258,15,13,75,9,9,48,14,15,48,49,153,258,15,13,75,9,9,48,1,15,48,49,153,258,15,6,9,9,9,48,1,34,48,49,153,258,34,6,176,9,9,48,14,15,48,49,153,258,15,6,9,9,9,48,14,34,48,49,153,258,34,6,176,9,9,25,1,24,25,3,153,258,24,6,9,9,9,498180.0,2444137.0
93,117,1,42,117,32,86,156,42,13,9,9,9,117,1,42,117,32,86,156,42,6,108,9,9,117,14,42,117,32,86,156,42,13,9,9,9,117,14,42,117,32,86,156,42,6,108,9,9,117,1,30,117,32,86,156,30,6,108,9,9,117,14,30,117,32,86,156,30,6,108,9,9,117,1,30,117,32,86,156,30,13,8,9,9,117,14,30,117,32,86,156,30,13,8,9,9,117,1,30,117,32,86,156,30,6,35,9,9,3754200.0,2178199.75
