Event_1,Event_2,Event_3,Event_4,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
198,198,198,198,197,1,198,197,199,200,201,198,10,8,8,8,630000.0,339877.166699
46,46,46,12,57,9,12,57,58,86,23,12,6,8,8,8,495600.0,901003.183598
54,54,54,54,17,1,54,17,18,153,202,54,6,49,8,8,583500.0,503005.539643
132,132,132,132,111,1,132,111,112,203,15,132,6,50,8,8,325500.0,427334.625225
46,46,46,46,57,1,46,57,58,47,23,46,6,7,8,8,1638600.0,715872.941252
31,31,31,31,19,1,31,19,21,102,40,31,6,181,8,8,610080.0,543426.888687
41,41,20,20,57,1,20,57,58,158,15,20,10,8,8,8,220140.0,814789.381974
25,25,25,25,19,1,25,19,21,22,207,25,10,8,8,8,1666920.0,821998.525561
66,66,66,20,57,9,20,57,58,208,40,20,6,84,8,8,248460.0,716947.611999
31,31,31,31,98,1,31,98,123,173,164,31,6,173,8,8,1222500.0,418953.68585
31,31,31,12,43,9,12,43,13,99,210,12,6,8,8,8,1865820.0,780159.864328
16,16,54,54,17,1,54,17,18,67,15,54,10,7,8,8,1421880.0,1082376.45027
16,16,16,51,17,9,51,17,18,86,15,51,6,142,8,8,1907760.0,893192.281754
198,198,96,96,43,1,96,43,13,59,5,96,6,59,8,8,562440.0,47962.9218595
41,55,41,55,43,1,55,43,13,4,5,55,10,8,8,8,1580340.0,849577.655748
20,55,55,20,35,1,20,35,36,47,5,20,10,142,8,8,95220.0,710539.134739
51,51,16,16,52,1,16,52,53,67,28,16,10,7,8,8,2005560.0,775682.645969
20,20,78,78,35,1,78,35,36,67,5,78,10,7,8,8,1512540.0,1131320.75538
31,54,54,31,19,1,31,19,21,158,23,31,10,7,8,8,1937640.0,834598.996297
2,2,20,96,43,9,96,43,13,39,5,96,6,7,8,8,82560.0,1140482.16119
16,16,54,54,81,1,54,81,18,158,15,54,10,7,8,8,1217940.0,976769.886539
16,16,16,12,43,9,12,43,13,67,15,12,6,8,8,8,1652460.0,980064.687986
46,46,46,46,57,1,46,57,58,50,15,46,6,67,8,8,496800.0,655202.709924
25,25,31,12,43,9,12,43,13,121,23,12,6,8,8,8,387600.0,944480.288087
46,46,20,20,57,1,20,57,58,39,15,20,10,7,8,8,636540.0,828022.657239
78,78,20,20,57,1,20,57,58,4,23,20,10,8,8,8,205380.0,674392.761828
25,25,25,12,43,9,12,43,13,4,23,12,6,8,8,8,1420200.0,968027.463222
31,31,31,31,19,1,31,19,21,39,40,31,6,142,8,8,0.0,605633.891682
31,31,31,31,57,1,31,57,58,173,23,31,10,8,8,8,1459620.0,884887.026703
31,31,25,25,19,1,25,19,21,215,23,25,10,8,8,8,638520.0,872318.357784
31,31,25,25,19,1,25,19,21,4,216,25,10,8,8,8,890880.0,791247.009535
78,78,41,41,0,1,41,0,3,30,23,41,10,8,8,8,294240.0,753617.879749
25,25,31,76,75,9,76,75,75,30,15,76,6,30,8,8,44340.0,1013531.58251
70,70,70,70,69,1,70,69,71,64,33,70,10,8,8,8,904980.0,826866.571467
31,31,31,31,19,1,31,19,21,218,40,31,10,8,8,8,1795140.0,875774.524195
25,25,132,132,133,1,132,133,134,39,219,132,6,39,8,8,409200.0,851604.449736
78,78,2,2,35,1,2,35,36,221,5,2,6,222,8,8,256200.0,165986.704513
16,16,12,12,43,1,12,43,13,56,40,12,6,8,8,8,691260.0,731213.204354
25,25,25,25,98,1,25,98,21,4,100,25,6,173,8,8,1800000.0,453519.825195
224,224,223,223,98,1,223,98,21,211,15,223,6,8,8,8,163800.0,226410.219854
41,41,2,2,228,1,2,228,3,142,40,2,10,8,8,8,358200.0,499658.741866
54,54,54,54,52,1,54,52,53,42,15,54,6,24,8,8,606180.0,690740.428573
25,25,25,25,19,1,25,19,21,86,15,25,6,86,8,8,671400.0,683716.684314
2,2,78,78,0,1,78,0,3,47,191,78,10,8,8,8,941040.0,1101076.71035
76,76,44,44,95,1,44,95,13,59,23,44,6,8,8,8,27960.0,477313.599071
70,70,76,76,75,1,76,75,75,84,23,76,6,84,8,8,33540.0,579576.216257
44,44,135,135,113,1,135,113,114,232,40,135,6,232,8,8,383040.0,640089.155595
12,12,12,12,43,1,12,43,13,183,40,12,6,8,8,8,79740.0,711693.991766
78,78,78,78,35,1,78,35,36,37,5,78,6,8,8,8,1594620.0,676024.136589
78,78,78,78,35,1,78,35,36,171,28,78,10,7,8,8,425640.0,796764.432052
46,46,46,46,57,1,46,57,58,74,23,46,6,84,8,8,48840.0,623096.129727
46,46,66,66,57,1,66,57,58,217,23,66,10,84,8,8,161340.0,814901.865569
2,2,41,41,35,1,41,35,36,147,235,41,10,8,8,8,317340.0,913414.337782
54,54,16,16,81,1,16,81,18,67,15,16,10,7,8,8,1841160.0,708793.813707
78,78,41,41,35,1,41,35,36,149,236,41,10,59,8,8,530340.0,482586.801863
46,46,46,46,57,1,46,57,58,84,23,46,10,7,8,8,1905600.0,882858.355878
44,44,44,44,43,1,44,43,13,147,23,44,6,147,8,8,140340.0,517990.294524
44,44,137,137,113,1,137,113,114,50,23,137,6,238,8,8,924420.0,708280.387971
44,44,66,66,113,1,66,113,114,239,23,66,6,204,8,8,64800.0,483067.61182
25,25,20,20,19,1,20,19,21,22,23,20,6,24,8,8,2520360.0,3374315.6002
108,108,105,105,104,1,105,104,106,107,103,105,6,7,8,8,3455580.0,3371110.49012
25,25,25,25,98,1,25,98,123,50,73,25,10,8,8,8,2740620.0,3052608.12658
139,139,55,55,95,1,55,95,13,125,5,55,6,4,8,8,3534000.0,3820363.69184
148,148,129,129,115,1,129,115,116,147,5,129,10,8,8,8,4094760.0,3680391.47222
76,76,96,96,95,1,96,95,13,153,154,96,6,26,8,8,3007500.0,3117253.56662
108,108,44,44,43,1,44,43,13,147,103,44,6,8,8,8,3984900.0,3643351.2137
41,41,12,41,0,9,41,0,3,159,160,41,6,142,8,8,3235980.0,3112099.40558
96,96,96,96,43,1,96,43,13,67,77,96,6,162,8,8,4147200.0,3425801.93307
12,12,132,132,113,1,132,113,114,101,165,132,6,101,8,8,2127900.0,2734072.37849
54,54,16,16,52,1,16,52,53,162,5,16,10,8,8,8,3664500.0,3661409.84266
41,41,20,20,0,1,20,0,3,131,160,20,6,169,8,8,3436440.0,3388860.11186
78,78,41,41,184,1,41,184,36,162,87,41,6,162,8,8,3151620.0,3282024.65061
46,46,46,46,57,1,46,57,58,185,15,46,10,8,8,8,4696200.0,3573468.86773
44,44,44,44,11,1,44,11,13,102,187,44,6,188,7,8,4870260.0,4870220.0
55,55,55,51,52,9,51,52,53,162,189,51,10,8,8,8,3181920.0,3210723.01011
46,46,20,20,0,1,20,0,3,193,48,20,10,8,8,8,3927600.0,3646875.99599
2,2,2,2,35,1,2,35,36,162,87,2,6,86,8,8,3617820.0,3444960.01602
16,16,16,55,43,9,55,43,13,83,5,55,10,8,8,8,2707800.0,2802872.55939
78,78,78,78,35,1,78,35,36,162,87,78,6,173,8,8,3520140.0,3628825.555
78,78,2,2,35,1,2,35,36,83,5,2,10,7,8,8,3895620.0,3649210.31507
31,31,2,2,98,1,2,98,123,50,127,2,6,204,8,8,3048960.0,3201237.84168
41,41,46,46,0,1,46,0,3,162,87,46,10,7,8,8,3637440.0,3391109.02442
20,20,20,20,57,1,20,57,58,206,23,20,10,7,8,8,4745040.0,3545062.27524
46,46,46,46,57,1,46,57,58,136,23,46,10,59,8,8,3521700.0,3463693.14488
51,51,54,54,52,1,54,52,53,169,5,54,10,8,8,8,3616980.0,3576357.96876
2,2,2,2,0,1,2,0,3,181,5,2,10,7,8,8,3198480.0,3590214.63607
46,46,78,78,35,1,78,35,36,145,28,78,10,8,8,8,2530800.0,3409451.85652
78,78,46,46,35,1,46,35,36,39,5,46,10,8,8,8,2432040.0,3452527.1525
41,41,78,78,35,1,78,35,36,126,5,78,10,7,8,8,4820880.0,3409066.79131
51,51,54,54,212,1,54,212,53,213,214,54,10,7,8,8,2151900.0,2641227.8383
41,41,2,2,0,1,2,0,3,181,5,2,10,49,8,8,3160020.0,3773299.28574
51,51,54,54,212,1,54,212,53,217,40,54,10,8,8,8,3297180.0,3125827.44144
25,25,25,25,19,1,25,19,21,173,23,25,34,8,8,8,2434920.0,2669524.32911
20,20,20,20,0,1,20,0,3,220,5,20,10,8,8,8,4246320.0,3711477.98939
16,16,16,16,17,1,16,17,18,37,229,16,10,8,8,8,3245640.0,2664983.01562
78,78,78,78,35,1,78,35,36,231,5,78,6,86,8,8,2552520.0,3971112.37517
41,41,2,2,0,1,2,0,3,233,234,2,10,7,8,8,3155280.0,3245243.26675
31,31,31,31,98,1,31,98,21,86,152,31,6,211,8,8,3770640.0,3003827.14484
20,20,2,2,0,1,2,0,3,237,150,2,10,49,8,8,2659380.0,3408777.8194
97,97,44,44,95,1,44,95,13,125,73,44,6,102,8,8,6326280.0,6650438.40818
137,137,135,135,128,1,135,128,130,136,5,135,10,8,8,8,6185700.0,6772113.44775
2,2,2,2,35,1,2,35,36,141,5,2,6,142,8,8,6226380.0,6404428.93342
51,51,70,70,140,1,70,140,71,146,5,70,6,8,8,8,7394940.0,7013670.59683
148,148,132,148,133,9,148,133,134,157,5,148,6,8,8,8,7511400.0,7511488.6242
139,139,139,139,113,1,139,113,114,182,5,139,6,183,8,8,7084800.0,6593563.69179
12,12,41,41,0,1,41,0,3,190,191,41,6,138,8,8,5532600.0,6031479.79413
46,46,2,2,35,1,2,35,36,125,5,2,10,7,8,8,6799920.0,6599804.74594
54,54,54,54,52,1,54,52,53,205,124,54,6,49,8,8,6167100.0,6038363.22405
55,55,78,78,35,1,78,35,36,209,5,78,10,8,8,8,7376760.0,7627348.06574
41,41,46,46,0,1,46,0,3,149,150,46,10,49,8,8,7256760.0,6570434.09297
2,2,2,2,35,1,2,35,36,125,5,2,10,8,8,8,6660000.0,6709506.37498
