Event_1,Event_2,Event_3,Event_4,remainingTime,prediction
12,12,12,12,567300.0,865310.046324
25,25,20,20,2520360.0,3291700.82821
108,108,105,105,3455580.0,3656596.17411
139,139,55,55,3534000.0,3837212.75654
148,148,129,129,4094760.0,3841648.63943
132,148,148,148,3116580.0,2780851.88974
76,76,96,96,3007500.0,3503022.86945
108,108,44,44,3984900.0,3689675.71099
51,51,51,44,2277600.0,3453791.5735
41,41,12,41,3235980.0,3167469.18344
96,96,96,96,4147200.0,3602056.55199
54,54,16,16,3664500.0,3437468.81786
41,41,20,20,3436440.0,3370927.77425
31,44,31,31,2111940.0,2526291.86824
78,78,41,41,3151620.0,3542752.04965
46,46,46,46,4696200.0,3381586.72014
46,46,20,20,3927600.0,3395686.19488
2,2,2,2,3617820.0,3187573.26811
16,16,16,55,2707800.0,2969853.83006
78,78,78,78,3520140.0,3522687.41253
78,78,2,2,3895620.0,3563901.26176
31,31,2,2,3048960.0,3331172.10779
41,41,46,46,3637440.0,3356828.29951
20,20,20,20,4745040.0,3266942.40758
51,51,54,54,3616980.0,3402006.84086
46,46,78,78,2530800.0,3364233.52046
78,78,46,46,2432040.0,3540040.6122
51,51,54,54,2151900.0,3402006.84086
51,51,54,54,3297180.0,3402006.84086
16,16,16,16,3623040.0,3249304.82103
25,25,25,25,2434920.0,3288989.39076
20,20,20,20,4246320.0,3266942.40758
78,78,78,78,4638360.0,3522687.41253
16,16,16,16,3245640.0,3249304.82103
41,41,2,2,3155280.0,3380688.94906
31,31,31,31,3770640.0,3315445.77059
20,20,2,2,2659380.0,3276703.5824
97,97,44,44,6326280.0,6549998.71822
132,132,129,129,7034820.0,6755993.06935
137,137,135,135,6185700.0,6770992.79718
2,2,2,2,6226380.0,6434113.90029
51,51,70,70,7394940.0,6602719.73431
148,148,132,148,7511400.0,7510421.18798
12,12,41,41,5532600.0,6527529.60994
46,46,2,2,6799920.0,6442097.49729
54,54,54,54,6167100.0,6565684.0681
55,55,78,78,7376760.0,6622235.51704
2,2,2,2,6660000.0,6434113.90029
