concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,remainingTime,prediction
17,9,54,17,18,63,23,54,10,8,8,8,17,1,54,17,18,63,23,54,10,8,8,8,17,9,16,17,18,63,23,16,10,7,8,8,17,1,16,17,18,63,23,16,10,7,8,8,1352760.0,608535.240952
57,9,46,57,58,67,23,46,10,7,8,8,57,1,46,57,58,67,23,46,10,7,8,8,43,9,12,43,13,67,23,12,6,8,8,8,57,9,66,57,58,67,23,66,10,8,8,8,608040.0,502712.829479
69,9,70,69,71,72,73,70,10,8,8,8,69,1,70,69,71,72,73,70,10,8,8,8,69,9,70,69,71,72,73,70,6,74,8,8,69,1,70,69,71,72,73,70,6,74,8,8,573720.0,633198.735376
75,9,76,75,75,59,77,76,6,7,8,8,75,9,76,75,75,59,77,76,6,49,8,8,75,1,76,75,75,59,77,76,6,7,8,8,75,1,76,75,75,59,77,76,6,49,8,8,36060.0,214061.902083
57,9,78,57,58,4,23,78,10,8,8,8,57,1,78,57,58,4,23,78,10,8,8,8,57,9,46,57,58,4,23,46,10,7,8,8,57,1,46,57,58,4,23,46,10,7,8,8,135000.0,666127.240076
52,9,51,52,53,79,80,51,10,8,8,8,52,1,51,52,53,79,80,51,10,8,8,8,52,9,51,52,53,79,80,51,10,8,8,8,52,1,51,52,53,79,80,51,10,8,8,8,697680.0,752763.826727
35,9,20,35,36,83,5,20,10,84,8,8,35,1,20,35,36,83,5,20,10,84,8,8,35,9,78,35,36,83,5,78,10,7,8,8,35,1,78,35,36,83,5,78,10,7,8,8,1503900.0,1016002.74418
0,9,78,0,3,88,5,78,10,8,8,8,0,1,78,0,3,88,5,78,10,8,8,8,0,9,2,0,3,88,5,2,10,8,8,8,0,1,2,0,3,88,5,2,10,8,8,8,309180.0,410949.858728
0,9,2,0,3,86,23,2,10,7,8,8,0,1,2,0,3,86,23,2,10,7,8,8,0,9,2,0,3,86,23,2,6,49,8,8,0,1,2,0,3,86,23,2,6,49,8,8,464520.0,699592.288426
0,9,78,0,3,4,28,78,10,8,8,8,0,1,78,0,3,4,28,78,10,8,8,8,0,9,41,0,3,4,28,41,10,49,8,8,0,1,41,0,3,4,28,41,10,49,8,8,497340.0,596390.548742
57,9,46,57,58,90,23,46,10,49,8,8,57,1,46,57,58,90,23,46,10,49,8,8,57,9,46,57,58,90,23,46,6,84,8,8,57,1,46,57,58,90,23,46,6,84,8,8,1351140.0,642196.511872
0,9,2,0,3,92,93,2,10,8,8,8,0,1,2,0,3,92,93,2,10,8,8,8,0,9,2,0,3,92,93,2,10,7,8,8,0,1,2,0,3,92,93,2,10,7,8,8,107100.0,747312.532989
0,9,78,0,3,39,28,78,10,8,8,8,0,1,78,0,3,39,28,78,10,8,8,8,0,9,2,0,3,39,28,2,10,7,8,8,0,1,2,0,3,39,28,2,10,7,8,8,200340.0,394051.548993
0,9,41,0,3,79,5,41,10,8,8,8,0,1,41,0,3,79,5,41,10,8,8,8,0,9,2,0,3,79,5,2,10,7,8,8,0,1,2,0,3,79,5,2,10,7,8,8,136740.0,631025.382041
35,9,78,35,36,83,5,78,10,49,8,8,35,1,78,35,36,83,5,78,10,49,8,8,35,9,41,35,36,83,5,41,6,59,8,8,35,1,41,35,36,83,5,41,6,59,8,8,905280.0,421780.754935
43,9,44,43,13,22,23,44,6,8,8,8,43,1,44,43,13,22,23,44,6,8,8,8,43,9,44,43,13,22,23,44,6,22,8,8,43,1,44,43,13,22,23,44,6,22,8,8,0.0,500255.646296
75,9,97,75,75,7,5,97,6,7,8,8,75,1,97,75,75,7,5,97,6,7,8,8,95,9,96,95,13,7,5,96,6,7,8,8,95,1,96,95,13,7,5,96,6,7,8,8,0.0,422621.831506
75,9,76,75,75,101,23,76,6,101,8,8,75,1,76,75,75,101,23,76,6,101,8,8,95,9,44,95,13,101,23,44,6,101,8,8,95,1,44,95,13,101,23,44,6,101,8,8,0.0,143905.467072
98,9,25,98,21,102,103,25,10,7,8,8,98,1,25,98,21,102,103,25,10,7,8,8,98,9,31,98,21,102,103,31,10,8,8,8,98,1,31,98,21,102,103,31,10,8,8,8,97380.0,388850.49137
111,9,12,111,112,22,23,12,6,8,49,8,113,9,12,113,114,22,23,12,6,8,59,8,115,9,12,115,116,22,23,12,6,8,83,8,111,1,12,111,112,22,23,12,6,8,49,8,30720.0,35634.5003189
69,9,70,69,71,117,28,70,10,8,8,8,69,1,70,69,71,117,28,70,10,8,8,8,69,9,70,69,71,117,28,70,6,84,8,8,69,1,70,69,71,117,28,70,6,84,8,8,274500.0,681534.778878
122,9,96,122,13,27,23,96,6,121,7,8,122,1,96,122,13,27,23,96,6,121,7,8,118,9,119,118,120,27,23,119,6,121,8,8,118,1,119,118,120,27,23,119,6,121,8,8,394200.0,399884.136177
98,9,31,98,123,89,23,31,10,8,8,8,98,1,31,98,123,89,23,31,10,8,8,8,19,9,31,19,21,89,23,31,6,8,8,8,19,1,31,19,21,89,23,31,6,8,8,8,562920.0,902229.461882
17,9,54,17,18,94,124,54,10,8,8,8,17,1,54,17,18,94,124,54,10,8,8,8,17,9,54,17,18,94,124,54,6,79,8,8,17,1,54,17,18,94,124,54,6,79,8,8,1275000.0,520666.278827
57,9,20,57,58,62,23,20,10,8,8,8,57,1,20,57,58,62,23,20,10,8,8,8,57,9,46,57,58,62,23,46,10,7,8,8,43,9,44,43,13,62,23,44,10,8,8,8,946020.0,958836.703604
122,9,44,122,13,126,127,44,6,8,8,8,122,9,44,122,13,126,127,44,6,8,7,8,122,1,44,122,13,126,127,44,6,8,8,8,122,1,44,122,13,126,127,44,6,8,7,8,0.0,132506.007685
43,9,55,43,13,142,152,55,6,8,7,8,43,1,55,43,13,142,152,55,6,8,7,8,43,9,55,43,13,142,152,55,6,8,7,8,43,1,55,43,13,142,152,55,6,8,7,8,212400.0,281499.505389
43,9,44,43,13,88,156,44,6,88,8,8,43,1,44,43,13,88,156,44,6,88,8,8,111,9,148,111,112,88,156,148,6,8,8,8,111,1,148,111,112,88,156,148,6,8,8,8,910200.0,683642.384789
43,9,55,43,13,79,5,55,6,8,8,8,43,1,55,43,13,79,5,55,6,8,8,8,140,9,70,140,71,79,5,70,6,8,8,8,140,1,70,140,71,79,5,70,6,8,8,8,125460.0,360413.14588
161,9,85,161,53,47,5,85,6,7,8,8,161,1,85,161,53,47,5,85,6,7,8,8,140,9,139,140,71,47,5,139,6,8,8,8,140,1,139,140,71,47,5,139,6,8,8,8,1577760.0,525328.533856
43,9,12,43,13,83,163,12,6,83,8,8,43,1,12,43,13,83,163,12,6,83,8,8,113,9,132,113,114,83,163,132,6,83,8,8,113,1,132,113,114,83,163,132,6,83,8,8,321960.0,820217.781665
69,9,139,69,71,74,164,139,10,8,8,8,69,1,139,69,71,74,164,139,10,8,8,8,69,9,139,69,71,74,164,139,6,8,8,8,69,1,139,69,71,74,164,139,6,8,8,8,102600.0,409963.755944
57,9,46,57,58,168,23,46,10,8,8,8,57,1,46,57,58,168,23,46,10,8,8,8,57,9,31,57,58,168,23,31,10,8,8,8,57,1,31,57,58,168,23,31,10,8,8,8,739140.0,744685.360023
57,9,20,57,58,170,15,20,6,7,8,8,57,1,20,57,58,170,15,20,6,7,8,8,57,9,46,57,58,170,15,46,10,7,8,8,57,1,46,57,58,170,15,46,10,7,8,8,1050900.0,965090.7513
57,9,46,57,58,125,23,46,10,49,8,8,57,1,46,57,58,125,23,46,10,49,8,8,57,9,46,57,58,125,23,46,6,173,8,8,57,1,46,57,58,125,23,46,6,173,8,8,1501740.0,661513.125681
19,9,31,19,21,174,23,31,10,8,8,8,19,1,31,19,21,174,23,31,10,8,8,8,19,9,31,19,21,174,23,31,6,107,8,8,19,1,31,19,21,174,23,31,6,107,8,8,1006980.0,673392.011848
175,9,179,175,177,178,167,179,6,180,8,8,175,1,179,175,177,178,167,179,6,180,8,8,175,9,176,175,177,178,167,176,6,99,8,8,175,1,176,175,177,178,167,176,6,99,8,8,539940.0,185490.099654
133,9,132,133,134,181,5,132,6,39,8,8,133,1,132,133,134,181,5,132,6,39,8,8,133,9,132,133,134,181,5,132,6,39,8,8,133,1,132,133,134,181,5,132,6,39,8,8,1063500.0,607545.43794
17,9,54,17,18,83,23,54,6,84,8,8,17,1,54,17,18,83,23,54,6,84,8,8,17,9,16,17,18,83,23,16,10,49,8,8,17,1,16,17,18,83,23,16,10,49,8,8,494160.0,486027.710807
43,9,55,43,13,79,163,55,10,8,8,8,43,1,55,43,13,79,163,55,10,8,8,8,43,9,55,43,13,79,163,55,10,8,8,8,43,1,55,43,13,79,163,55,10,8,8,8,285600.0,456796.019603
75,9,76,75,75,4,163,76,6,4,8,8,75,1,76,75,75,4,163,76,6,4,8,8,95,9,44,95,13,4,163,44,6,4,8,8,95,1,44,95,13,4,163,44,6,4,8,8,0.0,112254.470805
19,9,31,19,21,30,23,31,10,8,8,8,11,9,44,11,13,30,23,44,10,8,8,8,11,1,44,11,13,30,23,44,10,8,8,8,19,1,31,19,21,30,23,31,10,8,8,8,630000.0,626260.935738
133,9,132,133,134,67,5,132,6,38,8,8,133,1,132,133,134,67,5,132,6,38,8,8,128,9,135,128,130,67,5,135,10,7,8,8,128,1,135,128,130,67,5,135,10,7,8,8,668640.0,800842.119981
43,9,96,43,13,83,5,96,6,84,7,8,35,9,78,35,36,83,5,78,6,59,8,8,43,1,96,43,13,83,5,96,6,84,7,8,113,9,139,113,114,83,5,139,6,84,8,8,1313940.0,1298084.3007
186,9,54,186,18,30,23,54,6,8,8,8,186,9,16,186,18,30,23,16,10,49,8,8,186,1,54,186,18,30,23,54,6,8,8,8,186,1,16,186,18,30,23,16,10,49,8,8,989340.0,932240.322554
69,9,70,69,71,67,15,70,10,8,8,8,69,1,70,69,71,67,15,70,10,8,8,8,69,9,70,69,71,67,15,70,6,8,8,8,69,1,70,69,71,67,15,70,6,8,8,8,263700.0,686382.450328
57,9,46,57,58,153,23,46,10,7,8,8,57,1,46,57,58,153,23,46,10,7,8,8,57,9,78,57,58,153,23,78,10,7,8,8,57,9,20,57,58,153,23,20,10,49,8,8,1261740.0,871785.598998
57,9,46,57,58,194,40,46,10,8,8,8,57,1,46,57,58,194,40,46,10,8,8,8,57,9,20,57,58,194,40,20,10,7,8,8,57,1,20,57,58,194,40,20,10,7,8,8,1159140.0,665674.555039
57,9,78,57,58,153,23,78,10,8,8,8,57,1,78,57,58,153,23,78,10,8,8,8,57,9,78,57,58,153,23,78,10,8,8,8,57,1,78,57,58,153,23,78,10,8,8,8,863100.0,777095.905518
57,9,46,57,58,79,15,46,10,49,8,8,57,1,46,57,58,79,15,46,10,49,8,8,57,9,46,57,58,79,15,46,6,59,8,8,57,1,46,57,58,79,15,46,6,59,8,8,754800.0,647098.239056
57,9,46,57,58,4,15,46,10,8,8,8,57,1,46,57,58,4,15,46,10,8,8,8,57,9,20,57,58,4,15,20,10,7,8,8,43,9,44,43,13,4,15,44,6,8,8,8,1116420.0,421213.137841
133,9,70,133,134,83,5,70,6,49,8,8,133,1,70,133,134,83,5,70,6,49,8,8,133,9,70,133,134,83,5,70,6,59,8,8,133,1,70,133,134,83,5,70,6,59,8,8,406080.0,701756.842482
17,9,16,17,18,30,28,16,10,7,8,8,17,1,16,17,18,30,28,16,10,7,8,8,17,9,16,17,18,30,28,16,6,26,8,8,17,1,16,17,18,30,28,16,6,26,8,8,830280.0,690272.083803
197,9,198,197,199,200,201,198,10,8,8,8,197,1,198,197,199,200,201,198,10,8,8,8,197,9,198,197,199,200,201,198,10,8,8,8,197,1,198,197,199,200,201,198,10,8,8,8,630000.0,554722.982731
57,9,46,57,58,86,23,46,10,49,8,8,57,1,46,57,58,86,23,46,10,49,8,8,57,9,46,57,58,86,23,46,10,8,8,8,57,9,12,57,58,86,23,12,6,8,8,8,495600.0,833733.887283
17,9,54,17,18,153,202,54,10,7,8,8,17,1,54,17,18,153,202,54,10,7,8,8,17,9,54,17,18,153,202,54,6,49,8,8,17,1,54,17,18,153,202,54,6,49,8,8,583500.0,400135.552031
113,9,132,113,114,203,15,132,6,203,8,8,113,1,132,113,114,203,15,132,6,203,8,8,111,9,132,111,112,203,15,132,6,50,8,8,111,1,132,111,112,203,15,132,6,50,8,8,325500.0,318062.227166
98,9,31,98,123,79,45,31,6,79,8,8,98,1,31,98,123,79,45,31,6,79,8,8,11,9,12,11,13,79,45,12,6,79,8,8,11,1,12,11,13,79,45,12,6,79,8,8,899220.0,696622.04836
19,9,31,19,21,102,40,31,10,8,8,8,19,1,31,19,21,102,40,31,10,8,8,8,19,9,31,19,21,102,40,31,6,181,8,8,19,1,31,19,21,102,40,31,6,181,8,8,610080.0,693441.335363
57,9,41,57,58,158,15,41,10,49,8,8,57,1,41,57,58,158,15,41,10,49,8,8,57,9,20,57,58,158,15,20,10,8,8,8,57,1,20,57,58,158,15,20,10,8,8,8,220140.0,672320.239597
57,9,66,57,58,208,40,66,10,49,8,8,57,1,66,57,58,208,40,66,10,49,8,8,57,9,66,57,58,208,40,66,6,49,8,8,57,9,20,57,58,208,40,20,6,84,8,8,248460.0,473213.462743
98,9,31,98,123,173,164,31,10,8,8,8,98,1,31,98,123,173,164,31,10,8,8,8,98,9,31,98,123,173,164,31,6,173,8,8,98,1,31,98,123,173,164,31,6,173,8,8,1222500.0,738617.0641
19,9,31,19,21,86,23,31,10,8,8,8,19,1,31,19,21,86,23,31,10,8,8,8,19,9,31,19,21,86,23,31,10,7,8,8,19,1,31,19,21,86,23,31,10,7,8,8,518100.0,815705.297785
19,9,25,19,21,59,15,25,10,7,8,8,19,1,25,19,21,59,15,25,10,7,8,8,19,9,25,19,21,59,15,25,34,8,8,8,43,9,44,43,13,59,15,44,6,8,8,8,150900.0,675579.621993
35,9,20,35,36,47,5,20,10,142,8,8,43,9,55,43,13,47,5,55,6,8,8,8,43,1,55,43,13,47,5,55,6,8,8,8,35,1,20,35,36,47,5,20,10,142,8,8,95220.0,136980.823408
52,9,54,52,53,4,15,54,10,7,8,8,52,1,54,52,53,4,15,54,10,7,8,8,52,9,54,52,53,4,15,54,10,7,8,8,43,9,44,43,13,4,15,44,6,8,8,8,457620.0,717773.02909
65,9,2,65,36,39,5,2,10,8,8,8,65,1,2,65,36,39,5,2,10,8,8,8,35,9,20,35,36,39,5,20,10,7,8,8,43,9,96,43,13,39,5,96,6,7,8,8,82560.0,486152.571347
81,9,16,81,18,158,15,16,10,8,8,8,81,1,16,81,18,158,15,16,10,8,8,8,81,9,54,81,18,158,15,54,10,7,8,8,81,1,54,81,18,158,15,54,10,7,8,8,1217940.0,703087.940541
57,9,46,57,58,50,15,46,10,7,8,8,57,1,46,57,58,50,15,46,10,7,8,8,57,9,46,57,58,50,15,46,6,67,8,8,57,1,46,57,58,50,15,46,6,67,8,8,496800.0,721953.630741
19,9,25,19,21,121,23,25,10,8,8,8,19,1,25,19,21,121,23,25,10,8,8,8,19,9,31,19,21,121,23,31,10,7,8,8,43,9,12,43,13,121,23,12,6,8,8,8,387600.0,904327.084856
57,9,46,57,58,39,15,46,10,7,8,8,57,1,46,57,58,39,15,46,10,7,8,8,57,9,20,57,58,39,15,20,10,7,8,8,57,1,20,57,58,39,15,20,10,7,8,8,636540.0,737391.677457
57,9,78,57,58,4,23,78,10,8,8,8,57,1,78,57,58,4,23,78,10,8,8,8,57,9,20,57,58,4,23,20,10,8,8,8,57,1,20,57,58,4,23,20,10,8,8,8,205380.0,546226.187654
19,9,25,19,21,4,23,25,10,7,8,8,19,1,25,19,21,4,23,25,10,7,8,8,19,9,25,19,21,4,23,25,34,8,8,8,43,9,12,43,13,4,23,12,6,8,8,8,1420200.0,837215.47614
19,9,31,19,21,26,23,31,10,8,8,8,43,9,55,43,13,26,23,55,10,8,8,8,19,1,31,19,21,26,23,31,10,8,8,8,43,1,55,43,13,26,23,55,10,8,8,8,1268580.0,1101124.10633
19,9,31,19,21,39,40,31,10,8,8,8,19,1,31,19,21,39,40,31,10,8,8,8,19,9,31,19,21,39,40,31,6,142,8,8,19,1,31,19,21,39,40,31,6,142,8,8,0.0,696910.291133
57,9,31,57,58,173,23,31,10,8,8,8,57,1,31,57,58,173,23,31,10,8,8,8,57,9,31,57,58,173,23,31,10,8,8,8,57,1,31,57,58,173,23,31,10,8,8,8,1459620.0,831867.679362
19,9,31,19,21,215,23,31,6,162,8,8,19,1,31,19,21,215,23,31,6,162,8,8,19,9,25,19,21,215,23,25,10,8,8,8,19,1,25,19,21,215,23,25,10,8,8,8,638520.0,504383.884046
19,9,31,19,21,4,216,31,10,8,8,8,19,1,31,19,21,4,216,31,10,8,8,8,19,9,25,19,21,4,216,25,10,8,8,8,19,1,25,19,21,4,216,25,10,8,8,8,890880.0,566710.660281
0,9,78,0,3,30,23,78,10,8,8,8,0,1,78,0,3,30,23,78,10,8,8,8,0,9,41,0,3,30,23,41,10,8,8,8,0,1,41,0,3,30,23,41,10,8,8,8,294240.0,583217.227587
98,9,25,98,21,30,15,25,34,8,8,8,98,1,25,98,21,30,15,25,34,8,8,8,98,9,31,98,21,30,15,31,10,8,8,8,75,9,76,75,75,30,15,76,6,30,8,8,44340.0,-4481.79764865
69,9,70,69,71,64,33,70,10,8,8,8,69,1,70,69,71,64,33,70,10,8,8,8,69,9,70,69,71,64,33,70,10,8,8,8,69,1,70,69,71,64,33,70,10,8,8,8,904980.0,816385.057069
57,9,46,57,58,4,23,46,10,49,8,8,57,1,46,57,58,4,23,46,10,49,8,8,57,9,78,57,58,4,23,78,6,26,8,8,57,1,78,57,58,4,23,78,6,26,8,8,416040.0,793388.357015
98,9,25,98,21,39,219,25,10,8,8,8,98,1,25,98,21,39,219,25,10,8,8,8,133,9,132,133,134,39,219,132,6,39,8,8,133,1,132,133,134,39,219,132,6,39,8,8,409200.0,753419.772938
35,9,78,35,36,221,5,78,10,49,8,8,35,1,78,35,36,221,5,78,10,49,8,8,35,9,2,35,36,221,5,2,6,222,8,8,35,1,2,35,36,221,5,2,6,222,8,8,256200.0,258331.21058
17,9,16,17,18,56,40,16,6,83,8,8,17,1,16,17,18,56,40,16,6,83,8,8,43,9,12,43,13,56,40,12,6,8,8,8,43,1,12,43,13,56,40,12,6,8,8,8,691260.0,406247.221376
52,9,54,52,53,42,15,54,10,7,8,8,52,1,54,52,53,42,15,54,10,7,8,8,52,9,54,52,53,42,15,54,6,24,8,8,52,1,54,52,53,42,15,54,6,24,8,8,606180.0,694514.430868
0,9,2,0,3,47,191,2,10,8,8,8,0,1,2,0,3,47,191,2,10,8,8,8,0,9,78,0,3,47,191,78,10,8,8,8,0,1,78,0,3,47,191,78,10,8,8,8,941040.0,987366.242711
75,9,76,75,75,59,23,76,6,59,8,8,75,1,76,75,75,59,23,76,6,59,8,8,95,9,44,95,13,59,23,44,6,8,8,8,95,1,44,95,13,59,23,44,6,8,8,8,27960.0,190149.998954
19,9,31,19,21,4,23,31,10,8,8,8,19,1,31,19,21,4,23,31,10,8,8,8,19,9,31,19,21,4,23,31,10,8,8,8,19,1,31,19,21,4,23,31,10,8,8,8,1621200.0,836551.438825
230,9,70,230,144,84,23,70,6,84,8,8,230,1,70,230,144,84,23,70,6,84,8,8,75,9,76,75,75,84,23,76,6,84,8,8,75,1,76,75,75,84,23,76,6,84,8,8,33540.0,656148.23406
43,9,44,43,13,232,40,44,6,232,8,8,43,1,44,43,13,232,40,44,6,232,8,8,113,9,135,113,114,232,40,135,6,232,8,8,113,1,135,113,114,232,40,135,6,232,8,8,383040.0,578578.738734
43,9,12,43,13,183,40,12,6,8,8,8,43,1,12,43,13,183,40,12,6,8,8,8,43,9,12,43,13,183,40,12,6,8,8,8,43,1,12,43,13,183,40,12,6,8,8,8,79740.0,474904.485034
35,9,78,35,36,37,5,78,10,7,8,8,35,1,78,35,36,37,5,78,10,7,8,8,35,9,78,35,36,37,5,78,6,8,8,8,35,1,78,35,36,37,5,78,6,8,8,8,1594620.0,653355.276296
35,9,78,35,36,171,28,78,10,8,8,8,35,1,78,35,36,171,28,78,10,8,8,8,35,9,78,35,36,171,28,78,10,7,8,8,35,1,78,35,36,171,28,78,10,7,8,8,425640.0,740919.9112
19,9,25,19,21,39,103,25,10,7,8,8,19,1,25,19,21,39,103,25,10,7,8,8,19,9,25,19,21,39,103,25,6,86,8,8,19,1,25,19,21,39,103,25,6,86,8,8,1092480.0,609395.892023
57,9,46,57,58,217,23,46,10,8,8,8,57,1,46,57,58,217,23,46,10,8,8,8,57,9,66,57,58,217,23,66,10,84,8,8,57,1,66,57,58,217,23,66,10,84,8,8,161340.0,918225.192155
57,9,46,57,58,147,235,46,10,8,8,8,57,1,46,57,58,147,235,46,10,8,8,8,57,9,41,57,58,147,235,41,10,59,8,8,57,1,41,57,58,147,235,41,10,59,8,8,436620.0,546338.925126
35,9,78,35,36,149,236,78,10,8,8,8,35,1,78,35,36,149,236,78,10,8,8,8,35,9,41,35,36,149,236,41,10,59,8,8,35,1,41,35,36,149,236,41,10,59,8,8,530340.0,330842.396566
43,9,44,43,13,147,23,44,6,8,8,8,43,1,44,43,13,147,23,44,6,8,8,8,43,9,44,43,13,147,23,44,6,147,8,8,43,1,44,43,13,147,23,44,6,147,8,8,140340.0,508396.70947
43,9,44,43,13,50,23,44,6,50,8,8,43,1,44,43,13,50,23,44,6,50,8,8,113,9,137,113,114,50,23,137,6,238,8,8,113,1,137,113,114,50,23,137,6,238,8,8,924420.0,938584.255053
43,9,44,43,13,239,23,44,6,240,8,8,43,1,44,43,13,239,23,44,6,240,8,8,113,9,66,113,114,239,23,66,6,204,8,8,113,1,66,113,114,239,23,66,6,204,8,8,64800.0,257886.171744
75,9,97,75,75,125,73,97,6,102,8,8,75,1,97,75,75,125,73,97,6,102,8,8,95,9,44,95,13,125,73,44,6,102,8,8,95,1,44,95,13,125,73,44,6,102,8,8,6326280.0,6328826.36141
133,9,132,133,134,131,5,132,6,26,8,8,133,1,132,133,134,131,5,132,6,26,8,8,128,9,129,128,130,131,5,129,10,8,8,8,128,1,129,128,130,131,5,129,10,8,8,8,7034820.0,7015915.93505
115,9,137,115,116,136,5,137,6,138,8,8,115,1,137,115,116,136,5,137,6,138,8,8,128,9,135,128,130,136,5,135,10,8,8,8,128,1,135,128,130,136,5,135,10,8,8,8,6185700.0,6185810.35223
35,9,2,35,36,141,5,2,10,49,8,8,35,1,2,35,36,141,5,2,10,49,8,8,35,9,2,35,36,141,5,2,6,142,8,8,35,1,2,35,36,141,5,2,6,142,8,8,6226380.0,6225249.44628
52,9,51,52,53,146,5,51,6,49,8,8,52,1,51,52,53,146,5,51,6,49,8,8,140,9,70,140,71,146,5,70,6,8,8,8,140,1,70,140,71,146,5,70,6,8,8,8,7394940.0,7394275.4056
35,9,78,35,36,50,5,78,10,8,8,8,35,1,78,35,36,50,5,78,10,8,8,8,35,9,20,35,36,50,5,20,10,7,8,8,35,1,20,35,36,50,5,20,10,7,8,8,6100740.0,6177540.16349
133,9,148,133,134,157,5,148,6,8,8,8,133,1,148,133,134,157,5,148,6,8,8,8,133,9,132,133,134,157,5,132,6,158,8,8,133,9,148,133,134,157,5,148,6,8,8,8,7511400.0,7511091.73543
140,9,139,140,71,182,5,139,6,8,8,8,140,1,139,140,71,182,5,139,6,8,8,8,113,9,139,113,114,182,5,139,6,183,8,8,113,1,139,113,114,182,5,139,6,183,8,8,7084800.0,7085164.5837
11,9,44,11,13,102,187,44,6,8,8,8,11,1,44,11,13,102,187,44,6,8,8,8,11,9,44,11,13,102,187,44,6,188,7,8,11,1,44,11,13,102,187,44,6,188,7,8,4870260.0,4870277.0
35,9,46,35,36,125,5,46,10,8,8,8,35,1,46,35,36,125,5,46,10,8,8,8,35,9,2,35,36,125,5,2,10,7,8,8,35,1,2,35,36,125,5,2,10,7,8,8,6799920.0,6687977.78146
52,9,54,52,53,205,124,54,10,8,8,8,52,1,54,52,53,205,124,54,10,8,8,8,52,9,54,52,53,205,124,54,6,49,8,8,52,1,54,52,53,205,124,54,6,49,8,8,6167100.0,6165968.20978
