Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,remainingTime,prediction
153,92,12,91,92,93,131,37,91,14,9,9,9,92,1,91,92,93,131,37,91,14,9,9,9,92,12,91,92,93,131,37,91,6,103,9,9,92,1,91,92,93,131,37,91,6,103,9,9,87,12,42,87,3,131,37,42,6,9,9,9,87,1,42,87,3,131,37,42,6,9,9,9,87,12,42,87,3,131,37,42,6,103,9,9,87,1,42,87,3,131,37,42,6,103,9,9,97,12,96,97,97,131,37,96,6,103,9,9,97,1,96,97,97,131,37,96,6,103,9,9,0.0,7133594.19202
190,97,12,96,97,97,113,157,96,6,33,9,9,97,1,96,97,97,113,157,96,6,33,9,9,87,12,46,87,3,113,157,46,6,33,9,9,87,1,46,87,3,113,157,46,6,33,9,9,0,12,46,0,3,113,157,46,6,9,9,9,0,1,46,0,3,113,157,46,6,9,9,9,87,12,46,87,3,113,157,46,6,9,9,9,87,1,46,87,3,113,157,46,6,9,9,9,0,12,46,0,3,113,157,46,6,9,9,9,0,1,46,0,3,113,157,46,6,9,9,9,0.0,6688778.11925
206,0,12,24,0,3,169,170,24,6,9,9,9,0,1,24,0,3,169,170,24,6,9,9,9,58,12,57,58,59,169,170,57,6,169,9,9,58,1,57,58,59,169,170,57,6,169,9,9,114,12,57,114,115,169,170,57,6,169,9,9,114,1,57,114,115,169,170,57,6,169,9,9,92,12,95,92,93,169,170,95,14,9,9,9,92,1,95,92,93,169,170,95,14,9,9,9,92,12,95,92,93,169,170,95,6,4,9,9,92,1,95,92,93,169,170,95,6,4,9,9,1242720.0,7548541.87484
207,71,12,51,71,72,171,172,51,14,9,9,9,71,12,34,71,72,171,172,34,14,8,9,9,71,1,51,71,72,171,172,51,14,9,9,9,71,1,34,71,72,171,172,34,14,8,9,9,71,12,51,71,72,171,172,51,14,9,9,9,71,12,34,71,72,171,172,34,6,103,9,9,71,1,51,71,72,171,172,51,14,9,9,9,71,1,34,71,72,171,172,34,6,103,9,9,71,12,34,71,72,171,172,34,6,35,9,9,71,1,34,71,72,171,172,34,6,35,9,9,1708200.0,7410447.08771
211,0,12,24,0,3,177,21,24,6,9,9,9,0,1,24,0,3,177,21,24,6,9,9,9,58,12,142,58,59,177,21,142,6,94,9,9,58,1,142,58,59,177,21,142,6,94,9,9,58,12,145,58,59,177,21,145,6,179,9,9,58,1,145,58,59,177,21,145,6,179,9,9,114,12,54,114,115,177,21,54,6,9,9,9,114,1,54,114,115,177,21,54,6,9,9,9,114,12,57,114,115,177,21,57,6,178,9,9,114,1,57,114,115,177,21,57,6,178,9,9,458940.0,4857417.36906
248,17,12,23,17,19,41,37,23,14,8,9,9,17,1,23,17,19,41,37,23,14,8,9,9,17,12,23,17,19,41,37,23,6,33,9,9,17,1,23,17,19,41,37,23,6,33,9,9,17,12,70,17,19,41,37,70,6,113,9,9,17,1,70,17,19,41,37,70,6,113,9,9,114,12,54,114,115,41,37,54,6,9,9,9,114,1,54,114,115,41,37,54,6,9,9,9,0,12,46,0,3,41,37,46,6,41,9,9,0,1,46,0,3,41,37,46,6,41,9,9,692040.0,6973373.04495
249,31,12,40,31,32,213,29,40,14,8,9,9,31,1,40,31,32,213,29,40,14,8,9,9,31,12,40,31,32,213,29,40,14,9,9,9,31,1,40,31,32,213,29,40,14,9,9,9,0,12,42,0,3,213,29,42,6,9,9,9,0,1,42,0,3,213,29,42,6,9,9,9,31,12,40,31,32,213,29,40,6,28,9,9,31,1,40,31,32,213,29,40,6,28,9,9,31,12,40,31,32,213,29,40,6,214,9,9,31,1,40,31,32,213,29,40,6,214,9,9,566820.0,4800284.85304
250,215,12,216,215,217,107,218,216,14,9,9,9,215,1,216,215,217,107,218,216,14,9,9,9,215,12,216,215,217,107,218,216,14,9,9,9,215,1,216,215,217,107,218,216,14,9,9,9,87,12,2,87,3,107,218,2,6,9,9,9,215,12,216,215,217,107,218,216,6,16,9,9,87,1,2,87,3,107,218,2,6,9,9,9,215,1,216,215,217,107,218,216,6,16,9,9,215,12,216,215,217,107,218,216,6,33,9,9,215,1,216,215,217,107,218,216,6,33,9,9,475200.0,11802656.1257
254,58,12,57,58,59,220,21,57,6,220,9,9,58,1,57,58,59,220,21,57,6,220,9,9,53,12,57,53,55,220,21,57,6,69,9,9,53,1,57,53,55,220,21,57,6,69,9,9,53,12,57,53,55,220,21,57,6,62,9,9,53,1,57,53,55,220,21,57,6,62,9,9,53,12,54,53,55,220,21,54,6,221,9,9,53,1,54,53,55,220,21,54,6,221,9,9,87,12,24,87,3,220,21,24,6,9,9,9,87,1,24,87,3,220,21,24,6,9,9,9,152880.0,3136389.66423
261,31,12,40,31,32,119,211,40,14,9,9,9,31,1,40,31,32,119,211,40,14,9,9,9,31,12,40,31,32,119,211,40,6,74,9,9,31,1,40,31,32,119,211,40,6,74,9,9,0,12,24,0,3,119,211,24,6,9,9,9,0,1,24,0,3,119,211,24,6,9,9,9,31,12,30,31,32,119,211,30,6,74,9,9,31,1,30,31,32,119,211,30,6,74,9,9,0,12,24,0,3,119,211,24,6,119,9,9,0,1,24,0,3,119,211,24,6,119,9,9,585000.0,8086617.17703
268,31,12,40,31,32,116,231,40,14,8,9,9,31,1,40,31,32,116,231,40,14,8,9,9,31,12,40,31,32,116,231,40,14,9,9,9,0,12,24,0,3,116,231,24,6,9,9,9,31,1,40,31,32,116,231,40,14,9,9,9,0,1,24,0,3,116,231,24,6,9,9,9,31,12,40,31,32,116,231,40,14,9,9,9,0,12,24,0,3,116,231,24,6,9,9,9,0,1,24,0,3,116,231,24,6,9,9,9,31,1,40,31,32,116,231,40,14,9,9,9,1799100.0,8799496.62156
40,100,12,23,100,19,162,21,23,14,9,9,9,100,1,23,100,19,162,21,23,14,9,9,9,100,12,70,100,19,162,21,70,14,8,9,9,100,1,70,100,19,162,21,70,14,8,9,9,100,12,23,100,19,162,21,23,14,8,9,9,100,1,23,100,19,162,21,23,14,8,9,9,100,12,23,100,19,162,21,23,6,103,9,9,100,1,23,100,19,162,21,23,6,103,9,9,100,12,23,100,19,162,21,23,39,9,9,9,100,1,23,100,19,162,21,23,39,9,9,9,1167360.0,7070924.52458
42,71,12,18,71,72,69,21,18,14,8,9,9,71,1,18,71,72,69,21,18,14,8,9,9,71,12,18,71,72,69,21,18,6,82,9,9,71,1,18,71,72,69,21,18,6,82,9,9,0,12,24,0,3,69,21,24,6,9,9,9,0,1,24,0,3,69,21,24,6,9,9,9,71,12,15,71,72,69,21,15,6,94,9,9,71,1,15,71,72,69,21,15,6,94,9,9,71,12,30,71,72,69,21,30,6,103,9,9,71,1,30,71,72,69,21,30,6,103,9,9,452220.0,8924696.77283
45,71,12,18,71,72,60,21,18,14,8,9,9,71,1,18,71,72,60,21,18,14,8,9,9,71,12,34,71,72,60,21,34,14,8,9,9,71,1,34,71,72,60,21,34,14,8,9,9,71,12,34,71,72,60,21,34,6,52,9,9,71,1,34,71,72,60,21,34,6,52,9,9,0,12,24,0,3,60,21,24,6,9,9,9,0,1,24,0,3,60,21,24,6,9,9,9,238,12,40,238,32,60,21,40,6,9,9,9,238,1,40,238,32,60,21,40,6,9,9,9,144660.0,7775964.96236
56,118,12,30,118,32,41,21,30,39,9,9,9,118,1,30,118,32,41,21,30,39,9,9,9,118,12,40,118,32,41,21,40,14,9,9,9,97,12,96,97,97,41,21,96,6,41,9,9,97,1,96,97,97,41,21,96,6,41,9,9,118,1,40,118,32,41,21,40,14,9,9,9,118,12,40,118,32,41,21,40,6,41,9,9,118,1,40,118,32,41,21,40,6,41,9,9,25,12,24,25,3,41,21,24,6,41,9,9,25,1,24,25,3,41,21,24,6,41,9,9,16380.0,7854269.70002
59,71,12,18,71,72,4,29,18,14,65,9,9,71,1,18,71,72,4,29,18,14,65,9,9,71,12,51,71,72,4,29,51,6,33,9,9,71,1,51,71,72,4,29,51,6,33,9,9,71,12,34,71,72,4,29,34,6,8,9,9,71,1,34,71,72,4,29,34,6,8,9,9,0,12,24,0,3,4,29,24,6,33,9,9,0,1,24,0,3,4,29,24,6,33,9,9,58,12,83,58,59,4,29,83,6,33,9,9,58,1,83,58,59,4,29,83,6,33,9,9,167820.0,7921434.45009
64,48,12,51,48,49,244,5,51,14,65,9,9,48,1,51,48,49,244,5,51,14,65,9,9,48,12,10,48,49,244,5,10,6,22,9,9,48,1,10,48,49,244,5,10,6,22,9,9,48,12,34,48,49,244,5,34,6,74,9,9,48,1,34,48,49,244,5,34,6,74,9,9,48,12,10,48,49,244,5,10,6,43,9,9,48,1,10,48,49,244,5,10,6,43,9,9,48,12,10,48,49,244,5,10,6,109,9,9,48,1,10,48,49,244,5,10,6,109,9,9,50760.0,3980909.88514
72,31,12,30,31,32,85,21,30,14,9,9,9,31,1,30,31,32,85,21,30,14,9,9,9,31,12,30,31,32,85,21,30,6,85,9,9,31,1,30,31,32,85,21,30,6,85,9,9,0,12,24,0,3,85,21,24,6,85,9,9,0,1,24,0,3,85,21,24,6,85,9,9,53,12,54,53,55,85,21,54,6,9,9,9,53,1,54,53,55,85,21,54,6,9,9,9,53,12,57,53,55,85,21,57,6,8,9,9,53,1,57,53,55,85,21,57,6,8,9,9,179520.0,6411582.27914
73,11,12,10,11,13,62,203,10,14,9,9,9,11,1,10,11,13,62,203,10,14,9,9,9,11,12,51,11,13,62,203,51,14,9,9,9,11,1,51,11,13,62,203,51,14,9,9,9,11,12,15,11,13,62,203,15,14,9,9,9,11,1,15,11,13,62,203,15,14,9,9,9,11,12,34,11,13,62,203,34,14,9,9,9,11,1,34,11,13,62,203,34,14,9,9,9,11,12,51,11,13,62,203,51,14,8,9,9,11,1,51,11,13,62,203,51,14,8,9,9,881340.0,8606604.95912
85,71,12,18,71,72,94,29,18,14,65,9,9,71,1,18,71,72,94,29,18,14,65,9,9,71,12,18,71,72,94,29,18,6,103,9,9,71,1,18,71,72,94,29,18,6,103,9,9,71,12,34,71,72,94,29,34,6,103,9,9,71,12,105,71,72,94,29,105,6,9,102,9,71,12,40,71,72,94,29,40,6,4,9,9,71,1,34,71,72,94,29,34,6,103,9,9,71,1,105,71,72,94,29,105,6,9,102,9,71,1,40,71,72,94,29,40,6,4,9,9,15960.0,119004053.395
21,11,12,15,11,13,138,164,15,14,9,9,9,11,1,15,11,13,138,164,15,14,9,9,9,11,12,34,11,13,138,164,34,6,175,9,9,11,1,34,11,13,138,164,34,6,175,9,9,0,12,24,0,3,138,164,24,6,9,9,9,11,12,10,11,13,138,164,10,6,9,9,9,11,12,10,11,13,138,164,10,6,94,9,9,11,1,10,11,13,138,164,10,6,9,9,9,11,1,10,11,13,138,164,10,6,94,9,9,0,1,24,0,3,138,164,24,6,9,9,9,3413400.0,2217416.19137
234,25,12,42,25,3,119,199,42,6,9,9,9,25,1,42,25,3,119,199,42,6,9,9,9,25,12,42,25,3,119,199,42,6,121,8,9,25,1,42,25,3,119,199,42,6,121,8,9,197,12,127,197,198,119,199,127,6,9,9,9,197,1,127,197,198,119,199,127,6,9,9,9,197,12,200,197,198,119,199,200,6,9,9,9,197,1,200,197,198,119,199,200,6,9,9,9,197,12,127,197,198,119,199,127,6,9,9,9,197,1,127,197,198,119,199,127,6,9,9,9,4727160.0,5233155.09807
245,17,12,23,17,19,102,5,23,14,9,9,9,17,12,23,17,19,102,5,23,39,9,9,9,17,1,23,17,19,102,5,23,39,9,9,9,0,12,2,0,3,102,5,2,14,9,9,9,0,1,2,0,3,102,5,2,14,9,9,9,17,1,23,17,19,102,5,23,14,9,9,9,17,12,23,17,19,102,5,23,14,8,9,9,17,1,23,17,19,102,5,23,14,8,9,9,17,12,23,17,19,102,5,23,6,103,9,9,17,1,23,17,19,102,5,23,6,103,9,9,2637120.0,8534124.75859
260,71,12,34,71,72,225,29,34,14,9,9,9,71,1,34,71,72,225,29,34,14,9,9,9,71,12,34,71,72,225,29,34,14,8,9,9,71,1,34,71,72,225,29,34,14,8,9,9,71,12,34,71,72,225,29,34,6,75,9,9,71,1,34,71,72,225,29,34,6,75,9,9,71,12,18,71,72,225,29,18,6,109,9,9,71,1,18,71,72,225,29,18,6,109,9,9,71,12,34,71,72,225,29,34,6,86,9,9,71,1,34,71,72,225,29,34,6,86,9,9,4551300.0,4478355.95842
28,71,12,18,71,72,144,29,18,14,9,9,9,71,1,18,71,72,144,29,18,14,9,9,9,71,12,18,71,72,144,29,18,14,75,9,9,71,1,18,71,72,144,29,18,14,75,9,9,71,12,15,71,72,144,29,15,14,65,9,9,0,12,24,0,3,144,29,24,6,9,9,9,0,1,24,0,3,144,29,24,6,9,9,9,71,1,15,71,72,144,29,15,14,65,9,9,0,12,24,0,3,144,29,24,6,9,9,9,0,1,24,0,3,144,29,24,6,9,9,9,3347040.0,1466012.23991
29,67,12,26,67,68,175,5,26,14,9,9,9,67,1,26,67,68,175,5,26,14,9,9,9,67,12,70,67,68,175,5,70,14,9,9,9,67,1,70,67,68,175,5,70,14,9,9,9,67,12,23,67,68,175,5,23,14,9,9,9,67,1,23,67,68,175,5,23,14,9,9,9,67,12,70,67,68,175,5,70,6,41,9,9,67,1,70,67,68,175,5,70,6,41,9,9,67,12,70,67,68,175,5,70,6,27,9,9,67,1,70,67,68,175,5,70,6,27,9,9,3422340.0,887569.52021
35,48,12,51,48,49,60,5,51,14,9,9,9,48,1,51,48,49,60,5,51,14,9,9,9,48,12,18,48,49,60,5,18,14,9,9,9,48,1,18,48,49,60,5,18,14,9,9,9,48,12,34,48,49,60,5,34,14,65,9,9,48,12,51,48,49,60,5,51,6,52,9,9,48,1,34,48,49,60,5,34,14,65,9,9,48,1,51,48,49,60,5,51,6,52,9,9,0,12,2,0,3,60,5,2,6,45,8,9,0,12,2,0,3,60,5,2,6,9,9,9,2328000.0,-745614.635962
63,11,12,34,11,13,243,5,34,14,9,9,9,11,1,34,11,13,243,5,34,14,9,9,9,11,12,34,11,13,243,5,34,14,9,9,9,11,1,34,11,13,243,5,34,14,9,9,9,11,12,51,11,13,243,5,51,6,7,9,9,0,12,2,0,3,243,5,2,14,9,9,9,0,1,2,0,3,243,5,2,14,9,9,9,11,1,51,11,13,243,5,51,6,7,9,9,11,12,18,11,13,243,5,18,6,116,9,9,11,12,10,11,13,243,5,10,6,78,9,9,4044720.0,4921255.79707
93,118,12,40,118,32,85,156,40,14,9,9,9,118,12,40,118,32,85,156,40,6,109,9,9,118,1,40,118,32,85,156,40,14,9,9,9,118,1,40,118,32,85,156,40,6,109,9,9,118,12,30,118,32,85,156,30,6,109,9,9,118,1,30,118,32,85,156,30,6,109,9,9,118,12,30,118,32,85,156,30,14,8,9,9,118,1,30,118,32,85,156,30,14,8,9,9,118,12,30,118,32,85,156,30,6,35,9,9,118,1,30,118,32,85,156,30,6,35,9,9,3744300.0,458834.974124
