Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,remainingTime,prediction
39,39,45,57,57,45,45,45,29,29,20,20,20,3180.0,3180.00244141
45,45,45,45,39,39,39,39,45,45,45,45,29,1621500.0,1621498.75
39,39,20,20,45,45,52,39,52,39,45,45,52,115200.0,115200.023438
85,85,8,8,43,43,8,8,8,8,85,85,43,36180.0,36179.9882812
39,39,39,39,29,29,20,20,20,20,206,206,29,248280.0,248279.90625
14,14,8,8,14,14,85,85,8,8,8,8,29,229260.0,229260.15625
39,39,39,39,29,29,2,2,20,20,20,2,20,167160.0,167160.015625
8,8,85,85,14,14,43,43,85,85,8,8,8,876660.0,876659.75
45,45,45,45,39,39,39,39,45,45,45,45,80,1378200.0,1378200.75
71,71,71,71,28,28,28,28,71,71,24,16,16,1456800.0,1456799.625
43,43,43,43,52,52,20,20,2,2,20,20,150,106440.0,106439.976562
85,85,85,85,43,43,43,43,52,52,20,20,2,309000.0,309000.09375
85,85,85,85,14,14,43,43,85,52,52,85,8,365940.0,365939.90625
39,39,39,39,39,39,39,39,39,39,29,29,45,853680.0,853680.25
8,8,14,14,43,43,43,43,8,8,8,8,8,170160.0,170159.921875
71,71,28,28,28,28,29,29,20,20,20,20,98,410520.0,410519.90625
32,32,14,14,43,43,8,8,8,32,32,89,89,229860.0,229859.953125
85,85,14,14,14,43,14,43,29,29,32,32,8,495180.0,495180.09375
32,32,32,32,32,32,29,29,29,29,29,29,60,542340.0,542340.1875
52,52,52,52,2,2,2,89,2,20,89,20,137,31200.0,31199.9980469
52,52,153,153,2,2,2,2,2,2,20,20,20,854460.0,854459.5
32,32,43,16,16,43,43,43,32,32,14,14,43,2323680.0,2323679.0
39,39,39,39,39,39,39,148,39,39,39,148,147,2709300.0,2709299.0
2,2,150,150,119,119,153,153,150,150,119,119,153,3993300.0,3993297.5
24,24,24,52,24,52,24,52,52,24,71,71,28,2138880.0,2138879.25
14,14,29,14,14,29,32,32,32,32,32,32,85,3173460.0,3173459.0
71,71,28,28,71,71,71,71,24,24,28,28,71,3239220.0,3239219.25
14,14,43,43,29,8,8,8,8,29,8,32,32,3294000.0,3293999.75
85,85,14,14,43,43,80,80,85,80,80,85,85,3096540.0,3096539.0
32,32,32,32,32,32,32,29,29,32,43,43,32,4435800.0,4435798.5
52,52,52,52,133,133,206,206,133,133,52,52,52,4413180.0,4413178.5
16,16,16,24,16,24,24,24,24,24,24,24,16,2496600.0,2496599.25
29,29,14,14,29,29,29,29,20,2,20,2,153,4344600.0,4344598.5
32,32,43,43,43,43,32,32,14,14,14,29,14,3859860.0,3859859.0
8,8,8,8,80,80,2,2,214,98,98,214,80,2809140.0,2809139.25
28,28,28,16,16,28,28,28,28,28,71,71,71,2410140.0,2410141.5
85,85,85,85,85,85,43,43,43,43,85,85,16,2860200.0,2860199.25
45,45,8,8,32,32,52,52,45,45,39,39,39,2991060.0,2991059.25
14,14,32,32,32,32,8,8,8,8,80,80,98,3503280.0,3503279.0
43,43,43,43,43,43,32,32,43,43,71,71,29,4515480.0,4515476.0
32,32,32,32,14,29,29,14,29,29,14,14,45,2939040.0,2939039.5
24,24,71,71,28,28,71,71,71,71,71,71,80,2957640.0,2957642.0
8,8,8,8,8,8,43,43,16,16,16,16,20,2687580.0,2687579.0
32,32,85,85,43,43,85,85,14,14,85,80,80,2386680.0,2386681.5
14,14,85,85,8,8,8,8,8,8,8,8,45,4765380.0,4765375.5
24,24,71,71,71,71,24,24,24,24,71,71,8,2052840.0,2052839.625
14,14,8,8,8,8,52,52,14,14,52,52,20,3105960.0,3105959.0
24,24,71,71,71,71,52,28,52,28,24,24,71,3089820.0,3089819.5
28,28,28,28,28,28,8,8,28,52,28,52,71,3413160.0,3413158.5
43,43,43,43,85,16,16,85,32,8,32,32,32,3981720.0,3981719.25
85,85,85,85,8,8,8,8,14,14,8,8,71,4466460.0,4466458.5
28,28,28,28,28,28,28,28,28,28,28,28,71,3062940.0,3062939.5
14,14,8,8,8,29,8,29,45,85,45,8,85,3087240.0,3087239.5
45,45,45,45,39,39,39,39,39,39,16,16,267,3715500.0,3715499.0
145,145,52,52,52,52,52,52,28,28,52,52,145,5065440.0,5065438.5
20,20,150,150,150,150,119,119,16,16,16,16,16,6200100.0,6200098.5
8,8,8,8,85,85,8,8,8,8,8,8,85,6137400.0,6137398.5
24,24,60,60,57,57,57,57,52,52,52,52,52,7083600.0,7083598.0
85,85,43,43,43,43,52,85,85,52,8,8,85,6039240.0,6039238.5
2,2,20,2,2,2,20,20,20,153,2,153,153,7498080.0,7498074.0
71,71,71,71,24,24,32,32,71,71,24,24,24,6066660.0,6066658.5
16,16,85,85,8,8,85,16,85,85,16,52,52,7285200.0,7285198.0
14,14,32,32,32,32,14,29,29,14,43,43,43,7149600.0,7149597.5
