Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
45,71,71,45,45,45,32,32,240,240,45,45,45,40,1,45,40,41,78,38,45,6,63,7,7,1758060.0,1758059.375
24,24,71,71,71,71,24,24,24,24,71,71,8,243,1,8,243,72,244,245,8,6,175,7,7,2052840.0,2052839.625
14,14,8,8,8,8,52,52,14,14,52,52,20,21,1,20,21,22,79,5,20,6,247,7,7,3105960.0,3105959.0
24,24,71,71,71,71,52,28,52,28,24,24,71,243,1,71,243,72,250,218,71,6,12,7,7,3089820.0,3089819.25
45,45,45,45,39,39,39,39,45,45,45,45,29,17,1,29,17,18,252,218,29,6,7,7,7,1621500.0,1621500.0
28,28,28,28,28,28,8,8,28,52,28,52,71,23,1,71,23,25,100,165,71,11,7,7,7,3413160.0,3413158.25
39,39,39,39,39,39,39,39,39,39,39,39,29,17,1,29,17,18,19,38,29,6,19,7,7,2231520.0,2231518.75
43,43,43,43,85,16,16,85,32,8,32,32,32,9,13,32,9,10,254,5,32,6,255,7,7,3981720.0,3981717.25
28,28,28,28,28,28,28,28,28,28,28,28,71,23,1,71,23,25,160,258,71,6,69,7,7,3062940.0,3062940.0
85,85,85,85,8,8,43,43,85,85,85,85,32,108,1,32,108,109,259,5,32,11,12,7,7,2464560.0,2464559.0
14,14,8,8,8,29,8,29,45,85,45,8,85,9,13,85,9,10,261,262,85,6,15,7,7,3087240.0,3087239.0
45,45,45,45,39,39,39,39,39,39,16,16,267,266,1,267,266,268,91,269,267,6,91,7,7,3715500.0,3715499.25
43,43,8,8,29,14,29,14,43,43,8,8,29,17,1,29,17,18,270,162,29,6,7,7,7,2570640.0,2570639.25
145,145,52,52,52,52,52,52,28,28,52,52,145,56,1,145,56,56,146,96,145,6,15,7,7,5065440.0,5065438.5
20,20,150,150,150,150,119,119,16,16,16,16,16,59,1,16,59,18,149,5,16,6,7,34,7,6200100.0,6200098.5
153,153,119,119,98,98,98,2,20,98,2,20,98,151,1,98,151,94,152,5,98,6,7,7,7,4990680.0,4990678.5
24,24,60,60,57,57,57,57,52,52,52,52,52,17,1,52,17,18,31,5,52,6,42,7,7,7083600.0,7083598.5
2,2,20,2,2,2,20,20,20,153,2,153,153,118,1,153,118,120,168,5,153,11,7,7,7,7498080.0,7498074.5
98,98,98,98,98,98,98,98,98,98,2,2,2,0,1,2,0,3,197,5,2,6,7,7,7,6026880.0,6026878.5
32,32,32,32,32,32,32,29,29,32,43,43,32,75,1,32,75,76,201,27,32,6,115,7,7,4435800.0,4435804.5
52,52,52,52,133,133,206,206,133,133,52,52,52,30,13,52,30,18,126,203,52,6,7,7,7,4413180.0,4413178.5
32,32,8,8,85,85,89,89,43,43,85,85,43,108,1,43,108,109,146,5,43,6,167,7,7,6685320.0,6685318.0
71,71,71,71,24,24,32,32,71,71,24,24,24,70,1,24,70,72,232,144,24,6,12,7,7,6066660.0,6066657.5
43,43,43,43,43,43,32,32,43,43,71,71,29,17,1,29,17,18,233,38,29,6,7,7,7,4515480.0,4515478.5
16,16,85,85,8,8,85,16,85,85,16,52,52,17,13,52,17,18,237,5,52,6,237,7,7,7285200.0,7285198.0
14,14,32,32,32,32,14,29,29,14,43,43,43,9,1,43,9,10,161,162,43,6,79,7,7,7149600.0,7149598.0
8,8,8,8,8,8,85,80,85,80,8,80,80,17,13,80,17,18,146,5,80,6,107,34,7,6565500.0,6565498.5
14,14,85,85,8,8,8,8,8,8,8,8,45,108,1,45,108,109,180,5,45,6,7,7,7,4765380.0,4765378.5
85,85,85,85,8,8,8,8,14,14,8,8,71,9,1,71,9,10,146,5,71,6,195,7,7,4466460.0,4466458.5
