Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,remainingTime,prediction
32,32,43,52,43,43,52,43,29,29,20,20,20,410700.0,463686.0
60,60,60,60,60,60,60,60,60,52,60,60,60,303720.0,265982.4
71,71,28,28,71,71,52,52,2,2,20,20,2,349200.0,323692.8
28,28,28,28,71,71,2,2,80,80,20,20,20,669060.0,643844.4
45,45,45,45,52,52,45,45,45,45,8,8,52,519900.0,520572.0
224,224,224,224,16,224,16,224,224,224,224,224,20,210480.0,320236.8
85,85,8,8,8,8,16,16,20,20,16,16,2,772080.0,482042.4
32,32,32,29,32,29,29,29,32,32,29,29,20,234000.0,486451.2
71,71,71,71,29,28,29,29,28,29,20,20,20,482760.0,623719.2
20,20,20,20,20,20,2,2,29,29,57,57,29,60.0,224742.0
32,32,32,32,43,43,43,43,43,43,43,43,32,1486200.0,1261228.8
45,45,45,45,29,29,39,39,29,29,2,2,20,510600.0,594222.0
14,14,43,43,43,43,29,29,29,29,20,20,20,183900.0,253502.4
39,39,39,39,39,52,39,39,52,39,39,39,39,1534320.0,1330462.8
89,89,89,43,89,43,32,32,29,29,14,14,85,155220.0,273154.8
45,45,45,45,45,45,45,45,45,45,29,29,20,272940.0,342817.2
45,45,45,29,45,29,45,29,29,45,45,45,98,1774860.0,1369576.8
45,45,45,52,45,45,52,45,45,45,52,45,45,1632360.0,1335794.4
45,45,45,45,45,45,45,45,45,45,45,45,45,263880.0,782169.6
28,28,71,71,71,71,28,29,28,29,20,20,29,345780.0,364902.0
28,28,28,24,24,29,28,29,20,20,20,20,20,194400.0,289568.4
39,39,39,52,52,39,39,52,98,39,52,98,98,131400.0,301462.8
224,224,80,80,60,60,60,60,60,60,60,60,60,104340.0,144334.8
14,16,14,16,8,8,16,16,20,20,20,20,153,207180.0,379044.0
45,71,71,45,45,45,32,32,240,240,45,45,45,1758060.0,1359958.8
8,8,43,80,43,43,80,43,85,85,8,8,80,14580.0,340920.0
28,28,71,71,28,28,28,28,28,28,8,8,29,1141080.0,939141.6
28,28,28,29,28,28,29,28,71,71,20,20,80,1321080.0,1214575.2
39,39,39,29,39,39,29,39,39,39,39,39,29,1274760.0,1080427.2
45,16,45,16,45,45,111,111,29,29,98,98,29,595980.0,569746.8
45,45,45,45,45,45,45,45,29,29,20,20,20,261120.0,247831.2
45,45,39,39,39,39,39,39,39,39,39,39,39,573480.0,817216.8
45,45,39,39,39,39,39,39,39,39,39,39,45,842400.0,927147.6
85,85,14,14,8,8,8,52,52,8,14,14,52,181800.0,405014.4
39,39,45,57,57,45,45,45,29,29,20,20,20,3180.0,144920.4
60,60,60,60,98,98,60,60,29,20,29,20,57,3600.0,101485.2
32,32,85,85,43,43,29,29,89,89,251,251,57,135180.0,325664.4
45,45,45,45,39,39,39,39,45,45,45,45,29,1621500.0,1286445.6
39,39,20,20,45,45,52,39,52,39,45,45,52,115200.0,398563.2
85,85,8,8,43,43,8,8,8,8,85,85,43,36180.0,94916.4
39,39,39,39,29,29,20,20,20,20,206,206,29,248280.0,218460.0
14,14,8,8,14,14,85,85,8,8,8,8,29,229260.0,406562.4
8,8,85,85,14,14,43,43,85,85,8,8,8,876660.0,987246.0
71,71,71,71,28,28,28,28,71,71,24,16,16,1456800.0,1171570.8
43,43,43,43,52,52,20,20,2,2,20,20,150,106440.0,194361.6
85,85,85,85,43,43,43,43,52,52,20,20,2,309000.0,463092.0
32,32,89,89,43,43,32,32,89,89,89,89,52,74820.0,205417.2
8,8,14,14,43,43,43,43,8,8,8,8,8,170160.0,269414.4
32,32,14,14,43,43,8,8,8,32,32,89,89,229860.0,483639.6
85,85,14,14,14,43,14,43,29,29,32,32,8,495180.0,638445.6
52,52,52,52,2,2,2,89,2,20,89,20,137,31200.0,154683.6
52,52,153,153,2,2,2,2,2,2,20,20,20,854460.0,518626.8
29,29,29,29,29,29,2,2,20,20,20,20,29,113100.0,237646.8
32,32,43,16,16,43,43,43,32,32,14,14,43,2323680.0,2659200.0
39,39,39,39,39,39,39,148,39,39,39,148,147,2709300.0,2770686.0
24,24,24,52,24,52,24,52,52,24,71,71,28,2138880.0,2479472.4
14,14,29,14,14,29,32,32,32,32,32,32,85,3173460.0,3142725.6
80,80,80,80,39,39,39,39,39,39,39,39,39,3954240.0,3594655.2
71,71,28,28,71,71,71,71,24,24,28,28,71,3239220.0,3043743.6
14,14,43,43,29,8,8,8,8,29,8,32,32,3294000.0,3341779.2
85,85,14,14,43,43,80,80,85,80,80,85,85,3096540.0,3092340.0
32,32,32,32,32,32,32,29,29,32,43,43,32,4435800.0,4009248.0
16,16,16,24,16,24,24,24,24,24,24,24,16,2496600.0,2660798.4
29,29,14,14,29,29,29,29,20,2,20,2,153,4344600.0,3855589.2
32,32,43,43,43,43,32,32,14,14,14,29,14,3859860.0,3810560.4
8,8,8,8,80,80,2,2,214,98,98,214,80,2809140.0,2932186.8
28,28,28,16,16,28,28,28,28,28,71,71,71,2410140.0,2738707.2
45,45,8,8,32,32,52,52,45,45,39,39,39,2991060.0,3071566.8
14,14,32,32,32,32,8,8,8,8,80,80,98,3503280.0,3441996.0
43,43,43,43,43,43,32,32,43,43,71,71,29,4515480.0,4028902.8
32,32,32,32,14,29,29,14,29,29,14,14,45,2939040.0,3102820.8
8,8,8,8,8,8,43,43,16,16,16,16,20,2687580.0,2802318.0
85,85,32,32,43,85,43,85,16,16,16,16,153,2315940.0,2726407.2
24,24,71,71,71,71,24,24,24,24,71,71,8,2052840.0,2717608.8
14,14,8,8,8,8,52,52,14,14,52,52,20,3105960.0,3143577.6
24,24,71,71,71,71,52,28,52,28,24,24,71,3089820.0,3104620.8
28,28,28,28,28,28,8,8,28,52,28,52,71,3413160.0,3399591.6
39,39,39,39,39,39,39,39,39,39,39,39,29,2231520.0,2762102.4
43,43,43,43,85,16,16,85,32,8,32,32,32,3981720.0,3682365.6
28,28,28,28,28,28,28,28,28,28,28,28,71,3062940.0,3199430.4
85,85,85,85,8,8,43,43,85,85,85,85,32,2464560.0,2928475.2
14,14,8,8,8,29,8,29,45,85,45,8,85,3087240.0,3100197.6
45,45,45,45,39,39,39,39,39,39,16,16,267,3715500.0,3379670.4
