"caseId","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","remainingTime"
"116","74","1","79","74","76","77","78","79","6","7","7","7","74","10","79","74","76","77","78","79","6","7","7","7","74","1","79","74","76","77","78","79","11","80","7","7","74","10","79","74","76","77","78","79","11","80","7","7","74","1","75","74","76","77","78","75","11","29","7","7","573600.0"
"117","84","1","83","84","84","61","82","83","11","9","7","7","84","1","83","84","84","61","82","83","11","52","7","7","84","10","83","84","84","61","82","83","11","9","7","7","84","10","83","84","84","61","82","83","11","52","7","7","81","1","67","81","20","61","82","67","11","61","7","7","4500.0"
"118","59","1","38","59","60","4","25","38","6","7","7","7","59","10","38","59","60","4","25","38","6","7","7","7","59","1","48","59","60","4","25","48","6","9","7","7","59","10","48","59","60","4","25","48","6","9","7","7","59","1","48","59","60","4","25","48","11","85","7","7","134940.0"
"119","53","1","13","53","55","86","87","13","6","7","7","7","53","10","13","53","55","86","87","13","6","7","7","7","53","1","13","53","55","86","87","13","6","7","7","7","53","10","13","53","55","86","87","13","6","7","7","7","53","1","13","53","55","86","87","13","6","9","7","7","640800.0"
"12","89","1","54","89","14","88","16","54","6","7","7","7","89","10","54","89","14","88","16","54","6","7","7","7","89","1","13","89","14","88","16","13","6","9","7","7","89","10","13","89","14","88","16","13","6","9","7","7","19","1","18","19","20","88","16","18","11","7","7","7","1864140.0"
"120","37","1","27","37","39","90","5","27","6","91","7","7","37","10","27","37","39","90","5","27","6","91","7","7","37","1","38","37","39","90","5","38","6","9","7","7","37","10","38","37","39","90","5","38","6","9","7","7","37","1","48","37","39","90","5","48","31","7","7","7","1499580.0"
"121","37","1","27","37","39","73","93","27","6","9","7","7","37","10","27","37","39","73","93","27","6","9","7","7","37","1","27","37","39","73","93","27","11","28","7","7","19","1","92","19","20","73","93","92","11","73","7","7","19","10","92","19","20","73","93","92","11","73","7","7","1943280.0"
"122","37","1","38","37","39","73","93","38","6","9","7","7","37","10","38","37","39","73","93","38","6","9","7","7","37","1","38","37","39","73","93","38","11","28","7","7","37","10","38","37","39","73","93","38","11","28","7","7","37","1","38","37","39","73","93","38","6","9","7","7","1966020.0"
"123","0","1","38","0","3","94","5","38","6","7","7","7","0","10","38","0","3","94","5","38","6","7","7","7","0","1","8","0","3","94","5","8","6","7","7","7","0","10","8","0","3","94","5","8","6","7","7","7","0","1","8","0","3","94","5","8","11","95","7","7","309180.0"
"124","0","1","8","0","3","73","25","8","6","9","7","7","0","10","8","0","3","73","25","8","6","9","7","7","0","1","8","0","3","73","25","8","11","52","7","7","0","10","8","0","3","73","25","8","11","52","7","7","0","1","38","0","3","73","25","38","11","7","7","7","464460.0"
"125","59","1","48","59","60","96","25","48","6","7","7","7","59","10","48","59","60","96","25","48","6","7","7","7","59","1","2","59","60","96","25","2","6","9","7","7","59","10","2","59","60","96","25","2","6","9","7","7","43","1","18","43","20","96","25","18","11","7","7","7","14640.0"
"126","0","1","38","0","3","4","30","38","6","7","7","7","0","10","38","0","3","4","30","38","6","7","7","7","0","1","2","0","3","4","30","2","6","52","7","7","0","10","2","0","3","4","30","2","6","52","7","7","0","1","8","0","3","4","30","8","6","7","7","7","496980.0"
"127","59","1","48","59","60","97","25","48","6","52","7","7","59","10","48","59","60","97","25","48","6","52","7","7","59","1","48","59","60","97","25","48","11","91","7","7","59","10","48","59","60","97","25","48","11","91","7","7","59","1","2","59","60","97","25","2","11","28","7","7","1343160.0"
"129","21","1","22","21","23","61","98","22","6","7","7","7","43","1","45","43","20","61","98","45","6","7","7","7","43","10","45","43","20","61","98","45","6","7","7","7","21","10","22","21","23","61","98","22","6","7","7","7","21","1","22","21","23","61","98","22","6","9","7","7","1103340.0"
"13","89","1","17","89","14","71","16","17","6","7","7","7","89","10","17","89","14","71","16","17","6","7","7","7","89","1","17","89","14","71","16","17","11","52","7","7","89","10","17","89","14","71","16","17","11","52","7","7","89","1","13","89","14","71","16","13","11","24","7","7","69540.0"
"133","0","1","38","0","3","99","100","38","6","7","7","7","0","10","38","0","3","99","100","38","6","7","7","7","0","1","8","0","3","99","100","8","6","9","7","7","0","10","8","0","3","99","100","8","6","9","7","7","0","1","8","0","3","99","100","8","11","101","7","7","40740.0"
"134","0","1","8","0","3","99","100","8","6","7","7","7","0","10","8","0","3","99","100","8","6","7","7","7","0","1","8","0","3","99","100","8","6","9","7","7","0","10","8","0","3","99","100","8","6","9","7","7","0","1","2","0","3","99","100","2","11","95","7","7","86400.0"
"135","37","1","27","37","39","58","30","27","6","9","7","7","37","10","27","37","39","58","30","27","6","9","7","7","37","1","38","37","39","58","30","38","6","7","7","7","37","1","70","37","39","58","30","70","6","7","7","7","37","10","70","37","39","58","30","70","6","7","7","7","696480.0"
"136","59","1","48","59","60","102","25","48","6","52","7","7","59","10","48","59","60","102","25","48","6","52","7","7","59","1","48","59","60","102","25","48","11","73","7","7","59","10","48","59","60","102","25","48","11","73","7","7","43","1","18","43","20","102","25","18","11","7","7","7","2700.0"
"137","0","1","38","0","3","46","30","38","6","7","7","7","0","10","38","0","3","46","30","38","6","7","7","7","0","1","8","0","3","46","30","8","6","9","7","7","0","10","8","0","3","46","30","8","6","9","7","7","0","1","2","0","3","46","30","2","11","101","7","7","187200.0"
"138","0","1","2","0","3","86","5","2","6","7","7","7","0","10","2","0","3","86","5","2","6","7","7","7","0","1","8","0","3","86","5","8","6","9","7","7","0","10","8","0","3","86","5","8","6","9","7","7","0","1","8","0","3","86","5","8","11","103","7","7","136680.0"
"140","37","1","38","37","39","90","5","38","6","52","7","7","37","10","38","37","39","90","5","38","6","52","7","7","37","1","2","37","39","90","5","2","11","61","7","7","37","10","2","37","39","90","5","2","11","61","7","7","43","1","67","43","20","90","5","67","11","61","52","7","856860.0"
"145","104","1","22","104","23","105","106","22","6","52","7","7","104","10","22","104","23","105","106","22","6","52","7","7","104","1","33","104","23","105","106","33","11","29","7","7","104","10","33","104","23","105","106","33","11","29","7","7","104","1","22","104","23","105","106","22","11","7","7","7","1819080.0"
"147","104","1","22","104","23","107","108","22","6","9","7","7","104","10","22","104","23","107","108","22","6","9","7","7","104","1","33","104","23","107","108","33","6","7","7","7","104","10","33","104","23","107","108","33","6","7","7","7","104","1","33","104","23","107","108","33","11","68","7","7","97380.0"
"148","112","1","111","112","113","110","108","111","11","7","7","7","112","10","111","112","113","110","108","111","11","7","7","7","115","1","114","115","116","110","108","114","11","9","7","7","115","10","114","115","116","110","108","114","11","9","7","7","109","1","45","109","20","110","108","45","11","9","7","7","53580.0"
"150","119","1","18","119","120","24","25","18","11","7","52","7","121","1","18","121","122","24","25","18","11","7","61","7","117","1","18","117","118","24","25","18","11","7","90","7","119","10","18","119","120","24","25","18","11","7","52","7","117","10","18","117","118","24","25","18","11","7","90","7","30720.0"
"153","74","1","79","74","76","123","30","79","6","7","7","7","74","10","79","74","76","123","30","79","6","7","7","7","74","1","79","74","76","123","30","79","11","91","7","7","74","10","79","74","76","123","30","79","11","91","7","7","109","1","45","109","20","123","30","45","11","7","7","7","114600.0"
"154","124","1","67","124","20","29","25","67","11","125","9","7","124","10","67","124","20","29","25","67","11","125","9","7","127","1","126","127","128","29","25","126","11","125","7","7","127","10","126","127","128","29","25","126","11","125","7","7","109","1","67","109","20","29","25","67","11","80","9","7","237600.0"
"155","104","1","33","104","129","96","25","33","6","7","7","7","104","10","33","104","129","96","25","33","6","7","7","7","21","1","33","21","23","96","25","33","11","7","7","7","21","10","33","21","23","96","25","33","11","7","7","7","21","1","33","21","23","96","25","33","11","41","7","7","562920.0"
"156","12","1","54","12","14","102","130","54","6","7","7","7","12","10","54","12","14","102","130","54","6","7","7","7","12","1","54","12","14","102","130","54","11","86","7","7","12","10","54","12","14","102","130","54","11","86","7","7","12","1","54","12","14","102","130","54","6","9","7","7","1222020.0"
"163","84","1","132","84","84","131","78","132","11","107","7","7","84","10","132","84","84","131","78","132","11","107","7","7","109","1","45","109","20","131","78","45","11","107","7","7","109","10","45","109","20","131","78","45","11","107","7","7","19","1","45","19","20","131","78","45","11","4","7","7","6325380.0"
"17","104","1","22","104","129","56","78","22","6","7","7","7","104","10","22","104","129","56","78","22","6","7","7","7","104","1","22","104","129","56","78","22","6","7","7","7","104","10","22","104","129","56","78","22","6","7","7","7","104","1","22","104","129","56","78","22","31","7","7","7","2740620.0"
"174","59","1","27","59","60","65","25","27","6","7","7","7","59","10","27","59","60","65","25","27","6","7","7","7","59","1","48","59","60","65","25","48","6","9","7","7","43","1","45","43","20","65","25","45","6","7","7","7","59","10","48","59","60","65","25","48","6","9","7","7","943500.0"
"177","138","1","137","138","139","136","5","137","11","26","7","7","138","10","137","138","139","136","5","137","11","26","7","7","133","1","134","133","135","136","5","134","6","7","7","7","133","10","134","133","135","136","5","134","6","7","7","7","133","1","134","133","135","136","5","134","11","52","7","7","7034760.0"
"178","117","1","142","117","118","141","5","142","11","143","7","7","117","10","142","117","118","141","5","142","11","143","7","7","133","1","144","133","135","141","5","144","6","7","7","7","133","10","144","133","135","141","5","144","6","7","7","7","140","1","75","140","76","141","5","75","11","7","7","7","5365440.0"
"179","140","1","75","140","76","131","5","75","11","7","7","7","140","10","75","140","76","131","5","75","11","7","7","7","109","1","57","109","20","131","5","57","11","4","7","7","109","10","57","109","20","131","5","57","11","4","7","7","84","1","83","84","84","131","5","83","11","4","7","7","3397200.0"
"18","37","1","8","37","39","145","5","8","6","52","7","7","37","10","8","37","39","145","5","8","6","52","7","7","37","1","8","37","39","145","5","8","11","146","7","7","37","10","8","37","39","145","5","8","11","146","7","7","37","1","38","37","39","145","5","38","31","7","7","7","6225060.0"
"182","43","1","18","43","20","147","25","18","11","7","7","7","43","10","18","43","20","147","25","18","11","7","7","7","148","1","79","148","149","147","25","79","11","7","7","7","148","10","79","148","149","147","25","79","11","7","7","7","109","1","18","109","20","147","25","18","11","90","9","7","1820940.0"
"185","53","1","13","53","55","150","5","13","11","52","7","7","53","10","13","53","55","150","5","13","11","52","7","7","140","1","79","140","76","150","5","79","11","7","7","7","140","10","79","140","76","150","5","79","11","7","7","7","84","1","83","84","84","150","5","83","11","90","7","7","7375200.0"
"187","138","1","152","138","139","151","5","152","11","7","7","7","138","10","152","138","139","151","5","152","11","7","7","7","117","1","134","117","118","151","5","134","6","7","7","7","117","10","134","117","118","151","5","134","6","7","7","7","117","1","144","117","118","151","5","144","6","52","7","7","4087860.0"
"188","121","1","137","121","122","153","154","137","11","155","7","7","138","1","152","138","139","153","154","152","11","7","7","7","138","10","152","138","139","153","154","152","11","7","7","7","138","1","152","138","139","153","154","152","11","7","7","7","121","10","137","121","122","153","154","137","11","155","7","7","3114180.0"
"189","43","1","57","43","20","146","156","57","11","7","9","7","43","10","57","43","20","146","156","57","11","7","9","7","43","1","57","43","20","146","156","57","11","7","9","7","43","10","57","43","20","146","156","57","11","7","9","7","43","1","57","43","20","146","156","57","11","7","9","7","212400.0"
"19","37","1","2","37","39","40","5","2","6","9","7","7","37","10","2","37","39","40","5","2","6","9","7","7","43","1","57","43","20","40","5","57","6","7","7","7","43","10","57","43","20","40","5","57","6","7","7","7","0","1","8","0","3","40","5","8","11","95","7","7","2041320.0"
"190","84","1","83","84","84","103","157","83","11","26","7","7","84","10","83","84","84","103","157","83","11","26","7","7","109","1","67","109","20","103","157","67","11","26","7","7","109","10","67","109","20","103","157","67","11","26","7","7","43","1","67","43","20","103","157","67","11","7","7","7","1381860.0"
"192","112","1","111","112","113","151","108","111","11","7","7","7","112","10","111","112","113","151","108","111","11","7","7","7","43","1","45","43","20","151","108","45","11","7","7","7","43","10","45","43","20","151","108","45","11","7","7","7","12","1","13","12","14","151","108","13","6","9","7","7","1656600.0"
"194","53","1","13","53","55","86","158","13","6","7","7","7","53","10","13","53","55","86","158","13","6","7","7","7","53","1","13","53","55","86","158","13","6","7","7","7","43","1","45","43","20","86","158","45","6","7","7","7","53","10","13","53","55","86","158","13","6","7","7","7","2277120.0"
"195","43","1","45","43","20","94","159","45","11","94","7","7","43","10","45","43","20","94","159","45","11","94","7","7","119","1","152","119","120","94","159","152","11","7","7","7","119","10","152","119","120","94","159","152","11","7","7","7","138","1","137","138","139","94","159","137","11","86","7","7","879840.0"
"196","43","1","57","43","20","86","5","57","11","7","7","7","43","10","57","43","20","86","5","57","11","7","7","7","140","1","79","140","76","86","5","79","11","7","7","7","140","10","79","140","76","86","5","79","11","7","7","7","109","1","67","109","20","86","5","67","11","61","9","7","121500.0"
"198","37","1","38","37","39","56","5","38","6","7","7","7","37","10","38","37","39","56","5","38","6","7","7","7","37","1","27","37","39","56","5","27","6","9","7","7","37","10","27","37","39","56","5","27","6","9","7","7","37","1","27","37","39","56","5","27","11","125","7","7","6093540.0"
"199","138","1","152","138","139","160","5","152","11","7","7","7","138","10","152","138","139","160","5","152","11","7","7","7","138","1","137","138","139","160","5","137","11","161","7","7","138","1","152","138","139","160","5","152","11","7","7","7","138","10","152","138","139","160","5","152","11","7","7","7","7509900.0"
"20","0","1","2","0","3","162","163","2","6","9","7","7","0","10","2","0","3","162","163","2","6","9","7","7","43","1","18","43","20","162","163","18","11","7","7","7","0","1","2","0","3","162","163","2","11","146","7","7","0","10","2","0","3","162","163","2","11","146","7","7","3230640.0"
"200","164","1","92","164","55","49","5","92","11","9","7","7","164","10","92","164","55","49","5","92","11","9","7","7","140","1","75","140","76","49","5","75","11","7","7","7","140","10","75","140","76","49","5","75","11","7","7","7","109","1","67","109","20","49","5","67","11","9","7","7","1531800.0"
"201","124","1","67","124","20","71","82","67","11","41","7","7","43","1","67","43","20","71","82","67","11","41","7","7","124","10","67","124","20","71","82","67","11","41","7","7","43","10","67","43","20","71","82","67","11","41","7","7","104","1","22","104","129","71","82","22","11","7","7","7","4028700.0"
"203","43","1","18","43","20","90","165","18","11","90","7","7","43","10","18","43","20","90","165","18","11","90","7","7","121","1","137","121","122","90","165","137","11","90","7","7","121","10","137","121","122","90","165","137","11","90","7","7","138","1","152","138","139","90","165","152","11","7","7","7","198180.0"
"205","74","1","75","74","76","80","166","75","6","7","7","7","74","10","75","74","76","80","166","75","6","7","7","7","74","1","75","74","76","80","166","75","11","7","7","7","74","10","75","74","76","80","166","75","11","7","7","7","109","1","18","109","20","80","166","18","11","52","7","7","37800.0"
"206","43","1","18","43","20","167","168","18","11","7","7","7","43","10","18","43","20","167","168","18","11","7","7","7","121","1","137","121","122","167","168","137","11","167","7","7","121","10","137","121","122","167","168","137","11","167","7","7","138","1","137","138","139","167","168","137","11","167","7","7","2127840.0"
"207","59","1","38","59","60","169","170","38","6","7","7","7","59","1","27","59","60","169","170","27","6","9","7","7","59","10","38","59","60","169","170","38","6","7","7","7","59","10","27","59","60","169","170","27","6","9","7","7","59","1","38","59","60","169","170","38","6","7","7","7","1731600.0"
"208","53","1","54","53","55","41","5","54","6","7","7","7","53","10","54","53","55","41","5","54","6","7","7","7","53","1","17","53","55","41","5","17","6","7","7","7","53","10","17","53","55","41","5","17","6","7","7","7","53","1","54","53","55","41","5","54","6","7","7","7","3319680.0"
"209","59","1","48","59","60","171","25","48","6","7","7","7","59","10","48","59","60","171","25","48","6","7","7","7","59","1","33","59","60","171","25","33","6","7","7","7","59","10","33","59","60","171","25","33","6","7","7","7","59","1","33","59","60","171","25","33","11","172","7","7","739140.0"
"21","0","1","2","0","3","136","163","2","6","7","7","7","0","10","2","0","3","136","163","2","6","7","7","7","0","1","27","0","3","136","163","27","11","173","7","7","0","10","27","0","3","136","163","27","11","173","7","7","43","1","18","43","20","136","163","18","11","7","7","7","3434400.0"
"210","59","1","27","59","60","174","16","27","11","9","7","7","59","10","27","59","60","174","16","27","11","9","7","7","59","1","48","59","60","174","16","48","6","9","7","7","59","10","48","59","60","174","16","48","6","9","7","7","59","1","48","59","60","174","16","48","11","71","7","7","1050840.0"
"211","43","1","18","43","20","175","16","18","11","7","7","7","43","10","18","43","20","175","16","18","11","7","7","7","121","1","144","121","122","175","16","144","11","80","7","7","121","10","144","121","122","175","16","144","11","80","7","7","121","1","142","121","122","175","16","142","11","176","7","7","536040.0"
"212","59","1","48","59","60","177","25","48","6","7","7","7","59","10","48","59","60","177","25","48","6","7","7","7","59","1","48","59","60","177","25","48","6","52","7","7","59","10","48","59","60","177","25","48","6","52","7","7","59","1","48","59","60","177","25","48","11","146","7","7","1143300.0"
"214","59","1","48","59","60","131","25","48","6","52","7","7","59","10","48","59","60","131","25","48","6","52","7","7","59","1","48","59","60","131","25","48","11","85","7","7","59","10","48","59","60","131","25","48","11","85","7","7","59","1","2","59","60","131","25","2","11","52","7","7","1501260.0"
"215","21","1","33","21","23","178","25","33","6","7","7","7","21","10","33","21","23","178","25","33","6","7","7","7","21","1","33","21","23","178","25","33","11","110","7","7","21","10","33","21","23","178","25","33","11","110","7","7","21","1","142","21","23","178","25","142","11","179","7","7","995820.0"
"218","180","1","185","180","182","183","170","185","11","184","7","7","180","10","185","180","182","183","170","185","11","184","7","7","180","1","181","180","182","183","170","181","11","105","7","7","180","10","181","180","182","183","170","181","11","105","7","7","180","1","181","180","182","183","170","181","11","184","7","7","486540.0"
"219","138","1","137","138","139","179","5","137","11","46","7","7","138","10","137","138","139","179","5","137","11","46","7","7","138","1","137","138","139","179","5","137","11","46","7","7","138","10","137","138","139","179","5","137","11","46","7","7","133","1","144","133","135","179","5","144","6","7","7","7","802140.0"
"22","12","1","54","12","14","90","25","54","11","91","7","7","12","10","54","12","14","90","25","54","11","91","7","7","12","1","17","12","14","90","25","17","6","52","7","7","12","10","17","12","14","90","25","17","6","52","7","7","12","1","17","12","14","90","25","17","11","61","7","7","494100.0"
"223","21","1","33","21","23","179","25","33","6","9","7","7","43","1","45","43","20","179","25","45","6","7","7","7","21","10","33","21","23","179","25","33","6","9","7","7","21","1","33","21","23","179","25","33","6","7","7","7","21","10","33","21","23","179","25","33","6","7","7","7","2105460.0"
"224","43","1","57","43","20","86","165","57","6","7","7","7","43","10","57","43","20","86","165","57","6","7","7","7","43","1","57","43","20","86","165","57","6","7","7","7","43","10","57","43","20","86","165","57","6","7","7","7","43","1","57","43","20","86","165","57","6","7","7","7","1800.0"
"225","140","1","75","140","76","187","5","75","11","7","7","7","140","10","75","140","76","187","5","75","11","7","7","7","121","1","75","121","122","187","5","75","11","188","7","7","121","10","75","121","122","187","5","75","11","188","7","7","186","1","75","186","135","187","5","75","11","7","7","7","7024980.0"
"228","21","1","33","21","23","4","25","33","11","4","7","7","21","10","33","21","23","4","25","33","11","4","7","7","21","1","33","21","23","4","25","33","6","7","7","7","21","10","33","21","23","4","25","33","6","7","7","7","21","1","33","21","23","4","25","33","11","85","7","7","480600.0"
"229","21","1","33","21","23","34","25","33","6","7","7","7","19","1","45","19","20","34","25","45","6","7","7","7","19","10","45","19","20","34","25","45","6","7","7","7","21","10","33","21","23","34","25","33","6","7","7","7","21","1","27","21","23","34","25","27","11","71","7","7","609840.0"
"23","189","1","38","189","39","41","93","38","6","7","7","7","189","10","38","189","39","41","93","38","6","7","7","7","189","1","2","189","39","41","93","2","11","41","7","7","189","10","2","189","39","41","93","2","11","41","7","7","37","1","27","37","39","41","93","27","6","7","7","7","3149820.0"
"230","59","1","48","59","60","190","16","48","31","7","7","7","59","1","48","59","60","190","16","48","6","7","7","7","59","10","48","59","60","190","16","48","31","7","7","7","59","10","48","59","60","190","16","48","6","7","7","7","59","1","48","59","60","190","16","48","6","9","7","7","4514160.0"
"231","138","1","137","138","139","71","5","137","11","42","7","7","138","10","137","138","139","71","5","137","11","42","7","7","133","1","144","133","135","71","5","144","6","9","7","7","133","10","144","133","135","71","5","144","6","9","7","7","133","1","144","133","135","71","5","144","11","52","7","7","668580.0"
"232","43","1","67","43","20","90","5","67","11","91","9","7","37","1","38","37","39","90","5","38","11","61","7","7","43","10","67","43","20","90","5","67","11","91","9","7","121","1","75","121","122","90","5","75","11","91","7","7","37","10","38","37","39","90","5","38","11","61","7","7","1309800.0"
"233","191","1","54","191","14","34","25","54","11","7","7","7","191","1","17","191","14","34","25","17","6","52","7","7","191","10","54","191","14","34","25","54","11","7","7","7","191","10","17","191","14","34","25","17","6","52","7","7","191","1","17","191","14","34","25","17","11","26","7","7","989280.0"
"234","19","1","45","19","20","107","194","45","11","7","7","7","19","10","45","19","20","107","194","45","11","7","7","7","19","1","45","19","20","107","194","45","11","195","9","7","19","10","45","19","20","107","194","45","11","195","9","7","192","1","114","192","193","107","194","114","11","7","7","7","4835160.0"
"235","43","1","57","43","20","41","196","57","6","7","7","7","43","10","57","43","20","41","196","57","6","7","7","7","43","1","57","43","20","41","196","57","6","7","7","7","53","1","13","53","55","41","196","13","6","7","7","7","43","10","57","43","20","41","196","57","6","7","7","7","3178200.0"
"236","74","1","79","74","76","71","16","79","6","7","7","7","74","10","79","74","76","71","16","79","6","7","7","7","74","1","79","74","76","71","16","79","11","7","7","7","74","10","79","74","76","71","16","79","11","7","7","7","43","1","18","43","20","71","16","18","11","7","7","7","238200.0"
"237","43","1","18","43","20","197","198","18","11","200","7","7","43","10","18","43","20","197","198","18","11","200","7","7","0","1","2","0","3","197","198","2","11","143","7","7","0","10","2","0","3","197","198","2","11","143","7","7","43","1","18","43","20","197","198","18","11","199","7","7","5493000.0"
