"caseId","Event_1","Event_2","Event_3","Event_4","Event_5","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"Case269","33","33","33","45","33","21","1","33","21","23","73","25","33","6","9","7","7","1717140.0"
"Case27","33","33","33","33","33","21","1","33","21","23","73","25","33","6","7","7","7","517860.0"
"Case271","8","8","8","8","8","37","1","8","37","39","131","5","8","11","68","7","7","6660000.0"
"Case272","17","17","54","54","54","12","1","54","12","14","71","16","54","11","103","7","7","1421820.0"
"Case273","17","17","17","13","13","12","10","13","12","14","73","16","13","11","146","7","7","1907520.0"
"Case274","22","22","22","45","45","43","10","45","43","20","61","16","45","11","7","7","7","145200.0"
"Case277","208","208","67","67","79","138","1","79","138","139","61","5","79","11","61","7","7","336540.0"
"Case28","48","48","48","48","2","59","1","2","59","60","141","25","2","6","52","7","7","3519420.0"
"Case29","13","13","54","54","17","53","1","17","53","55","173","5","17","6","7","7","7","3546420.0"
"Case3","2","57","2","57","8","0","1","8","0","3","4","5","8","11","146","7","7","1572660.0"
"Case30","27","57","57","27","70","37","1","70","37","39","49","5","70","11","7","7","7","94980.0"
"Case31","8","8","8","8","8","0","1","8","0","3","179","5","8","11","61","7","7","3198300.0"
"Case32","48","48","38","38","27","37","1","27","37","39","147","30","27","6","7","7","7","2523720.0"
"Case33","48","48","18","48","18","43","10","18","43","20","179","25","18","11","7","7","7","1974180.0"
"Case34","13","13","17","17","17","53","1","17","53","55","71","30","17","11","223","7","7","2005560.0"
"Case35","38","38","48","48","27","37","1","27","37","39","46","5","27","6","52","7","7","2428140.0"
"Case36","27","27","38","38","8","0","1","8","0","3","71","5","8","6","7","7","7","1506600.0"
"Case37","33","54","54","33","33","21","1","33","21","23","161","25","33","6","9","7","7","1937580.0"
"Case38","2","2","38","38","8","0","1","8","0","3","172","5","8","6","7","7","7","4806300.0"
"Case39","54","54","54","45","45","43","10","45","43","20","4","16","45","11","7","7","7","453240.0"
"Case4","8","8","27","67","27","37","10","27","37","39","46","5","27","6","9","7","7","75660.0"
"Case40","17","17","54","54","17","89","1","17","89","14","161","16","17","6","9","7","7","1194000.0"
"Case41","17","17","17","18","17","12","10","17","12","14","71","16","17","6","7","7","7","1648680.0"
"Case42","48","48","48","48","18","43","1","18","43","20","56","16","18","11","7","7","7","495960.0"
"Case43","22","22","33","18","33","21","10","33","21","23","125","25","33","6","9","7","7","386040.0"
"Case44","13","13","54","54","54","224","1","54","224","55","225","226","54","11","73","7","7","2151900.0"
"Case45","48","48","27","27","27","59","1","27","59","60","46","16","27","11","41","7","7","632820.0"
"Case46","38","38","27","27","38","59","1","38","59","60","4","25","38","6","7","7","7","201540.0"
"Case47","22","22","22","18","22","21","10","22","21","23","4","25","22","31","7","7","7","1419480.0"
"Case48","2","2","8","8","8","0","1","8","0","3","179","5","8","11","184","7","7","3159960.0"
"Case49","33","57","33","57","33","21","1","33","21","23","26","25","33","11","223","7","7","1209660.0"
"Case50","33","33","33","33","33","59","1","33","59","60","85","25","33","6","7","7","7","1258560.0"
"Case52","33","33","22","22","22","21","1","22","21","23","227","25","22","31","7","7","7","638460.0"
"Case53","33","33","22","22","22","21","1","22","21","23","4","228","22","31","7","7","7","890820.0"
"Case54","38","38","2","2","8","0","1","8","0","3","34","25","8","6","7","7","7","266280.0"
"Case55","13","13","54","54","54","224","1","54","224","55","229","203","54","11","28","7","7","3297180.0"
"Case56","22","22","33","83","83","84","10","83","84","84","34","16","83","11","34","7","7","40740.0"
"Case58","79","79","79","79","75","74","1","75","74","76","68","36","75","11","4","7","7","896280.0"
"Case59","48","48","38","38","27","59","1","27","59","60","4","25","27","11","9","7","7","407520.0"
"Case6","33","33","33","33","22","21","1","22","21","23","230","203","22","6","7","7","7","1686900.0"
"Case60","22","22","137","137","33","104","1","33","104","23","46","231","33","6","7","7","7","400020.0"
"Case61","17","17","17","17","17","12","1","17","12","14","86","158","17","11","61","7","7","3619380.0"
"Case62","22","22","22","22","22","21","1","22","21","23","85","25","22","6","9","7","7","2434860.0"
"Case63","27","27","27","27","38","0","1","38","0","3","232","5","38","11","85","7","7","4140420.0"
"Case64","38","38","8","8","27","37","1","27","37","39","233","5","27","11","179","7","7","255600.0"
"Case65","17","17","18","18","54","12","1","54","12","14","58","203","54","11","71","7","7","90120.0"
"Case66","22","22","22","22","18","19","1","18","19","20","4","106","18","11","4","7","7","1791240.0"
"Case67","38","38","38","38","8","37","1","8","37","39","131","5","8","11","96","7","7","4634340.0"
"Case68","235","235","238","238","45","109","1","45","109","20","223","16","45","11","7","7","7","112860.0"
"Case69","33","33","83","83","18","109","1","18","109","20","90","25","18","11","90","7","7","4500.0"
"Case7","2","2","8","8","2","0","1","2","0","3","146","203","2","6","9","7","7","320820.0"
"Case70","17","17","17","17","17","12","1","17","12","14","40","241","17","6","9","7","7","3191760.0"
"Case71","54","54","54","54","83","84","1","83","84","84","44","16","83","11","73","7","7","57960.0"
"Case72","22","22","22","22","18","43","1","18","43","20","73","16","18","11","73","7","7","620100.0"
"Case73","8","8","38","38","2","0","1","2","0","3","49","198","2","6","7","7","7","927720.0"
"Case74","83","83","45","45","45","109","1","45","109","20","61","25","45","11","61","7","7","4500.0"
"Case75","33","33","33","33","22","21","1","22","21","23","4","25","22","11","4","7","7","1620420.0"
"Case76","79","79","83","83","67","109","1","67","109","20","91","25","67","11","91","7","7","3660.0"
"Case77","54","54","54","54","17","12","1","17","12","14","86","165","17","6","7","7","7","1787640.0"
"Case78","38","38","38","38","8","37","1","8","37","39","242","5","8","11","206","7","7","2547420.0"
"Case79","45","45","144","144","152","138","1","152","138","139","243","203","152","11","7","7","7","349200.0"
"Case80","27","27","27","27","45","43","1","45","43","20","24","5","45","11","150","9","7","2025600.0"
"Case81","18","18","18","18","18","43","1","18","43","20","188","203","18","11","7","7","7","33600.0"
"Case82","38","38","38","38","27","37","1","27","37","39","40","5","27","6","9","7","7","1580460.0"
"Case83","38","38","38","38","2","37","1","2","37","39","175","30","2","6","9","7","7","405360.0"
"Case84","22","22","22","22","22","21","1","22","21","23","46","108","22","11","7","7","7","1044600.0"
"Case85","48","48","48","48","27","59","1","27","59","60","80","25","27","11","91","7","7","40320.0"
"Case86","48","48","70","70","27","59","1","27","59","60","229","25","27","11","91","7","7","160020.0"
"Case87","2","2","8","8","8","0","1","8","0","3","244","245","8","11","41","7","7","3155220.0"
"Case89","8","8","2","2","27","37","1","27","37","39","151","246","27","6","4","7","7","317280.0"
"Case9","54","54","17","17","17","89","1","17","89","14","71","16","17","11","42","7","7","1841100.0"
"Case90","48","48","2","2","27","59","1","27","59","60","151","246","27","11","49","7","7","435000.0"
"Case91","38","38","2","2","2","37","1","2","37","39","153","247","2","11","7","7","7","530340.0"
"Case92","48","48","48","48","48","59","1","48","59","60","91","25","48","11","61","7","7","1905540.0"
"Case93","33","33","33","33","22","104","1","22","104","23","73","156","22","11","223","7","7","3764100.0"
"Case95","27","27","8","8","18","43","1","18","43","20","248","154","18","11","7","7","7","2653560.0"
"Case96","45","45","45","45","152","138","1","152","138","139","151","25","152","11","7","7","7","117600.0"
"Case97","45","45","142","142","152","121","1","152","121","122","56","25","152","11","249","7","7","923880.0"
"Case98","45","45","70","70","152","121","1","152","121","122","251","25","152","11","252","7","7","7500.0"
"Case99","18","18","18","18","18","43","1","18","43","20","254","130","18","11","253","7","7","391680.0"
