,id,elapsed_time,total_time,remaining_time,XG_2000,RF_50,LM_pred,Lasso
3077,142,2489160,7299960,4810800,4854390.5,4806840.0,4631418.01245,4990373.66036
7585,131,5790300,6825900,1035600,1071079.5,1023397.2,1260876.73291,1081420.59827
2324,63,737280,6232860,5495580,5497234.0,5492547.6,0.0,5376354.39789
3066,141,2591760,7406100,4814340,4834664.0,4821364.8,5176381.11005,5071284.61852
696,84,511380,3714840,3203460,3276687.5,3121873.2,3166865.44177,3582800.27459
6852,187,1814940,2496960,682020,627375.625,616180.8,606338.458557,41638.438798
4234,213,247140,3206820,2959680,2913685.5,2940571.2,3633580.99445,3640775.69407
9021,37,715500,736020,20520,59733.234375,74271.6,0.0,366827.027311
3636,71,2502720,3996240,1493520,1546277.875,1496460.0,1991268.7876,1464750.59906
5848,123,3544020,3545820,1800,90533.0234375,458247.6,0.0,297201.654039
6882,5,465900,748200,282300,315834.25,271633.2,279930.837952,453770.459269
8667,30,604800,604800,0,0.0,9692.4,0.0,-336027.202978
8875,224,586860,648060,61200,0.0,51978.0,0.0,-5980.94132957
8355,14,1099320,1327560,228240,440198.90625,210828.0,0.0,175766.030299
2105,77,827040,3257040,2430000,2396013.5,2381854.8,2822346.94763,2590907.87047
922,131,35340,6825900,6790560,6650967.5,6671010.0,5063068.3797,4264688.82248
3264,107,582180,4991760,4409580,4386305.5,4352374.8,4501664.95923,4237932.48285
8554,196,3020100,3281700,261600,262357.84375,259182.0,0.0,116916.806225
3921,60,3429600,7401300,3971700,2763657.0,3405658.8,4361748.60266,4009214.60629
8391,37,348120,736020,387900,396543.0625,373968.0,2333457.8092,2928934.50239
588,106,506220,1023180,516960,510001.625,522666.0,3313452518.47,465663.160931
213,146,156420,6670800,6514380,6522085.0,6520906.8,5778487.8277,5242848.90808
1998,63,527820,6232860,5705040,5782614.0,5708343.6,5874801.71289,5857300.91115
5808,4,118140,1326000,1207860,1239438.375,1169062.8,763514.75238,659012.953715
2189,166,24600,1666080,1641480,1439359.0,1607836.8,1500179.89398,1115352.55036
5075,62,3592860,3674460,81600,121808.3125,255217.2,0.0,699593.120181
3232,192,287700,4648740,4361040,4439643.5,4360272.0,4565598.36139,3953158.16098
5735,4,84720,1326000,1241280,1445294.375,1271665.2,266135.892395,386378.641478
3703,203,807900,1897500,1089600,1098021.375,1092525.6,19296725501.4,1320816.68347
5459,24,17940,1547520,1529580,1419223.75,1357086.0,2677318.34338,2170862.91813
2956,135,2083860,5649480,3565620,3112414.5,3069819.6,4504180.48462,3567105.54813
8491,65,7226040,7544400,318360,213073.3125,279456.0,408522.187988,216100.051078
6277,63,4104360,6232860,2128500,2143150.75,2130250.8,224903364.846,2184802.91544
6104,155,2226300,3225180,998880,983870.875,987109.2,296521.347046,645450.461706
5899,196,721320,3281700,2560380,2532900.0,2555947.2,5932316495.57,2260403.23051
5939,220,194100,2714040,2519940,2406697.75,2242392.0,2354713.59857,1783274.24475
2839,203,90780,1897500,1806720,1907100.75,1553968.8,1168415.91479,1439077.47973
2517,142,2094360,7299960,5205600,5193175.5,5125334.4,0.0,4906041.67701
2485,143,366300,1898460,1532160,1494897.0,1503529.2,1289096.5423,1098784.04171
5574,10,40800,979740,938940,1521637.375,1224152.4,1227445.61169,1390461.99891
6596,131,4905060,6825900,1920840,1918745.875,1941338.4,0.0,2102798.28845
2455,101,599220,655020,55800,307763.9375,210831.6,0.0,-527081.383658
6955,204,1002960,2567700,1564740,1562553.0,1578277.2,1231602.05493,1564522.74911
8578,64,6729900,6845160,115260,160785.390625,144202.8,638834.580383,57377.9386217
6346,63,4157520,6232860,2075340,2083799.875,2071144.8,64097929.9284,2225798.98086
891,144,174840,1807260,1632420,1617054.125,1601116.8,1668872.17847,1781228.6495
8892,13,2436420,2525940,89520,66553.578125,99788.4,30438356424.6,130460.942089
3772,147,1479360,1479360,0,46708.28125,94176.0,395848.361084,145880.549486
7968,2,2555580,2555640,60,135979.59375,156807.6,24126.6790161,-157583.046442
2166,112,908100,1303440,395340,394518.9375,549997.2,643182.392517,484477.438182
3706,203,808200,1897500,1089300,1090835.125,1090694.4,18648700821.3,1320688.21042
3254,130,1782480,3083940,1301460,1331071.25,1293018.0,939774.136597,1258288.56789
8377,14,1115040,1327560,212520,253813.859375,224926.8,0.0,358992.174111
3775,188,192360,4327560,4135200,4012613.0,3723130.8,3105177.70923,2587455.78078
2131,77,859440,3257040,2397600,2362415.25,2412364.8,2112717.38849,2392343.77527
6094,63,3954060,6232860,2278800,2265981.5,2333575.2,2365731.14191,2596596.46135
4731,187,62040,2496960,2434920,2081629.0,1896858.0,725140.260559,903103.595211
3707,182,26700,915060,888360,968092.75,1074380.4,141924.782288,448237.662841
8940,219,3742560,3797940,55380,60014.9375,59362.8,340883.057922,298145.183637
4119,218,109020,1974480,1865460,1611937.5,1342267.2,1521671.61786,1000173.1686
8853,13,2421420,2525940,104520,113647.757812,148934.4,0.0,35841.6072364
5809,4,118200,1326000,1207800,1308608.0,1163320.8,790487.166809,663177.953775
5388,214,234840,341760,106920,87760.53125,177967.2,715162.875,395711.66131
5986,204,44700,2567700,2523000,2285140.25,2378542.8,3093490.12567,2630062.24449
7415,8,0,615060,615060,614985.875,634282.8,383066.228943,575237.576185
942,83,258120,1818000,1559880,1742983.875,1505937.6,2538763.10803,2311482.10503
1374,103,1002120,4719960,3717840,3717801.25,3743241.6,3412289.11792,3578006.66895
1238,131,450480,6825900,6375420,6371374.0,6371140.8,5411302.38208,4984315.16692
7031,157,1684200,1993260,309060,289983.09375,302102.4,0.0,149863.774414
7855,13,1671840,2525940,854100,823274.5625,854928.0,274711.620667,733952.434664
4212,119,2310780,2742780,432000,464224.0625,355822.8,354158.124695,666645.083993
6998,222,268800,1113000,844200,763999.8125,652423.2,0.0,-448115.117
281,51,222000,280800,58800,24893.5019531,349171.2,0.0,-345152.323453
3357,130,1855380,3083940,1228560,1226865.25,1228957.2,1330733.3172,1243647.50296
295,65,214200,7544400,7330200,6319242.5,6785653.2,8120596.94556,7188588.92641
3283,148,1653900,1938900,285000,302899.09375,295453.2,524497.429199,457539.457268
1102,61,1152480,6225300,5072820,5695426.5,5174870.4,4695208.94989,5201105.29389
1192,87,1090800,1090800,0,0.0,110132.4,0.0,-600134.357915
1008,66,926460,4817700,3891240,3900307.0,3644898.0,3925511.06866,3921959.55952
2866,158,277800,2044680,1766880,1783743.0,1770788.4,1023793.35248,1963115.75089
2751,130,1294200,3083940,1789740,1756828.75,1775296.8,790675.598572,1597354.81505
3941,155,519000,3225180,2706180,2584538.0,2132427.6,2010344.10748,1980060.29782
2188,12,850020,850020,0,11092.21875,6837.6,194328.874023,428732.425595
7606,188,3386820,4327560,940740,989641.375,960895.2,389513.741577,863842.650352
1139,104,266460,935100,668640,2129815.25,1567642.8,6659466.96436,4782160.99545
1524,132,157380,1658640,1501260,1590452.5,1337032.8,2398216.36902,2333560.21852
8776,64,6833100,6845160,12060,39867.9648438,28347.6,134693.187073,-189654.392179
550,120,572400,576000,3600,0.0,186879.6,2610128.72827,1968099.52598
5748,213,1405140,3206820,1801680,1793936.125,1818588.0,0.0,1690722.45304
829,83,177300,1818000,1640700,1640981.375,1683892.8,2351489.51306,2491640.67667
3919,166,1614600,1666080,51480,34989.9140625,215461.2,1330079.32489,372658.17401
5371,214,204420,341760,137340,177925.375,167132.4,16554794660.7,1618261.0094
2483,70,1690920,3064200,1373280,1416059.375,1738735.2,1107610.34546,1086970.56146
5169,98,4208580,7319880,3111300,3209770.5,2984108.4,3302341.08582,2950948.47922
4940,2,68340,2555640,2487300,2412584.0,2182550.4,1497904.82733,1417879.5427
4945,103,4020060,4719960,699900,640750.375,638755.2,555116.39917,851993.227703
6233,220,581580,2714040,2132460,2293348.75,1917924.0,0.0,2012837.7924
2472,143,360120,1898460,1538340,1497608.875,1385262.0,1020106.87115,699843.143273
8043,211,34560,87180,52620,0.0,218538.0,590788.583496,421236.039487
5162,217,108180,557700,449520,488676.0625,673159.2,1735705.97516,1237144.08678
5189,20,3600,39660,36060,38026.2578125,197438.4,905823.053345,1115437.15516
3979,114,1062600,1201080,138480,149753.953125,159346.8,667044.740417,354549.968659
6820,5,431580,748200,316620,329127.65625,325462.8,0.0,-327188.610178
5736,4,84720,1326000,1241280,1472059.375,1270285.2,837666.035339,642466.454491
6770,13,722280,2525940,1803660,1802180.375,1776625.2,1881298.88812,1784922.03775
6564,61,5686200,6225300,539100,619348.8125,745039.2,0.0,813707.930564
6943,31,686520,1374660,688140,689475.3125,693272.4,888889.958374,741358.764496
4847,2,20880,2555640,2534760,1938808.125,1733496.0,1462887.83429,700652.689732
5839,213,1459260,3206820,1747560,1751488.125,1802581.2,2093954.52399,1789870.7006
4207,135,3182400,5649480,2467080,2460702.0,2465830.8,2192841.2359,2339480.00358
6704,204,698760,2567700,1868940,1862736.25,1863769.2,2163588.4054,1944754.41565
790,75,95280,6135000,6039720,6056393.0,5883105.6,4870868.17957,4290069.01836
1212,77,83580,3257040,3173460,2293485.5,3220512.0,2137832.5047,1666415.11457
6693,204,689100,2567700,1878600,1873570.125,1877221.2,1945213.03571,2025827.31654
6516,110,5567400,5579400,12000,16744.9257812,553698.0,0.0,235412.481777
1976,133,557340,6181200,5623860,5621202.0,5505199.2,5894879.48688,5280484.21464
8739,162,4831620,4836120,4500,20112.1445312,107853.6,476625.127014,-316254.896796
5826,220,147660,2714040,2566380,2605230.75,2412858.0,3169504.25568,2979626.41651
2375,156,252600,2639280,2386680,2652105.75,2565597.6,3182132.81927,3283241.67906
5378,71,3945600,3996240,50640,91107.234375,119781.6,2652289941.71,452511.580772
3813,119,2052480,2742780,690300,683142.1875,647512.8,1413030.71979,1349116.08826
8916,219,3731400,3797940,66540,43888.75,69858.0,91255.7024536,178828.345604
6533,32,102240,1205580,1103340,1066309.25,911196.0,878423.720276,919204.239271
5663,193,74340,187200,112860,1007837.8125,860084.4,0.0,-78054.7854073
1470,138,1379340,1785600,406260,379142.59375,491037.6,616162.172119,591132.886121
368,124,257400,754200,496800,478553.40625,362401.2,2676015410.23,166423.460302
6238,63,4076400,6232860,2156460,2216726.5,2156449.2,2894405359.39,2309602.09491
4612,142,3876600,7299960,3423360,3381517.75,3407812.8,2826121.19568,3415514.84058
3685,203,794160,1897500,1103340,1175600.25,1103413.2,1577751.84155,1324401.22684
6926,167,38100,534900,496800,694212.0,533546.4,0.0,903418.483578
8908,37,651840,736020,84180,46972.0625,76321.2,0.0,327454.265895
1357,138,1309620,1785600,475980,475185.96875,459652.8,914997.061584,760779.453645
8146,13,1843020,2525940,682920,682072.6875,681544.8,167298.998901,780694.721931
8936,29,51180,57540,6360,0.0,153514.8,0.0,18184.5219114
7222,205,116100,460800,344700,444979.84375,445154.4,0.0,348269.629161
146,76,86400,7552500,7466100,7453603.5,7468671.6,8053928.19983,7472194.41926
8499,159,2421180,2480580,59400,31991.4179688,67164.0,0.0,-1155456.31769
486,141,372000,7406100,7034100,7020411.5,7033860.0,6668074.56183,6267339.40629
5959,56,4492800,6361440,1868640,1872796.0,1754666.4,2619288.11963,2164229.49059
1190,127,599940,599940,0,1587.53894043,25526.4,0.0,-182958.395246
1041,88,422340,555360,133020,84740.359375,333523.2,845566.898682,1620646.12831
3165,98,2701380,7319880,4618500,4621566.0,4621375.2,4982703.31622,4774730.3459
198,138,180000,1785600,1605600,1531489.875,1650807.6,2825548.95013,2714177.87818
1218,122,347820,861720,513900,739626.9375,702387.6,325940.307495,740997.815813
1881,98,1555740,7319880,5764140,5788195.0,5681487.6,5976093.12628,5915456.92697
2202,101,274740,655020,380280,435316.25,546033.6,0.0,64762.7468812
4663,215,1729320,1851720,122400,203572.953125,196347.6,0.0,-550075.007006
1820,111,1781880,3974400,2192520,2218663.25,2194347.6,2823403.25427,2148777.03471
6826,18,518700,1779540,1260840,1210417.75,1237573.2,1648328.18109,1312687.1755
7141,205,77760,460800,383040,576579.5625,511988.4,0.0,108237.298698
8173,197,621960,626580,4620,139629.765625,69048.0,780783.064758,1079014.05585
4083,131,2935500,6825900,3890400,3896131.0,3881640.0,3425895.38922,3527206.01732
5412,177,1488720,1713060,224340,323161.40625,231038.4,435171.313232,809446.510679
8227,37,118800,736020,617220,613427.5625,613801.2,1545758.47601,1503658.56956
6343,63,4156140,6232860,2076720,2077602.0,2077792.8,126900758.754,2150536.12441
5241,103,4186020,4719960,533940,547199.0625,552952.8,14034960293.6,563318.362375
4934,156,2416920,2639280,222360,232371.21875,225322.8,519266.656677,351528.410243
9055,76,7548780,7552500,3720,4072.92236328,3165.6,33143779550.0,151033.622753
203,149,177540,223140,45600,48669.296875,55388.4,0.0,212728.81702
6414,54,1277460,1314000,36540,18661.2109375,81338.4,0.0,-420657.539986
3238,184,5760,1800900,1795140,1725808.5,1675104.0,1004166.4209,1199005.49889
8492,133,5978040,6181200,203160,239703.375,237880.8,78653.3797607,2155.54208656
6949,89,1731840,1736340,4500,66035.09375,79432.8,204647.16925,419621.610911
2789,173,55680,3215700,3160020,3155059.5,3142765.2,2982342.49835,3101913.18703
7439,75,5704320,6135000,430680,362480.28125,276892.8,699518.339844,409389.761346
6161,155,2279160,3225180,946020,884325.6875,986088.0,1056803.7356,302314.733785
1646,12,338640,850020,511380,524869.0625,569370.0,658612.032532,1384674.02025
309,65,225600,7544400,7318800,6237593.5,6649126.8,7978997.35248,7285315.85532
521,150,555180,626340,71160,86092.6015625,200330.4,0.0,-735874.028239
1392,110,1267320,5579400,4312080,4456904.0,4275998.4,2571631.36279,3223510.24781
1253,131,459180,6825900,6366720,6229518.5,6222036.0,6243539.05231,5187823.54417
7962,7,26160,40380,14220,643262.9375,427905.6,691317.75238,638910.289784
7187,188,2990220,4327560,1337340,1342805.5,1338450.0,1495060.42792,1412306.94298
3418,166,1143000,1666080,523080,471024.84375,552654.0,7297.27026367,317565.964547
451,150,527400,626340,98940,206152.734375,228004.8,0.0,205312.756306
8950,29,54900,57540,2640,0.0,30042.0,0.0,-105545.941794
2770,165,73440,1262880,1189440,1133638.875,1124108.4,2190949323.39,1122142.34119
5908,4,170400,1326000,1155600,1133834.125,1155334.8,1368719.99994,1010810.87166
2639,107,2940,4991760,4988820,4263509.0,4368288.0,4109633.00311,5008429.23585
367,76,284400,7552500,7268100,7252674.5,7263856.8,9342820.84308,7751618.15387
3820,151,899220,3643800,2744580,2834912.75,2750067.6,2895035.04053,2596262.67159
4351,131,3107760,6825900,3718140,3756795.0,3721995.6,3584366.82013,3766887.10925
5731,134,3624600,3656580,31980,32729.2949219,341346.0,95538.9333496,95403.8587828
5644,76,4842900,7552500,2709600,2705581.5,2583729.6,3735240.76385,3069434.70092
8014,26,1481880,2036760,554880,654574.3125,546274.8,523756.116516,572773.950217
3503,188,3480,4327560,4324080,2721268.75,2822120.4,2432043.24353,1980803.30322
396,141,193140,7406100,7212960,7191987.0,7057168.8,5679810.50806,5578077.89349
1585,63,99060,6232860,6133800,5826919.5,5847289.2,3865462.50891,4055156.152
8736,40,148620,163800,15180,0.0,16600.8,518393.655212,966756.28083
8129,196,2600700,3281700,681000,703661.1875,684223.2,0.0,145958.250011
8559,220,2478060,2714040,235980,232341.625,232045.2,992639.675171,316395.164852
983,75,259560,6135000,5875440,5764138.0,6004705.2,5248427.3363,4525135.96446
498,60,370140,7401300,7031160,6845168.5,6370498.8,3111752.58612,4274034.17463
6935,195,72300,393120,320820,442744.4375,383221.2,1197969.09259,654957.901437
2246,156,156720,2639280,2482560,2827194.25,2672108.4,3071577.75873,3168586.29808
3139,142,2667540,7299960,4632420,4653831.0,4658114.4,4262487.10474,4700901.06242
4456,168,59820,438000,378180,319735.21875,690528.0,1464615.24402,1111434.88818
2273,75,1458060,6135000,4676940,3715488.5,3858546.0,3216229.96094,3445837.48772
4711,156,2289120,2639280,350160,349234.15625,349856.4,0.0,260753.005828
1762,1,432720,1447140,1014420,1004241.375,972319.2,1289581.76788,1715130.33067
3371,203,596160,1897500,1301340,1327712.125,1329657.6,812732.230469,1256919.47379
7360,167,272100,534900,262800,211611.421875,250429.2,0.0,22725.0133506
9009,63,6206940,6232860,25920,33247.1328125,79062.0,125145573.568,76439.2370692
1544,133,119100,6181200,6062100,6066392.0,5996498.4,4398349.57477,4279393.8149
6646,10,898920,979740,80820,280517.5625,203306.4,395046.303528,-277518.20532
2674,133,1165500,6181200,5015700,5009113.0,5018240.4,6462195.96564,4932780.92057
940,83,255600,1818000,1562400,1497544.25,1515852.0,2228882.33295,2234547.72774
7644,186,2694000,3636240,942240,895184.125,751425.6,3705266592.04,288076.954007
8935,57,2756640,2756640,0,0.0,108812.4,0.0,250591.658346
1825,98,1503360,7319880,5816520,5812930.0,5812725.6,5621781.19025,5596762.48889
3815,116,324900,786600,461700,363500.15625,461482.8,300146.85968,792853.588659
3201,156,1062600,2639280,1576680,1577002.375,1600248.0,1459933.6062,1472317.97716
5430,49,3988800,3991980,3180,0.0,40356.0,0.0,284734.353453
4628,191,2460,1811280,1808820,1817456.875,1670876.4,2568405.88995,1234857.10701
7663,183,38040,445560,407520,532748.4375,559654.8,0.0,-477646.609862
5958,63,3701340,6232860,2531520,2528137.75,2528624.4,7697116.59869,2644961.49992
6072,13,96960,2525940,2428980,2259183.5,2388286.8,1415569.60315,1153876.77444
4724,141,4039200,7406100,3366900,3369349.75,3364916.4,2619657.1803,3083433.29954
1710,98,1316580,7319880,6003300,5986359.0,5971502.4,6176861.39941,6273336.76843
3260,130,1784820,3083940,1299120,1305092.625,1299151.2,1127176.46509,1607041.20883
7549,172,971220,1443960,472740,419506.09375,257766.0,0.0,-716901.314497
175,60,0,7401300,7401300,3199440.5,3846261.6,3067092.30817,3061501.34645
331,79,149820,4151700,4001880,4036704.0,4002798.0,5082928.41388,4429873.19829
2304,126,202560,496560,294000,296498.9375,478382.4,627246.749878,915556.341373
3523,71,2421780,3996240,1574460,1490573.75,1495767.6,1663107.82867,995193.644815
8599,212,204240,204240,0,20660.9414062,65908.8,0.0,7345.72479721
2717,165,36720,1262880,1226160,1295787.875,1101291.6,608322.580017,901619.262038
7220,61,6225300,6225300,0,303.965270996,7958.4,1835438542.83,1866.65302533
2415,94,504000,534480,30480,237669.578125,288459.6,984866.872498,769190.2743
6065,204,120480,2567700,2447220,2445361.25,2420534.4,3024681.77643,3146867.36789
1987,56,1299600,6361440,5061840,5130243.0,4978556.4,4968400.55103,4355365.38376
1420,113,12240,3646740,3634500,5407192.5,5014407.6,4275670.25232,3727822.04443
1064,131,314400,6825900,6511500,6518291.5,6359930.4,5015670.03204,4476767.02326
4436,0,1521240,1560960,39720,32429.9863281,82629.6,0.0,46021.9943893
4653,74,2854140,2979600,125460,637944.125,508090.8,3438844.21814,2939705.09777
3726,73,820200,1303500,483300,539342.0625,782194.8,2502151.86676,827129.593025
246,120,226800,576000,349200,353774.28125,368624.4,955542.16333,1637495.63174
4690,158,1846140,2044680,198540,145366.0,156133.2,353528.91394,505284.637747
5029,86,3519180,3519180,0,180613.1875,251229.6,7645697803.58,14372.5829806
143,109,96900,274500,177600,0.0,237529.2,104837.061951,501937.455978
1570,1,170880,1447140,1276260,1272892.0,1305306.0,2171123.23767,2381379.16404
24,68,50400,262800,212400,588265.5625,447264.0,1499854.15021,2106553.50546
6735,204,735660,2567700,1832040,1842282.25,1841584.8,2182400.16473,1905509.36569
8180,224,14640,648060,633420,338575.84375,388844.4,0.0,237060.26532
500,79,401400,4151700,3750300,3489948.5,2810305.2,2362415.01147,3185068.10786
8446,30,463920,604800,140880,213416.015625,135919.2,848896.989746,184982.89233
6833,2,1706160,2555640,849480,769342.5625,749762.4,0.0,-151729.748169
5862,76,4964220,7552500,2588280,2588285.0,2585871.6,0.0,2664970.31478
5680,142,4656420,7299960,2643540,2642877.75,2643798.0,3916348.15259,2792440.40646
3171,67,2944320,3120480,176160,190998.46875,176856.0,0.0,190427.965871
8991,131,6794700,6825900,31200,0.0,40855.2,115574.321777,13890.651048
3782,188,197940,4327560,4129620,3918392.5,3747342.0,2517862.96985,2184778.30624
4574,135,3521760,5649480,2127720,2126798.5,2113466.4,2440748.76624,2421595.34018
1142,76,1089000,7552500,6463500,6465377.0,6454330.8,6690877.26355,6325288.02141
477,91,267420,1030200,762780,668978.1875,704907.6,1866098.7901,2059425.37254
5279,113,3181500,3646740,465240,429300.375,470731.2,59848.0975952,481406.212427
7080,48,131040,156420,25380,0.0,29986.8,416313.891113,911181.502209
2891,171,317100,435600,118500,23238.7421875,162565.2,668773.586487,980636.362453
7376,213,2750280,3206820,456540,519128.875,405924.0,14698988975.1,-67687.2320423
2002,102,85440,3198240,3112800,3149447.25,3032004.0,2064154.96063,2005022.18733
3202,142,2706540,7299960,4593420,4595125.5,4599061.2,3587893.66547,4481558.43005
6920,151,3388680,3643800,255120,307115.5,249399.6,1204495.43286,512986.863098
7722,76,6605880,7552500,946620,940825.8125,943664.4,13241200601.6,959402.35341
2278,83,1508400,1818000,309600,302697.90625,306288.0,76527.5742798,319991.826952
6384,18,86820,1779540,1692720,1633859.125,1665819.6,1280004.20929,1440642.0445
8939,65,7483800,7544400,60600,0.0,191247.6,447069.428162,208174.789871
4883,180,989280,3322080,2332800,2247355.0,2304081.6,1683167.84064,2227861.39012
577,106,504000,1023180,519180,515210.9375,532850.4,1599038.64246,365908.734056
5445,169,601320,2190660,1589340,1512883.375,1586061.6,1477885.45947,1546562.32184
5265,125,3969060,3969060,0,0.0,152319.6,0.0,-801004.899162
2267,65,2023200,7544400,5521200,5264428.5,4603881.6,5733407.62775,4770755.92073
5282,213,968460,3206820,2238360,2177672.0,2241108.0,1931335.21515,2409109.1377
555,120,576000,576000,0,0.0,194342.4,2916724.43494,2169076.54124
5268,71,3738600,3996240,257640,156740.6875,274209.6,15059540883.7,80291.0174896
4426,96,2081400,2123400,42000,134517.9375,66102.0,0.0,130608.33389
6850,89,1663680,1736340,72660,102675.945312,197306.4,1248225.34869,664627.663958
2377,1,876540,1447140,570600,522750.34375,470013.6,1381275.25903,1234830.93644
9010,13,2491860,2525940,34080,44341.3398438,27223.2,0.0,63224.2220397
6432,151,2922300,3643800,721500,716145.6875,699532.8,1006671.04401,864064.183936
