,elapsed_time,total_time,remaining_time,XG_2000,RF_50,LM_pred,Lasso
5848,3544020,3545820,1800,90533.0234375,394634.4,0.0,297201.654039
6882,465900,748200,282300,315834.25,256747.2,279930.837952,453770.459269
8667,604800,604800,0,0.0,17016.0,0.0,-336027.202978
8875,586860,648060,61200,0.0,190219.2,0.0,-5980.94132957
8355,1099320,1327560,228240,440198.90625,224071.2,0.0,175766.030299
2105,827040,3257040,2430000,2396013.5,2425141.2,2822346.94763,2590907.87047
922,35340,6825900,6790560,6650967.5,6535201.2,5063068.3797,4264688.82248
3264,582180,4991760,4409580,4386305.5,4111162.8,4501664.95923,4237932.48285
8554,3020100,3281700,261600,262357.84375,259530.0,0.0,116916.806225
3921,3429600,7401300,3971700,2763657.0,3736831.2,4361748.60266,4009214.60629
8391,348120,736020,387900,396543.0625,372288.0,2333457.8092,2928934.50239
588,506220,1023180,516960,510001.625,585238.8,3313452518.47,465663.160931
213,156420,6670800,6514380,6522085.0,6517778.4,5778487.8277,5242848.90808
1998,527820,6232860,5705040,5782614.0,5702378.4,5874801.71289,5857300.91115
5808,118140,1326000,1207860,1239438.375,1138642.8,763514.75238,659012.953715
2189,24600,1666080,1641480,1439359.0,1529629.2,1500179.89398,1115352.55036
5075,3592860,3674460,81600,121808.3125,188650.8,0.0,699593.120181
3232,287700,4648740,4361040,4439643.5,4362134.4,4565598.36139,3953158.16098
5735,84720,1326000,1241280,1445294.375,1250847.6,266135.892395,386378.641478
3703,807900,1897500,1089600,1098021.375,1091191.2,19296725501.4,1320816.68347
5459,17940,1547520,1529580,1419223.75,1485969.6,2677318.34338,2170862.91813
2956,2083860,5649480,3565620,3112414.5,2843025.6,4504180.48462,3567105.54813
8491,7226040,7544400,318360,213073.3125,259786.8,408522.187988,216100.051078
6277,4104360,6232860,2128500,2143150.75,2131051.2,224903364.846,2184802.91544
6104,2226300,3225180,998880,983870.875,976188.0,296521.347046,645450.461706
5899,721320,3281700,2560380,2532900.0,2530525.2,5932316495.57,2260403.23051
5939,194100,2714040,2519940,2406697.75,2446635.6,2354713.59857,1783274.24475
2839,90780,1897500,1806720,1907100.75,1399335.6,1168415.91479,1439077.47973
2517,2094360,7299960,5205600,5193175.5,5207091.6,0.0,4906041.67701
2485,366300,1898460,1532160,1494897.0,1530966.0,1289096.5423,1098784.04171
5574,40800,979740,938940,1521637.375,1173702.0,1227445.61169,1390461.99891
6596,4905060,6825900,1920840,1918745.875,1936020.0,0.0,2102798.28845
2455,599220,655020,55800,307763.9375,234930.0,0.0,-527081.383658
6955,1002960,2567700,1564740,1562553.0,1562767.2,1231602.05493,1564522.74911
8578,6729900,6845160,115260,160785.390625,124606.8,638834.580383,57377.9386217
6346,4157520,6232860,2075340,2083799.875,2075844.0,64097929.9284,2225798.98086
891,174840,1807260,1632420,1617054.125,1630696.8,1668872.17847,1781228.6495
8892,2436420,2525940,89520,66553.578125,89287.2,30438356424.6,130460.942089
3772,1479360,1479360,0,46708.28125,81799.2,395848.361084,145880.549486
7968,2555580,2555640,60,135979.59375,152042.4,24126.6790161,-157583.046442
2166,908100,1303440,395340,394518.9375,454570.8,643182.392517,484477.438182
3706,808200,1897500,1089300,1090835.125,1089802.8,18648700821.3,1320688.21042
3254,1782480,3083940,1301460,1331071.25,1305094.8,939774.136597,1258288.56789
8377,1115040,1327560,212520,253813.859375,211476.0,0.0,358992.174111
3775,192360,4327560,4135200,4012613.0,3716670.0,3105177.70923,2587455.78078
2131,859440,3257040,2397600,2362415.25,2423926.8,2112717.38849,2392343.77527
6094,3954060,6232860,2278800,2265981.5,2359168.8,2365731.14191,2596596.46135
4731,62040,2496960,2434920,2081629.0,1834642.8,725140.260559,903103.595211
3707,26700,915060,888360,968092.75,1150845.6,141924.782288,448237.662841
8940,3742560,3797940,55380,60014.9375,67815.6,340883.057922,298145.183637
4119,109020,1974480,1865460,1611937.5,1304436.0,1521671.61786,1000173.1686
8853,2421420,2525940,104520,113647.757812,107216.4,0.0,35841.6072364
5809,118200,1326000,1207800,1308608.0,1131346.8,790487.166809,663177.953775
5388,234840,341760,106920,87760.53125,163921.2,715162.875,395711.66131
5986,44700,2567700,2523000,2285140.25,2475486.0,3093490.12567,2630062.24449
7415,0,615060,615060,614985.875,621073.2,383066.228943,575237.576185
942,258120,1818000,1559880,1742983.875,1535452.8,2538763.10803,2311482.10503
1374,1002120,4719960,3717840,3717801.25,3717811.2,3412289.11792,3578006.66895
1238,450480,6825900,6375420,6371374.0,6221762.4,5411302.38208,4984315.16692
7031,1684200,1993260,309060,289983.09375,319568.4,0.0,149863.774414
7855,1671840,2525940,854100,823274.5625,849157.2,274711.620667,733952.434664
4212,2310780,2742780,432000,464224.0625,393589.2,354158.124695,666645.083993
6998,268800,1113000,844200,763999.8125,700556.4,0.0,-448115.117
281,222000,280800,58800,24893.5019531,198483.6,0.0,-345152.323453
3357,1855380,3083940,1228560,1226865.25,1224008.4,1330733.3172,1243647.50296
295,214200,7544400,7330200,6319242.5,7050404.4,8120596.94556,7188588.92641
3283,1653900,1938900,285000,302899.09375,282286.8,524497.429199,457539.457268
1102,1152480,6225300,5072820,5695426.5,4971967.2,4695208.94989,5201105.29389
1192,1090800,1090800,0,0.0,83787.6,0.0,-600134.357915
1008,926460,4817700,3891240,3900307.0,3786123.6,3925511.06866,3921959.55952
2866,277800,2044680,1766880,1783743.0,1783030.8,1023793.35248,1963115.75089
2751,1294200,3083940,1789740,1756828.75,1765449.6,790675.598572,1597354.81505
3941,519000,3225180,2706180,2584538.0,2468239.2,2010344.10748,1980060.29782
2188,850020,850020,0,11092.21875,41602.8,194328.874023,428732.425595
7606,3386820,4327560,940740,989641.375,931724.4,389513.741577,863842.650352
1139,266460,935100,668640,2129815.25,1626006.0,6659466.96436,4782160.99545
1524,157380,1658640,1501260,1590452.5,1457983.2,2398216.36902,2333560.21852
8776,6833100,6845160,12060,39867.9648438,42405.6,134693.187073,-189654.392179
550,572400,576000,3600,0.0,296568.0,2610128.72827,1968099.52598
5748,1405140,3206820,1801680,1793936.125,1793144.4,0.0,1690722.45304
829,177300,1818000,1640700,1640981.375,1626098.4,2351489.51306,2491640.67667
3919,1614600,1666080,51480,34989.9140625,111100.8,1330079.32489,372658.17401
5371,204420,341760,137340,177925.375,185466.0,16554794660.7,1618261.0094
2483,1690920,3064200,1373280,1416059.375,1426200.0,1107610.34546,1086970.56146
5169,4208580,7319880,3111300,3209770.5,3117033.6,3302341.08582,2950948.47922
4940,68340,2555640,2487300,2412584.0,2265872.4,1497904.82733,1417879.5427
4945,4020060,4719960,699900,640750.375,635503.2,555116.39917,851993.227703
6233,581580,2714040,2132460,2293348.75,2011296.0,0.0,2012837.7924
2472,360120,1898460,1538340,1497608.875,1478786.4,1020106.87115,699843.143273
8043,34560,87180,52620,0.0,262226.4,590788.583496,421236.039487
5162,108180,557700,449520,488676.0625,589041.6,1735705.97516,1237144.08678
5189,3600,39660,36060,38026.2578125,302096.4,905823.053345,1115437.15516
3979,1062600,1201080,138480,149753.953125,235371.6,667044.740417,354549.968659
6820,431580,748200,316620,329127.65625,331208.4,0.0,-327188.610178
5736,84720,1326000,1241280,1472059.375,1249752.0,837666.035339,642466.454491
6770,722280,2525940,1803660,1802180.375,1786363.2,1881298.88812,1784922.03775
6564,5686200,6225300,539100,619348.8125,756091.2,0.0,813707.930564
6943,686520,1374660,688140,689475.3125,705292.8,888889.958374,741358.764496
4847,20880,2555640,2534760,1938808.125,1695903.6,1462887.83429,700652.689732
5839,1459260,3206820,1747560,1751488.125,1801458.0,2093954.52399,1789870.7006
4207,3182400,5649480,2467080,2460702.0,2473549.2,2192841.2359,2339480.00358
6704,698760,2567700,1868940,1862736.25,1864273.2,2163588.4054,1944754.41565
790,95280,6135000,6039720,6056393.0,5530731.6,4870868.17957,4290069.01836
1212,83580,3257040,3173460,2293485.5,3220867.2,2137832.5047,1666415.11457
6693,689100,2567700,1878600,1873570.125,1872320.4,1945213.03571,2025827.31654
6516,5567400,5579400,12000,16744.9257812,316994.4,0.0,235412.481777
1976,557340,6181200,5623860,5621202.0,5558653.2,5894879.48688,5280484.21464
8739,4831620,4836120,4500,20112.1445312,56800.8,476625.127014,-316254.896796
5826,147660,2714040,2566380,2605230.75,2441724.0,3169504.25568,2979626.41651
2375,252600,2639280,2386680,2652105.75,2533009.2,3182132.81927,3283241.67906
5378,3945600,3996240,50640,91107.234375,99568.8,2652289941.71,452511.580772
3813,2052480,2742780,690300,683142.1875,751587.6,1413030.71979,1349116.08826
8916,3731400,3797940,66540,43888.75,174514.8,91255.7024536,178828.345604
6533,102240,1205580,1103340,1066309.25,964525.2,878423.720276,919204.239271
5663,74340,187200,112860,1007837.8125,1181168.4,0.0,-78054.7854073
1470,1379340,1785600,406260,379142.59375,387579.6,616162.172119,591132.886121
368,257400,754200,496800,478553.40625,460752.0,2676015410.23,166423.460302
6238,4076400,6232860,2156460,2216726.5,2156617.2,2894405359.39,2309602.09491
4612,3876600,7299960,3423360,3381517.75,3400038.0,2826121.19568,3415514.84058
3685,794160,1897500,1103340,1175600.25,1102166.4,1577751.84155,1324401.22684
6926,38100,534900,496800,694212.0,520563.6,0.0,903418.483578
8908,651840,736020,84180,46972.0625,79576.8,0.0,327454.265895
1357,1309620,1785600,475980,475185.96875,466902.0,914997.061584,760779.453645
8146,1843020,2525940,682920,682072.6875,681577.2,167298.998901,780694.721931
8936,51180,57540,6360,0.0,7708.8,0.0,18184.5219114
7222,116100,460800,344700,444979.84375,542784.0,0.0,348269.629161
146,86400,7552500,7466100,7453603.5,7468288.8,8053928.19983,7472194.41926
8499,2421180,2480580,59400,31991.4179688,80289.6,0.0,-1155456.31769
486,372000,7406100,7034100,7020411.5,6983157.6,6668074.56183,6267339.40629
5959,4492800,6361440,1868640,1872796.0,1831424.4,2619288.11963,2164229.49059
1190,599940,599940,0,1587.53894043,8682.0,0.0,-182958.395246
1041,422340,555360,133020,84740.359375,401860.8,845566.898682,1620646.12831
3165,2701380,7319880,4618500,4621566.0,4609800.0,4982703.31622,4774730.3459
198,180000,1785600,1605600,1531489.875,1535769.6,2825548.95013,2714177.87818
1218,347820,861720,513900,739626.9375,807270.0,325940.307495,740997.815813
1881,1555740,7319880,5764140,5788195.0,5699577.6,5976093.12628,5915456.92697
2202,274740,655020,380280,435316.25,448407.6,0.0,64762.7468812
4663,1729320,1851720,122400,203572.953125,169546.8,0.0,-550075.007006
1820,1781880,3974400,2192520,2218663.25,2193602.4,2823403.25427,2148777.03471
6826,518700,1779540,1260840,1210417.75,1244727.6,1648328.18109,1312687.1755
7141,77760,460800,383040,576579.5625,541293.6,0.0,108237.298698
8173,621960,626580,4620,139629.765625,54062.4,780783.064758,1079014.05585
4083,2935500,6825900,3890400,3896131.0,3878572.8,3425895.38922,3527206.01732
5412,1488720,1713060,224340,323161.40625,311294.4,435171.313232,809446.510679
8227,118800,736020,617220,613427.5625,646263.6,1545758.47601,1503658.56956
6343,4156140,6232860,2076720,2077602.0,2082547.2,126900758.754,2150536.12441
5241,4186020,4719960,533940,547199.0625,528306.0,14034960293.6,563318.362375
4934,2416920,2639280,222360,232371.21875,230318.4,519266.656677,351528.410243
9055,7548780,7552500,3720,4072.92236328,3164.4,33143779550.0,151033.622753
203,177540,223140,45600,48669.296875,50584.8,0.0,212728.81702
6414,1277460,1314000,36540,18661.2109375,82959.6,0.0,-420657.539986
3238,5760,1800900,1795140,1725808.5,1676205.6,1004166.4209,1199005.49889
8492,5978040,6181200,203160,239703.375,252265.2,78653.3797607,2155.54208656
6949,1731840,1736340,4500,66035.09375,82717.2,204647.16925,419621.610911
2789,55680,3215700,3160020,3155059.5,3023257.2,2982342.49835,3101913.18703
7439,5704320,6135000,430680,362480.28125,304303.2,699518.339844,409389.761346
6161,2279160,3225180,946020,884325.6875,1000657.2,1056803.7356,302314.733785
1646,338640,850020,511380,524869.0625,519261.6,658612.032532,1384674.02025
309,225600,7544400,7318800,6237593.5,6904567.2,7978997.35248,7285315.85532
521,555180,626340,71160,86092.6015625,136455.6,0.0,-735874.028239
1392,1267320,5579400,4312080,4456904.0,4210915.2,2571631.36279,3223510.24781
1253,459180,6825900,6366720,6229518.5,6156744.0,6243539.05231,5187823.54417
7962,26160,40380,14220,643262.9375,449407.2,691317.75238,638910.289784
7187,2990220,4327560,1337340,1342805.5,1335846.0,1495060.42792,1412306.94298
3418,1143000,1666080,523080,471024.84375,497426.4,7297.27026367,317565.964547
451,527400,626340,98940,206152.734375,124348.8,0.0,205312.756306
8950,54900,57540,2640,0.0,48036.0,0.0,-105545.941794
2770,73440,1262880,1189440,1133638.875,1242328.8,2190949323.39,1122142.34119
5908,170400,1326000,1155600,1133834.125,1160186.4,1368719.99994,1010810.87166
2639,2940,4991760,4988820,4263509.0,4183195.2,4109633.00311,5008429.23585
367,284400,7552500,7268100,7252674.5,7270222.8,9342820.84308,7751618.15387
3820,899220,3643800,2744580,2834912.75,2742628.8,2895035.04053,2596262.67159
4351,3107760,6825900,3718140,3756795.0,3719138.4,3584366.82013,3766887.10925
5731,3624600,3656580,31980,32729.2949219,411541.2,95538.9333496,95403.8587828
5644,4842900,7552500,2709600,2705581.5,2647008.0,3735240.76385,3069434.70092
8014,1481880,2036760,554880,654574.3125,551319.6,523756.116516,572773.950217
3503,3480,4327560,4324080,2721268.75,2727751.2,2432043.24353,1980803.30322
396,193140,7406100,7212960,7191987.0,7083739.2,5679810.50806,5578077.89349
1585,99060,6232860,6133800,5826919.5,5990164.8,3865462.50891,4055156.152
8736,148620,163800,15180,0.0,210794.4,518393.655212,966756.28083
8129,2600700,3281700,681000,703661.1875,681105.6,0.0,145958.250011
8559,2478060,2714040,235980,232341.625,230349.6,992639.675171,316395.164852
983,259560,6135000,5875440,5764138.0,5891880.0,5248427.3363,4525135.96446
498,370140,7401300,7031160,6845168.5,6181455.6,3111752.58612,4274034.17463
6935,72300,393120,320820,442744.4375,438250.8,1197969.09259,654957.901437
2246,156720,2639280,2482560,2827194.25,2667897.6,3071577.75873,3168586.29808
3139,2667540,7299960,4632420,4653831.0,4654982.4,4262487.10474,4700901.06242
4456,59820,438000,378180,319735.21875,843771.6,1464615.24402,1111434.88818
2273,1458060,6135000,4676940,3715488.5,4417012.8,3216229.96094,3445837.48772
4711,2289120,2639280,350160,349234.15625,351843.6,0.0,260753.005828
1762,432720,1447140,1014420,1004241.375,1059882.0,1289581.76788,1715130.33067
3371,596160,1897500,1301340,1327712.125,1210618.8,812732.230469,1256919.47379
7360,272100,534900,262800,211611.421875,258153.6,0.0,22725.0133506
9009,6206940,6232860,25920,33247.1328125,68101.2,125145573.568,76439.2370692
1544,119100,6181200,6062100,6066392.0,6061432.8,4398349.57477,4279393.8149
6646,898920,979740,80820,280517.5625,206504.4,395046.303528,-277518.20532
2674,1165500,6181200,5015700,5009113.0,5020244.4,6462195.96564,4932780.92057
940,255600,1818000,1562400,1497544.25,1529304.0,2228882.33295,2234547.72774
7644,2694000,3636240,942240,895184.125,833380.8,3705266592.04,288076.954007
8935,2756640,2756640,0,0.0,101688.0,0.0,250591.658346
1825,1503360,7319880,5816520,5812930.0,5814370.8,5621781.19025,5596762.48889
3815,324900,786600,461700,363500.15625,464673.6,300146.85968,792853.588659
3201,1062600,2639280,1576680,1577002.375,1578014.4,1459933.6062,1472317.97716
5430,3988800,3991980,3180,0.0,66224.4,0.0,284734.353453
4628,2460,1811280,1808820,1817456.875,1734555.6,2568405.88995,1234857.10701
7663,38040,445560,407520,532748.4375,636414.0,0.0,-477646.609862
5958,3701340,6232860,2531520,2528137.75,2532028.8,7697116.59869,2644961.49992
6072,96960,2525940,2428980,2259183.5,2427393.6,1415569.60315,1153876.77444
4724,4039200,7406100,3366900,3369349.75,3372692.4,2619657.1803,3083433.29954
1710,1316580,7319880,6003300,5986359.0,5953648.8,6176861.39941,6273336.76843
3260,1784820,3083940,1299120,1305092.625,1299124.8,1127176.46509,1607041.20883
7549,971220,1443960,472740,419506.09375,279181.2,0.0,-716901.314497
175,0,7401300,7401300,3199440.5,3745699.2,3067092.30817,3061501.34645
331,149820,4151700,4001880,4036704.0,3994899.6,5082928.41388,4429873.19829
2304,202560,496560,294000,296498.9375,402666.0,627246.749878,915556.341373
3523,2421780,3996240,1574460,1490573.75,1545696.0,1663107.82867,995193.644815
8599,204240,204240,0,20660.9414062,76017.6,0.0,7345.72479721
2717,36720,1262880,1226160,1295787.875,992085.6,608322.580017,901619.262038
7220,6225300,6225300,0,303.965270996,5314.8,1835438542.83,1866.65302533
2415,504000,534480,30480,237669.578125,215684.4,984866.872498,769190.2743
6065,120480,2567700,2447220,2445361.25,2438421.6,3024681.77643,3146867.36789
1987,1299600,6361440,5061840,5130243.0,5063640.0,4968400.55103,4355365.38376
1420,12240,3646740,3634500,5407192.5,4789113.6,4275670.25232,3727822.04443
1064,314400,6825900,6511500,6518291.5,6504139.2,5015670.03204,4476767.02326
4436,1521240,1560960,39720,32429.9863281,55742.4,0.0,46021.9943893
4653,2854140,2979600,125460,637944.125,135825.6,3438844.21814,2939705.09777
3726,820200,1303500,483300,539342.0625,814498.8,2502151.86676,827129.593025
246,226800,576000,349200,353774.28125,365960.4,955542.16333,1637495.63174
4690,1846140,2044680,198540,145366.0,172972.8,353528.91394,505284.637747
5029,3519180,3519180,0,180613.1875,181663.2,7645697803.58,14372.5829806
143,96900,274500,177600,0.0,280164.0,104837.061951,501937.455978
1570,170880,1447140,1276260,1272892.0,1324302.0,2171123.23767,2381379.16404
24,50400,262800,212400,588265.5625,527677.2,1499854.15021,2106553.50546
6735,735660,2567700,1832040,1842282.25,1845981.6,2182400.16473,1905509.36569
8180,14640,648060,633420,338575.84375,399638.4,0.0,237060.26532
500,401400,4151700,3750300,3489948.5,2865254.4,2362415.01147,3185068.10786
8446,463920,604800,140880,213416.015625,121872.0,848896.989746,184982.89233
6833,1706160,2555640,849480,769342.5625,803577.6,0.0,-151729.748169
5862,4964220,7552500,2588280,2588285.0,2585880.0,0.0,2664970.31478
5680,4656420,7299960,2643540,2642877.75,2645420.4,3916348.15259,2792440.40646
3171,2944320,3120480,176160,190998.46875,176031.6,0.0,190427.965871
8991,6794700,6825900,31200,0.0,131158.8,115574.321777,13890.651048
3782,197940,4327560,4129620,3918392.5,3778197.6,2517862.96985,2184778.30624
4574,3521760,5649480,2127720,2126798.5,2099784.0,2440748.76624,2421595.34018
1142,1089000,7552500,6463500,6465377.0,6456224.4,6690877.26355,6325288.02141
477,267420,1030200,762780,668978.1875,806139.6,1866098.7901,2059425.37254
5279,3181500,3646740,465240,429300.375,464986.8,59848.0975952,481406.212427
7080,131040,156420,25380,0.0,47953.2,416313.891113,911181.502209
2891,317100,435600,118500,23238.7421875,175794.0,668773.586487,980636.362453
7376,2750280,3206820,456540,519128.875,449216.4,14698988975.1,-67687.2320423
2002,85440,3198240,3112800,3149447.25,3111531.6,2064154.96063,2005022.18733
3202,2706540,7299960,4593420,4595125.5,4596166.8,3587893.66547,4481558.43005
6920,3388680,3643800,255120,307115.5,304798.8,1204495.43286,512986.863098
7722,6605880,7552500,946620,940825.8125,939518.4,13241200601.6,959402.35341
2278,1508400,1818000,309600,302697.90625,309180.0,76527.5742798,319991.826952
6384,86820,1779540,1692720,1633859.125,1636140.0,1280004.20929,1440642.0445
8939,7483800,7544400,60600,0.0,198816.0,447069.428162,208174.789871
4883,989280,3322080,2332800,2247355.0,2270970.0,1683167.84064,2227861.39012
577,504000,1023180,519180,515210.9375,525474.0,1599038.64246,365908.734056
5445,601320,2190660,1589340,1512883.375,1621048.8,1477885.45947,1546562.32184
5265,3969060,3969060,0,0.0,114400.8,0.0,-801004.899162
2267,2023200,7544400,5521200,5264428.5,4308704.4,5733407.62775,4770755.92073
5282,968460,3206820,2238360,2177672.0,2230005.6,1931335.21515,2409109.1377
555,576000,576000,0,0.0,295324.8,2916724.43494,2169076.54124
5268,3738600,3996240,257640,156740.6875,275077.2,15059540883.7,80291.0174896
4426,2081400,2123400,42000,134517.9375,132399.6,0.0,130608.33389
6850,1663680,1736340,72660,102675.945312,198478.8,1248225.34869,664627.663958
2377,876540,1447140,570600,522750.34375,523220.4,1381275.25903,1234830.93644
9010,2491860,2525940,34080,44341.3398438,35080.8,0.0,63224.2220397
6432,2922300,3643800,721500,716145.6875,713862.0,1006671.04401,864064.183936
898,161400,459900,298500,318310.78125,388572.0,518397.537781,813185.384292
1614,1480260,4817700,3337440,3253376.5,3467973.6,4010963.33643,3597743.34848
7212,1326000,1326000,0,0.0,30789.6,19679.1268921,41385.1086178
5997,5042220,7552500,2510280,2512218.0,2512582.8,2185379.67828,2405127.32282
2053,1341780,1818000,476220,477505.03125,479115.6,608090.237244,506089.754706
7472,5740260,6135000,394740,346255.0,323064.0,420518.681824,225023.004055
7511,2598480,3797940,1199460,1228032.25,1212708.0,1624934.00903,1408589.35663
1020,171240,6825900,6654660,6394339.0,6140176.8,3938940.26166,3807826.84706
1075,997200,1023180,25980,0.0,95002.8,160897.680481,-74150.1791433
1404,94740,3083940,2989200,2990486.0,2989322.4,2001711.48767,3314299.15438
6183,38520,1374660,1336140,1336211.375,1363264.8,1312248.24164,845953.69329
1801,1604340,4151700,2547360,2560639.25,2548582.8,6733014776.25,2117062.06584
5682,4656540,7299960,2643420,2637604.0,2642112.0,12184803220.6,2792389.01724
2949,2489820,3714840,1225020,1178811.5,1254474.0,1376580.00409,1571945.39433
686,144900,338580,193680,120340.570312,648601.2,1634269.92206,2149331.31969
531,443280,1242300,799020,997091.5625,1876591.2,0.0,2738808.19349
1876,443160,6232860,5789700,5804636.5,5790678.0,5671276.59503,6049722.96058
2092,468960,2742780,2273820,2094710.125,1823710.8,1772900.70538,1909962.09796
